City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14197km,14197,212.20ms,212.2,66.97%,66.97,208.78ms,208.78,218.79ms,218.79,2.80ms,2.8,2018-11-10 12:18:53
"Albany United States, North America",2945km,2945,95.98ms,95.98,31.00%,31.0,60.59ms,60.59,178.64ms,178.64,38.77ms,38.77,2018-11-10 12:18:53
"Alblasserdam Netherlands, Eurasia",8273km,8273,131.54ms,131.54,63.15%,63.15,131.14ms,131.14,133.47ms,133.47,0.48ms,0.48,2018-11-10 12:18:53
"Algiers Algeria, Africa",9220km,9220,175.97ms,175.97,52.69%,52.69,174.55ms,174.55,185.30ms,185.3,2.20ms,2.2,2018-11-10 12:18:53
"Amsterdam Netherlands, Eurasia",8246km,8246,128.04ms,128.04,64.42%,64.42,124.47ms,124.47,171.60ms,171.6,9.48ms,9.48,2018-11-10 12:18:53
"Anchorage United States, North America",4197km,4197,70.43ms,70.43,59.96%,59.96,69.93ms,69.93,73.18ms,73.18,0.78ms,0.78,2018-11-10 12:18:53
"Ankara Turkey, Eurasia",10697km,10697,177.32ms,177.32,60.44%,60.44,176.49ms,176.49,181.53ms,181.53,1.21ms,1.21,2018-11-10 12:18:53
"Antwerp Belgium, Eurasia",8303km,8303,144.32ms,144.32,57.66%,57.66,140.97ms,140.97,174.57ms,174.57,8.42ms,8.42,2018-11-10 12:18:53
"Arezzo Italy, Eurasia",9291km,9291,162.71ms,162.71,57.35%,57.35,155.88ms,155.88,206.52ms,206.52,13.87ms,13.87,2018-11-10 12:18:53
"Asheville United States, North America",2177km,2177,58.05ms,58.05,37.53%,37.53,57.58ms,57.58,61.45ms,61.45,0.86ms,0.86,2018-11-10 12:18:53
"Athens Greece, Eurasia",10415km,10415,188.61ms,188.61,55.40%,55.4,187.12ms,187.12,203.06ms,203.06,3.39ms,3.39,2018-11-10 12:18:53
"Atlanta United States, North America",2040km,2040,37.27ms,37.27,55.14%,55.14,35.91ms,35.91,56.98ms,56.98,3.94ms,3.94,2018-11-10 12:18:53
"Auckland New Zealand, Oceania",11397km,11397,221.47ms,221.47,51.57%,51.57,216.64ms,216.64,260.02ms,260.02,10.82ms,10.82,2018-11-10 12:18:53
"Austin United States, North America",989km,989,38.04ms,38.04,26.03%,26.03,26.67ms,26.67,80.66ms,80.66,14.33ms,14.33,2018-11-10 12:18:53
"Baltimore United States, North America",2684km,2684,57.94ms,57.94,47.09%,47.09,54.59ms,54.59,99.26ms,99.26,8.33ms,8.33,2018-11-10 12:18:53
"Bangalore India, Eurasia",14654km,14654,254.28ms,254.28,57.69%,57.69,251.73ms,251.73,302.63ms,302.63,9.26ms,9.26,2018-11-10 12:18:53
"Bangkok Thailand, Eurasia",13880km,13880,282.53ms,282.53,49.22%,49.22,277.70ms,277.7,302.87ms,302.87,5.39ms,5.39,2018-11-10 12:18:53
"Barcelona Spain, Eurasia",8839km,8839,159.91ms,159.91,55.59%,55.59,159.32ms,159.32,164.36ms,164.36,1.19ms,1.19,2018-11-10 12:18:53
"Basel Switzerland, Eurasia",8739km,8739,156.01ms,156.01,56.02%,56.02,155.19ms,155.19,165.92ms,165.92,2.04ms,2.04,2018-11-10 12:18:53
"Belfast United Kingdom, Eurasia",7519km,7519,125.64ms,125.64,60.15%,60.15,125.14ms,125.14,131.13ms,131.13,1.14ms,1.14,2018-11-10 12:18:53
"Bergen Norway, Eurasia",7739km,7739,161.36ms,161.36,48.07%,48.07,160.51ms,160.51,165.52ms,165.52,1.23ms,1.23,2018-11-10 12:18:53
"Berkeley Springs United States, North America",2547km,2547,59.70ms,59.7,43.17%,43.17,58.61ms,58.61,73.81ms,73.81,2.92ms,2.92,2018-11-10 12:18:53
"Bern Switzerland, Eurasia",8775km,8775,146.86ms,146.86,60.10%,60.1,146.49ms,146.49,147.75ms,147.75,0.35ms,0.35,2018-11-10 12:18:53
"Bogota Colombia, South America",4762km,4762,139.56ms,139.56,34.26%,34.26,138.26ms,138.26,163.12ms,163.12,4.51ms,4.51,2018-11-10 12:18:53
"Boston United States, North America",3162km,3162,54.41ms,54.41,58.56%,58.56,53.62ms,53.62,58.83ms,58.83,1.36ms,1.36,2018-11-10 12:18:54
"Brasilia Brazil, South America",8386km,8386,177.03ms,177.03,47.38%,47.38,175.33ms,175.33,185.73ms,185.73,3.17ms,3.17,2018-11-10 12:18:54
"Bratislava Slovakia, Eurasia",9209km,9209,160.38ms,160.38,57.56%,57.56,160.02ms,160.02,163.14ms,163.14,0.72ms,0.72,2018-11-10 12:18:54
