City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15965km,15965,304.89ms,304.89,52.52%,52.52,304.56ms,304.56,306.14ms,306.14,0.73ms,0.73,2018-11-10 12:19:29
"Albany United States, North America",5720km,5720,113.01ms,113.01,50.62%,50.62,81.80ms,81.8,181.97ms,181.97,39.12ms,39.12,2018-11-10 12:19:29
"Alblasserdam Netherlands, Eurasia",74km,74,49.40ms,49.4,1.51%,1.51,49.27ms,49.27,50.24ms,50.24,0.32ms,0.32,2018-11-10 12:19:29
"Albuquerque United States, North America",8303km,8303,144.06ms,144.06,57.66%,57.66,140.97ms,140.97,179.64ms,179.64,7.66ms,7.66,2018-11-10 12:19:29
"Algiers Algeria, Africa",1612km,1612,43.01ms,43.01,37.49%,37.49,42.28ms,42.28,44.85ms,44.85,0.53ms,0.53,2018-11-10 12:19:29
"Amsterdam Netherlands, Eurasia",121km,121,8.39ms,8.39,15.12%,15.12,8.17ms,8.17,8.69ms,8.69,0.14ms,0.14,2018-11-10 12:19:29
"Anchorage United States, North America",7307km,7307,168.61ms,168.61,43.49%,43.49,168.44ms,168.44,169.16ms,169.16,0.46ms,0.46,2018-11-10 12:19:29
"Ankara Turkey, Eurasia",2523km,2523,66.51ms,66.51,38.23%,38.23,65.95ms,65.95,76.64ms,76.64,1.91ms,1.91,2018-11-10 12:19:29
"Arezzo Italy, Eurasia",1027km,1027,28.10ms,28.1,36.68%,36.68,27.99ms,27.99,28.47ms,28.47,0.15ms,0.15,2018-11-10 12:19:29
"Asheville United States, North America",6813km,6813,108.14ms,108.14,63.08%,63.08,108.06ms,108.06,108.24ms,108.24,0.30ms,0.3,2018-11-10 12:19:30
"Athens Greece, Eurasia",2112km,2112,57.77ms,57.77,37.05%,37.05,57.65ms,57.65,58.21ms,58.21,0.23ms,0.23,2018-11-10 12:19:30
"Atlanta United States, North America",7077km,7077,105.50ms,105.5,67.40%,67.4,105.28ms,105.28,106.95ms,106.95,0.49ms,0.49,2018-11-10 12:19:30
"Auckland New Zealand, Oceania",18248km,18248,278.66ms,278.66,65.64%,65.64,278.57ms,278.57,278.78ms,278.78,0.55ms,0.55,2018-11-10 12:19:30
"Austin United States, North America",8209km,8209,124.22ms,124.22,66.20%,66.2,117.71ms,117.71,150.40ms,150.4,9.02ms,9.02,2018-11-10 12:19:30
"Baltimore United States, North America",6151km,6151,94.15ms,94.15,65.44%,65.44,93.39ms,93.39,99.21ms,99.21,1.41ms,1.41,2018-11-10 12:19:30
"Bangalore India, Eurasia",7721km,7721,143.18ms,143.18,53.99%,53.99,142.99ms,142.99,143.43ms,143.43,0.18ms,0.18,2018-11-10 12:19:30
"Bangkok Thailand, Eurasia",9238km,9238,177.11ms,177.11,52.19%,52.19,165.10ms,165.1,228.22ms,228.22,17.55ms,17.55,2018-11-10 12:19:30
"Barcelona Spain, Eurasia",1106km,1106,29.30ms,29.3,38.14%,38.14,29.06ms,29.06,29.70ms,29.7,0.27ms,0.27,2018-11-10 12:19:30
"Basel Switzerland, Eurasia",467km,467,28.63ms,28.63,16.68%,16.68,28.46ms,28.46,28.90ms,28.9,0.20ms,0.2,2018-11-10 12:19:30
"Belfast United Kingdom, Eurasia",787km,787,28.07ms,28.07,28.11%,28.11,27.97ms,27.97,28.20ms,28.2,0.24ms,0.24,2018-11-10 12:19:30
"Bergen Norway, Eurasia",1020km,1020,46.12ms,46.12,22.17%,22.17,45.36ms,45.36,53.03ms,53.03,1.77ms,1.77,2018-11-10 12:19:30
"Berkeley Springs United States, North America",6229km,6229,103.56ms,103.56,60.48%,60.48,103.45ms,103.45,103.82ms,103.82,0.16ms,0.16,2018-11-10 12:19:30
"Bern Switzerland, Eurasia",524km,524,31.50ms,31.5,16.90%,16.9,31.37ms,31.37,31.62ms,31.62,0.25ms,0.25,2018-11-10 12:19:30
"Bogota Colombia, South America",8810km,8810,177.55ms,177.55,49.77%,49.77,176.91ms,176.91,186.55ms,186.55,1.84ms,1.84,2018-11-10 12:19:30
"Boston United States, North America",5572km,5572,78.14ms,78.14,71.44%,71.44,77.78ms,77.78,82.52ms,82.52,0.82ms,0.82,2018-11-10 12:19:30
"Brasilia Brazil, South America",9008km,9008,250.93ms,250.93,36.03%,36.03,236.96ms,236.96,545.57ms,545.57,57.51ms,57.51,2018-11-10 12:19:30
"Bratislava Slovakia, Eurasia",974km,974,23.57ms,23.57,42.35%,42.35,23.49ms,23.49,23.71ms,23.71,0.12ms,0.12,2018-11-10 12:19:30
