City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16311km,16311,229.65ms,229.65,71.23%,71.23,227.65ms,227.65,232.57ms,232.57,2.02ms,2.02,2018-11-10 12:18:13
"Albany United States, North America",1097km,1097,50.40ms,50.4,21.94%,21.94,23.81ms,23.81,124.19ms,124.19,38.37ms,38.37,2018-11-10 12:18:13
"Alblasserdam Netherlands, Eurasia",6802km,6802,93.99ms,93.99,73.14%,73.14,93.82ms,93.82,94.51ms,94.51,0.32ms,0.32,2018-11-10 12:18:13
"Albuquerque United States, North America",2177km,2177,60.49ms,60.49,36.28%,36.28,57.54ms,57.54,96.26ms,96.26,7.42ms,7.42,2018-11-10 12:18:13
"Algiers Algeria, Africa",7400km,7400,139.27ms,139.27,53.24%,53.24,138.79ms,138.79,139.82ms,139.82,0.34ms,0.34,2018-11-10 12:18:13
"Amsterdam Netherlands, Eurasia",6787km,6787,93.78ms,93.78,72.98%,72.98,93.69ms,93.69,94.01ms,94.01,0.34ms,0.34,2018-11-10 12:18:13
"Anchorage United States, North America",5408km,5408,106.99ms,106.99,51.02%,51.02,106.73ms,106.73,108.27ms,108.27,0.41ms,0.41,2018-11-10 12:18:13
"Ankara Turkey, Eurasia",9333km,9333,145.26ms,145.26,64.37%,64.37,144.93ms,144.93,148.19ms,148.19,0.76ms,0.76,2018-11-10 12:18:13
"Antwerp Belgium, Eurasia",6813km,6813,108.17ms,108.17,63.08%,63.08,108.05ms,108.05,108.83ms,108.83,0.41ms,0.41,2018-11-10 12:18:13
"Arezzo Italy, Eurasia",7697km,7697,118.89ms,118.89,65.23%,65.23,118.81ms,118.81,119.01ms,119.01,0.34ms,0.34,2018-11-10 12:18:13
"Athens Greece, Eurasia",8866km,8866,144.98ms,144.98,61.57%,61.57,144.53ms,144.53,147.94ms,147.94,0.82ms,0.82,2018-11-10 12:18:13
"Atlanta United States, North America",265km,265,10.50ms,10.5,26.50%,26.5,10.26ms,10.26,12.32ms,12.32,0.42ms,0.42,2018-11-10 12:18:13
"Auckland New Zealand, Oceania",13289km,13289,217.41ms,217.41,61.24%,61.24,217.32ms,217.32,217.54ms,217.54,0.45ms,0.45,2018-11-10 12:18:13
"Austin United States, North America",1536km,1536,49.96ms,49.96,31.35%,31.35,40.79ms,40.79,103.97ms,103.97,14.27ms,14.27,2018-11-10 12:18:13
"Baltimore United States, North America",665km,665,17.56ms,17.56,39.12%,39.12,17.20ms,17.2,20.23ms,20.23,0.59ms,0.59,2018-11-10 12:18:13
"Bangalore India, Eurasia",14228km,14228,217.78ms,217.78,65.57%,65.57,217.62ms,217.62,218.38ms,218.38,0.68ms,0.68,2018-11-10 12:18:13
"Bangkok Thailand, Eurasia",14522km,14522,245.82ms,245.82,59.27%,59.27,238.87ms,238.87,283.06ms,283.06,9.21ms,9.21,2018-11-10 12:18:13
"Barcelona Spain, Eurasia",7100km,7100,120.84ms,120.84,59.17%,59.17,120.66ms,120.66,121.14ms,121.14,0.23ms,0.23,2018-11-10 12:18:13
"Basel Switzerland, Eurasia",7190km,7190,118.17ms,118.17,60.93%,60.93,118.08ms,118.08,118.40ms,118.4,0.47ms,0.47,2018-11-10 12:18:13
"Belfast United Kingdom, Eurasia",6040km,6040,112.99ms,112.99,53.93%,53.93,112.90ms,112.9,113.13ms,113.13,0.24ms,0.24,2018-11-10 12:18:13
"Bergen Norway, Eurasia",6519km,6519,135.96ms,135.96,48.29%,48.29,135.74ms,135.74,137.56ms,137.56,0.40ms,0.4,2018-11-10 12:18:13
"Berkeley Springs United States, North America",587km,587,24.33ms,24.33,24.46%,24.46,24.22ms,24.22,24.61ms,24.61,0.08ms,0.08,2018-11-10 12:18:13
"Bern Switzerland, Eurasia",7210km,7210,109.31ms,109.31,66.15%,66.15,109.19ms,109.19,109.43ms,109.43,0.18ms,0.18,2018-11-10 12:18:13
"Bogota Colombia, South America",3556km,3556,82.40ms,82.4,43.37%,43.37,82.22ms,82.22,82.61ms,82.61,0.20ms,0.2,2018-11-10 12:18:13
"Boston United States, North America",1244km,1244,24.73ms,24.73,51.83%,51.83,24.56ms,24.56,25.08ms,25.08,0.23ms,0.23,2018-11-10 12:18:13
"Brasilia Brazil, South America",6783km,6783,143.35ms,143.35,47.43%,47.43,143.02ms,143.02,146.87ms,146.87,0.81ms,0.81,2018-11-10 12:18:13
"Bratislava Slovakia, Eurasia",7782km,7782,126.36ms,126.36,61.76%,61.76,126.26ms,126.26,126.51ms,126.51,0.44ms,0.44,2018-11-10 12:18:13
"Brisbane Australia, Oceania",14742km,14742,208.12ms,208.12,70.88%,70.88,208.05ms,208.05,208.27ms,208.27,0.47ms,0.47,2018-11-10 12:18:13
"Bristol United Kingdom, Eurasia",6348km,6348,91.64ms,91.64,69.76%,69.76,91.47ms,91.47,91.92ms,91.92,0.29ms,0.29,2018-11-10 12:18:13
"Brno Czech Republic, Eurasia",7690km,7690,117.88ms,117.88,65.73%,65.73,117.80ms,117.8,118.00ms,118.0,0.16ms,0.16,2018-11-10 12:18:13
"Bruges Belgium, Eurasia",6738km,6738,96.81ms,96.81,70.19%,70.19,96.57ms,96.57,99.49ms,99.49,0.67ms,0.67,2018-11-10 12:18:13
"Brunswick United States, North America",1416km,1416,29.07ms,29.07,48.83%,48.83,28.97ms,28.97,29.24ms,29.24,0.22ms,0.22,2018-11-10 12:18:13
"Brussels Belgium, Eurasia",6825km,6825,92.45ms,92.45,74.18%,74.18,92.37ms,92.37,92.53ms,92.53,0.42ms,0.42,2018-11-10 12:18:13
"Bucharest Romania, Eurasia",8585km,8585,137.64ms,137.64,62.66%,62.66,137.51ms,137.51,138.35ms,138.35,0.19ms,0.19,2018-11-10 12:18:13
"Budapest Hungary, Eurasia",7943km,7943,120.08ms,120.08,66.19%,66.19,119.43ms,119.43,124.58ms,124.58,0.88ms,0.88,2018-11-10 12:18:13
"Buenos Aires Argentina, South America",8201km,8201,158.33ms,158.33,51.91%,51.91,156.32ms,156.32,170.54ms,170.54,3.35ms,3.35,2018-11-10 12:18:13
"Buffalo United States, North America",869km,869,29.20ms,29.2,29.97%,29.97,27.97ms,27.97,35.96ms,35.96,2.01ms,2.01,2018-11-10 12:18:14
"Bursa Turkey, Eurasia",9070km,9070,148.94ms,148.94,61.28%,61.28,148.83ms,148.83,149.31ms,149.31,0.32ms,0.32,2018-11-10 12:18:14
"Cairo Egypt, Africa",9960km,9960,152.47ms,152.47,65.53%,65.53,148.01ms,148.01,172.49ms,172.49,4.90ms,4.9,2018-11-10 12:18:14
"Calgary Canada, North America",3038km,3038,83.62ms,83.62,36.60%,36.6,82.64ms,82.64,87.46ms,87.46,1.27ms,1.27,2018-11-10 12:18:14
"Canberra Australia, Oceania",15394km,15394,264.17ms,264.17,58.31%,58.31,263.80ms,263.8,265.94ms,265.94,0.53ms,0.53,2018-11-10 12:18:14
"Cape Town South Africa, Africa",13011km,13011,229.49ms,229.49,56.82%,56.82,229.21ms,229.21,233.28ms,233.28,0.72ms,0.72,2018-11-10 12:18:14
"Caracas Venezuela, South America",3210km,3210,70.32ms,70.32,45.86%,45.86,69.38ms,69.38,73.33ms,73.33,1.05ms,1.05,2018-11-10 12:18:14
"Cardiff United Kingdom, Eurasia",6307km,6307,93.37ms,93.37,67.82%,67.82,93.09ms,93.09,94.72ms,94.72,0.44ms,0.44,2018-11-10 12:18:14
"Carlow Ireland, Eurasia",6021km,6021,112.23ms,112.23,53.76%,53.76,112.11ms,112.11,112.69ms,112.69,0.27ms,0.27,2018-11-10 12:18:14
"Charlotte United States, North America",160km,160,24.08ms,24.08,6.67%,6.67,24.02ms,24.02,24.21ms,24.21,0.14ms,0.14,2018-11-10 12:18:14
"Cheltenham United Kingdom, Eurasia",6366km,6366,95.45ms,95.45,67.01%,67.01,95.38ms,95.38,95.50ms,95.5,0.33ms,0.33,2018-11-10 12:18:14
"Chennai India, Eurasia",14312km,14312,222.74ms,222.74,64.47%,64.47,217.60ms,217.6,230.46ms,230.46,3.68ms,3.68,2018-11-10 12:18:14
"Chicago United States, North America",823km,823,32.09ms,32.09,25.72%,25.72,32.03ms,32.03,32.26ms,32.26,0.19ms,0.19,2018-11-10 12:18:14
"Chisinau Moldova, Eurasia",8578km,8578,140.88ms,140.88,61.27%,61.27,140.63ms,140.63,143.25ms,143.25,0.62ms,0.62,2018-11-10 12:18:14
"Christchurch New Zealand, Oceania",13735km,13735,200.06ms,200.06,68.67%,68.67,199.93ms,199.93,200.23ms,200.23,0.52ms,0.52,2018-11-10 12:18:14
"Cincinnati United States, North America",426km,426,36.10ms,36.1,11.83%,11.83,36.05ms,36.05,36.18ms,36.18,0.06ms,0.06,2018-11-10 12:18:14
"Cleveland United States, North America",685km,685,33.30ms,33.3,20.76%,20.76,32.99ms,32.99,37.71ms,37.71,0.85ms,0.85,2018-11-10 12:18:14
"Colorado Springs United States, North America",1997km,1997,51.16ms,51.16,39.16%,39.16,49.82ms,49.82,72.40ms,72.4,4.75ms,4.75,2018-11-10 12:18:14
"Columbus United States, North America",486km,486,26.09ms,26.09,18.69%,18.69,25.57ms,25.57,28.92ms,28.92,0.85ms,0.85,2018-11-10 12:18:14
"Copenhagen Denmark, Eurasia",7108km,7108,114.26ms,114.26,62.35%,62.35,114.20ms,114.2,114.39ms,114.39,0.46ms,0.46,2018-11-10 12:18:14
"Coventry United Kingdom, Eurasia",6386km,6386,92.62ms,92.62,69.41%,69.41,92.47ms,92.47,94.49ms,94.49,0.54ms,0.54,2018-11-10 12:18:14
"Cromwell United States, North America",1088km,1088,31.15ms,31.15,35.10%,35.1,30.84ms,30.84,34.20ms,34.2,0.68ms,0.68,2018-11-10 12:18:14
"Dagupan Philippines, Eurasia",13791km,13791,257.13ms,257.13,53.66%,53.66,256.42ms,256.42,263.29ms,263.29,1.58ms,1.58,2018-11-10 12:18:14
"Dallas United States, North America",1346km,1346,40.42ms,40.42,33.65%,33.65,38.98ms,38.98,79.89ms,79.89,7.33ms,7.33,2018-11-10 12:18:14
"Dar es Salaam Tanzania, Africa",13309km,13309,230.21ms,230.21,57.87%,57.87,229.92ms,229.92,232.53ms,232.53,0.77ms,0.77,2018-11-10 12:18:14
"Denver United States, North America",2021km,2021,53.65ms,53.65,38.13%,38.13,53.60ms,53.6,53.73ms,53.73,0.31ms,0.31,2018-11-10 12:18:14
"Des Moines United States, North America",1168km,1168,53.64ms,53.64,22.04%,22.04,53.59ms,53.59,53.73ms,53.73,0.17ms,0.17,2018-11-10 12:18:14
"Detroit United States, North America",749km,749,27.10ms,27.1,27.74%,27.74,27.03ms,27.03,27.20ms,27.2,0.20ms,0.2,2018-11-10 12:18:14
"Dhaka Bangladesh, Eurasia",13383km,13383,280.55ms,280.55,47.80%,47.8,273.81ms,273.81,290.50ms,290.5,6.74ms,6.74,2018-11-10 12:18:14
"Dronten Netherlands, Eurasia",6842km,6842,94.25ms,94.25,72.79%,72.79,94.05ms,94.05,95.50ms,95.5,0.48ms,0.48,2018-11-10 12:18:14
"Dubai United Arab Emirates, Eurasia",11960km,11960,203.79ms,203.79,58.92%,58.92,203.60ms,203.6,204.37ms,204.37,0.55ms,0.55,2018-11-10 12:18:14
"Dublin Ireland, Eurasia",6051km,6051,103.72ms,103.72,58.75%,58.75,99.14ms,99.14,176.34ms,176.34,15.28ms,15.28,2018-11-10 12:18:14
"Dusseldorf Germany, Eurasia",6965km,6965,103.55ms,103.55,67.62%,67.62,103.45ms,103.45,103.72ms,103.72,0.40ms,0.4,2018-11-10 12:18:14
"Edinburgh United Kingdom, Eurasia",6173km,6173,98.52ms,98.52,62.99%,62.99,98.43ms,98.43,98.65ms,98.65,0.33ms,0.33,2018-11-10 12:18:14
"Edmonton Canada, North America",3130km,3130,76.72ms,76.72,41.18%,41.18,76.55ms,76.55,77.01ms,77.01,0.33ms,0.33,2018-11-10 12:18:14
"Eindhoven Netherlands, Eurasia",6872km,6872,95.78ms,95.78,72.34%,72.34,95.67ms,95.67,95.86ms,95.86,0.12ms,0.12,2018-11-10 12:18:14
"Falkenstein Germany, Eurasia",7355km,7355,109.51ms,109.51,67.48%,67.48,109.43ms,109.43,109.58ms,109.58,0.27ms,0.27,2018-11-10 12:18:14
