City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16881km,16881,233.88ms,233.88,72.45%,72.45,233.15ms,233.15,238.19ms,238.19,1.04ms,1.04,2018-11-10 12:18:23
"Albany United States, North America",453km,453,38.93ms,38.93,11.92%,11.92,11.81ms,11.81,112.95ms,112.95,38.71ms,38.71,2018-11-10 12:18:23
"Alblasserdam Netherlands, Eurasia",6140km,6140,83.90ms,83.9,73.98%,73.98,83.41ms,83.41,85.34ms,85.34,0.59ms,0.59,2018-11-10 12:18:23
"Albuquerque United States, North America",2684km,2684,59.72ms,59.72,45.49%,45.49,54.72ms,54.72,103.67ms,103.67,11.59ms,11.59,2018-11-10 12:18:23
"Algiers Algeria, Africa",6746km,6746,125.41ms,125.41,53.97%,53.97,124.20ms,124.2,137.86ms,137.86,2.42ms,2.42,2018-11-10 12:18:23
"Amsterdam Netherlands, Eurasia",6126km,6126,86.95ms,86.95,71.23%,71.23,86.12ms,86.12,92.04ms,92.04,1.34ms,1.34,2018-11-10 12:18:23
"Anchorage United States, North America",5398km,5398,105.34ms,105.34,51.41%,51.41,104.34ms,104.34,112.84ms,112.84,1.61ms,1.61,2018-11-10 12:18:23
"Ankara Turkey, Eurasia",8672km,8672,131.43ms,131.43,66.20%,66.2,130.71ms,130.71,134.98ms,134.98,1.00ms,1.0,2018-11-10 12:18:23
"Antwerp Belgium, Eurasia",6151km,6151,94.13ms,94.13,65.44%,65.44,93.45ms,93.45,96.33ms,96.33,0.78ms,0.78,2018-11-10 12:18:23
"Arezzo Italy, Eurasia",7032km,7032,105.59ms,105.59,66.97%,66.97,104.94ms,104.94,107.28ms,107.28,0.64ms,0.64,2018-11-10 12:18:23
"Asheville United States, North America",665km,665,17.76ms,17.76,39.12%,39.12,17.21ms,17.21,19.65ms,19.65,0.65ms,0.65,2018-11-10 12:18:23
"Athens Greece, Eurasia",8201km,8201,134.12ms,134.12,61.20%,61.2,133.68ms,133.68,135.70ms,135.7,0.67ms,0.67,2018-11-10 12:18:23
"Atlanta United States, North America",927km,927,16.20ms,16.2,57.94%,57.94,15.23ms,15.23,21.48ms,21.48,1.61ms,1.61,2018-11-10 12:18:23
"Auckland New Zealand, Oceania",13935km,13935,278.21ms,278.21,50.13%,50.13,277.38ms,277.38,283.28ms,283.28,1.42ms,1.42,2018-11-10 12:18:23
"Austin United States, North America",2169km,2169,48.83ms,48.83,45.19%,45.19,39.38ms,39.38,87.35ms,87.35,10.21ms,10.21,2018-11-10 12:18:23
"Bangalore India, Eurasia",13623km,13623,207.13ms,207.13,65.81%,65.81,206.61ms,206.61,210.74ms,210.74,0.94ms,0.94,2018-11-10 12:18:24
"Bangkok Thailand, Eurasia",14114km,14114,230.47ms,230.47,61.37%,61.37,226.21ms,226.21,236.67ms,236.67,3.36ms,3.36,2018-11-10 12:18:24
