City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15768km,15768,358.96ms,358.96,44.04%,44.04,358.66ms,358.66,359.78ms,359.78,0.41ms,0.41,2018-11-10 12:20:06
"Albany United States, North America",6102km,6102,127.11ms,127.11,48.05%,48.05,90.85ms,90.85,223.14ms,223.14,43.41ms,43.41,2018-11-10 12:20:06
"Alblasserdam Netherlands, Eurasia",523km,523,17.66ms,17.66,30.76%,30.76,17.50ms,17.5,17.96ms,17.96,0.14ms,0.14,2018-11-10 12:20:06
"Albuquerque United States, North America",8739km,8739,158.81ms,158.81,55.31%,55.31,155.25ms,155.25,203.16ms,203.16,10.25ms,10.25,2018-11-10 12:20:06
"Algiers Algeria, Africa",1258km,1258,35.53ms,35.53,35.94%,35.94,34.70ms,34.7,36.15ms,36.15,0.38ms,0.38,2018-11-10 12:20:06
"Amsterdam Netherlands, Eurasia",566km,566,27.66ms,27.66,20.96%,20.96,27.39ms,27.39,27.95ms,27.95,0.22ms,0.22,2018-11-10 12:20:06
"Anchorage United States, North America",7754km,7754,175.74ms,175.74,44.31%,44.31,175.42ms,175.42,176.31ms,176.31,0.25ms,0.25,2018-11-10 12:20:06
"Ankara Turkey, Eurasia",2188km,2188,53.79ms,53.79,41.28%,41.28,53.50ms,53.5,59.05ms,59.05,1.01ms,1.01,2018-11-10 12:20:06
"Antwerp Belgium, Eurasia",467km,467,28.71ms,28.71,16.68%,16.68,28.56ms,28.56,29.34ms,29.34,0.21ms,0.21,2018-11-10 12:20:06
"Arezzo Italy, Eurasia",563km,563,16.08ms,16.08,35.19%,35.19,16.01ms,16.01,16.30ms,16.3,0.13ms,0.13,2018-11-10 12:20:06
"Asheville United States, North America",7190km,7190,118.24ms,118.24,60.93%,60.93,118.19ms,118.19,118.35ms,118.35,0.31ms,0.31,2018-11-10 12:20:06
"Athens Greece, Eurasia",1689km,1689,45.08ms,45.08,37.53%,37.53,44.80ms,44.8,46.05ms,46.05,0.37ms,0.37,2018-11-10 12:20:06
"Atlanta United States, North America",7452km,7452,113.75ms,113.75,65.95%,65.95,113.57ms,113.57,115.12ms,115.12,0.33ms,0.33,2018-11-10 12:20:06
"Auckland New Zealand, Oceania",18430km,18430,320.16ms,320.16,57.59%,57.59,319.96ms,319.96,322.08ms,322.08,0.83ms,0.83,2018-11-10 12:20:06
"Austin United States, North America",8612km,8612,141.29ms,141.29,61.08%,61.08,132.47ms,132.47,183.72ms,183.72,11.30ms,11.3,2018-11-10 12:20:06
"Baltimore United States, North America",6525km,6525,102.82ms,102.82,63.97%,63.97,102.44ms,102.44,105.89ms,105.89,0.79ms,0.79,2018-11-10 12:20:06
"Bangalore India, Eurasia",7453km,7453,152.01ms,152.01,49.03%,49.03,145.70ms,145.7,155.13ms,155.13,3.37ms,3.37,2018-11-10 12:20:06
"Bangkok Thailand, Eurasia",9100km,9100,277.54ms,277.54,32.85%,32.85,269.86ms,269.86,333.57ms,333.57,15.02ms,15.02,2018-11-10 12:20:06
"Barcelona Spain, Eurasia",809km,809,29.43ms,29.43,27.90%,27.9,29.04ms,29.04,33.99ms,33.99,0.89ms,0.89,2018-11-10 12:20:06
"Belfast United Kingdom, Eurasia",1223km,1223,38.64ms,38.64,32.18%,32.18,38.52ms,38.52,38.83ms,38.83,0.21ms,0.21,2018-11-10 12:20:06
"Bergen Norway, Eurasia",1433km,1433,49.31ms,49.31,29.24%,29.24,49.03ms,49.03,50.13ms,50.13,0.37ms,0.37,2018-11-10 12:20:06
"Berkeley Springs United States, North America",6610km,6610,120.60ms,120.6,55.08%,55.08,120.38ms,120.38,121.52ms,121.52,0.49ms,0.49,2018-11-10 12:20:06
"Bern Switzerland, Eurasia",68km,68,4.80ms,4.8,17.00%,17.0,4.64ms,4.64,5.34ms,5.34,0.15ms,0.15,2018-11-10 12:20:06
"Bogota Colombia, South America",9007km,9007,188.82ms,188.82,47.91%,47.91,188.45ms,188.45,193.02ms,193.02,0.93ms,0.93,2018-11-10 12:20:06
"Boston United States, North America",5946km,5946,89.68ms,89.68,66.81%,66.81,89.32ms,89.32,92.60ms,92.6,0.70ms,0.7,2018-11-10 12:20:06
"Brasilia Brazil, South America",8939km,8939,245.95ms,245.95,36.49%,36.49,244.96ms,244.96,250.19ms,250.19,1.36ms,1.36,2018-11-10 12:20:06
"Bratislava Slovakia, Eurasia",713km,713,30.20ms,30.2,23.77%,23.77,30.12ms,30.12,30.30ms,30.3,0.16ms,0.16,2018-11-10 12:20:06
"Brisbane Australia, Oceania",16290km,16290,313.51ms,313.51,52.04%,52.04,313.31ms,313.31,314.05ms,314.05,0.70ms,0.7,2018-11-10 12:20:06
"Bristol United Kingdom, Eurasia",852km,852,30.48ms,30.48,28.40%,28.4,30.29ms,30.29,31.18ms,31.18,0.27ms,0.27,2018-11-10 12:20:06
"Brno Czech Republic, Eurasia",690km,690,18.27ms,18.27,38.33%,38.33,18.16ms,18.16,18.45ms,18.45,0.11ms,0.11,2018-11-10 12:20:06
"Bruges Belgium, Eurasia",514km,514,28.07ms,28.07,18.36%,18.36,27.65ms,27.65,30.08ms,30.08,0.68ms,0.68,2018-11-10 12:20:06
"Brunswick United States, North America",5776km,5776,94.88ms,94.88,61.45%,61.45,94.69ms,94.69,95.06ms,95.06,0.24ms,0.24,2018-11-10 12:20:06
"Brussels Belgium, Eurasia",435km,435,22.99ms,22.99,19.77%,19.77,22.89ms,22.89,23.17ms,23.17,0.06ms,0.06,2018-11-10 12:20:06
"Bucharest Romania, Eurasia",1468km,1468,42.72ms,42.72,34.95%,34.95,42.61ms,42.61,43.01ms,43.01,0.16ms,0.16,2018-11-10 12:20:06
"Budapest Hungary, Eurasia",860km,860,23.20ms,23.2,37.39%,37.39,22.57ms,22.57,23.83ms,23.83,0.33ms,0.33,2018-11-10 12:20:06
"Buenos Aires Argentina, South America",11247km,11247,249.29ms,249.29,45.17%,45.17,243.95ms,243.95,270.21ms,270.21,6.60ms,6.6,2018-11-10 12:20:06
"Buffalo United States, North America",6430km,6430,120.38ms,120.38,53.58%,53.58,118.52ms,118.52,124.59ms,124.59,2.03ms,2.03,2018-11-10 12:20:06
"Bursa Turkey, Eurasia",1897km,1897,65.32ms,65.32,29.18%,29.18,64.86ms,64.86,73.10ms,73.1,1.48ms,1.48,2018-11-10 12:20:06
"Cairo Egypt, Africa",2804km,2804,58.14ms,58.14,48.34%,48.34,55.48ms,55.48,63.09ms,63.09,1.90ms,1.9,2018-11-10 12:20:06
"Calgary Canada, North America",7722km,7722,187.04ms,187.04,41.29%,41.29,185.75ms,185.75,192.30ms,192.3,1.84ms,1.84,2018-11-10 12:20:06
"Canberra Australia, Oceania",16579km,16579,318.63ms,318.63,52.14%,52.14,318.04ms,318.04,321.80ms,321.8,0.85ms,0.85,2018-11-10 12:20:06
"Cape Town South Africa, Africa",9133km,9133,168.53ms,168.53,54.36%,54.36,168.31ms,168.31,170.92ms,170.92,0.73ms,0.73,2018-11-10 12:20:06
"Caracas Venezuela, South America",7990km,7990,174.28ms,174.28,45.92%,45.92,173.35ms,173.35,182.36ms,182.36,1.71ms,1.71,2018-11-10 12:20:06
"Cardiff United Kingdom, Eurasia",890km,890,31.75ms,31.75,28.71%,28.71,31.40ms,31.4,33.30ms,33.3,0.47ms,0.47,2018-11-10 12:20:06
"Carlow Ireland, Eurasia",1185km,1185,40.13ms,40.13,29.62%,29.62,39.99ms,39.99,41.26ms,41.26,0.35ms,0.35,2018-11-10 12:20:06
"Charlotte United States, North America",7101km,7101,110.08ms,110.08,64.55%,64.55,110.00ms,110.0,110.22ms,110.22,0.38ms,0.38,2018-11-10 12:20:06
"Cheltenham United Kingdom, Eurasia",845km,845,30.57ms,30.57,28.17%,28.17,30.46ms,30.46,30.84ms,30.84,0.12ms,0.12,2018-11-10 12:20:06
"Chennai India, Eurasia",7645km,7645,151.69ms,151.69,50.63%,50.63,151.53ms,151.53,152.01ms,152.01,0.18ms,0.18,2018-11-10 12:20:06
"Chicago United States, North America",7060km,7060,124.64ms,124.64,56.94%,56.94,124.57ms,124.57,124.73ms,124.73,0.16ms,0.16,2018-11-10 12:20:06
"Chisinau Moldova, Eurasia",1605km,1605,48.45ms,48.45,33.44%,33.44,48.28ms,48.28,48.90ms,48.9,0.26ms,0.26,2018-11-10 12:20:06
"Christchurch New Zealand, Oceania",18771km,18771,340.04ms,340.04,55.21%,55.21,339.68ms,339.68,341.41ms,341.41,0.47ms,0.47,2018-11-10 12:20:06
"Cincinnati United States, North America",7062km,7062,122.06ms,122.06,57.89%,57.89,121.99ms,121.99,122.25ms,122.25,0.38ms,0.38,2018-11-10 12:20:06
"Cleveland United States, North America",6671km,6671,112.73ms,112.73,59.56%,59.56,112.50ms,112.5,114.08ms,114.08,0.44ms,0.44,2018-11-10 12:20:06
"Colorado Springs United States, North America",8314km,8314,160.32ms,160.32,51.96%,51.96,159.53ms,159.53,180.89ms,180.89,3.85ms,3.85,2018-11-10 12:20:06
"Columbus United States, North America",6901km,6901,115.80ms,115.8,60.01%,60.01,115.53ms,115.53,116.48ms,116.48,0.52ms,0.52,2018-11-10 12:20:06
"Copenhagen Denmark, Eurasia",965km,965,27.11ms,27.11,35.74%,35.74,27.02ms,27.02,27.25ms,27.25,0.21ms,0.21,2018-11-10 12:20:06
"Coventry United Kingdom, Eurasia",844km,844,25.11ms,25.11,33.76%,33.76,25.03ms,25.03,25.25ms,25.25,0.09ms,0.09,2018-11-10 12:20:06
"Cromwell United States, North America",6102km,6102,98.48ms,98.48,62.27%,62.27,98.20ms,98.2,99.25ms,99.25,0.45ms,0.45,2018-11-10 12:20:07
"Dagupan Philippines, Eurasia",10309km,10309,321.87ms,321.87,32.12%,32.12,321.32ms,321.32,325.37ms,325.37,0.99ms,0.99,2018-11-10 12:20:07
"Dallas United States, North America",8343km,8343,137.43ms,137.43,60.90%,60.9,137.29ms,137.29,138.39ms,138.39,0.45ms,0.45,2018-11-10 12:20:07
"Dar es Salaam Tanzania, Africa",6799km,6799,165.21ms,165.21,41.21%,41.21,164.96ms,164.96,165.88ms,165.88,0.42ms,0.42,2018-11-10 12:20:07
"Denver United States, North America",8250km,8250,140.18ms,140.18,58.93%,58.93,140.04ms,140.04,140.42ms,140.42,0.25ms,0.25,2018-11-10 12:20:07
"Des Moines United States, North America",7445km,7445,132.95ms,132.95,56.40%,56.4,132.75ms,132.75,133.20ms,133.2,0.14ms,0.14,2018-11-10 12:20:07
"Detroit United States, North America",6736km,6736,113.03ms,113.03,59.61%,59.61,112.88ms,112.88,113.26ms,113.26,0.21ms,0.21,2018-11-10 12:20:07
"Dhaka Bangladesh, Eurasia",7566km,7566,289.62ms,289.62,26.18%,26.18,288.82ms,288.82,297.70ms,297.7,1.70ms,1.7,2018-11-10 12:20:07
"Dronten Netherlands, Eurasia",567km,567,21.95ms,21.95,27.00%,27.0,21.55ms,21.55,23.37ms,23.37,0.57ms,0.57,2018-11-10 12:20:07
"Dubai United Arab Emirates, Eurasia",4862km,4862,138.59ms,138.59,35.23%,35.23,138.30ms,138.3,139.75ms,139.75,0.46ms,0.46,2018-11-10 12:20:07
"Dublin Ireland, Eurasia",1170km,1170,33.03ms,33.03,35.45%,35.45,30.88ms,30.88,62.68ms,62.68,7.72ms,7.72,2018-11-10 12:20:07
"Dusseldorf Germany, Eurasia",412km,412,20.61ms,20.61,20.60%,20.6,20.52ms,20.52,20.80ms,20.8,0.17ms,0.17,2018-11-10 12:20:07
"Edinburgh United Kingdom, Eurasia",1189km,1189,33.64ms,33.64,36.03%,36.03,33.47ms,33.47,33.83ms,33.83,0.19ms,0.19,2018-11-10 12:20:07
"Edmonton Canada, North America",7478km,7478,182.50ms,182.5,41.09%,41.09,182.38ms,182.38,182.63ms,182.63,0.59ms,0.59,2018-11-10 12:20:07
"Eindhoven Netherlands, Eurasia",458km,458,25.38ms,25.38,18.32%,18.32,25.27ms,25.27,25.72ms,25.72,0.21ms,0.21,2018-11-10 12:20:07
"Falkenstein Germany, Eurasia",475km,475,12.45ms,12.45,39.58%,39.58,12.34ms,12.34,13.23ms,13.23,0.19ms,0.19,2018-11-10 12:20:07
"Fez Morocco, Africa",1834km,1834,93.58ms,93.58,19.72%,19.72,70.21ms,70.21,161.27ms,161.27,27.88ms,27.88,2018-11-10 12:20:07
"Frankfurt Germany, Eurasia",295km,295,10.25ms,10.25,29.50%,29.5,10.16ms,10.16,10.35ms,10.35,0.12ms,0.12,2018-11-10 12:20:07
"Fremont United States, North America",9315km,9315,147.65ms,147.65,63.37%,63.37,147.26ms,147.26,149.57ms,149.57,0.58ms,0.58,2018-11-10 12:20:07
"Frosinone Italy, Eurasia",812km,812,46.94ms,46.94,17.65%,17.65,46.76ms,46.76,47.38ms,47.38,0.29ms,0.29,2018-11-10 12:20:07
"Gdansk Poland, Eurasia",1079km,1079,31.15ms,31.15,34.81%,34.81,30.99ms,30.99,31.31ms,31.31,0.16ms,0.16,2018-11-10 12:20:07
"Geneva Switzerland, Eurasia",188km,188,5.82ms,5.82,37.60%,37.6,4.79ms,4.79,22.47ms,22.47,3.21ms,3.21,2018-11-10 12:20:07
"Gothenburg Sweden, Eurasia",1165km,1165,36.74ms,36.74,32.36%,32.36,36.61ms,36.61,37.09ms,37.09,0.21ms,0.21,2018-11-10 12:20:07
"Green Bay United States, North America",6889km,6889,129.16ms,129.16,53.40%,53.4,129.09ms,129.09,129.34ms,129.34,0.11ms,0.11,2018-11-10 12:20:07
"Groningen Netherlands, Eurasia",633km,633,28.43ms,28.43,22.61%,22.61,28.28ms,28.28,29.05ms,29.05,0.18ms,0.18,2018-11-10 12:20:07
"Guadalajara Mexico, North America",9788km,9788,148.93ms,148.93,66.14%,66.14,148.84ms,148.84,149.03ms,149.03,0.54ms,0.54,2018-11-10 12:20:07
"Guatemala Guatemala, North America",9055km,9055,318.68ms,318.68,28.47%,28.47,274.67ms,274.67,389.08ms,389.08,33.67ms,33.67,2018-11-10 12:20:07
"Halifax Canada, North America",5301km,5301,113.41ms,113.41,46.91%,46.91,112.97ms,112.97,115.40ms,115.4,0.46ms,0.46,2018-11-10 12:20:07
"Hamburg Germany, Eurasia",689km,689,21.52ms,21.52,32.81%,32.81,21.41ms,21.41,21.86ms,21.86,0.15ms,0.15,2018-11-10 12:20:07
"Hangzhou China, Eurasia",9063km,9063,888.82ms,888.82,10.21%,10.21,884.11ms,884.11,894.79ms,894.79,4.58ms,4.58,2018-11-10 12:20:07
"Hanoi Vietnam, Eurasia",8889km,8889,348.09ms,348.09,25.54%,25.54,347.99ms,347.99,348.27ms,348.27,0.05ms,0.05,2018-11-10 12:20:07
"Helsinki Finland, Eurasia",1786km,1786,35.69ms,35.69,51.03%,51.03,33.65ms,33.65,69.77ms,69.77,6.54ms,6.54,2018-11-10 12:20:07
"Heredia Costa Rica, North America",9318km,9318,187.88ms,187.88,49.83%,49.83,187.53ms,187.53,188.95ms,188.95,0.42ms,0.42,2018-11-10 12:20:07
"Ho Chi Minh City Vietnam, Eurasia",9790km,9790,361.90ms,361.9,27.12%,27.12,360.51ms,360.51,378.01ms,378.01,4.40ms,4.4,2018-11-10 12:20:07
"Hong Kong Hong Kong, Eurasia",9359km,9359,275.20ms,275.2,34.03%,34.03,275.08ms,275.08,275.87ms,275.87,0.39ms,0.39,2018-11-10 12:20:07
"Honolulu United States, North America",12223km,12223,205.22ms,205.22,59.62%,59.62,204.90ms,204.9,205.50ms,205.5,0.27ms,0.27,2018-11-10 12:20:07
"Houston United States, North America",8498km,8498,130.64ms,130.64,65.37%,65.37,129.62ms,129.62,143.84ms,143.84,2.68ms,2.68,2018-11-10 12:20:07
"Hyderabad India, Eurasia",7168km,7168,156.24ms,156.24,45.95%,45.95,149.35ms,149.35,158.75ms,158.75,3.15ms,3.15,2018-11-10 12:20:07
"Indianapolis United States, North America",7119km,7119,123.00ms,123.0,57.88%,57.88,122.94ms,122.94,123.08ms,123.08,0.41ms,0.41,2018-11-10 12:20:07
"Indore India, Eurasia",6559km,6559,159.46ms,159.46,41.25%,41.25,153.26ms,153.26,163.39ms,163.39,3.51ms,3.51,2018-11-10 12:20:07
"Istanbul Turkey, Eurasia",1844km,1844,61.50ms,61.5,30.23%,30.23,58.88ms,58.88,102.80ms,102.8,8.11ms,8.11,2018-11-10 12:20:07
"Izmir Turkey, Eurasia",1879km,1879,57.57ms,57.57,32.96%,32.96,57.48ms,57.48,57.73ms,57.73,0.28ms,0.28,2018-11-10 12:20:07
