City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16527km,16527,303.26ms,303.26,54.54%,54.54,302.86ms,302.86,304.90ms,304.9,0.53ms,0.53,2018-11-10 12:19:25
"Albany United States, North America",4944km,4944,107.70ms,107.7,46.21%,46.21,74.06ms,74.06,208.52ms,208.52,43.04ms,43.04,2018-11-10 12:19:25
"Alblasserdam Netherlands, Eurasia",766km,766,20.02ms,20.02,38.30%,38.3,19.88ms,19.88,20.38ms,20.38,0.12ms,0.12,2018-11-10 12:19:25
"Albuquerque United States, North America",7519km,7519,128.51ms,128.51,58.74%,58.74,125.09ms,125.09,162.37ms,162.37,8.29ms,8.29,2018-11-10 12:19:25
"Algiers Algeria, Africa",2099km,2099,72.89ms,72.89,29.15%,29.15,72.16ms,72.16,73.73ms,73.73,0.47ms,0.47,2018-11-10 12:19:25
"Amsterdam Netherlands, Eurasia",748km,748,23.83ms,23.83,32.52%,32.52,23.63ms,23.63,24.45ms,24.45,0.23ms,0.23,2018-11-10 12:19:25
"Anchorage United States, North America",6755km,6755,162.65ms,162.65,41.70%,41.7,162.41ms,162.41,163.71ms,163.71,0.26ms,0.26,2018-11-10 12:19:25
"Ankara Turkey, Eurasia",3293km,3293,66.94ms,66.94,49.89%,49.89,66.78ms,66.78,68.32ms,68.32,0.37ms,0.37,2018-11-10 12:19:25
"Antwerp Belgium, Eurasia",787km,787,28.05ms,28.05,28.11%,28.11,27.94ms,27.94,28.20ms,28.2,0.16ms,0.16,2018-11-10 12:19:25
"Arezzo Italy, Eurasia",1783km,1783,44.26ms,44.26,40.52%,40.52,44.08ms,44.08,44.51ms,44.51,0.24ms,0.24,2018-11-10 12:19:25
"Asheville United States, North America",6040km,6040,113.03ms,113.03,53.45%,53.45,112.93ms,112.93,113.15ms,113.15,0.45ms,0.45,2018-11-10 12:19:25
"Athens Greece, Eurasia",2897km,2897,73.42ms,73.42,39.68%,39.68,73.19ms,73.19,74.12ms,74.12,0.27ms,0.27,2018-11-10 12:19:25
"Atlanta United States, North America",6305km,6305,106.69ms,106.69,59.48%,59.48,106.24ms,106.24,108.67ms,108.67,0.68ms,0.68,2018-11-10 12:19:25
"Auckland New Zealand, Oceania",18045km,18045,389.57ms,389.57,46.39%,46.39,389.38ms,389.38,390.62ms,390.62,0.84ms,0.84,2018-11-10 12:19:25
"Austin United States, North America",7424km,7424,136.66ms,136.66,54.59%,54.59,125.37ms,125.37,201.17ms,201.17,14.29ms,14.29,2018-11-10 12:19:25
