City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15665km,15665,384.85ms,384.85,40.79%,40.79,383.79ms,383.79,389.41ms,389.41,1.57ms,1.57,2018-11-10 12:20:27
"Albany United States, North America",5427km,5427,144.96ms,144.96,37.69%,37.69,114.78ms,114.78,225.53ms,225.53,40.06ms,40.06,2018-11-10 12:20:27
"Alblasserdam Netherlands, Eurasia",947km,947,39.33ms,39.33,24.28%,24.28,38.83ms,38.83,41.24ms,41.24,0.60ms,0.6,2018-11-10 12:20:27
"Albuquerque United States, North America",7739km,7739,166.62ms,166.62,46.62%,46.62,160.58ms,160.58,208.59ms,208.59,13.48ms,13.48,2018-11-10 12:20:27
"Algiers Algeria, Africa",2632km,2632,78.80ms,78.8,33.74%,33.74,77.91ms,77.91,85.26ms,85.26,1.38ms,1.38,2018-11-10 12:20:27
"Amsterdam Netherlands, Eurasia",899km,899,40.37ms,40.37,22.48%,22.48,39.81ms,39.81,49.50ms,49.5,1.72ms,1.72,2018-11-10 12:20:27
"Anchorage United States, North America",6330km,6330,201.64ms,201.64,31.49%,31.49,201.19ms,201.19,203.26ms,203.26,0.47ms,0.47,2018-11-10 12:20:27
"Ankara Turkey, Eurasia",2959km,2959,90.15ms,90.15,32.88%,32.88,89.94ms,89.94,90.79ms,90.79,0.44ms,0.44,2018-11-10 12:20:27
"Antwerp Belgium, Eurasia",1020km,1020,45.84ms,45.84,22.67%,22.67,45.40ms,45.4,51.00ms,51.0,1.11ms,1.11,2018-11-10 12:20:27
"Arezzo Italy, Eurasia",1930km,1930,51.30ms,51.3,37.84%,37.84,51.00ms,51.0,52.53ms,52.53,0.47ms,0.47,2018-11-10 12:20:27
"Asheville United States, North America",6519km,6519,135.94ms,135.94,48.29%,48.29,135.76ms,135.76,137.84ms,137.84,0.40ms,0.4,2018-11-10 12:20:27
"Athens Greece, Eurasia",2806km,2806,71.47ms,71.47,39.52%,39.52,71.04ms,71.04,74.27ms,74.27,0.71ms,0.71,2018-11-10 12:20:27
"Atlanta United States, North America",6784km,6784,132.94ms,132.94,51.39%,51.39,132.09ms,132.09,140.43ms,140.43,1.76ms,1.76,2018-11-10 12:20:27
"Auckland New Zealand, Oceania",17296km,17296,305.72ms,305.72,56.71%,56.71,305.12ms,305.12,313.08ms,313.08,1.61ms,1.61,2018-11-10 12:20:27
"Austin United States, North America",7791km,7791,161.24ms,161.24,48.39%,48.39,149.74ms,149.74,187.04ms,187.04,9.66ms,9.66,2018-11-10 12:20:27
"Baltimore United States, North America",5877km,5877,122.32ms,122.32,48.17%,48.17,121.46ms,121.46,130.97ms,130.97,1.89ms,1.89,2018-11-10 12:20:27
"Bangalore India, Eurasia",7786km,7786,191.84ms,191.84,40.76%,40.76,191.29ms,191.29,197.51ms,197.51,1.50ms,1.5,2018-11-10 12:20:27
"Bangkok Thailand, Eurasia",8963km,8963,302.91ms,302.91,29.68%,29.68,296.89ms,296.89,342.19ms,342.19,10.77ms,10.77,2018-11-10 12:20:27
"Barcelona Spain, Eurasia",2123km,2123,65.22ms,65.22,32.66%,32.66,64.66ms,64.66,71.25ms,71.25,1.18ms,1.18,2018-11-10 12:20:27
"Basel Switzerland, Eurasia",1433km,1433,50.17ms,50.17,28.66%,28.66,48.97ms,48.97,58.28ms,58.28,2.38ms,2.38,2018-11-10 12:20:27
"Belfast United Kingdom, Eurasia",929km,929,58.19ms,58.19,16.02%,16.02,57.66ms,57.66,62.54ms,62.54,0.99ms,0.99,2018-11-10 12:20:27
"Berkeley Springs United States, North America",5932km,5932,128.23ms,128.23,46.34%,46.34,127.85ms,127.85,129.41ms,129.41,0.61ms,0.61,2018-11-10 12:20:27
"Bern Switzerland, Eurasia",1500km,1500,48.10ms,48.1,31.25%,31.25,47.46ms,47.46,54.52ms,54.52,1.39ms,1.39,2018-11-10 12:20:27
"Bogota Colombia, South America",8985km,8985,207.68ms,207.68,43.41%,43.41,206.51ms,206.51,214.72ms,214.72,2.48ms,2.48,2018-11-10 12:20:27
"Boston United States, North America",5317km,5317,107.55ms,107.55,49.69%,49.69,107.02ms,107.02,115.15ms,115.15,1.49ms,1.49,2018-11-10 12:20:27
"Brasilia Brazil, South America",9703km,9703,262.79ms,262.79,37.03%,37.03,261.49ms,261.49,270.70ms,270.7,2.27ms,2.27,2018-11-10 12:20:27
"Bratislava Slovakia, Eurasia",1555km,1555,49.44ms,49.44,31.73%,31.73,49.32ms,49.32,50.77ms,50.77,0.38ms,0.38,2018-11-10 12:20:27
"Brisbane Australia, Oceania",15627km,15627,338.91ms,338.91,46.23%,46.23,338.28ms,338.28,342.22ms,342.22,1.03ms,1.03,2018-11-10 12:20:27
"Bristol United Kingdom, Eurasia",1107km,1107,48.28ms,48.28,23.06%,23.06,47.83ms,47.83,49.33ms,49.33,0.50ms,0.5,2018-11-10 12:20:27
"Brno Czech Republic, Eurasia",1434km,1434,50.63ms,50.63,28.68%,28.68,50.04ms,50.04,55.74ms,55.74,1.33ms,1.33,2018-11-10 12:20:27
"Bruges Belgium, Eurasia",1027km,1027,45.65ms,45.65,22.82%,22.82,45.15ms,45.15,46.97ms,46.97,0.53ms,0.53,2018-11-10 12:20:27
"Brunswick United States, North America",5128km,5128,122.95ms,122.95,42.03%,42.03,122.36ms,122.36,125.58ms,125.58,0.86ms,0.86,2018-11-10 12:20:27
"Brussels Belgium, Eurasia",1061km,1061,40.49ms,40.49,26.52%,26.52,40.18ms,40.18,42.52ms,42.52,0.56ms,0.56,2018-11-10 12:20:27
"Bucharest Romania, Eurasia",2246km,2246,58.34ms,58.34,38.72%,38.72,57.73ms,57.73,65.33ms,65.33,1.53ms,1.53,2018-11-10 12:20:27
"Budapest Hungary, Eurasia",1683km,1683,53.47ms,53.47,31.75%,31.75,52.87ms,52.87,54.11ms,54.11,0.48ms,0.48,2018-11-10 12:20:27
"Buenos Aires Argentina, South America",12043km,12043,270.80ms,270.8,44.60%,44.6,266.01ms,266.01,287.97ms,287.97,5.38ms,5.38,2018-11-10 12:20:27
"Buffalo United States, North America",5682km,5682,122.91ms,122.91,46.57%,46.57,120.74ms,120.74,131.63ms,131.63,2.94ms,2.94,2018-11-10 12:20:27
"Bursa Turkey, Eurasia",2775km,2775,92.50ms,92.5,30.16%,30.16,92.31ms,92.31,93.02ms,93.02,0.45ms,0.45,2018-11-10 12:20:27
"Cairo Egypt, Africa",3880km,3880,98.65ms,98.65,39.59%,39.59,94.53ms,94.53,109.59ms,109.59,3.24ms,3.24,2018-11-10 12:20:27
"Calgary Canada, North America",6499km,6499,196.12ms,196.12,33.16%,33.16,194.51ms,194.51,209.36ms,209.36,2.99ms,2.99,2018-11-10 12:20:27
"Canberra Australia, Oceania",16225km,16225,328.38ms,328.38,49.47%,49.47,327.25ms,327.25,334.85ms,334.85,1.64ms,1.64,2018-11-10 12:20:28
"Cape Town South Africa, Africa",10562km,10562,185.56ms,185.56,57.09%,57.09,185.18ms,185.18,190.12ms,190.12,1.05ms,1.05,2018-11-10 12:20:28
"Caracas Venezuela, South America",8026km,8026,191.22ms,191.22,42.02%,42.02,190.49ms,190.49,193.68ms,193.68,0.80ms,0.8,2018-11-10 12:20:28
