City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15261km,15261,337.74ms,337.74,45.28%,45.28,337.23ms,337.23,342.53ms,342.53,1.18ms,1.18,2018-11-10 12:20:36
"Albany United States, North America",4243km,4243,133.13ms,133.13,31.90%,31.9,97.25ms,97.25,202.81ms,202.81,40.32ms,40.32,2018-11-10 12:20:36
"Alblasserdam Netherlands, Eurasia",8835km,8835,165.33ms,165.33,53.55%,53.55,164.89ms,164.89,169.95ms,169.95,1.03ms,1.03,2018-11-10 12:20:36
"Albuquerque United States, North America",4762km,4762,143.06ms,143.06,33.30%,33.3,138.33ms,138.33,186.78ms,186.78,10.80ms,10.8,2018-11-10 12:20:36
"Algiers Algeria, Africa",8558km,8558,203.94ms,203.94,42.16%,42.16,203.07ms,203.07,209.42ms,209.42,1.18ms,1.18,2018-11-10 12:20:36
"Amsterdam Netherlands, Eurasia",8843km,8843,200.18ms,200.18,44.22%,44.22,199.34ms,199.34,209.92ms,209.92,2.10ms,2.1,2018-11-10 12:20:36
"Anchorage United States, North America",8806km,8806,167.55ms,167.55,52.73%,52.73,166.48ms,166.48,177.21ms,177.21,2.30ms,2.3,2018-11-10 12:20:36
"Ankara Turkey, Eurasia",11107km,11107,222.43ms,222.43,50.03%,50.03,221.29ms,221.29,230.91ms,230.91,2.27ms,2.27,2018-11-10 12:20:36
"Antwerp Belgium, Eurasia",8810km,8810,177.30ms,177.3,49.77%,49.77,176.94ms,176.94,180.74ms,180.74,0.75ms,0.75,2018-11-10 12:20:36
"Arezzo Italy, Eurasia",9331km,9331,199.72ms,199.72,46.89%,46.89,198.89ms,198.89,208.28ms,208.28,2.00ms,2.0,2018-11-10 12:20:36
"Asheville United States, North America",3556km,3556,82.76ms,82.76,43.37%,43.37,82.22ms,82.22,86.87ms,86.87,1.14ms,1.14,2018-11-10 12:20:36
"Athens Greece, Eurasia",10375km,10375,219.06ms,219.06,47.37%,47.37,218.71ms,218.71,219.61ms,219.61,0.45ms,0.45,2018-11-10 12:20:36
"Atlanta United States, North America",3413km,3413,76.23ms,76.23,44.91%,44.91,75.60ms,75.6,86.83ms,86.83,2.04ms,2.04,2018-11-10 12:20:36
"Auckland New Zealand, Oceania",12196km,12196,283.22ms,283.22,43.10%,43.1,282.99ms,282.99,283.45ms,283.45,0.68ms,0.68,2018-11-10 12:20:36
"Austin United States, North America",3782km,3782,102.80ms,102.8,37.08%,37.08,93.50ms,93.5,130.36ms,130.36,10.59ms,10.59,2018-11-10 12:20:36
"Baltimore United States, North America",3866km,3866,91.73ms,91.73,42.48%,42.48,91.16ms,91.16,96.58ms,96.58,0.98ms,0.98,2018-11-10 12:20:36
"Bangalore India, Eurasia",16330km,16330,295.82ms,295.82,55.36%,55.36,295.49ms,295.49,297.92ms,297.92,0.83ms,0.83,2018-11-10 12:20:36
"Bangkok Thailand, Eurasia",17893km,17893,321.95ms,321.95,55.74%,55.74,317.06ms,317.06,344.63ms,344.63,7.58ms,7.58,2018-11-10 12:20:36
"Barcelona Spain, Eurasia",8526km,8526,186.99ms,186.99,45.84%,45.84,185.43ms,185.43,195.04ms,195.04,2.79ms,2.79,2018-11-10 12:20:36
"Basel Switzerland, Eurasia",9007km,9007,188.64ms,188.64,47.91%,47.91,188.46ms,188.46,189.60ms,189.6,0.53ms,0.53,2018-11-10 12:20:36
"Belfast United Kingdom, Eurasia",8199km,8199,189.76ms,189.76,43.38%,43.38,189.08ms,189.08,198.91ms,198.91,2.00ms,2.0,2018-11-10 12:20:36
"Bergen Norway, Eurasia",8985km,8985,206.85ms,206.85,43.62%,43.62,206.51ms,206.51,207.47ms,207.47,0.67ms,0.67,2018-11-10 12:20:36
"Berkeley Springs United States, North America",3918km,3918,94.99ms,94.99,41.68%,41.68,94.73ms,94.73,95.28ms,95.28,0.39ms,0.39,2018-11-10 12:20:36
"Bern Switzerland, Eurasia",8993km,8993,178.25ms,178.25,50.52%,50.52,178.00ms,178.0,178.49ms,178.49,0.51ms,0.51,2018-11-10 12:20:36
"Boston United States, North America",4210km,4210,100.02ms,100.02,42.10%,42.1,99.48ms,99.48,108.71ms,108.71,1.62ms,1.62,2018-11-10 12:20:36
"Brasilia Brazil, South America",3668km,3668,182.29ms,182.29,20.15%,20.15,180.23ms,180.23,191.37ms,191.37,2.98ms,2.98,2018-11-10 12:20:36
"Bratislava Slovakia, Eurasia",9717km,9717,201.89ms,201.89,48.34%,48.34,201.71ms,201.71,202.12ms,202.12,0.56ms,0.56,2018-11-10 12:20:36
"Brisbane Australia, Oceania",14427km,14427,290.13ms,290.13,49.75%,49.75,289.08ms,289.08,299.50ms,299.5,2.56ms,2.56,2018-11-10 12:20:36
"Bristol United Kingdom, Eurasia",8334km,8334,168.98ms,168.98,49.61%,49.61,168.54ms,168.54,171.31ms,171.31,0.52ms,0.52,2018-11-10 12:20:36
