City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17389km,17389,242.48ms,242.48,71.86%,71.86,242.18ms,242.18,243.57ms,243.57,0.56ms,0.56,2018-11-10 12:18:32
"Albany United States, North America",333km,333,42.53ms,42.53,7.93%,7.93,10.14ms,10.14,131.02ms,131.02,40.54ms,40.54,2018-11-10 12:18:32
"Alblasserdam Netherlands, Eurasia",5386km,5386,80.52ms,80.52,67.33%,67.33,80.25ms,80.25,81.72ms,81.72,0.27ms,0.27,2018-11-10 12:18:32
"Albuquerque United States, North America",3263km,3263,63.93ms,63.93,51.79%,51.79,61.07ms,61.07,98.87ms,98.87,7.18ms,7.18,2018-11-10 12:18:32
"Algiers Algeria, Africa",6039km,6039,107.47ms,107.47,56.44%,56.44,106.72ms,106.72,117.37ms,117.37,1.90ms,1.9,2018-11-10 12:18:32
"Amsterdam Netherlands, Eurasia",5371km,5371,88.14ms,88.14,61.03%,61.03,87.74ms,87.74,91.87ms,91.87,0.80ms,0.8,2018-11-10 12:18:32
"Anchorage United States, North America",5344km,5344,101.54ms,101.54,52.91%,52.91,101.26ms,101.26,102.46ms,102.46,0.31ms,0.31,2018-11-10 12:18:32
"Ankara Turkey, Eurasia",7917km,7917,130.49ms,130.49,60.90%,60.9,130.10ms,130.1,133.99ms,133.99,0.72ms,0.72,2018-11-10 12:18:32
"Antwerp Belgium, Eurasia",5397km,5397,92.84ms,92.84,58.66%,58.66,92.69ms,92.69,93.01ms,93.01,0.17ms,0.17,2018-11-10 12:18:32
"Arezzo Italy, Eurasia",6288km,6288,105.39ms,105.39,59.89%,59.89,105.24ms,105.24,105.59ms,105.59,0.21ms,0.21,2018-11-10 12:18:32
"Asheville United States, North America",1416km,1416,29.14ms,29.14,48.83%,48.83,29.03ms,29.03,29.29ms,29.29,0.13ms,0.13,2018-11-10 12:18:33
"Athens Greece, Eurasia",7455km,7455,125.00ms,125.0,60.12%,60.12,124.64ms,124.64,127.32ms,127.32,0.72ms,0.72,2018-11-10 12:18:33
"Atlanta United States, North America",1680km,1680,29.84ms,29.84,57.93%,57.93,29.38ms,29.38,32.04ms,32.04,0.72ms,0.72,2018-11-10 12:18:33
"Auckland New Zealand, Oceania",14622km,14622,251.93ms,251.93,58.25%,58.25,251.66ms,251.66,252.74ms,252.74,0.29ms,0.29,2018-11-10 12:18:33
"Austin United States, North America",2875km,2875,53.63ms,53.63,54.25%,54.25,45.99ms,45.99,97.40ms,97.4,10.55ms,10.55,2018-11-10 12:18:33
"Baltimore United States, North America",755km,755,17.76ms,17.76,44.41%,44.41,17.46ms,17.46,18.10ms,18.1,0.18ms,0.18,2018-11-10 12:18:33
