City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14909km,14909,339.77ms,339.77,43.98%,43.98,338.61ms,338.61,344.77ms,344.77,1.32ms,1.32,2018-11-10 12:20:08
"Albany United States, North America",6847km,6847,135.79ms,135.79,50.72%,50.72,102.36ms,102.36,202.51ms,202.51,39.07ms,39.07,2018-11-10 12:20:08
"Alblasserdam Netherlands, Eurasia",1141km,1141,26.61ms,26.61,43.88%,43.88,25.96ms,25.96,27.22ms,27.22,0.32ms,0.32,2018-11-10 12:20:08
"Albuquerque United States, North America",9360km,9360,160.62ms,160.62,58.50%,58.5,154.96ms,154.96,207.69ms,207.69,12.90ms,12.9,2018-11-10 12:20:08
"Algiers Algeria, Africa",1773km,1773,81.43ms,81.43,21.89%,21.89,80.08ms,80.08,101.28ms,101.28,3.80ms,3.8,2018-11-10 12:20:08
"Amsterdam Netherlands, Eurasia",1155km,1155,25.89ms,25.89,46.20%,46.2,25.40ms,25.4,26.83ms,26.83,0.32ms,0.32,2018-11-10 12:20:08
"Anchorage United States, North America",7887km,7887,189.67ms,189.67,41.73%,41.73,188.96ms,188.96,191.15ms,191.15,0.65ms,0.65,2018-11-10 12:20:08
"Ankara Turkey, Eurasia",1390km,1390,65.68ms,65.68,21.38%,21.38,64.98ms,64.98,66.26ms,66.26,0.42ms,0.42,2018-11-10 12:20:08
"Antwerp Belgium, Eurasia",1136km,1136,31.81ms,31.81,36.65%,36.65,31.29ms,31.29,32.26ms,32.26,0.34ms,0.34,2018-11-10 12:20:08
"Arezzo Italy, Eurasia",716km,716,35.76ms,35.76,20.46%,20.46,35.14ms,35.14,36.09ms,36.09,0.27ms,0.27,2018-11-10 12:20:08
"Asheville United States, North America",7943km,7943,120.06ms,120.06,66.19%,66.19,119.38ms,119.38,123.08ms,123.08,0.68ms,0.68,2018-11-10 12:20:08
"Athens Greece, Eurasia",1126km,1126,55.93ms,55.93,20.47%,20.47,55.24ms,55.24,58.26ms,58.26,0.61ms,0.61,2018-11-10 12:20:08
"Atlanta United States, North America",8208km,8208,120.85ms,120.85,68.40%,68.4,120.27ms,120.27,121.42ms,121.42,0.49ms,0.49,2018-11-10 12:20:08
