City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",12087km,12087,399.12ms,399.12,30.29%,30.29,394.87ms,394.87,407.88ms,407.88,3.11ms,3.11,2018-11-10 12:22:06
"Albany United States, North America",8744km,8744,198.78ms,198.78,44.16%,44.16,152.80ms,152.8,297.28ms,297.28,44.84ms,44.84,2018-11-10 12:22:06
"Alblasserdam Netherlands, Eurasia",11399km,11399,226.08ms,226.08,50.44%,50.44,224.59ms,224.59,229.77ms,229.77,1.42ms,1.42,2018-11-10 12:22:06
"Albuquerque United States, North America",9231km,9231,196.37ms,196.37,47.10%,47.1,188.80ms,188.8,238.88ms,238.88,13.78ms,13.78,2018-11-10 12:22:06
"Algiers Algeria, Africa",10166km,10166,253.97ms,253.97,40.18%,40.18,252.51ms,252.51,262.14ms,262.14,2.20ms,2.2,2018-11-10 12:22:06
"Amsterdam Netherlands, Eurasia",11433km,11433,232.55ms,232.55,49.28%,49.28,229.25ms,229.25,239.35ms,239.35,2.77ms,2.77,2018-11-10 12:22:06
"Anchorage United States, North America",13407km,13407,246.89ms,246.89,54.50%,54.5,244.87ms,244.87,250.88ms,250.88,1.55ms,1.55,2018-11-10 12:22:06
"Ankara Turkey, Eurasia",12482km,12482,274.64ms,274.64,45.55%,45.55,270.34ms,270.34,286.14ms,286.14,4.02ms,4.02,2018-11-10 12:22:06
"Antwerp Belgium, Eurasia",11338km,11338,237.44ms,237.44,47.84%,47.84,234.54ms,234.54,245.31ms,245.31,3.03ms,3.03,2018-11-10 12:22:06
"Arezzo Italy, Eurasia",11221km,11221,252.97ms,252.97,44.53%,44.53,250.37ms,250.37,257.57ms,257.57,2.11ms,2.11,2018-11-10 12:22:06
"Asheville United States, North America",8201km,8201,160.52ms,160.52,51.26%,51.26,156.36ms,156.36,169.52ms,169.52,3.67ms,3.67,2018-11-10 12:22:06
"Athens Greece, Eurasia",11687km,11687,277.10ms,277.1,42.19%,42.19,274.69ms,274.69,289.16ms,289.16,2.95ms,2.95,2018-11-10 12:22:06
"Atlanta United States, North America",8071km,8071,152.82ms,152.82,53.10%,53.1,149.43ms,149.43,160.05ms,160.05,3.14ms,3.14,2018-11-10 12:22:06
"Auckland New Zealand, Oceania",10359km,10359,433.24ms,433.24,23.92%,23.92,430.44ms,430.44,439.14ms,439.14,2.55ms,2.55,2018-11-10 12:22:06
"Austin United States, North America",8310km,8310,183.28ms,183.28,45.41%,45.41,171.12ms,171.12,227.55ms,227.55,12.08ms,12.08,2018-11-10 12:22:06
"Baltimore United States, North America",8429km,8429,157.40ms,157.4,53.69%,53.69,151.87ms,151.87,175.03ms,175.03,5.52ms,5.52,2018-11-10 12:22:06
"Bangalore India, Eurasia",14989km,14989,406.40ms,406.4,36.92%,36.92,403.53ms,403.53,412.18ms,412.18,2.65ms,2.65,2018-11-10 12:22:06
"Bangkok Thailand, Eurasia",16876km,16876,412.72ms,412.72,40.96%,40.96,406.95ms,406.95,441.45ms,441.45,7.77ms,7.77,2018-11-10 12:22:06
"Barcelona Spain, Eurasia",10468km,10468,257.09ms,257.09,40.73%,40.73,253.89ms,253.89,262.35ms,262.35,2.48ms,2.48,2018-11-10 12:22:06
"Basel Switzerland, Eurasia",11247km,11247,248.02ms,248.02,45.35%,45.35,244.21ms,244.21,255.36ms,255.36,3.26ms,3.26,2018-11-10 12:22:06
"Belfast United Kingdom, Eurasia",11113km,11113,240.07ms,240.07,46.30%,46.3,237.69ms,237.69,245.14ms,245.14,2.23ms,2.23,2018-11-10 12:22:06
"Bergen Norway, Eurasia",12043km,12043,270.94ms,270.94,44.60%,44.6,266.04ms,266.04,284.20ms,284.2,5.13ms,5.13,2018-11-10 12:22:06
"Berkeley Springs United States, North America",8504km,8504,163.29ms,163.29,52.17%,52.17,161.06ms,161.06,168.21ms,168.21,1.90ms,1.9,2018-11-10 12:22:06
"Bern Switzerland, Eurasia",11195km,11195,248.25ms,248.25,45.14%,45.14,246.31ms,246.31,252.12ms,252.12,1.49ms,1.49,2018-11-10 12:22:06
"Bogota Colombia, South America",4660km,4660,201.38ms,201.38,23.18%,23.18,198.61ms,198.61,210.12ms,210.12,3.01ms,3.01,2018-11-10 12:22:06
"Boston United States, North America",8657km,8657,157.54ms,157.54,55.14%,55.14,155.10ms,155.1,170.55ms,170.55,3.00ms,3.0,2018-11-10 12:22:06
"Brasilia Brazil, South America",2340km,2340,270.44ms,270.44,8.67%,8.67,266.23ms,266.23,289.80ms,289.8,5.04ms,5.04,2018-11-10 12:22:06
"Bratislava Slovakia, Eurasia",11854km,11854,254.88ms,254.88,46.67%,46.67,252.46ms,252.46,260.14ms,260.14,2.13ms,2.13,2018-11-10 12:22:06
"Brisbane Australia, Oceania",12366km,12366,414.89ms,414.89,29.87%,29.87,411.65ms,411.65,424.08ms,424.08,3.48ms,3.48,2018-11-10 12:22:06
"Bristol United Kingdom, Eurasia",11007km,11007,225.32ms,225.32,48.92%,48.92,223.14ms,223.14,232.54ms,232.54,2.25ms,2.25,2018-11-10 12:22:06
"Brno Czech Republic, Eurasia",11889km,11889,254.91ms,254.91,46.81%,46.81,253.00ms,253.0,261.44ms,261.44,2.34ms,2.34,2018-11-10 12:22:06
"Bruges Belgium, Eurasia",11277km,11277,222.46ms,222.46,50.80%,50.8,220.51ms,220.51,230.60ms,230.6,2.17ms,2.17,2018-11-10 12:22:06
"Brunswick United States, North America",8811km,8811,162.75ms,162.75,54.39%,54.39,159.86ms,159.86,170.78ms,170.78,2.69ms,2.69,2018-11-10 12:22:06
"Brussels Belgium, Eurasia",11308km,11308,228.64ms,228.64,49.60%,49.6,226.59ms,226.59,232.75ms,232.75,1.79ms,1.79,2018-11-10 12:22:06
"Bucharest Romania, Eurasia",12227km,12227,269.87ms,269.87,45.45%,45.45,265.46ms,265.46,286.21ms,286.21,5.53ms,5.53,2018-11-10 12:22:06
"Budapest Hungary, Eurasia",11936km,11936,254.48ms,254.48,46.99%,46.99,249.75ms,249.75,262.27ms,262.27,3.70ms,3.7,2018-11-10 12:22:06
"Buffalo United States, North America",8867km,8867,163.80ms,163.8,54.40%,54.4,159.73ms,159.73,177.30ms,177.3,3.65ms,3.65,2018-11-10 12:22:06
"Bursa Turkey, Eurasia",12209km,12209,288.00ms,288.0,42.54%,42.54,282.51ms,282.51,329.72ms,329.72,12.25ms,12.25,2018-11-10 12:22:06
"Cairo Egypt, Africa",11816km,11816,290.68ms,290.68,40.74%,40.74,275.56ms,275.56,320.62ms,320.62,10.39ms,10.39,2018-11-10 12:22:06
"Calgary Canada, North America",10969km,10969,221.19ms,221.19,49.63%,49.63,212.74ms,212.74,254.95ms,254.95,9.80ms,9.8,2018-11-10 12:22:06
"Canberra Australia, Oceania",11736km,11736,381.51ms,381.51,30.80%,30.8,377.55ms,377.55,389.40ms,389.4,3.52ms,3.52,2018-11-10 12:22:06
"Cape Town South Africa, Africa",6869km,6869,368.96ms,368.96,18.67%,18.67,364.69ms,364.69,400.49ms,400.49,7.01ms,7.01,2018-11-10 12:22:06
"Caracas Venezuela, South America",5094km,5094,191.69ms,191.69,26.67%,26.67,189.36ms,189.36,211.13ms,211.13,4.08ms,4.08,2018-11-10 12:22:06
"Cardiff United Kingdom, Eurasia",10981km,10981,232.29ms,232.29,47.33%,47.33,227.56ms,227.56,256.44ms,256.44,6.21ms,6.21,2018-11-10 12:22:06
"Carlow Ireland, Eurasia",10922km,10922,249.74ms,249.74,43.86%,43.86,245.72ms,245.72,261.93ms,261.93,4.40ms,4.4,2018-11-10 12:22:06
"Charlotte United States, North America",8110km,8110,159.96ms,159.96,51.01%,51.01,157.34ms,157.34,170.63ms,170.63,3.33ms,3.33,2018-11-10 12:22:06
"Cheltenham United Kingdom, Eurasia",11067km,11067,228.18ms,228.18,48.54%,48.54,225.12ms,225.12,252.93ms,252.93,6.11ms,6.11,2018-11-10 12:22:06
"Chennai India, Eurasia",15229km,15229,380.59ms,380.59,40.08%,40.08,378.62ms,378.62,388.48ms,388.48,2.41ms,2.41,2018-11-10 12:22:06
"Chicago United States, North America",9012km,9012,170.10ms,170.1,53.01%,53.01,167.00ms,167.0,192.06ms,192.06,5.39ms,5.39,2018-11-10 12:22:06
