City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14103km,14103,255.13ms,255.13,55.31%,55.31,251.46ms,251.46,267.56ms,267.56,4.42ms,4.42,2018-11-10 12:20:10
"Albany United States, North America",3155km,3155,115.35ms,115.35,27.43%,27.43,72.46ms,72.46,210.48ms,210.48,43.33ms,43.33,2018-11-10 12:20:10
"Alblasserdam Netherlands, Eurasia",7211km,7211,148.74ms,148.74,48.72%,48.72,147.83ms,147.83,153.93ms,153.93,1.49ms,1.49,2018-11-10 12:20:10
"Albuquerque United States, North America",1871km,1871,84.42ms,84.42,22.27%,22.27,79.22ms,79.22,120.10ms,120.1,10.23ms,10.23,2018-11-10 12:20:10
"Algiers Algeria, Africa",8493km,8493,200.11ms,200.11,42.47%,42.47,199.07ms,199.07,203.56ms,203.56,1.13ms,1.13,2018-11-10 12:20:10
"Amsterdam Netherlands, Eurasia",7175km,7175,159.40ms,159.4,45.13%,45.13,158.72ms,158.72,162.96ms,162.96,0.92ms,0.92,2018-11-10 12:20:10
"Anchorage United States, North America",2449km,2449,96.92ms,96.92,25.51%,25.51,95.91ms,95.91,99.34ms,99.34,0.68ms,0.68,2018-11-10 12:20:10
"Ankara Turkey, Eurasia",9402km,9402,215.20ms,215.2,43.73%,43.73,214.16ms,214.16,223.47ms,223.47,1.81ms,1.81,2018-11-10 12:20:10
"Antwerp Belgium, Eurasia",7258km,7258,169.45ms,169.45,42.95%,42.95,167.44ms,167.44,180.56ms,180.56,3.13ms,3.13,2018-11-10 12:20:10
"Arezzo Italy, Eurasia",8285km,8285,181.43ms,181.43,45.77%,45.77,179.71ms,179.71,186.32ms,186.32,1.81ms,1.81,2018-11-10 12:20:10
"Asheville United States, North America",3038km,3038,84.39ms,84.39,36.17%,36.17,82.73ms,82.73,102.24ms,102.24,3.61ms,3.61,2018-11-10 12:20:10
"Athens Greece, Eurasia",9299km,9299,215.67ms,215.67,43.25%,43.25,211.46ms,211.46,249.27ms,249.27,8.33ms,8.33,2018-11-10 12:20:10
"Atlanta United States, North America",3070km,3070,73.75ms,73.75,42.05%,42.05,72.00ms,72.0,88.12ms,88.12,3.20ms,3.2,2018-11-10 12:20:10
"Auckland New Zealand, Oceania",11979km,11979,200.88ms,200.88,59.90%,59.9,199.35ms,199.35,210.60ms,210.6,2.87ms,2.87,2018-11-10 12:20:10
"Austin United States, North America",2678km,2678,84.97ms,84.97,31.88%,31.88,72.46ms,72.46,119.73ms,119.73,12.42ms,12.42,2018-11-10 12:20:10
"Baltimore United States, North America",3171km,3171,87.21ms,87.21,36.45%,36.45,82.65ms,82.65,104.31ms,104.31,5.87ms,5.87,2018-11-10 12:20:10
"Bangalore India, Eurasia",12810km,12810,263.53ms,263.53,48.71%,48.71,261.31ms,261.31,278.61ms,278.61,3.67ms,3.67,2018-11-10 12:20:10
"Bangkok Thailand, Eurasia",12073km,12073,308.96ms,308.96,39.20%,39.2,297.36ms,297.36,348.43ms,348.43,13.57ms,13.57,2018-11-10 12:20:10
"Barcelona Spain, Eurasia",8030km,8030,177.99ms,177.99,45.37%,45.37,176.70ms,176.7,187.91ms,187.91,2.61ms,2.61,2018-11-10 12:20:10
"Basel Switzerland, Eurasia",7722km,7722,187.52ms,187.52,41.29%,41.29,185.74ms,185.74,199.75ms,199.75,3.45ms,3.45,2018-11-10 12:20:10
"Belfast United Kingdom, Eurasia",6521km,6521,161.04ms,161.04,40.50%,40.5,160.23ms,160.23,166.92ms,166.92,1.20ms,1.2,2018-11-10 12:20:10
"Bergen Norway, Eurasia",6499km,6499,196.38ms,196.38,33.16%,33.16,194.55ms,194.55,205.25ms,205.25,2.45ms,2.45,2018-11-10 12:20:10
"Berkeley Springs United States, North America",3037km,3037,89.79ms,89.79,34.12%,34.12,88.76ms,88.76,99.36ms,99.36,1.94ms,1.94,2018-11-10 12:20:10
"Bern Switzerland, Eurasia",7772km,7772,171.75ms,171.75,45.45%,45.45,170.89ms,170.89,177.63ms,177.63,1.29ms,1.29,2018-11-10 12:20:10
"Bogota Colombia, South America",6356km,6356,146.93ms,146.93,43.53%,43.53,145.67ms,145.67,154.98ms,154.98,2.33ms,2.33,2018-11-10 12:20:10
"Boston United States, North America",3366km,3366,87.77ms,87.77,38.69%,38.69,86.62ms,86.62,95.97ms,95.97,2.01ms,2.01,2018-11-10 12:20:10
"Brasilia Brazil, South America",9802km,9802,202.54ms,202.54,48.52%,48.52,200.88ms,200.88,211.64ms,211.64,2.76ms,2.76,2018-11-10 12:20:10
"Bratislava Slovakia, Eurasia",8048km,8048,174.26ms,174.26,46.25%,46.25,173.14ms,173.14,182.89ms,182.89,1.90ms,1.9,2018-11-10 12:20:10
"Brisbane Australia, Oceania",12542km,12542,239.01ms,239.01,52.48%,52.48,238.21ms,238.21,246.55ms,246.55,1.59ms,1.59,2018-11-10 12:20:10
"Bristol United Kingdom, Eurasia",6929km,6929,154.91ms,154.91,44.99%,44.99,153.99ms,153.99,164.58ms,164.58,2.05ms,2.05,2018-11-10 12:20:10
"Brno Czech Republic, Eurasia",7928km,7928,167.61ms,167.61,47.47%,47.47,165.80ms,165.8,178.03ms,178.03,2.96ms,2.96,2018-11-10 12:20:10
"Bruges Belgium, Eurasia",7208km,7208,152.31ms,152.31,47.42%,47.42,148.35ms,148.35,173.24ms,173.24,5.83ms,5.83,2018-11-10 12:20:10
"Brunswick United States, North America",3355km,3355,80.36ms,80.36,41.94%,41.94,79.18ms,79.18,87.88ms,87.88,1.61ms,1.61,2018-11-10 12:20:10
"Brussels Belgium, Eurasia",7288km,7288,152.05ms,152.05,47.95%,47.95,151.61ms,151.61,153.49ms,153.49,0.57ms,0.57,2018-11-10 12:20:10
"Bucharest Romania, Eurasia",8730km,8730,195.96ms,195.96,44.77%,44.77,195.30ms,195.3,199.36ms,199.36,0.94ms,0.94,2018-11-10 12:20:10
"Budapest Hungary, Eurasia",8181km,8181,173.38ms,173.38,47.29%,47.29,172.36ms,172.36,175.18ms,175.18,0.77ms,0.77,2018-11-10 12:20:10
"Buenos Aires Argentina, South America",10969km,10969,217.62ms,217.62,50.55%,50.55,212.71ms,212.71,233.35ms,233.35,5.39ms,5.39,2018-11-10 12:20:10
"Buffalo United States, North America",2789km,2789,84.53ms,84.53,33.20%,33.2,81.85ms,81.85,98.09ms,98.09,4.27ms,4.27,2018-11-10 12:20:10
"Bursa Turkey, Eurasia",9258km,9258,231.84ms,231.84,40.08%,40.08,231.00ms,231.0,236.61ms,236.61,1.48ms,1.48,2018-11-10 12:20:10
"Cairo Egypt, Africa",10378km,10378,203.52ms,203.52,51.12%,51.12,198.71ms,198.71,221.14ms,221.14,5.18ms,5.18,2018-11-10 12:20:10
"Canberra Australia, Oceania",13423km,13423,228.05ms,228.05,58.87%,58.87,226.46ms,226.46,242.73ms,242.73,3.47ms,3.47,2018-11-10 12:20:10
"Cape Town South Africa, Africa",15781km,15781,295.11ms,295.11,53.49%,53.49,293.11ms,293.11,303.86ms,303.86,2.65ms,2.65,2018-11-10 12:20:10
