City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",959km,959,22.71ms,22.71,43.59%,43.59,22.23ms,22.23,27.51ms,27.51,1.05ms,1.05,2018-11-10 12:22:46
"Albany United States, North America",16266km,16266,295.15ms,295.15,55.14%,55.14,251.43ms,251.43,365.59ms,365.59,44.87ms,44.87,2018-11-10 12:22:46
"Alblasserdam Netherlands, Eurasia",16667km,16667,304.26ms,304.26,54.83%,54.83,303.82ms,303.82,306.12ms,306.12,0.67ms,0.67,2018-11-10 12:22:46
"Albuquerque United States, North America",13324km,13324,193.80ms,193.8,69.04%,69.04,188.33ms,188.33,237.70ms,237.7,11.83ms,11.83,2018-11-10 12:22:46
"Algiers Algeria, Africa",16980km,16980,325.32ms,325.32,52.25%,52.25,324.57ms,324.57,329.37ms,329.37,1.03ms,1.03,2018-11-10 12:22:46
"Amsterdam Netherlands, Eurasia",16648km,16648,296.76ms,296.76,56.24%,56.24,294.84ms,294.84,315.33ms,315.33,4.89ms,4.89,2018-11-10 12:22:46
"Anchorage United States, North America",12058km,12058,207.86ms,207.86,58.25%,58.25,205.67ms,205.67,224.05ms,224.05,3.73ms,3.73,2018-11-10 12:22:46
"Ankara Turkey, Eurasia",14501km,14501,336.08ms,336.08,43.16%,43.16,334.99ms,334.99,341.42ms,341.42,1.81ms,1.81,2018-11-10 12:22:46
"Antwerp Belgium, Eurasia",16706km,16706,326.99ms,326.99,51.25%,51.25,326.76ms,326.76,329.05ms,329.05,0.83ms,0.83,2018-11-10 12:22:46
"Arezzo Italy, Eurasia",16279km,16279,318.95ms,318.95,51.19%,51.19,318.05ms,318.05,323.06ms,323.06,1.19ms,1.19,2018-11-10 12:22:46
"Asheville United States, North America",15394km,15394,263.93ms,263.93,58.53%,58.53,263.84ms,263.84,264.16ms,264.16,0.20ms,0.2,2018-11-10 12:22:46
"Athens Greece, Eurasia",15209km,15209,358.86ms,358.86,42.48%,42.48,358.33ms,358.33,362.32ms,362.32,0.98ms,0.98,2018-11-10 12:22:46
"Atlanta United States, North America",15175km,15175,213.18ms,213.18,71.24%,71.24,212.76ms,212.76,215.83ms,215.83,0.69ms,0.69,2018-11-10 12:22:46
