City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16271km,16271,271.89ms,271.89,60.04%,60.04,271.42ms,271.42,272.72ms,272.72,0.53ms,0.53,2018-11-10 12:20:35
"Albany United States, North America",3650km,3650,123.52ms,123.52,29.67%,29.67,82.23ms,82.23,213.34ms,213.34,42.17ms,42.17,2018-11-10 12:20:35
"Alblasserdam Netherlands, Eurasia",7831km,7831,156.60ms,156.6,50.20%,50.2,156.09ms,156.09,157.83ms,157.83,0.58ms,0.58,2018-11-10 12:20:35
"Albuquerque United States, North America",4855km,4855,95.86ms,95.86,51.11%,51.11,91.64ms,91.64,136.12ms,136.12,11.23ms,11.23,2018-11-10 12:20:35
"Algiers Algeria, Africa",7534km,7534,225.06ms,225.06,33.48%,33.48,224.45ms,224.45,226.39ms,226.39,0.81ms,0.81,2018-11-10 12:20:35
"Amsterdam Netherlands, Eurasia",7842km,7842,159.78ms,159.78,49.32%,49.32,159.12ms,159.12,162.01ms,162.01,0.70ms,0.7,2018-11-10 12:20:35
"Anchorage United States, North America",8615km,8615,155.77ms,155.77,55.58%,55.58,155.16ms,155.16,157.99ms,157.99,0.75ms,0.75,2018-11-10 12:20:35
"Ankara Turkey, Eurasia",10081km,10081,197.60ms,197.6,51.17%,51.17,196.81ms,196.81,201.83ms,201.83,1.26ms,1.26,2018-11-10 12:20:35
"Antwerp Belgium, Eurasia",7804km,7804,160.29ms,160.29,48.77%,48.77,159.87ms,159.87,161.83ms,161.83,0.68ms,0.68,2018-11-10 12:20:35
"Arezzo Italy, Eurasia",8307km,8307,181.46ms,181.46,45.90%,45.9,181.03ms,181.03,183.40ms,183.4,0.72ms,0.72,2018-11-10 12:20:35
"Asheville United States, North America",3210km,3210,69.95ms,69.95,46.52%,46.52,69.40ms,69.4,72.78ms,72.78,0.66ms,0.66,2018-11-10 12:20:35
"Athens Greece, Eurasia",9349km,9349,204.23ms,204.23,45.83%,45.83,203.71ms,203.71,205.16ms,205.16,0.57ms,0.57,2018-11-10 12:20:35
"Atlanta United States, North America",3142km,3142,54.86ms,54.86,58.19%,58.19,54.38ms,54.38,56.72ms,56.72,0.55ms,0.55,2018-11-10 12:20:35
"Auckland New Zealand, Oceania",13221km,13221,264.85ms,264.85,50.08%,50.08,264.03ms,264.03,269.69ms,269.69,1.31ms,1.31,2018-11-10 12:20:35
"Austin United States, North America",3873km,3873,89.48ms,89.48,43.52%,43.52,78.16ms,78.16,125.12ms,125.12,11.91ms,11.91,2018-11-10 12:20:35
"Baltimore United States, North America",3345km,3345,68.71ms,68.71,49.19%,49.19,67.77ms,67.77,74.24ms,74.24,1.46ms,1.46,2018-11-10 12:20:35
"Bangalore India, Eurasia",15312km,15312,299.68ms,299.68,51.21%,51.21,299.34ms,299.34,301.28ms,301.28,0.82ms,0.82,2018-11-10 12:20:35
"Bangkok Thailand, Eurasia",16987km,16987,315.81ms,315.81,53.93%,53.93,308.20ms,308.2,365.45ms,365.45,15.09ms,15.09,2018-11-10 12:20:35
"Barcelona Spain, Eurasia",7500km,7500,180.31ms,180.31,41.67%,41.67,179.59ms,179.59,185.29ms,185.29,1.20ms,1.2,2018-11-10 12:20:35
"Basel Switzerland, Eurasia",7990km,7990,173.91ms,173.91,46.18%,46.18,173.29ms,173.29,178.93ms,178.93,1.01ms,1.01,2018-11-10 12:20:35
"Belfast United Kingdom, Eurasia",7215km,7215,152.31ms,152.31,47.47%,47.47,151.91ms,151.91,153.49ms,153.49,0.52ms,0.52,2018-11-10 12:20:35
"Bergen Norway, Eurasia",8026km,8026,191.30ms,191.3,42.02%,42.02,190.40ms,190.4,196.94ms,196.94,1.52ms,1.52,2018-11-10 12:20:35
"Berkeley Springs United States, North America",3429km,3429,76.74ms,76.74,45.12%,45.12,76.17ms,76.17,81.16ms,81.16,1.02ms,1.02,2018-11-10 12:20:35
"Bern Switzerland, Eurasia",7974km,7974,183.76ms,183.76,43.57%,43.57,182.87ms,182.87,188.69ms,188.69,1.11ms,1.11,2018-11-10 12:20:35
"Bogota Colombia, South America",1026km,1026,104.08ms,104.08,9.87%,9.87,102.51ms,102.51,111.14ms,111.14,2.47ms,2.47,2018-11-10 12:20:35
"Boston United States, North America",3568km,3568,85.31ms,85.31,41.98%,41.98,84.56ms,84.56,92.07ms,92.07,1.28ms,1.28,2018-11-10 12:20:35
"Brasilia Brazil, South America",3595km,3595,169.42ms,169.42,21.27%,21.27,156.52ms,156.52,479.78ms,479.78,57.89ms,57.89,2018-11-10 12:20:35
"Bratislava Slovakia, Eurasia",8701km,8701,175.15ms,175.15,49.72%,49.72,174.73ms,174.73,176.31ms,176.31,0.43ms,0.43,2018-11-10 12:20:35
"Brisbane Australia, Oceania",15442km,15442,255.82ms,255.82,60.56%,60.56,255.14ms,255.14,259.90ms,259.9,1.29ms,1.29,2018-11-10 12:20:35
"Bristol United Kingdom, Eurasia",7333km,7333,155.56ms,155.56,47.31%,47.31,154.91ms,154.91,156.89ms,156.89,0.71ms,0.71,2018-11-10 12:20:35
"Brno Czech Republic, Eurasia",8660km,8660,167.99ms,167.99,51.86%,51.86,166.97ms,166.97,170.82ms,170.82,1.17ms,1.17,2018-11-10 12:20:35
"Bruges Belgium, Eurasia",7724km,7724,155.82ms,155.82,49.83%,49.83,155.00ms,155.0,160.43ms,160.43,1.19ms,1.19,2018-11-10 12:20:35
"Brunswick United States, North America",3729km,3729,82.93ms,82.93,45.48%,45.48,81.71ms,81.71,96.94ms,96.94,2.86ms,2.86,2018-11-10 12:20:35
