City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14166km,14166,382.76ms,382.76,37.08%,37.08,381.79ms,381.79,387.39ms,387.39,1.44ms,1.44,2018-11-10 12:21:20
"Albany United States, North America",7481km,7481,162.53ms,162.53,46.18%,46.18,118.05ms,118.05,241.74ms,241.74,43.19ms,43.19,2018-11-10 12:21:20
"Alblasserdam Netherlands, Eurasia",1827km,1827,45.89ms,45.89,40.60%,40.6,44.99ms,44.99,50.20ms,50.2,1.34ms,1.34,2018-11-10 12:21:20
"Albuquerque United States, North America",9866km,9866,169.41ms,169.41,58.38%,58.38,161.37ms,161.37,211.19ms,211.19,12.49ms,12.49,2018-11-10 12:21:20
"Algiers Algeria, Africa",2409km,2409,91.55ms,91.55,26.47%,26.47,91.00ms,91.0,92.67ms,92.67,0.41ms,0.41,2018-11-10 12:21:20
"Amsterdam Netherlands, Eurasia",1830km,1830,41.34ms,41.34,44.63%,44.63,41.19ms,41.19,41.91ms,41.91,0.20ms,0.2,2018-11-10 12:21:20
"Anchorage United States, North America",7983km,7983,204.35ms,204.35,39.13%,39.13,203.75ms,203.75,206.38ms,206.38,0.92ms,0.92,2018-11-10 12:21:20
"Ankara Turkey, Eurasia",847km,847,95.24ms,95.24,8.92%,8.92,94.61ms,94.61,99.53ms,99.53,1.27ms,1.27,2018-11-10 12:21:20
"Antwerp Belgium, Eurasia",1836km,1836,49.22ms,49.22,37.47%,37.47,48.72ms,48.72,51.95ms,51.95,0.93ms,0.93,2018-11-10 12:21:20
"Arezzo Italy, Eurasia",1388km,1388,70.77ms,70.77,19.83%,19.83,70.28ms,70.28,81.02ms,81.02,1.95ms,1.95,2018-11-10 12:21:20
"Asheville United States, North America",8578km,8578,140.79ms,140.79,61.27%,61.27,140.70ms,140.7,140.95ms,140.95,0.11ms,0.11,2018-11-10 12:21:20
"Athens Greece, Eurasia",1090km,1090,31.21ms,31.21,35.16%,35.16,30.87ms,30.87,33.69ms,33.69,0.54ms,0.54,2018-11-10 12:21:20
"Atlanta United States, North America",8844km,8844,144.78ms,144.78,61.42%,61.42,144.51ms,144.51,147.63ms,147.63,0.55ms,0.55,2018-11-10 12:21:20
"Auckland New Zealand, Oceania",17004km,17004,400.82ms,400.82,42.51%,42.51,400.26ms,400.26,404.07ms,404.07,1.16ms,1.16,2018-11-10 12:21:20
"Austin United States, North America",9904km,9904,177.04ms,177.04,55.95%,55.95,162.92ms,162.92,217.33ms,217.33,13.05ms,13.05,2018-11-10 12:21:20
"Baltimore United States, North America",7923km,7923,125.29ms,125.29,63.38%,63.38,123.53ms,123.53,130.82ms,130.82,2.08ms,2.08,2018-11-10 12:21:20
"Bangalore India, Eurasia",5885km,5885,197.18ms,197.18,29.87%,29.87,195.69ms,195.69,198.77ms,198.77,0.83ms,0.83,2018-11-10 12:21:20
"Bangkok Thailand, Eurasia",7503km,7503,204.40ms,204.4,36.78%,36.78,197.41ms,197.41,237.63ms,237.63,10.19ms,10.19,2018-11-10 12:21:20
"Barcelona Spain, Eurasia",2210km,2210,76.46ms,76.46,29.08%,29.08,76.01ms,76.01,79.81ms,79.81,0.83ms,0.83,2018-11-10 12:21:20
"Basel Switzerland, Eurasia",1605km,1605,48.65ms,48.65,33.44%,33.44,48.28ms,48.28,50.52ms,50.52,0.66ms,0.66,2018-11-10 12:21:20
"Belfast United Kingdom, Eurasia",2560km,2560,68.25ms,68.25,37.65%,37.65,67.71ms,67.71,71.93ms,71.93,1.02ms,1.02,2018-11-10 12:21:20
"Bergen Norway, Eurasia",2128km,2128,73.16ms,73.16,29.15%,29.15,72.92ms,72.92,75.87ms,75.87,0.64ms,0.64,2018-11-10 12:21:20
"Berkeley Springs United States, North America",7990km,7990,176.75ms,176.75,45.40%,45.4,176.42ms,176.42,181.17ms,181.17,0.99ms,0.99,2018-11-10 12:21:20
"Bern Switzerland, Eurasia",1624km,1624,51.59ms,51.59,31.84%,31.84,50.92ms,50.92,55.96ms,55.96,1.15ms,1.15,2018-11-10 12:21:20
"Bogota Colombia, South America",10611km,10611,232.45ms,232.45,45.74%,45.74,231.85ms,231.85,239.02ms,239.02,1.65ms,1.65,2018-11-10 12:21:20
"Boston United States, North America",7349km,7349,122.11ms,122.11,60.24%,60.24,121.88ms,121.88,122.53ms,122.53,0.20ms,0.2,2018-11-10 12:21:20
"Brasilia Brazil, South America",10324km,10324,252.25ms,252.25,40.97%,40.97,250.75ms,250.75,260.29ms,260.29,2.69ms,2.69,2018-11-10 12:21:20
"Bratislava Slovakia, Eurasia",894km,894,46.96ms,46.96,19.43%,19.43,46.88ms,46.88,47.09ms,47.09,0.22ms,0.22,2018-11-10 12:21:20
"Brisbane Australia, Oceania",14747km,14747,341.89ms,341.89,43.25%,43.25,341.11ms,341.11,344.71ms,344.71,1.29ms,1.29,2018-11-10 12:21:20
"Bristol United Kingdom, Eurasia",2322km,2322,60.51ms,60.51,38.70%,38.7,60.17ms,60.17,62.86ms,62.86,0.63ms,0.63,2018-11-10 12:21:20
"Brno Czech Republic, Eurasia",944km,944,27.85ms,27.85,34.96%,34.96,27.56ms,27.56,31.06ms,31.06,0.84ms,0.84,2018-11-10 12:21:20
"Bruges Belgium, Eurasia",1917km,1917,54.94ms,54.94,35.50%,35.5,54.39ms,54.39,57.93ms,57.93,0.92ms,0.92,2018-11-10 12:21:20
"Brunswick United States, North America",7167km,7167,129.64ms,129.64,55.56%,55.56,128.62ms,128.62,137.27ms,137.27,2.08ms,2.08,2018-11-10 12:21:20
"Brussels Belgium, Eurasia",1836km,1836,43.33ms,43.33,42.70%,42.7,42.60ms,42.6,47.42ms,47.42,1.31ms,1.31,2018-11-10 12:21:20
"Bucharest Romania, Eurasia",361km,361,10.66ms,10.66,36.10%,36.1,9.94ms,9.94,15.26ms,15.26,1.27ms,1.27,2018-11-10 12:21:20
"Budapest Hungary, Eurasia",746km,746,39.83ms,39.83,19.13%,19.13,39.38ms,39.38,40.43ms,40.43,0.37ms,0.37,2018-11-10 12:21:20
"Buenos Aires Argentina, South America",12555km,12555,276.84ms,276.84,45.49%,45.49,270.30ms,270.3,291.15ms,291.15,7.00ms,7.0,2018-11-10 12:21:20
"Buffalo United States, North America",7765km,7765,171.19ms,171.19,45.41%,45.41,166.06ms,166.06,201.84ms,201.84,8.12ms,8.12,2018-11-10 12:21:20
