City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",3057km,3057,59.11ms,59.11,51.81%,51.81,58.94ms,58.94,59.44ms,59.44,0.28ms,0.28,2018-11-10 12:23:08
"Albany United States, North America",14783km,14783,346.97ms,346.97,42.73%,42.73,296.64ms,296.64,422.58ms,422.58,42.97ms,42.97,2018-11-10 12:23:08
"Alblasserdam Netherlands, Eurasia",18727km,18727,322.78ms,322.78,58.16%,58.16,322.60ms,322.6,323.54ms,323.54,0.58ms,0.58,2018-11-10 12:23:08
"Albuquerque United States, North America",11958km,11958,190.01ms,190.01,62.94%,62.94,183.95ms,183.95,243.02ms,243.02,15.35ms,15.35,2018-11-10 12:23:08
"Algiers Algeria, Africa",18858km,18858,356.41ms,356.41,52.97%,52.97,355.96ms,355.96,356.96ms,356.96,0.70ms,0.7,2018-11-10 12:23:08
"Amsterdam Netherlands, Eurasia",18692km,18692,327.58ms,327.58,57.16%,57.16,327.19ms,327.19,328.40ms,328.4,0.59ms,0.59,2018-11-10 12:23:08
"Anchorage United States, North America",12128km,12128,289.85ms,289.85,41.97%,41.97,287.46ms,287.46,295.70ms,295.7,2.18ms,2.18,2018-11-10 12:23:08
"Ankara Turkey, Eurasia",16687km,16687,350.60ms,350.6,47.68%,47.68,349.95ms,349.95,364.22ms,364.22,2.58ms,2.58,2018-11-10 12:23:08
"Antwerp Belgium, Eurasia",18787km,18787,308.85ms,308.85,61.00%,61.0,308.71ms,308.71,309.11ms,309.11,0.37ms,0.37,2018-11-10 12:23:08
"Arezzo Italy, Eurasia",18469km,18469,328.09ms,328.09,56.31%,56.31,327.85ms,327.85,328.36ms,328.36,0.30ms,0.3,2018-11-10 12:23:08
"Asheville United States, North America",13735km,13735,200.08ms,200.08,68.67%,68.67,199.94ms,199.94,200.31ms,200.31,0.55ms,0.55,2018-11-10 12:23:08
"Athens Greece, Eurasia",17343km,17343,378.91ms,378.91,45.88%,45.88,378.55ms,378.55,379.81ms,379.81,0.88ms,0.88,2018-11-10 12:23:08
"Atlanta United States, North America",13482km,13482,218.12ms,218.12,61.84%,61.84,217.70ms,217.7,220.13ms,220.13,0.85ms,0.85,2018-11-10 12:23:08
"Auckland New Zealand, Oceania",762km,762,15.15ms,15.15,50.80%,50.8,14.32ms,14.32,32.00ms,32.0,3.17ms,3.17,2018-11-10 12:23:08
"Austin United States, North America",12241km,12241,242.60ms,242.6,50.58%,50.58,232.56ms,232.56,272.56ms,272.56,8.42ms,8.42,2018-11-10 12:23:08
"Baltimore United States, North America",14395km,14395,231.38ms,231.38,62.32%,62.32,230.66ms,230.66,236.11ms,236.11,1.22ms,1.22,2018-11-10 12:23:08
"Bangalore India, Eurasia",11399km,11399,342.43ms,342.43,33.33%,33.33,338.16ms,338.16,352.99ms,352.99,5.81ms,5.81,2018-11-10 12:23:08
"Bangkok Thailand, Eurasia",9674km,9674,276.25ms,276.25,35.05%,35.05,273.88ms,273.88,293.41ms,293.41,4.58ms,4.58,2018-11-10 12:23:08
"Barcelona Spain, Eurasia",19201km,19201,342.25ms,342.25,56.14%,56.14,341.97ms,341.97,342.53ms,342.53,0.71ms,0.71,2018-11-10 12:23:08
"Basel Switzerland, Eurasia",18771km,18771,340.15ms,340.15,55.21%,55.21,339.75ms,339.75,341.09ms,341.09,0.62ms,0.62,2018-11-10 12:23:08
"Belfast United Kingdom, Eurasia",18781km,18781,333.69ms,333.69,56.40%,56.4,332.46ms,332.46,337.29ms,337.29,1.15ms,1.15,2018-11-10 12:23:08
"Bergen Norway, Eurasia",17958km,17958,364.26ms,364.26,49.34%,49.34,363.56ms,363.56,371.15ms,371.15,1.53ms,1.53,2018-11-10 12:23:08
"Berkeley Springs United States, North America",14292km,14292,250.36ms,250.36,57.17%,57.17,250.13ms,250.13,250.65ms,250.65,0.70ms,0.7,2018-11-10 12:23:08
"Bern Switzerland, Eurasia",18798km,18798,329.94ms,329.94,57.14%,57.14,329.70ms,329.7,330.89ms,330.89,0.22ms,0.22,2018-11-10 12:23:08
"Bogota Colombia, South America",12231km,12231,375.72ms,375.72,32.62%,32.62,375.34ms,375.34,375.96ms,375.96,0.64ms,0.64,2018-11-10 12:23:08
"Boston United States, North America",14966km,14966,253.69ms,253.69,59.15%,59.15,253.46ms,253.46,253.88ms,253.88,0.50ms,0.5,2018-11-10 12:23:08
"Brasilia Brazil, South America",12245km,12245,377.24ms,377.24,32.48%,32.48,375.91ms,375.91,386.41ms,386.41,2.72ms,2.72,2018-11-10 12:23:08
"Bratislava Slovakia, Eurasia",18061km,18061,314.50ms,314.5,57.52%,57.52,314.35ms,314.35,314.77ms,314.77,0.59ms,0.59,2018-11-10 12:23:08
"Brisbane Australia, Oceania",2501km,2501,49.47ms,49.47,51.04%,51.04,49.32ms,49.32,49.71ms,49.71,0.27ms,0.27,2018-11-10 12:23:08
"Bristol United Kingdom, Eurasia",19065km,19065,316.15ms,316.15,60.33%,60.33,315.89ms,315.89,317.04ms,317.04,0.57ms,0.57,2018-11-10 12:23:08
"Brno Czech Republic, Eurasia",18080km,18080,318.82ms,318.82,56.86%,56.86,318.54ms,318.54,320.04ms,320.04,0.80ms,0.8,2018-11-10 12:23:08
"Bruges Belgium, Eurasia",18848km,18848,329.41ms,329.41,57.29%,57.29,328.02ms,328.02,359.72ms,359.72,5.68ms,5.68,2018-11-10 12:23:08
"Brunswick United States, North America",15116km,15116,302.69ms,302.69,50.05%,50.05,300.72ms,300.72,309.13ms,309.13,2.57ms,2.57,2018-11-10 12:23:08
"Brussels Belgium, Eurasia",18816km,18816,327.70ms,327.7,57.54%,57.54,327.54ms,327.54,328.01ms,328.01,0.72ms,0.72,2018-11-10 12:23:08
"Bucharest Romania, Eurasia",17355km,17355,326.62ms,326.62,53.24%,53.24,326.46ms,326.46,326.90ms,326.9,0.58ms,0.58,2018-11-10 12:23:08
"Budapest Hungary, Eurasia",17922km,17922,328.48ms,328.48,54.64%,54.64,327.94ms,327.94,329.22ms,329.22,0.77ms,0.77,2018-11-10 12:23:08
"Buenos Aires Argentina, South America",9914km,9914,390.30ms,390.3,25.42%,25.42,386.80ms,386.8,408.07ms,408.07,4.93ms,4.93,2018-11-10 12:23:08
"Buffalo United States, North America",14413km,14413,212.46ms,212.46,67.99%,67.99,211.67ms,211.67,217.28ms,217.28,1.21ms,1.21,2018-11-10 12:23:08
"Bursa Turkey, Eurasia",17002km,17002,338.49ms,338.49,50.30%,50.3,337.99ms,337.99,343.80ms,343.8,1.28ms,1.28,2018-11-10 12:23:08
"Cairo Egypt, Africa",16310km,16310,343.20ms,343.2,47.55%,47.55,340.45ms,340.45,347.83ms,347.83,1.86ms,1.86,2018-11-10 12:23:08
"Calgary Canada, North America",12664km,12664,259.64ms,259.64,48.90%,48.9,257.32ms,257.32,271.94ms,271.94,3.68ms,3.68,2018-11-10 12:23:08
"Canberra Australia, Oceania",2203km,2203,44.38ms,44.38,50.07%,50.07,43.52ms,43.52,52.42ms,52.42,1.79ms,1.79,2018-11-10 12:23:08
"Cape Town South Africa, Africa",11013km,11013,440.47ms,440.47,25.03%,25.03,440.15ms,440.15,441.33ms,441.33,0.42ms,0.42,2018-11-10 12:23:08
"Caracas Venezuela, South America",13253km,13253,270.38ms,270.38,49.09%,49.09,269.91ms,269.91,271.19ms,271.19,0.77ms,0.77,2018-11-10 12:23:08
"Cardiff United Kingdom, Eurasia",19078km,19078,316.83ms,316.83,60.37%,60.37,316.22ms,316.22,317.84ms,317.84,0.75ms,0.75,2018-11-10 12:23:08
"Carlow Ireland, Eurasia",18981km,18981,285.41ms,285.41,66.60%,66.6,285.19ms,285.19,285.99ms,285.99,0.63ms,0.63,2018-11-10 12:23:08
"Charlotte United States, North America",13843km,13843,247.93ms,247.93,56.04%,56.04,247.81ms,247.81,248.15ms,248.15,0.62ms,0.62,2018-11-10 12:23:08
"Cheltenham United Kingdom, Eurasia",19005km,19005,318.99ms,318.99,59.76%,59.76,318.92ms,318.92,319.18ms,319.18,0.47ms,0.47,2018-11-10 12:23:08
"Chennai India, Eurasia",11192km,11192,339.01ms,339.01,33.01%,33.01,338.78ms,338.78,339.38ms,339.38,0.83ms,0.83,2018-11-10 12:23:08
"Chicago United States, North America",13727km,13727,232.89ms,232.89,59.17%,59.17,232.78ms,232.78,233.24ms,233.24,0.68ms,0.68,2018-11-10 12:23:08
"Chisinau Moldova, Eurasia",17176km,17176,356.95ms,356.95,48.25%,48.25,353.94ms,353.94,376.12ms,376.12,5.05ms,5.05,2018-11-10 12:23:08
"Cincinnati United States, North America",13795km,13795,232.24ms,232.24,59.46%,59.46,232.13ms,232.13,232.44ms,232.44,0.44ms,0.44,2018-11-10 12:23:08
"Cleveland United States, North America",14172km,14172,260.11ms,260.11,54.51%,54.51,259.95ms,259.95,260.40ms,260.4,0.71ms,0.71,2018-11-10 12:23:08
"Colorado Springs United States, North America",12352km,12352,196.17ms,196.17,63.02%,63.02,194.56ms,194.56,231.47ms,231.47,6.68ms,6.68,2018-11-10 12:23:08
"Columbus United States, North America",13956km,13956,249.97ms,249.97,56.05%,56.05,247.61ms,247.61,277.06ms,277.06,5.52ms,5.52,2018-11-10 12:23:08
"Copenhagen Denmark, Eurasia",18057km,18057,306.95ms,306.95,59.01%,59.01,306.68ms,306.68,307.24ms,307.24,0.38ms,0.38,2018-11-10 12:23:08
"Coventry United Kingdom, Eurasia",18938km,18938,316.85ms,316.85,59.93%,59.93,316.73ms,316.73,317.59ms,317.59,0.78ms,0.78,2018-11-10 12:23:08
"Cromwell United States, North America",14811km,14811,257.65ms,257.65,57.63%,57.63,257.35ms,257.35,258.38ms,258.38,0.68ms,0.68,2018-11-10 12:23:08
