City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14480km,14480,202.68ms,202.68,71.68%,71.68,202.41ms,202.41,204.35ms,204.35,0.55ms,0.55,2018-11-10 12:19:08
"Albany United States, North America",2632km,2632,88.29ms,88.29,29.91%,29.91,51.22ms,51.22,153.26ms,153.26,40.76ms,40.76,2018-11-10 12:19:08
"Alblasserdam Netherlands, Eurasia",7843km,7843,119.26ms,119.26,65.91%,65.91,119.08ms,119.08,119.69ms,119.69,0.30ms,0.3,2018-11-10 12:19:08
"Albuquerque United States, North America",447km,447,16.24ms,16.24,27.94%,27.94,11.30ms,11.3,58.57ms,58.57,12.47ms,12.47,2018-11-10 12:19:08
"Algiers Algeria, Africa",8829km,8829,148.83ms,148.83,59.66%,59.66,148.33ms,148.33,149.80ms,149.8,0.38ms,0.38,2018-11-10 12:19:08
"Amsterdam Netherlands, Eurasia",7815km,7815,143.34ms,143.34,54.65%,54.65,142.69ms,142.69,156.79ms,156.79,2.53ms,2.53,2018-11-10 12:19:08
"Anchorage United States, North America",3943km,3943,61.04ms,61.04,64.64%,64.64,60.76ms,60.76,61.57ms,61.57,0.37ms,0.37,2018-11-10 12:19:08
"Ankara Turkey, Eurasia",10256km,10256,186.06ms,186.06,55.14%,55.14,185.81ms,185.81,187.68ms,187.68,0.67ms,0.67,2018-11-10 12:19:08
"Antwerp Belgium, Eurasia",7875km,7875,141.73ms,141.73,55.85%,55.85,141.64ms,141.64,142.13ms,142.13,0.45ms,0.45,2018-11-10 12:19:08
"Arezzo Italy, Eurasia",8868km,8868,146.14ms,146.14,60.74%,60.74,146.06ms,146.06,146.54ms,146.54,0.21ms,0.21,2018-11-10 12:19:08
"Asheville United States, North America",1997km,1997,49.92ms,49.92,40.76%,40.76,49.85ms,49.85,50.35ms,50.35,0.27ms,0.27,2018-11-10 12:19:08
"Athens Greece, Eurasia",9986km,9986,180.99ms,180.99,55.48%,55.48,180.85ms,180.85,182.31ms,182.31,0.65ms,0.65,2018-11-10 12:19:08
"Atlanta United States, North America",1910km,1910,44.73ms,44.73,43.41%,43.41,42.95ms,42.95,74.34ms,74.34,5.85ms,5.85,2018-11-10 12:19:08
"Auckland New Zealand, Oceania",11772km,11772,191.63ms,191.63,61.63%,61.63,191.49ms,191.49,192.23ms,192.23,0.26ms,0.26,2018-11-10 12:19:08
"Austin United States, North America",1154km,1154,35.49ms,35.49,32.97%,32.97,26.51ms,26.51,65.65ms,65.65,10.25ms,10.25,2018-11-10 12:19:08
"Baltimore United States, North America",2423km,2423,47.84ms,47.84,51.55%,51.55,47.17ms,47.17,53.61ms,53.61,1.57ms,1.57,2018-11-10 12:19:08
"Bangalore India, Eurasia",14250km,14250,242.72ms,242.72,58.88%,58.88,242.46ms,242.46,247.03ms,247.03,0.96ms,0.96,2018-11-10 12:19:08
"Bangkok Thailand, Eurasia",13606km,13606,277.79ms,277.79,49.12%,49.12,269.61ms,269.61,322.39ms,322.39,13.42ms,13.42,2018-11-10 12:19:08
"Barcelona Spain, Eurasia",8436km,8436,140.76ms,140.76,60.26%,60.26,140.47ms,140.47,141.60ms,141.6,0.39ms,0.39,2018-11-10 12:19:08
"Basel Switzerland, Eurasia",8314km,8314,159.51ms,159.51,52.29%,52.29,159.42ms,159.42,159.95ms,159.95,0.46ms,0.46,2018-11-10 12:19:08
"Belfast United Kingdom, Eurasia",7093km,7093,135.71ms,135.71,52.54%,52.54,135.59ms,135.59,136.01ms,136.01,0.46ms,0.46,2018-11-10 12:19:08
"Bergen Norway, Eurasia",7297km,7297,172.50ms,172.5,42.42%,42.42,172.22ms,172.22,173.74ms,173.74,0.41ms,0.41,2018-11-10 12:19:08
"Berkeley Springs United States, North America",2281km,2281,80.80ms,80.8,28.51%,28.51,78.89ms,78.89,106.88ms,106.88,6.20ms,6.2,2018-11-10 12:19:08
"Bern Switzerland, Eurasia",8351km,8351,140.71ms,140.71,59.65%,59.65,140.29ms,140.29,148.55ms,148.55,1.48ms,1.48,2018-11-10 12:19:08
"Bogota Colombia, South America",4910km,4910,132.41ms,132.41,37.20%,37.2,132.17ms,132.17,133.88ms,133.88,0.50ms,0.5,2018-11-10 12:19:08
"Boston United States, North America",2855km,2855,47.96ms,47.96,60.74%,60.74,46.87ms,46.87,74.08ms,74.08,4.86ms,4.86,2018-11-10 12:19:08
"Brasilia Brazil, South America",8477km,8477,169.91ms,169.91,50.16%,50.16,159.50ms,159.5,362.47ms,362.47,38.17ms,38.17,2018-11-10 12:19:08
"Bratislava Slovakia, Eurasia",8774km,8774,154.33ms,154.33,56.97%,56.97,153.97ms,153.97,162.85ms,162.85,1.66ms,1.66,2018-11-10 12:19:08
