City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16335km,16335,311.20ms,311.2,52.52%,52.52,310.92ms,310.92,312.14ms,312.14,0.61ms,0.61,2018-11-10 12:19:12
"Albany United States, North America",5293km,5293,113.88ms,113.88,46.84%,46.84,71.29ms,71.29,223.23ms,223.23,45.39ms,45.39,2018-11-10 12:19:12
"Alblasserdam Netherlands, Eurasia",424km,424,11.93ms,11.93,38.55%,38.55,11.79ms,11.79,12.19ms,12.19,0.13ms,0.13,2018-11-10 12:19:12
"Albuquerque United States, North America",7895km,7895,127.92ms,127.92,62.17%,62.17,122.62ms,122.62,171.65ms,171.65,12.25ms,12.25,2018-11-10 12:19:12
"Algiers Algeria, Africa",1777km,1777,44.65ms,44.65,40.39%,40.39,44.25ms,44.25,45.09ms,45.09,0.23ms,0.23,2018-11-10 12:19:12
"Amsterdam Netherlands, Eurasia",421km,421,15.29ms,15.29,28.07%,28.07,15.05ms,15.05,15.89ms,15.89,0.23ms,0.23,2018-11-10 12:19:12
"Anchorage United States, North America",7076km,7076,162.00ms,162.0,43.95%,43.95,161.75ms,161.75,162.42ms,162.42,0.44ms,0.44,2018-11-10 12:19:12
"Ankara Turkey, Eurasia",2950km,2950,61.85ms,61.85,48.36%,48.36,61.51ms,61.51,67.06ms,67.06,0.97ms,0.97,2018-11-10 12:19:12
"Antwerp Belgium, Eurasia",427km,427,19.23ms,19.23,22.47%,22.47,19.16ms,19.16,19.39ms,19.39,0.18ms,0.18,2018-11-10 12:19:12
"Arezzo Italy, Eurasia",1403km,1403,33.23ms,33.23,42.52%,42.52,33.14ms,33.14,33.47ms,33.47,0.10ms,0.1,2018-11-10 12:19:12
"Asheville United States, North America",6386km,6386,92.56ms,92.56,69.41%,69.41,92.49ms,92.49,93.39ms,93.39,0.37ms,0.37,2018-11-10 12:19:12
"Athens Greece, Eurasia",2524km,2524,62.16ms,62.16,40.71%,40.71,61.92ms,61.92,63.31ms,63.31,0.45ms,0.45,2018-11-10 12:19:12
"Atlanta United States, North America",6650km,6650,91.22ms,91.22,73.08%,73.08,91.04ms,91.04,91.89ms,91.89,0.22ms,0.22,2018-11-10 12:19:12
"Auckland New Zealand, Oceania",18264km,18264,302.76ms,302.76,60.48%,60.48,302.65ms,302.65,303.23ms,303.23,0.77ms,0.77,2018-11-10 12:19:12
"Austin United States, North America",7786km,7786,119.83ms,119.83,65.43%,65.43,111.91ms,111.91,144.13ms,144.13,9.13ms,9.13,2018-11-10 12:19:12
"Baltimore United States, North America",5723km,5723,81.05ms,81.05,70.65%,70.65,80.77ms,80.77,82.58ms,82.58,0.48ms,0.48,2018-11-10 12:19:12
"Bangalore India, Eurasia",8133km,8133,153.71ms,153.71,53.16%,53.16,153.61ms,153.61,153.92ms,153.92,0.54ms,0.54,2018-11-10 12:19:12
