City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14965km,14965,198.18ms,198.18,75.58%,75.58,197.97ms,197.97,199.09ms,199.09,0.62ms,0.62,2018-11-10 12:19:10
"Albany United States, North America",2298km,2298,82.56ms,82.56,28.02%,28.02,39.43ms,39.43,168.66ms,168.66,42.68ms,42.68,2018-11-10 12:19:10
"Alblasserdam Netherlands, Eurasia",7915km,7915,110.83ms,110.83,71.95%,71.95,110.62ms,110.62,111.29ms,111.29,0.37ms,0.37,2018-11-10 12:19:10
"Albuquerque United States, North America",940km,940,29.64ms,29.64,32.41%,32.41,23.84ms,23.84,68.68ms,68.68,12.60ms,12.6,2018-11-10 12:19:10
"Algiers Algeria, Africa",8671km,8671,153.49ms,153.49,56.67%,56.67,153.01ms,153.01,153.96ms,153.96,0.36ms,0.36,2018-11-10 12:19:10
"Amsterdam Netherlands, Eurasia",7894km,7894,112.70ms,112.7,70.48%,70.48,112.44ms,112.44,113.64ms,113.64,0.50ms,0.5,2018-11-10 12:19:10
"Anchorage United States, North America",4909km,4909,73.64ms,73.64,67.25%,67.25,73.33ms,73.33,74.41ms,74.41,0.31ms,0.31,2018-11-10 12:19:10
"Ankara Turkey, Eurasia",10418km,10418,170.66ms,170.66,61.28%,61.28,170.35ms,170.35,172.13ms,172.13,0.60ms,0.6,2018-11-10 12:19:10
"Antwerp Belgium, Eurasia",7936km,7936,122.46ms,122.46,65.05%,65.05,119.78ms,119.78,196.26ms,196.26,13.71ms,13.71,2018-11-10 12:19:10
"Arezzo Italy, Eurasia",8875km,8875,136.11ms,136.11,65.26%,65.26,135.97ms,135.97,137.12ms,137.12,0.45ms,0.45,2018-11-10 12:19:10
"Asheville United States, North America",1346km,1346,39.08ms,39.08,34.51%,34.51,39.01ms,39.01,39.27ms,39.27,0.08ms,0.08,2018-11-10 12:19:10
"Athens Greece, Eurasia",10032km,10032,167.25ms,167.25,60.07%,60.07,167.07ms,167.07,167.66ms,167.66,0.18ms,0.18,2018-11-10 12:19:10
"Atlanta United States, North America",1158km,1158,19.74ms,19.74,60.95%,60.95,19.49ms,19.49,20.57ms,20.57,0.26ms,0.26,2018-11-10 12:19:11
"Auckland New Zealand, Oceania",11995km,11995,191.21ms,191.21,62.80%,62.8,191.08ms,191.08,191.31ms,191.31,0.54ms,0.54,2018-11-10 12:19:11
"Austin United States, North America",295km,295,19.70ms,19.7,15.53%,15.53,8.08ms,8.08,77.27ms,77.27,16.67ms,16.67,2018-11-10 12:19:11
"Baltimore United States, North America",1949km,1949,34.78ms,34.78,57.32%,57.32,34.35ms,34.35,38.20ms,38.2,0.75ms,0.75,2018-11-10 12:19:11
"Bangalore India, Eurasia",14896km,14896,239.70ms,239.7,62.33%,62.33,239.60ms,239.6,240.27ms,240.27,0.47ms,0.47,2018-11-10 12:19:11
"Bangkok Thailand, Eurasia",14528km,14528,266.93ms,266.93,54.62%,54.62,257.24ms,257.24,309.65ms,309.65,12.22ms,12.22,2018-11-10 12:19:11
"Barcelona Spain, Eurasia",8336km,8336,143.59ms,143.59,58.29%,58.29,143.23ms,143.23,144.96ms,144.96,0.43ms,0.43,2018-11-10 12:19:11
"Basel Switzerland, Eurasia",8343km,8343,137.31ms,137.31,60.90%,60.9,137.16ms,137.16,137.51ms,137.51,0.48ms,0.48,2018-11-10 12:19:11
"Belfast United Kingdom, Eurasia",7150km,7150,129.20ms,129.2,55.43%,55.43,129.11ms,129.11,129.38ms,129.38,0.26ms,0.26,2018-11-10 12:19:11
