City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",10416km,10416,510.48ms,510.48,20.42%,20.42,510.22ms,510.22,511.65ms,511.65,0.78ms,0.78,2018-11-10 12:22:15
"Albany United States, North America",12396km,12396,296.30ms,296.3,41.88%,41.88,240.34ms,240.34,377.35ms,377.35,39.52ms,39.52,2018-11-10 12:22:15
"Alblasserdam Netherlands, Eurasia",7308km,7308,180.58ms,180.58,40.60%,40.6,180.20ms,180.2,183.33ms,183.33,0.77ms,0.77,2018-11-10 12:22:15
"Albuquerque United States, North America",15325km,15325,300.05ms,300.05,51.08%,51.08,294.30ms,294.3,342.90ms,342.9,12.42ms,12.42,2018-11-10 12:22:15
"Algiers Algeria, Africa",6137km,6137,186.62ms,186.62,32.99%,32.99,182.75ms,182.75,262.75ms,262.75,15.26ms,15.26,2018-11-10 12:22:15
"Amsterdam Netherlands, Eurasia",7344km,7344,147.37ms,147.37,49.96%,49.96,147.17ms,147.17,147.64ms,147.64,0.47ms,0.47,2018-11-10 12:22:15
"Anchorage United States, North America",13920km,13920,330.88ms,330.88,42.18%,42.18,329.75ms,329.75,352.96ms,352.96,4.17ms,4.17,2018-11-10 12:22:15
"Ankara Turkey, Eurasia",5239km,5239,194.77ms,194.77,27.01%,27.01,194.29ms,194.29,198.23ms,198.23,0.92ms,0.92,2018-11-10 12:22:15
"Antwerp Belgium, Eurasia",7262km,7262,153.88ms,153.88,47.46%,47.46,153.46ms,153.46,156.54ms,156.54,0.69ms,0.69,2018-11-10 12:22:15
"Arezzo Italy, Eurasia",6236km,6236,170.16ms,170.16,36.68%,36.68,168.49ms,168.49,207.58ms,207.58,6.99ms,6.99,2018-11-10 12:22:15
"Asheville United States, North America",13309km,13309,230.24ms,230.24,57.87%,57.87,229.93ms,229.93,231.26ms,231.26,0.59ms,0.59,2018-11-10 12:22:15
"Athens Greece, Eurasia",5234km,5234,195.68ms,195.68,26.84%,26.84,195.37ms,195.37,196.57ms,196.57,0.35ms,0.35,2018-11-10 12:22:15
"Atlanta United States, North America",13521km,13521,225.64ms,225.64,60.09%,60.09,225.38ms,225.38,227.77ms,227.77,0.67ms,0.67,2018-11-10 12:22:15
"Auckland New Zealand, Oceania",13313km,13313,433.58ms,433.58,30.75%,30.75,432.44ms,432.44,446.41ms,446.41,3.08ms,3.08,2018-11-10 12:22:15
"Austin United States, North America",14839km,14839,255.24ms,255.24,58.19%,58.19,244.71ms,244.71,302.20ms,302.2,11.93ms,11.93,2018-11-10 12:22:15
"Baltimore United States, North America",12707km,12707,249.69ms,249.69,51.03%,51.03,248.73ms,248.73,264.82ms,264.82,2.91ms,2.91,2018-11-10 12:22:15
"Bangalore India, Eurasia",4770km,4770,279.82ms,279.82,17.10%,17.1,278.74ms,278.74,302.77ms,302.77,4.27ms,4.27,2018-11-10 12:22:15
"Bangkok Thailand, Eurasia",7131km,7131,348.71ms,348.71,20.49%,20.49,340.85ms,340.85,420.05ms,420.05,16.84ms,16.84,2018-11-10 12:22:15
"Barcelona Spain, Eurasia",6556km,6556,165.13ms,165.13,39.73%,39.73,164.80ms,164.8,166.38ms,166.38,0.59ms,0.59,2018-11-10 12:22:15
"Basel Switzerland, Eurasia",6799km,6799,165.22ms,165.22,41.21%,41.21,164.90ms,164.9,165.99ms,165.99,0.54ms,0.54,2018-11-10 12:22:15
"Belfast United Kingdom, Eurasia",8010km,8010,194.48ms,194.48,41.29%,41.29,194.18ms,194.18,196.20ms,196.2,0.48ms,0.48,2018-11-10 12:22:15
"Bergen Norway, Eurasia",8040km,8040,182.73ms,182.73,44.18%,44.18,182.32ms,182.32,184.07ms,184.07,0.57ms,0.57,2018-11-10 12:22:15
"Berkeley Springs United States, North America",12834km,12834,229.49ms,229.49,56.04%,56.04,229.14ms,229.14,230.59ms,230.59,0.40ms,0.4,2018-11-10 12:22:15
"Bern Switzerland, Eurasia",6751km,6751,163.57ms,163.57,41.42%,41.42,162.41ms,162.41,190.96ms,190.96,5.10ms,5.1,2018-11-10 12:22:15
"Bogota Colombia, South America",12646km,12646,303.19ms,303.19,41.74%,41.74,302.38ms,302.38,309.88ms,309.88,1.77ms,1.77,2018-11-10 12:22:15
