City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15471km,15471,215.97ms,215.97,71.96%,71.96,215.76ms,215.76,217.18ms,217.18,0.71ms,0.71,2018-11-10 12:20:25
"Albany United States, North America",1638km,1638,65.09ms,65.09,25.20%,25.2,26.91ms,26.91,126.34ms,126.34,39.26ms,39.26,2018-11-10 12:20:25
"Alblasserdam Netherlands, Eurasia",6995km,6995,99.07ms,99.07,70.66%,70.66,98.93ms,98.93,100.30ms,100.3,0.51ms,0.51,2018-11-10 12:20:25
"Albuquerque United States, North America",1340km,1340,31.95ms,31.95,43.23%,43.23,28.99ms,28.99,67.54ms,67.54,7.50ms,7.5,2018-11-10 12:20:25
"Algiers Algeria, Africa",7884km,7884,129.73ms,129.73,61.12%,61.12,129.19ms,129.19,130.83ms,130.83,0.58ms,0.58,2018-11-10 12:20:25
"Amsterdam Netherlands, Eurasia",6971km,6971,123.07ms,123.07,56.67%,56.67,122.94ms,122.94,123.73ms,123.73,0.27ms,0.27,2018-11-10 12:20:25
"Anchorage United States, North America",4291km,4291,89.03ms,89.03,48.21%,48.21,88.81ms,88.81,89.23ms,89.23,0.26ms,0.26,2018-11-10 12:20:25
"Ankara Turkey, Eurasia",9467km,9467,169.38ms,169.38,56.02%,56.02,169.23ms,169.23,169.56ms,169.56,0.13ms,0.13,2018-11-10 12:20:25
"Antwerp Belgium, Eurasia",7020km,7020,118.73ms,118.73,59.49%,59.49,118.56ms,118.56,118.95ms,118.95,0.09ms,0.09,2018-11-10 12:20:25
"Arezzo Italy, Eurasia",7989km,7989,140.38ms,140.38,57.06%,57.06,140.31ms,140.31,140.53ms,140.53,0.39ms,0.39,2018-11-10 12:20:25
"Asheville United States, North America",1168km,1168,53.64ms,53.64,22.04%,22.04,53.58ms,53.58,53.83ms,53.83,0.33ms,0.33,2018-11-10 12:20:25
"Athens Greece, Eurasia",9130km,9130,157.57ms,157.57,58.15%,58.15,157.39ms,157.39,158.47ms,158.47,0.50ms,0.5,2018-11-10 12:20:25
"Atlanta United States, North America",1190km,1190,25.66ms,25.66,47.60%,47.6,25.36ms,25.36,31.66ms,31.66,1.16ms,1.16,2018-11-10 12:20:25
"Auckland New Zealand, Oceania",12738km,12738,291.96ms,291.96,43.77%,43.77,291.82ms,291.82,292.64ms,292.64,0.74ms,0.74,2018-11-10 12:20:25
"Austin United States, North America",1314km,1314,35.55ms,35.55,37.54%,37.54,21.65ms,21.65,55.89ms,55.89,9.94ms,9.94,2018-11-10 12:20:25
"Baltimore United States, North America",1459km,1459,51.87ms,51.87,28.61%,28.61,51.04ms,51.04,56.85ms,56.85,1.44ms,1.44,2018-11-10 12:20:25
