City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15854km,15854,306.34ms,306.34,51.81%,51.81,305.90ms,305.9,307.95ms,307.95,0.51ms,0.51,2018-11-10 12:19:22
"Albany United States, North America",5746km,5746,123.68ms,123.68,46.72%,46.72,80.91ms,80.91,219.30ms,219.3,42.25ms,42.25,2018-11-10 12:19:22
"Alblasserdam Netherlands, Eurasia",102km,102,3.68ms,3.68,34.00%,34.0,3.42ms,3.42,4.04ms,4.04,0.20ms,0.2,2018-11-10 12:19:22
"Albuquerque United States, North America",8285km,8285,131.82ms,131.82,63.24%,63.24,127.45ms,127.45,171.90ms,171.9,10.13ms,10.13,2018-11-10 12:19:22
"Algiers Algeria, Africa",1765km,1765,42.64ms,42.64,42.02%,42.02,41.62ms,41.62,45.94ms,45.94,0.94ms,0.94,2018-11-10 12:19:22
"Amsterdam Netherlands, Eurasia",73km,73,10.70ms,10.7,7.30%,7.3,10.41ms,10.41,11.98ms,11.98,0.32ms,0.32,2018-11-10 12:19:22
"Anchorage United States, North America",7187km,7187,164.91ms,164.91,43.82%,43.82,164.67ms,164.67,166.11ms,166.11,0.49ms,0.49,2018-11-10 12:19:22
"Ankara Turkey, Eurasia",2491km,2491,49.82ms,49.82,50.84%,50.84,49.01ms,49.01,58.51ms,58.51,1.77ms,1.77,2018-11-10 12:19:22
"Antwerp Belgium, Eurasia",170km,170,9.31ms,9.31,18.89%,18.89,8.91ms,8.91,12.03ms,12.03,0.62ms,0.62,2018-11-10 12:19:22
"Arezzo Italy, Eurasia",1104km,1104,24.64ms,24.64,46.00%,46.0,24.17ms,24.17,26.93ms,26.93,0.68ms,0.68,2018-11-10 12:19:22
"Asheville United States, North America",6842km,6842,94.25ms,94.25,72.79%,72.79,94.04ms,94.04,95.84ms,95.84,0.41ms,0.41,2018-11-10 12:19:22
"Athens Greece, Eurasia",2134km,2134,53.26ms,53.26,40.26%,40.26,52.79ms,52.79,55.32ms,55.32,0.60ms,0.6,2018-11-10 12:19:22
"Atlanta United States, North America",7107km,7107,101.86ms,101.86,70.37%,70.37,101.17ms,101.17,108.92ms,108.92,1.47ms,1.47,2018-11-10 12:19:22
"Auckland New Zealand, Oceania",18078km,18078,376.92ms,376.92,48.08%,48.08,376.53ms,376.53,379.15ms,379.15,0.88ms,0.88,2018-11-10 12:19:22
"Austin United States, North America",8219km,8219,120.32ms,120.32,68.49%,68.49,111.21ms,111.21,169.28ms,169.28,12.55ms,12.55,2018-11-10 12:19:22
"Baltimore United States, North America",6181km,6181,84.23ms,84.23,73.58%,73.58,83.26ms,83.26,89.16ms,89.16,1.46ms,1.46,2018-11-10 12:19:22
"Bangalore India, Eurasia",7645km,7645,136.21ms,136.21,56.21%,56.21,135.88ms,135.88,137.24ms,137.24,0.45ms,0.45,2018-11-10 12:19:22
"Bangkok Thailand, Eurasia",9118km,9118,177.00ms,177.0,51.81%,51.81,171.40ms,171.4,211.26ms,211.26,9.25ms,9.25,2018-11-10 12:19:22
"Barcelona Spain, Eurasia",1266km,1266,51.62ms,51.62,24.82%,24.82,50.99ms,50.99,55.64ms,55.64,0.93ms,0.93,2018-11-10 12:19:22
"Basel Switzerland, Eurasia",567km,567,21.87ms,21.87,27.00%,27.0,21.47ms,21.47,24.84ms,24.84,0.65ms,0.65,2018-11-10 12:19:22
"Belfast United Kingdom, Eurasia",802km,802,24.41ms,24.41,33.42%,33.42,24.09ms,24.09,28.97ms,28.97,0.87ms,0.87,2018-11-10 12:19:22
"Bergen Norway, Eurasia",874km,874,38.83ms,38.83,23.00%,23.0,37.76ms,37.76,42.11ms,42.11,1.20ms,1.2,2018-11-10 12:19:22
"Berkeley Springs United States, North America",6256km,6256,96.72ms,96.72,65.17%,65.17,95.80ms,95.8,106.35ms,106.35,2.02ms,2.02,2018-11-10 12:19:22
"Bern Switzerland, Eurasia",631km,631,23.83ms,23.83,27.43%,27.43,23.54ms,23.54,24.83ms,24.83,0.27ms,0.27,2018-11-10 12:19:22
"Bogota Colombia, South America",8914km,8914,177.19ms,177.19,50.36%,50.36,176.03ms,176.03,187.01ms,187.01,2.47ms,2.47,2018-11-10 12:19:22
"Boston United States, North America",5605km,5605,76.83ms,76.83,73.75%,73.75,76.46ms,76.46,77.65ms,77.65,0.39ms,0.39,2018-11-10 12:19:22
"Brasilia Brazil, South America",9169km,9169,216.88ms,216.88,42.45%,42.45,214.99ms,214.99,229.85ms,229.85,3.58ms,3.58,2018-11-10 12:19:22
"Bratislava Slovakia, Eurasia",942km,942,20.59ms,20.59,47.10%,47.1,19.75ms,19.75,26.04ms,26.04,1.35ms,1.35,2018-11-10 12:19:22
"Brisbane Australia, Oceania",16142km,16142,295.35ms,295.35,54.72%,54.72,294.24ms,294.24,305.38ms,305.38,2.36ms,2.36,2018-11-10 12:19:22
"Bristol United Kingdom, Eurasia",580km,580,12.49ms,12.49,48.33%,48.33,12.06ms,12.06,16.44ms,16.44,0.80ms,0.8,2018-11-10 12:19:22
"Brno Czech Republic, Eurasia",848km,848,24.31ms,24.31,35.33%,35.33,23.63ms,23.63,30.31ms,30.31,1.29ms,1.29,2018-11-10 12:19:22
"Bruges Belgium, Eurasia",223km,223,17.03ms,17.03,13.12%,13.12,15.68ms,15.68,28.75ms,28.75,2.62ms,2.62,2018-11-10 12:19:22
