City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15414km,15414,315.97ms,315.97,48.93%,48.93,315.84ms,315.84,316.35ms,316.35,0.19ms,0.19,2018-11-10 12:19:26
"Albany United States, North America",6259km,6259,128.34ms,128.34,48.90%,48.9,88.07ms,88.07,187.27ms,187.27,39.07ms,39.07,2018-11-10 12:19:26
"Alblasserdam Netherlands, Eurasia",559km,559,12.52ms,12.52,46.58%,46.58,12.39ms,12.39,12.79ms,12.79,0.14ms,0.14,2018-11-10 12:19:26
"Albuquerque United States, North America",8782km,8782,137.01ms,137.01,64.10%,64.1,133.69ms,133.69,180.79ms,180.79,10.01ms,10.01,2018-11-10 12:19:26
"Algiers Algeria, Africa",1697km,1697,52.99ms,52.99,32.63%,32.63,52.35ms,52.35,58.05ms,58.05,0.98ms,0.98,2018-11-10 12:19:26
"Amsterdam Netherlands, Eurasia",569km,569,16.90ms,16.9,35.56%,35.56,16.77ms,16.77,17.18ms,17.18,0.14ms,0.14,2018-11-10 12:19:26
"Anchorage United States, North America",7497km,7497,174.91ms,174.91,43.09%,43.09,174.55ms,174.55,175.61ms,175.61,0.33ms,0.33,2018-11-10 12:19:26
"Ankara Turkey, Eurasia",1978km,1978,52.44ms,52.44,38.04%,38.04,52.14ms,52.14,55.71ms,55.71,0.68ms,0.68,2018-11-10 12:19:26
"Antwerp Belgium, Eurasia",564km,564,17.89ms,17.89,33.18%,33.18,17.77ms,17.77,18.66ms,18.66,0.21ms,0.21,2018-11-10 12:19:26
"Arezzo Italy, Eurasia",779km,779,22.33ms,22.33,35.41%,35.41,22.23ms,22.23,22.51ms,22.51,0.17ms,0.17,2018-11-10 12:19:26
"Asheville United States, North America",7355km,7355,109.51ms,109.51,67.48%,67.48,109.44ms,109.44,109.60ms,109.6,0.18ms,0.18,2018-11-10 12:19:26
"Athens Greece, Eurasia",1655km,1655,48.07ms,48.07,34.48%,34.48,47.79ms,47.79,49.38ms,49.38,0.47ms,0.47,2018-11-10 12:19:26
"Atlanta United States, North America",7620km,7620,117.76ms,117.76,65.13%,65.13,117.59ms,117.59,118.91ms,118.91,0.35ms,0.35,2018-11-10 12:19:26
"Auckland New Zealand, Oceania",17954km,17954,282.34ms,282.34,63.67%,63.67,282.23ms,282.23,282.73ms,282.73,0.72ms,0.72,2018-11-10 12:19:26
"Austin United States, North America",8730km,8730,140.97ms,140.97,62.36%,62.36,131.02ms,131.02,170.97ms,170.97,11.20ms,11.2,2018-11-10 12:19:26
"Baltimore United States, North America",6694km,6694,91.66ms,91.66,73.56%,73.56,91.12ms,91.12,95.80ms,95.8,1.03ms,1.03,2018-11-10 12:19:26
"Bangalore India, Eurasia",7156km,7156,149.66ms,149.66,48.03%,48.03,149.56ms,149.56,149.75ms,149.75,0.04ms,0.04,2018-11-10 12:19:26
"Bangkok Thailand, Eurasia",8703km,8703,170.53ms,170.53,51.19%,51.19,157.58ms,157.58,210.99ms,210.99,15.40ms,15.4,2018-11-10 12:19:26
"Barcelona Spain, Eurasia",1279km,1279,52.56ms,52.56,24.60%,24.6,52.30ms,52.3,53.00ms,53.0,0.27ms,0.27,2018-11-10 12:19:26
"Basel Switzerland, Eurasia",475km,475,12.40ms,12.4,39.58%,39.58,12.23ms,12.23,14.08ms,14.08,0.34ms,0.34,2018-11-10 12:19:26
