City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16699km,16699,375.88ms,375.88,44.53%,44.53,371.16ms,371.16,417.74ms,417.74,8.94ms,8.94,2018-11-10 12:21:22
"Albany United States, North America",5905km,5905,192.64ms,192.64,30.76%,30.76,143.66ms,143.66,248.85ms,248.85,40.67ms,40.67,2018-11-10 12:21:22
"Alblasserdam Netherlands, Eurasia",2127km,2127,68.61ms,68.61,31.28%,31.28,67.93ms,67.93,70.26ms,70.26,0.49ms,0.49,2018-11-10 12:21:22
"Albuquerque United States, North America",8820km,8820,192.53ms,192.53,45.94%,45.94,182.38ms,182.38,232.53ms,232.53,15.11ms,15.11,2018-11-10 12:21:22
"Algiers Algeria, Africa",790km,790,89.42ms,89.42,8.88%,8.88,88.69ms,88.69,90.81ms,90.81,0.58ms,0.58,2018-11-10 12:21:22
"Amsterdam Netherlands, Eurasia",2173km,2173,76.01ms,76.01,28.59%,28.59,70.99ms,70.99,147.09ms,147.09,14.47ms,14.47,2018-11-10 12:21:22
"Anchorage United States, North America",8958km,8958,257.29ms,257.29,34.86%,34.86,231.75ms,231.75,310.88ms,310.88,27.38ms,27.38,2018-11-10 12:21:22
"Ankara Turkey, Eurasia",3401km,3401,127.58ms,127.58,26.78%,26.78,124.61ms,124.61,164.94ms,164.94,7.87ms,7.87,2018-11-10 12:21:22
"Antwerp Belgium, Eurasia",2055km,2055,89.86ms,89.86,23.09%,23.09,87.39ms,87.39,111.14ms,111.14,5.12ms,5.12,2018-11-10 12:21:22
"Arezzo Italy, Eurasia",1794km,1794,82.54ms,82.54,21.88%,21.88,78.18ms,78.18,122.69ms,122.69,10.70ms,10.7,2018-11-10 12:21:22
"Asheville United States, North America",6884km,6884,161.11ms,161.11,42.76%,42.76,153.13ms,153.13,237.94ms,237.94,19.92ms,19.92,2018-11-10 12:21:22
"Athens Greece, Eurasia",2609km,2609,113.74ms,113.74,23.09%,23.09,109.78ms,109.78,175.89ms,175.89,12.26ms,12.26,2018-11-10 12:21:22
"Atlanta United States, North America",7121km,7121,147.56ms,147.56,48.44%,48.44,146.79ms,146.79,153.52ms,153.52,1.24ms,1.24,2018-11-10 12:21:22
"Auckland New Zealand, Oceania",19708km,19708,393.51ms,393.51,50.15%,50.15,391.27ms,391.27,437.55ms,437.55,8.24ms,8.24,2018-11-10 12:21:22
"Austin United States, North America",8415km,8415,186.55ms,186.55,45.24%,45.24,174.89ms,174.89,211.32ms,211.32,10.08ms,10.08,2018-11-10 12:21:22
"Baltimore United States, North America",6247km,6247,150.32ms,150.32,41.65%,41.65,147.26ms,147.26,177.44ms,177.44,6.86ms,6.86,2018-11-10 12:21:22
"Bangalore India, Eurasia",8533km,8533,184.64ms,184.64,46.38%,46.38,175.58ms,175.58,217.48ms,217.48,14.10ms,14.1,2018-11-10 12:21:22
"Bangkok Thailand, Eurasia",10532km,10532,260.67ms,260.67,40.51%,40.51,243.18ms,243.18,391.02ms,391.02,28.20ms,28.2,2018-11-10 12:21:22
"Barcelona Spain, Eurasia",1031km,1031,39.48ms,39.48,26.44%,26.44,38.59ms,38.59,43.85ms,43.85,0.90ms,0.9,2018-11-10 12:21:22
"Basel Switzerland, Eurasia",1834km,1834,70.79ms,70.79,26.20%,26.2,70.06ms,70.06,72.92ms,72.92,0.64ms,0.64,2018-11-10 12:21:22
"Belfast United Kingdom, Eurasia",2287km,2287,101.45ms,101.45,22.64%,22.64,79.72ms,79.72,176.44ms,176.44,26.72ms,26.72,2018-11-10 12:21:22
"Bergen Norway, Eurasia",3023km,3023,115.64ms,115.64,26.29%,26.29,105.76ms,105.76,166.25ms,166.25,16.72ms,16.72,2018-11-10 12:21:22
