City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14986km,14986,333.18ms,333.18,45.00%,45.0,332.76ms,332.76,334.29ms,334.29,0.83ms,0.83,2018-11-10 12:19:59
"Albany United States, North America",6422km,6422,152.97ms,152.97,42.25%,42.25,105.19ms,105.19,243.39ms,243.39,44.50ms,44.5,2018-11-10 12:19:59
"Alblasserdam Netherlands, Eurasia",971km,971,28.49ms,28.49,34.68%,34.68,28.20ms,28.2,29.87ms,29.87,0.36ms,0.36,2018-11-10 12:19:59
"Albuquerque United States, North America",8777km,8777,154.65ms,154.65,56.99%,56.99,150.99ms,150.99,197.31ms,197.31,9.85ms,9.85,2018-11-10 12:19:59
"Algiers Algeria, Africa",2291km,2291,86.77ms,86.77,26.64%,26.64,86.18ms,86.18,87.94ms,87.94,0.32ms,0.32,2018-11-10 12:19:59
"Amsterdam Netherlands, Eurasia",951km,951,32.61ms,32.61,29.72%,29.72,32.40ms,32.4,32.88ms,32.88,0.26ms,0.26,2018-11-10 12:19:59
"Anchorage United States, North America",7127km,7127,192.33ms,192.33,37.12%,37.12,191.85ms,191.85,193.25ms,193.25,0.44ms,0.44,2018-11-10 12:19:59
"Ankara Turkey, Eurasia",1923km,1923,67.08ms,67.08,28.70%,28.7,66.43ms,66.43,71.39ms,71.39,1.18ms,1.18,2018-11-10 12:19:59
"Antwerp Belgium, Eurasia",1016km,1016,39.06ms,39.06,26.05%,26.05,38.94ms,38.94,39.30ms,39.3,0.18ms,0.18,2018-11-10 12:19:59
"Arezzo Italy, Eurasia",1305km,1305,53.18ms,53.18,24.62%,24.62,52.86ms,52.86,58.61ms,58.61,1.05ms,1.05,2018-11-10 12:19:59
"Asheville United States, North America",7518km,7518,125.30ms,125.3,60.14%,60.14,125.17ms,125.17,125.85ms,125.85,0.47ms,0.47,2018-11-10 12:19:59
"Athens Greece, Eurasia",1862km,1862,53.62ms,53.62,35.13%,35.13,53.29ms,53.29,55.12ms,55.12,0.37ms,0.37,2018-11-10 12:19:59
"Atlanta United States, North America",7784km,7784,122.38ms,122.38,63.80%,63.8,122.15ms,122.15,123.31ms,123.31,0.36ms,0.36,2018-11-10 12:19:59
"Auckland New Zealand, Oceania",17353km,17353,389.96ms,389.96,44.61%,44.61,389.80ms,389.8,390.30ms,390.3,0.80ms,0.8,2018-11-10 12:19:59
"Austin United States, North America",8820km,8820,158.32ms,158.32,55.82%,55.82,148.93ms,148.93,189.23ms,189.23,11.88ms,11.88,2018-11-10 12:19:59
"Baltimore United States, North America",6868km,6868,113.34ms,113.34,60.78%,60.78,113.02ms,113.02,115.12ms,115.12,0.56ms,0.56,2018-11-10 12:19:59
"Bangalore India, Eurasia",6854km,6854,187.69ms,187.69,36.65%,36.65,187.52ms,187.52,188.47ms,188.47,0.55ms,0.55,2018-11-10 12:19:59
"Bangkok Thailand, Eurasia",8245km,8245,199.48ms,199.48,41.43%,41.43,190.29ms,190.29,234.68ms,234.68,12.51ms,12.51,2018-11-10 12:19:59
"Barcelona Spain, Eurasia",1884km,1884,65.47ms,65.47,28.98%,28.98,65.18ms,65.18,66.00ms,66.0,0.21ms,0.21,2018-11-10 12:19:59
"Basel Switzerland, Eurasia",1079km,1079,31.12ms,31.12,34.81%,34.81,30.96ms,30.96,31.93ms,31.93,0.19ms,0.19,2018-11-10 12:19:59
"Belfast United Kingdom, Eurasia",1579km,1579,48.59ms,48.59,32.90%,32.9,48.46ms,48.46,48.82ms,48.82,0.32ms,0.32,2018-11-10 12:19:59
"Bergen Norway, Eurasia",1038km,1038,53.02ms,53.02,19.58%,19.58,52.78ms,52.78,53.90ms,53.9,0.33ms,0.33,2018-11-10 12:19:59
"Berkeley Springs United States, North America",6930km,6930,119.25ms,119.25,58.24%,58.24,119.00ms,119.0,120.08ms,120.08,0.41ms,0.41,2018-11-10 12:19:59
"Bern Switzerland, Eurasia",1137km,1137,33.55ms,33.55,34.45%,34.45,33.36ms,33.36,33.98ms,33.98,0.28ms,0.28,2018-11-10 12:19:59
"Bogota Colombia, South America",9770km,9770,191.12ms,191.12,51.15%,51.15,190.44ms,190.44,197.68ms,197.68,1.58ms,1.58,2018-11-10 12:19:59
"Boston United States, North America",6300km,6300,108.85ms,108.85,58.33%,58.33,108.62ms,108.62,109.98ms,109.98,0.46ms,0.46,2018-11-10 12:19:59
"Brasilia Brazil, South America",9995km,9995,239.50ms,239.5,41.82%,41.82,238.93ms,238.93,245.27ms,245.27,1.38ms,1.38,2018-11-10 12:19:59
"Bratislava Slovakia, Eurasia",698km,698,22.49ms,22.49,31.73%,31.73,22.37ms,22.37,22.75ms,22.75,0.17ms,0.17,2018-11-10 12:19:59
"Brisbane Australia, Oceania",15287km,15287,320.50ms,320.5,47.77%,47.77,319.89ms,319.89,323.21ms,323.21,0.89ms,0.89,2018-11-10 12:19:59
"Bristol United Kingdom, Eurasia",1453km,1453,45.57ms,45.57,32.29%,32.29,45.37ms,45.37,46.48ms,46.48,0.34ms,0.34,2018-11-10 12:19:59
"Brno Czech Republic, Eurasia",589km,589,16.25ms,16.25,36.81%,36.81,16.02ms,16.02,19.15ms,19.15,0.57ms,0.57,2018-11-10 12:19:59
"Bruges Belgium, Eurasia",1090km,1090,35.74ms,35.74,31.14%,31.14,35.49ms,35.49,36.91ms,36.91,0.36ms,0.36,2018-11-10 12:19:59
"Brunswick United States, North America",6115km,6115,112.82ms,112.82,54.60%,54.6,112.62ms,112.62,113.39ms,113.39,0.44ms,0.44,2018-11-10 12:19:59
"Brussels Belgium, Eurasia",1038km,1038,28.79ms,28.79,37.07%,37.07,28.61ms,28.61,29.55ms,29.55,0.29ms,0.29,2018-11-10 12:19:59
"Bucharest Romania, Eurasia",1228km,1228,34.14ms,34.14,36.12%,36.12,33.85ms,33.85,38.68ms,38.68,0.87ms,0.87,2018-11-10 12:19:59
"Budapest Hungary, Eurasia",762km,762,33.91ms,33.91,23.09%,23.09,33.19ms,33.19,37.74ms,37.74,0.84ms,0.84,2018-11-10 12:19:59
"Buenos Aires Argentina, South America",12314km,12314,251.33ms,251.33,49.06%,49.06,247.34ms,247.34,264.51ms,264.51,4.31ms,4.31,2018-11-10 12:19:59
"Buffalo United States, North America",6694km,6694,108.22ms,108.22,61.98%,61.98,107.31ms,107.31,112.28ms,112.28,1.42ms,1.42,2018-11-10 12:19:59
"Bursa Turkey, Eurasia",1756km,1756,82.08ms,82.08,21.41%,21.41,81.61ms,81.61,84.12ms,84.12,0.69ms,0.69,2018-11-10 12:19:59
"Cairo Egypt, Africa",2884km,2884,80.92ms,80.92,36.05%,36.05,78.10ms,78.1,85.58ms,85.58,2.28ms,2.28,2018-11-10 12:19:59
"Calgary Canada, North America",7502km,7502,174.00ms,174.0,43.36%,43.36,172.58ms,172.58,178.53ms,178.53,1.75ms,1.75,2018-11-10 12:20:00
"Canberra Australia, Oceania",15696km,15696,319.23ms,319.23,49.20%,49.2,318.33ms,318.33,321.15ms,321.15,0.98ms,0.98,2018-11-10 12:20:00
"Cape Town South Africa, Africa",9824km,9824,184.84ms,184.84,53.39%,53.39,184.49ms,184.49,186.72ms,186.72,0.61ms,0.61,2018-11-10 12:20:00
"Caracas Venezuela, South America",8776km,8776,182.23ms,182.23,48.22%,48.22,181.19ms,181.19,186.40ms,186.4,1.25ms,1.25,2018-11-10 12:20:00
"Cardiff United Kingdom, Eurasia",1491km,1491,42.94ms,42.94,35.50%,35.5,42.31ms,42.31,47.89ms,47.89,1.08ms,1.08,2018-11-10 12:20:00
"Carlow Ireland, Eurasia",1686km,1686,50.09ms,50.09,33.72%,33.72,49.78ms,49.78,51.73ms,51.73,0.45ms,0.45,2018-11-10 12:20:00
"Charlotte United States, North America",7454km,7454,122.99ms,122.99,61.10%,61.1,122.81ms,122.81,123.83ms,123.83,0.25ms,0.25,2018-11-10 12:20:00
"Cheltenham United Kingdom, Eurasia",1403km,1403,43.05ms,43.05,32.63%,32.63,42.85ms,42.85,44.24ms,44.24,0.32ms,0.32,2018-11-10 12:20:00
"Chennai India, Eurasia",7010km,7010,150.54ms,150.54,46.73%,46.73,150.24ms,150.24,153.03ms,153.03,0.56ms,0.56,2018-11-10 12:20:00
"Chicago United States, North America",7245km,7245,129.89ms,129.89,56.16%,56.16,129.69ms,129.69,131.16ms,131.16,0.45ms,0.45,2018-11-10 12:20:00
"Chisinau Moldova, Eurasia",1090km,1090,30.06ms,30.06,36.33%,36.33,29.76ms,29.76,33.12ms,33.12,0.62ms,0.62,2018-11-10 12:20:00
"Christchurch New Zealand, Oceania",17787km,17787,344.56ms,344.56,51.71%,51.71,343.88ms,343.88,348.03ms,348.03,1.01ms,1.01,2018-11-10 12:20:00
"Cincinnati United States, North America",7321km,7321,134.09ms,134.09,54.63%,54.63,133.94ms,133.94,134.87ms,134.87,0.27ms,0.27,2018-11-10 12:20:00
"Cleveland United States, North America",6927km,6927,127.28ms,127.28,54.54%,54.54,127.04ms,127.04,127.72ms,127.72,0.22ms,0.22,2018-11-10 12:20:00
"Colorado Springs United States, North America",8334km,8334,157.07ms,157.07,53.08%,53.08,155.70ms,155.7,189.23ms,189.23,6.01ms,6.01,2018-11-10 12:20:00
"Columbus United States, North America",7164km,7164,130.75ms,130.75,55.11%,55.11,130.49ms,130.49,131.63ms,131.63,0.40ms,0.4,2018-11-10 12:20:00
"Copenhagen Denmark, Eurasia",413km,413,39.35ms,39.35,10.59%,10.59,38.99ms,38.99,40.53ms,40.53,0.36ms,0.36,2018-11-10 12:20:00
"Coventry United Kingdom, Eurasia",1349km,1349,45.04ms,45.04,29.98%,29.98,44.84ms,44.84,47.71ms,47.71,0.59ms,0.59,2018-11-10 12:20:00
"Cromwell United States, North America",6452km,6452,114.82ms,114.82,56.60%,56.6,114.39ms,114.39,117.01ms,117.01,0.45ms,0.45,2018-11-10 12:20:00
"Dagupan Philippines, Eurasia",9302km,9302,366.15ms,366.15,25.42%,25.42,363.21ms,363.21,375.88ms,375.88,2.39ms,2.39,2018-11-10 12:20:00
"Dallas United States, North America",8534km,8534,143.31ms,143.31,59.68%,59.68,142.82ms,142.82,151.62ms,151.62,1.61ms,1.61,2018-11-10 12:20:00
"Dar es Salaam Tanzania, Africa",7069km,7069,180.02ms,180.02,39.27%,39.27,179.70ms,179.7,181.49ms,181.49,0.52ms,0.52,2018-11-10 12:20:00
"Denver United States, North America",8259km,8259,142.63ms,142.63,58.16%,58.16,142.19ms,142.19,149.62ms,149.62,1.32ms,1.32,2018-11-10 12:20:00
"Des Moines United States, North America",7565km,7565,133.51ms,133.51,56.88%,56.88,133.31ms,133.31,133.76ms,133.76,0.12ms,0.12,2018-11-10 12:20:00
"Detroit United States, North America",6964km,6964,125.80ms,125.8,55.71%,55.71,125.53ms,125.53,126.40ms,126.4,0.31ms,0.31,2018-11-10 12:20:00
"Dhaka Bangladesh, Eurasia",6718km,6718,183.62ms,183.62,36.71%,36.71,181.41ms,181.41,231.03ms,231.03,8.84ms,8.84,2018-11-10 12:20:00
"Dronten Netherlands, Eurasia",878km,878,27.50ms,27.5,32.52%,32.52,26.51ms,26.51,39.20ms,39.2,2.29ms,2.29,2018-11-10 12:20:00
"Dubai United Arab Emirates, Eurasia",4444km,4444,148.08ms,148.08,30.03%,30.03,147.75ms,147.75,148.78ms,148.78,0.40ms,0.4,2018-11-10 12:20:00
