City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",9169km,9169,220.41ms,220.41,41.68%,41.68,220.15ms,220.15,221.69ms,221.69,0.66ms,0.66,2018-11-10 12:19:21
"Albany United States, North America",7952km,7952,163.30ms,163.3,48.79%,48.79,113.28ms,113.28,215.99ms,215.99,39.67ms,39.67,2018-11-10 12:19:21
"Alblasserdam Netherlands, Eurasia",11705km,11705,184.19ms,184.19,63.61%,63.61,183.85ms,183.85,186.33ms,186.33,0.67ms,0.67,2018-11-10 12:19:21
"Albuquerque United States, North America",5188km,5188,96.50ms,96.5,54.04%,54.04,93.22ms,93.22,140.12ms,140.12,9.92ms,9.92,2018-11-10 12:19:21
"Algiers Algeria, Africa",13258km,13258,224.48ms,224.48,59.19%,59.19,223.95ms,223.95,225.00ms,225.0,0.62ms,0.62,2018-11-10 12:19:21
"Amsterdam Netherlands, Eurasia",11660km,11660,184.94ms,184.94,63.37%,63.37,184.63ms,184.63,185.25ms,185.25,0.42ms,0.42,2018-11-10 12:19:21
"Anchorage United States, North America",4482km,4482,122.38ms,122.38,36.74%,36.74,122.13ms,122.13,122.95ms,122.95,0.27ms,0.27,2018-11-10 12:19:21
"Ankara Turkey, Eurasia",13120km,13120,229.10ms,229.1,57.29%,57.29,228.43ms,228.43,238.78ms,238.78,1.85ms,1.85,2018-11-10 12:19:21
"Antwerp Belgium, Eurasia",11769km,11769,188.40ms,188.4,62.60%,62.6,188.19ms,188.19,188.58ms,188.58,0.51ms,0.51,2018-11-10 12:19:21
"Arezzo Italy, Eurasia",12739km,12739,210.54ms,210.54,60.66%,60.66,210.21ms,210.21,210.84ms,210.84,0.63ms,0.63,2018-11-10 12:19:21
"Asheville United States, North America",7358km,7358,113.80ms,113.8,65.12%,65.12,113.68ms,113.68,113.99ms,113.99,0.45ms,0.45,2018-11-10 12:19:22
"Athens Greece, Eurasia",13426km,13426,236.39ms,236.39,56.89%,56.89,236.12ms,236.12,236.86ms,236.86,0.18ms,0.18,2018-11-10 12:19:22
"Atlanta United States, North America",7228km,7228,99.88ms,99.88,73.01%,73.01,99.64ms,99.64,101.45ms,101.45,0.44ms,0.44,2018-11-10 12:19:22
"Auckland New Zealand, Oceania",7079km,7079,226.96ms,226.96,31.32%,31.32,226.81ms,226.81,227.39ms,227.39,0.59ms,0.59,2018-11-10 12:19:22
"Austin United States, North America",6031km,6031,94.61ms,94.61,64.16%,64.16,86.66ms,86.66,119.84ms,119.84,9.97ms,9.97,2018-11-10 12:19:22
"Baltimore United States, North America",7797km,7797,110.23ms,110.23,70.88%,70.88,109.72ms,109.72,112.82ms,112.82,0.64ms,0.64,2018-11-10 12:19:22
"Bangalore India, Eurasia",12870km,12870,217.86ms,217.86,59.31%,59.31,214.46ms,214.46,229.13ms,229.13,5.36ms,5.36,2018-11-10 12:19:22
"Bangkok Thailand, Eurasia",10630km,10630,252.18ms,252.18,42.18%,42.18,249.63ms,249.63,302.45ms,302.45,9.40ms,9.4,2018-11-10 12:19:22
"Barcelona Spain, Eurasia",12749km,12749,217.25ms,217.25,58.75%,58.75,216.93ms,216.93,217.52ms,217.52,0.31ms,0.31,2018-11-10 12:19:22
"Basel Switzerland, Eurasia",12223km,12223,205.17ms,205.17,59.62%,59.62,204.90ms,204.9,205.41ms,205.41,0.35ms,0.35,2018-11-10 12:19:22
"Belfast United Kingdom, Eurasia",11163km,11163,181.85ms,181.85,61.67%,61.67,181.59ms,181.59,182.01ms,182.01,0.40ms,0.4,2018-11-10 12:19:22
"Bergen Norway, Eurasia",10808km,10808,224.69ms,224.69,48.25%,48.25,223.84ms,223.84,230.89ms,230.89,1.68ms,1.68,2018-11-10 12:19:22
