City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14979km,14979,214.48ms,214.48,70.00%,70.0,214.02ms,214.02,217.70ms,217.7,0.79ms,0.79,2018-11-10 12:19:08
"Albany United States, North America",2404km,2404,85.72ms,85.72,28.28%,28.28,35.86ms,35.86,180.85ms,180.85,43.31ms,43.31,2018-11-10 12:19:08
"Alblasserdam Netherlands, Eurasia",8086km,8086,111.16ms,111.16,72.85%,72.85,109.92ms,109.92,119.65ms,119.65,2.22ms,2.22,2018-11-10 12:19:08
"Albuquerque United States, North America",1210km,1210,33.89ms,33.89,36.67%,36.67,27.79ms,27.79,83.35ms,83.35,14.33ms,14.33,2018-11-10 12:19:08
"Algiers Algeria, Africa",8758km,8758,136.87ms,136.87,64.40%,64.4,135.39ms,135.39,144.82ms,144.82,2.01ms,2.01,2018-11-10 12:19:08
"Amsterdam Netherlands, Eurasia",8068km,8068,123.10ms,123.1,65.59%,65.59,122.53ms,122.53,126.16ms,126.16,0.94ms,0.94,2018-11-10 12:19:08
"Anchorage United States, North America",5265km,5265,78.07ms,78.07,67.50%,67.5,77.17ms,77.17,83.50ms,83.5,1.64ms,1.64,2018-11-10 12:19:08
"Ankara Turkey, Eurasia",10605km,10605,155.15ms,155.15,68.42%,68.42,154.14ms,154.14,168.79ms,168.79,2.67ms,2.67,2018-11-10 12:19:08
"Antwerp Belgium, Eurasia",8103km,8103,117.03ms,117.03,69.26%,69.26,116.71ms,116.71,120.84ms,120.84,0.83ms,0.83,2018-11-10 12:19:08
"Arezzo Italy, Eurasia",9019km,9019,133.68ms,133.68,67.81%,67.81,132.70ms,132.7,141.56ms,141.56,2.03ms,2.03,2018-11-10 12:19:08
"Asheville United States, North America",1361km,1361,31.30ms,31.3,43.90%,43.9,30.86ms,30.86,35.01ms,35.01,0.91ms,0.91,2018-11-10 12:19:08
"Athens Greece, Eurasia",10183km,10183,158.44ms,158.44,64.45%,64.45,157.79ms,157.79,165.47ms,165.47,1.42ms,1.42,2018-11-10 12:19:08
"Atlanta United States, North America",1127km,1127,17.28ms,17.28,66.29%,66.29,15.68ms,15.68,46.06ms,46.06,5.52ms,5.52,2018-11-10 12:19:08
"Auckland New Zealand, Oceania",11928km,11928,195.53ms,195.53,61.17%,61.17,194.57ms,194.57,204.21ms,204.21,2.11ms,2.11,2018-11-10 12:19:08
"Austin United States, North America",236km,236,13.39ms,13.39,18.15%,18.15,4.98ms,4.98,39.16ms,39.16,9.41ms,9.41,2018-11-10 12:19:08
"Baltimore United States, North America",2011km,2011,28.98ms,28.98,71.82%,71.82,27.85ms,27.85,34.91ms,34.91,1.90ms,1.9,2018-11-10 12:19:08
"Bangalore India, Eurasia",15207km,15207,240.00ms,240.0,63.36%,63.36,239.68ms,239.68,241.27ms,241.27,0.75ms,0.75,2018-11-10 12:19:08
