City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16069km,16069,247.10ms,247.1,65.06%,65.06,246.97ms,246.97,247.40ms,247.4,0.69ms,0.69,2018-11-10 12:18:39
"Albany United States, North America",1087km,1087,75.42ms,75.42,14.49%,14.49,27.27ms,27.27,148.40ms,148.4,40.81ms,40.81,2018-11-10 12:18:39
"Alblasserdam Netherlands, Eurasia",6699km,6699,103.37ms,103.37,65.04%,65.04,103.25ms,103.25,103.76ms,103.76,0.43ms,0.43,2018-11-10 12:18:39
"Albuquerque United States, North America",1874km,1874,64.64ms,64.64,29.28%,29.28,61.28ms,61.28,107.73ms,107.73,9.87ms,9.87,2018-11-10 12:18:39
"Algiers Algeria, Africa",7448km,7448,141.34ms,141.34,52.82%,52.82,140.56ms,140.56,142.26ms,142.26,0.41ms,0.41,2018-11-10 12:18:39
"Amsterdam Netherlands, Eurasia",6680km,6680,111.59ms,111.59,60.18%,60.18,111.47ms,111.47,112.07ms,112.07,0.12ms,0.12,2018-11-10 12:18:39
"Anchorage United States, North America",4847km,4847,97.47ms,97.47,49.97%,49.97,97.12ms,97.12,100.19ms,100.19,0.58ms,0.58,2018-11-10 12:18:39
"Ankara Turkey, Eurasia",9213km,9213,150.83ms,150.83,61.42%,61.42,150.15ms,150.15,158.65ms,158.65,1.71ms,1.71,2018-11-10 12:18:39
"Antwerp Belgium, Eurasia",6717km,6717,111.30ms,111.3,60.51%,60.51,111.21ms,111.21,111.59ms,111.59,0.47ms,0.47,2018-11-10 12:18:39
"Arezzo Italy, Eurasia",7648km,7648,126.03ms,126.03,60.70%,60.7,125.80ms,125.8,129.80ms,129.8,0.80ms,0.8,2018-11-10 12:18:39
"Asheville United States, North America",561km,561,36.46ms,36.46,15.58%,15.58,36.40ms,36.4,36.53ms,36.53,0.22ms,0.22,2018-11-10 12:18:39
"Athens Greece, Eurasia",8808km,8808,153.42ms,153.42,57.57%,57.57,153.19ms,153.19,154.72ms,154.72,0.58ms,0.58,2018-11-10 12:18:39
"Atlanta United States, North America",687km,687,35.81ms,35.81,19.63%,19.63,35.40ms,35.4,39.00ms,39.0,0.75ms,0.75,2018-11-10 12:18:39
"Auckland New Zealand, Oceania",13207km,13207,235.52ms,235.52,56.20%,56.2,235.37ms,235.37,236.60ms,236.6,0.25ms,0.25,2018-11-10 12:18:39
"Austin United States, North America",1492km,1492,59.21ms,59.21,25.29%,25.29,50.10ms,50.1,101.37ms,101.37,11.30ms,11.3,2018-11-10 12:18:39
"Baltimore United States, North America",819km,819,24.19ms,24.19,34.12%,34.12,24.02ms,24.02,25.29ms,25.29,0.35ms,0.35,2018-11-10 12:18:39
"Bangalore India, Eurasia",13918km,13918,266.31ms,266.31,52.32%,52.32,266.18ms,266.18,266.45ms,266.45,0.68ms,0.68,2018-11-10 12:18:39
