City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",9209km,9209,310.32ms,310.32,29.71%,29.71,310.14ms,310.14,310.78ms,310.78,0.15ms,0.15,2018-11-10 12:22:54
"Albany United States, North America",12100km,12100,310.10ms,310.1,39.03%,39.03,248.93ms,248.93,387.14ms,387.14,39.53ms,39.53,2018-11-10 12:22:54
"Alblasserdam Netherlands, Eurasia",6766km,6766,139.29ms,139.29,48.68%,48.68,138.97ms,138.97,141.53ms,141.53,0.61ms,0.61,2018-11-10 12:22:54
"Albuquerque United States, North America",13582km,13582,261.42ms,261.42,52.04%,52.04,258.47ms,258.47,297.72ms,297.72,7.61ms,7.61,2018-11-10 12:22:54
"Algiers Algeria, Africa",7038km,7038,172.11ms,172.11,40.92%,40.92,171.51ms,171.51,172.63ms,172.63,0.48ms,0.48,2018-11-10 12:22:54
"Amsterdam Netherlands, Eurasia",6763km,6763,155.66ms,155.66,43.63%,43.63,155.47ms,155.47,155.99ms,155.99,0.28ms,0.28,2018-11-10 12:22:54
"Anchorage United States, North America",9827km,9827,292.46ms,292.46,33.65%,33.65,292.15ms,292.15,292.73ms,292.73,0.64ms,0.64,2018-11-10 12:22:54
"Ankara Turkey, Eurasia",4456km,4456,346.17ms,346.17,12.88%,12.88,345.96ms,345.96,346.62ms,346.62,0.83ms,0.83,2018-11-10 12:22:54
"Antwerp Belgium, Eurasia",6784km,6784,131.80ms,131.8,51.79%,51.79,131.63ms,131.63,131.96ms,131.96,0.19ms,0.19,2018-11-10 12:22:54
"Arezzo Italy, Eurasia",6228km,6228,136.16ms,136.16,45.79%,45.79,135.77ms,135.77,143.93ms,143.93,1.51ms,1.51,2018-11-10 12:22:54
"Asheville United States, North America",13146km,13146,247.84ms,247.84,53.22%,53.22,247.71ms,247.71,248.82ms,248.82,0.22ms,0.22,2018-11-10 12:22:54
"Athens Greece, Eurasia",5211km,5211,162.99ms,162.99,32.17%,32.17,162.79ms,162.79,164.01ms,164.01,0.38ms,0.38,2018-11-10 12:22:54
"Atlanta United States, North America",13400km,13400,255.74ms,255.74,52.55%,52.55,251.20ms,251.2,265.94ms,265.94,5.86ms,5.86,2018-11-10 12:22:54
"Auckland New Zealand, Oceania",12258km,12258,310.50ms,310.5,39.54%,39.54,310.09ms,310.09,316.30ms,316.3,1.16ms,1.16,2018-11-10 12:22:54
"Austin United States, North America",14089km,14089,269.87ms,269.87,52.38%,52.38,259.12ms,259.12,317.94ms,317.94,11.69ms,11.69,2018-11-10 12:22:54
"Baltimore United States, North America",12553km,12553,209.84ms,209.84,60.06%,60.06,209.58ms,209.58,210.86ms,210.86,0.67ms,0.67,2018-11-10 12:22:54
