City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",11483km,11483,548.17ms,548.17,20.95%,20.95,547.76ms,547.76,548.94ms,548.94,0.93ms,0.93,2018-11-10 12:22:46
"Albany United States, North America",11312km,11312,311.15ms,311.15,36.37%,36.37,242.98ms,242.98,389.15ms,389.15,39.40ms,39.4,2018-11-10 12:22:46
"Alblasserdam Netherlands, Eurasia",6300km,6300,169.53ms,169.53,37.28%,37.28,168.84ms,168.84,173.79ms,173.79,0.93ms,0.93,2018-11-10 12:22:46
"Albuquerque United States, North America",14239km,14239,293.60ms,293.6,48.60%,48.6,291.54ms,291.54,326.09ms,326.09,6.28ms,6.28,2018-11-10 12:22:46
"Algiers Algeria, Africa",5064km,5064,178.30ms,178.3,28.45%,28.45,177.66ms,177.66,179.95ms,179.95,0.52ms,0.52,2018-11-10 12:22:46
"Amsterdam Netherlands, Eurasia",6338km,6338,154.78ms,154.78,41.16%,41.16,154.13ms,154.13,159.53ms,159.53,1.17ms,1.17,2018-11-10 12:22:46
"Anchorage United States, North America",13173km,13173,324.99ms,324.99,40.66%,40.66,324.68ms,324.68,325.48ms,325.48,0.79ms,0.79,2018-11-10 12:22:46
"Ankara Turkey, Eurasia",4406km,4406,209.44ms,209.44,21.08%,21.08,208.99ms,208.99,211.97ms,211.97,0.75ms,0.75,2018-11-10 12:22:46
"Antwerp Belgium, Eurasia",6250km,6250,185.31ms,185.31,33.78%,33.78,184.79ms,184.79,188.64ms,188.64,1.01ms,1.01,2018-11-10 12:22:46
"Arezzo Italy, Eurasia",5222km,5222,177.71ms,177.71,29.50%,29.5,177.30ms,177.3,179.61ms,179.61,0.73ms,0.73,2018-11-10 12:22:46
"Asheville United States, North America",12235km,12235,248.64ms,248.64,49.33%,49.33,248.25ms,248.25,250.13ms,250.13,0.56ms,0.56,2018-11-10 12:22:46
"Athens Greece, Eurasia",4285km,4285,181.97ms,181.97,23.67%,23.67,181.54ms,181.54,184.19ms,184.19,0.68ms,0.68,2018-11-10 12:22:46
