City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15343km,15343,204.83ms,204.83,75.21%,75.21,204.57ms,204.57,205.51ms,205.51,0.33ms,0.33,2018-11-10 12:19:12
"Albany United States, North America",1791km,1791,83.84ms,83.84,21.58%,21.58,35.83ms,35.83,133.35ms,133.35,38.10ms,38.1,2018-11-10 12:19:12
"Alblasserdam Netherlands, Eurasia",7253km,7253,104.98ms,104.98,69.74%,69.74,104.67ms,104.67,106.64ms,106.64,0.51ms,0.51,2018-11-10 12:19:12
"Albuquerque United States, North America",1154km,1154,25.83ms,25.83,46.16%,46.16,20.27ms,20.27,68.11ms,68.11,12.56ms,12.56,2018-11-10 12:19:12
"Algiers Algeria, Africa",8103km,8103,135.83ms,135.83,60.02%,60.02,135.09ms,135.09,138.88ms,138.88,0.90ms,0.9,2018-11-10 12:19:12
"Amsterdam Netherlands, Eurasia",7230km,7230,104.62ms,104.62,69.52%,69.52,104.40ms,104.4,104.91ms,104.91,0.45ms,0.45,2018-11-10 12:19:12
"Anchorage United States, North America",4455km,4455,72.16ms,72.16,61.88%,61.88,71.97ms,71.97,72.59ms,72.59,0.21ms,0.21,2018-11-10 12:19:12
"Ankara Turkey, Eurasia",9736km,9736,149.96ms,149.96,65.34%,65.34,149.57ms,149.57,153.38ms,153.38,0.88ms,0.88,2018-11-10 12:19:12
"Antwerp Belgium, Eurasia",7277km,7277,108.19ms,108.19,67.38%,67.38,108.06ms,108.06,108.48ms,108.48,0.10ms,0.1,2018-11-10 12:19:12
"Arezzo Italy, Eurasia",8238km,8238,129.61ms,129.61,63.86%,63.86,129.34ms,129.34,133.71ms,133.71,0.85ms,0.85,2018-11-10 12:19:12
"Asheville United States, North America",1131km,1131,38.70ms,38.7,29.76%,29.76,38.60ms,38.6,39.19ms,39.19,0.19ms,0.19,2018-11-10 12:19:12
"Athens Greece, Eurasia",9384km,9384,171.11ms,171.11,54.88%,54.88,170.99ms,170.99,171.46ms,171.46,0.41ms,0.41,2018-11-10 12:19:12
"Atlanta United States, North America",1087km,1087,43.38ms,43.38,25.28%,25.28,43.02ms,43.02,44.94ms,44.94,0.59ms,0.59,2018-11-10 12:19:12
"Auckland New Zealand, Oceania",12532km,12532,217.75ms,217.75,57.75%,57.75,217.52ms,217.52,218.81ms,218.81,0.52ms,0.52,2018-11-10 12:19:12
"Austin United States, North America",1025km,1025,28.78ms,28.78,36.61%,36.61,19.45ms,19.45,51.83ms,51.83,9.61ms,9.61,2018-11-10 12:19:12
"Baltimore United States, North America",1545km,1545,36.34ms,36.34,42.92%,42.92,35.83ms,35.83,40.70ms,40.7,0.95ms,0.95,2018-11-10 12:19:12
"Bangalore India, Eurasia",14172km,14172,232.73ms,232.73,61.09%,61.09,232.46ms,232.46,233.87ms,233.87,0.45ms,0.45,2018-11-10 12:19:12
"Bangkok Thailand, Eurasia",13937km,13937,237.48ms,237.48,58.81%,58.81,235.62ms,235.62,283.36ms,283.36,8.55ms,8.55,2018-11-10 12:19:12
"Barcelona Spain, Eurasia",7741km,7741,123.12ms,123.12,62.93%,62.93,122.83ms,122.83,124.06ms,124.06,0.37ms,0.37,2018-11-10 12:19:12
"Basel Switzerland, Eurasia",7697km,7697,129.07ms,129.07,59.67%,59.67,128.91ms,128.91,129.88ms,129.88,0.48ms,0.48,2018-11-10 12:19:12
"Belfast United Kingdom, Eurasia",6490km,6490,101.52ms,101.52,64.26%,64.26,101.27ms,101.27,103.12ms,103.12,0.54ms,0.54,2018-11-10 12:19:12
"Bergen Norway, Eurasia",6803km,6803,141.50ms,141.5,48.25%,48.25,141.05ms,141.05,145.46ms,145.46,0.93ms,0.93,2018-11-10 12:19:12
"Berkeley Springs United States, North America",1405km,1405,34.84ms,34.84,41.32%,41.32,34.63ms,34.63,35.42ms,35.42,0.16ms,0.16,2018-11-10 12:19:12
"Bern Switzerland, Eurasia",7728km,7728,127.33ms,127.33,60.85%,60.85,127.08ms,127.08,127.95ms,127.95,0.46ms,0.46,2018-11-10 12:19:12
"Bogota Colombia, South America",4358km,4358,113.33ms,113.33,38.57%,38.57,113.06ms,113.06,113.85ms,113.85,0.48ms,0.48,2018-11-10 12:19:12
"Boston United States, North America",2008km,2008,34.49ms,34.49,59.06%,59.06,34.25ms,34.25,35.60ms,35.6,0.26ms,0.26,2018-11-10 12:19:12
"Brasilia Brazil, South America",7796km,7796,154.78ms,154.78,50.62%,50.62,153.59ms,153.59,160.95ms,160.95,1.72ms,1.72,2018-11-10 12:19:12
"Bratislava Slovakia, Eurasia",8212km,8212,123.02ms,123.02,66.76%,66.76,122.81ms,122.81,124.12ms,124.12,0.48ms,0.48,2018-11-10 12:19:12
