City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16196km,16196,243.59ms,243.59,66.65%,66.65,238.92ms,238.92,354.00ms,354.0,20.59ms,20.59,2018-11-10 12:20:06
"Albany United States, North America",1153km,1153,169.65ms,169.65,6.82%,6.82,29.48ms,29.48,702.10ms,702.1,161.28ms,161.28,2018-11-10 12:20:06
"Alblasserdam Netherlands, Eurasia",6861km,6861,273.64ms,273.64,25.13%,25.13,116.53ms,116.53,389.16ms,389.16,55.15ms,55.15,2018-11-10 12:20:06
"Albuquerque United States, North America",2049km,2049,212.46ms,212.46,9.67%,9.67,52.60ms,52.6,317.90ms,317.9,69.13ms,69.13,2018-11-10 12:20:06
"Algiers Algeria, Africa",7488km,7488,310.57ms,310.57,24.15%,24.15,130.75ms,130.75,473.06ms,473.06,96.13ms,96.13,2018-11-10 12:20:06
"Amsterdam Netherlands, Eurasia",6845km,6845,200.76ms,200.76,34.23%,34.23,106.77ms,106.77,432.30ms,432.3,104.28ms,104.28,2018-11-10 12:20:06
"Anchorage United States, North America",5300km,5300,112.87ms,112.87,47.32%,47.32,106.90ms,106.9,258.43ms,258.43,27.06ms,27.06,2018-11-10 12:20:06
"Ankara Turkey, Eurasia",9390km,9390,164.02ms,164.02,57.26%,57.26,161.28ms,161.28,220.23ms,220.23,10.52ms,10.52,2018-11-10 12:20:06
"Antwerp Belgium, Eurasia",6873km,6873,113.25ms,113.25,60.82%,60.82,112.79ms,112.79,113.61ms,113.61,0.29ms,0.29,2018-11-10 12:20:06
"Arezzo Italy, Eurasia",7767km,7767,122.47ms,122.47,63.66%,63.66,121.59ms,121.59,127.59ms,127.59,1.26ms,1.26,2018-11-10 12:20:07
"Asheville United States, North America",131km,131,24.64ms,24.64,5.46%,5.46,24.14ms,24.14,25.05ms,25.05,0.23ms,0.23,2018-11-10 12:20:07
"Athens Greece, Eurasia",8935km,8935,149.98ms,149.98,59.97%,59.97,149.42ms,149.42,152.34ms,152.34,0.73ms,0.73,2018-11-10 12:20:07
"Atlanta United States, North America",250km,250,7.37ms,7.37,35.71%,35.71,6.96ms,6.96,10.29ms,10.29,0.57ms,0.57,2018-11-10 12:20:07
"Auckland New Zealand, Oceania",13195km,13195,289.17ms,289.17,45.66%,45.66,288.54ms,288.54,294.76ms,294.76,1.30ms,1.3,2018-11-10 12:20:07
"Austin United States, North America",1433km,1433,43.82ms,43.82,33.33%,33.33,29.56ms,29.56,121.49ms,121.49,20.94ms,20.94,2018-11-10 12:20:07
"Baltimore United States, North America",742km,742,22.17ms,22.17,33.73%,33.73,21.57ms,21.57,24.00ms,24.0,0.59ms,0.59,2018-11-10 12:20:07
"Bangalore India, Eurasia",14241km,14241,249.81ms,249.81,57.19%,57.19,249.41ms,249.41,250.26ms,250.26,0.35ms,0.35,2018-11-10 12:20:07
"Bangkok Thailand, Eurasia",14470km,14470,272.37ms,272.37,53.20%,53.2,256.40ms,256.4,358.52ms,358.52,28.80ms,28.8,2018-11-10 12:20:07
"Barcelona Spain, Eurasia",7181km,7181,125.35ms,125.35,57.45%,57.45,124.59ms,124.59,130.91ms,130.91,1.16ms,1.16,2018-11-10 12:20:07
"Basel Switzerland, Eurasia",7255km,7255,125.72ms,125.72,58.04%,58.04,117.59ms,117.59,171.01ms,171.01,16.47ms,16.47,2018-11-10 12:20:07
"Belfast United Kingdom, Eurasia",6097km,6097,106.27ms,106.27,57.52%,57.52,105.29ms,105.29,108.69ms,108.69,1.20ms,1.2,2018-11-10 12:20:07
"Bergen Norway, Eurasia",6557km,6557,150.14ms,150.14,43.71%,43.71,138.00ms,138.0,271.85ms,271.85,25.35ms,25.35,2018-11-10 12:20:07
"Berkeley Springs United States, North America",645km,645,36.40ms,36.4,17.92%,17.92,29.50ms,29.5,172.47ms,172.47,26.27ms,26.27,2018-11-10 12:20:07
"Bern Switzerland, Eurasia",7277km,7277,121.37ms,121.37,60.14%,60.14,116.67ms,116.67,154.80ms,154.8,10.62ms,10.62,2018-11-10 12:20:07
"Bogota Colombia, South America",3633km,3633,114.55ms,114.55,31.87%,31.87,104.77ms,104.77,303.01ms,303.01,35.47ms,35.47,2018-11-10 12:20:07
"Boston United States, North America",1316km,1316,41.72ms,41.72,32.10%,32.1,31.24ms,31.24,129.44ms,129.44,24.13ms,24.13,2018-11-10 12:20:07
"Brasilia Brazil, South America",6894km,6894,222.61ms,222.61,31.05%,31.05,143.15ms,143.15,461.32ms,461.32,92.56ms,92.56,2018-11-10 12:20:07
"Bratislava Slovakia, Eurasia",7840km,7840,142.88ms,142.88,55.21%,55.21,122.44ms,122.44,339.43ms,339.43,46.89ms,46.89,2018-11-10 12:20:07
"Brisbane Australia, Oceania",14623km,14623,278.16ms,278.16,52.60%,52.6,277.87ms,277.87,278.54ms,278.54,0.41ms,0.41,2018-11-10 12:20:07
"Bristol United Kingdom, Eurasia",6411km,6411,104.70ms,104.7,61.64%,61.64,95.48ms,95.48,260.45ms,260.45,30.52ms,30.52,2018-11-10 12:20:07
"Brno Czech Republic, Eurasia",7746km,7746,124.84ms,124.84,62.47%,62.47,122.87ms,122.87,151.79ms,151.79,5.26ms,5.26,2018-11-10 12:20:07
"Bruges Belgium, Eurasia",6798km,6798,107.70ms,107.7,63.53%,63.53,101.75ms,101.75,260.25ms,260.25,28.34ms,28.34,2018-11-10 12:20:07
"Brunswick United States, North America",1480km,1480,43.40ms,43.4,34.42%,34.42,43.14ms,43.14,43.77ms,43.77,0.17ms,0.17,2018-11-10 12:20:07
"Brussels Belgium, Eurasia",6886km,6886,123.26ms,123.26,55.98%,55.98,101.58ms,101.58,437.00ms,437.0,62.01ms,62.01,2018-11-10 12:20:07
"Bucharest Romania, Eurasia",8642km,8642,152.61ms,152.61,56.86%,56.86,142.93ms,142.93,317.79ms,317.79,34.59ms,34.59,2018-11-10 12:20:07
"Budapest Hungary, Eurasia",8000km,8000,141.65ms,141.65,56.74%,56.74,124.55ms,124.55,390.30ms,390.3,55.34ms,55.34,2018-11-10 12:20:07
"Buenos Aires Argentina, South America",8285km,8285,174.87ms,174.87,47.61%,47.61,156.40ms,156.4,312.99ms,312.99,37.19ms,37.19,2018-11-10 12:20:07
"Buffalo United States, North America",883km,883,47.33ms,47.33,18.79%,18.79,37.52ms,37.52,78.06ms,78.06,12.50ms,12.5,2018-11-10 12:20:07
"Bursa Turkey, Eurasia",9131km,9131,155.17ms,155.17,58.91%,58.91,154.15ms,154.15,170.65ms,170.65,2.91ms,2.91,2018-11-10 12:20:07
"Cairo Egypt, Africa",10033km,10033,157.51ms,157.51,63.90%,63.9,152.15ms,152.15,201.91ms,201.91,9.26ms,9.26,2018-11-10 12:20:07
"Calgary Canada, North America",2919km,2919,109.37ms,109.37,26.78%,26.78,89.30ms,89.3,285.58ms,285.58,47.94ms,47.94,2018-11-10 12:20:07
"Canberra Australia, Oceania",15284km,15284,267.81ms,267.81,57.24%,57.24,261.14ms,261.14,339.56ms,339.56,16.58ms,16.58,2018-11-10 12:20:07
"Cape Town South Africa, Africa",13142km,13142,284.21ms,284.21,46.27%,46.27,235.70ms,235.7,390.37ms,390.37,43.40ms,43.4,2018-11-10 12:20:07
"Caracas Venezuela, South America",3315km,3315,65.06ms,65.06,51.00%,51.0,59.90ms,59.9,108.17ms,108.17,12.06ms,12.06,2018-11-10 12:20:07
"Cardiff United Kingdom, Eurasia",6371km,6371,119.47ms,119.47,53.54%,53.54,100.04ms,100.04,175.11ms,175.11,21.25ms,21.25,2018-11-10 12:20:07
"Carlow Ireland, Eurasia",6082km,6082,107.47ms,107.47,56.84%,56.84,103.69ms,103.69,173.22ms,173.22,13.42ms,13.42,2018-11-10 12:20:07
