City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",7854km,7854,132.91ms,132.91,59.50%,59.5,132.79ms,132.79,133.02ms,133.02,0.27ms,0.27,2018-11-10 12:20:39
"Albany United States, North America",10656km,10656,204.01ms,204.01,52.24%,52.24,144.53ms,144.53,288.11ms,288.11,41.88ms,41.88,2018-11-10 12:20:39
"Alblasserdam Netherlands, Eurasia",9353km,9353,242.44ms,242.44,38.65%,38.65,242.09ms,242.09,243.08ms,243.08,0.23ms,0.23,2018-11-10 12:20:39
"Albuquerque United States, North America",9566km,9566,196.10ms,196.1,48.81%,48.81,192.94ms,192.94,240.62ms,240.62,10.13ms,10.13,2018-11-10 12:20:39
"Algiers Algeria, Africa",10810km,10810,322.26ms,322.26,33.57%,33.57,321.82ms,321.82,322.69ms,322.69,0.67ms,0.67,2018-11-10 12:20:39
"Amsterdam Netherlands, Eurasia",9311km,9311,236.03ms,236.03,39.45%,39.45,235.87ms,235.87,236.38ms,236.38,0.33ms,0.33,2018-11-10 12:20:39
"Anchorage United States, North America",5558km,5558,115.30ms,115.3,48.33%,48.33,115.06ms,115.06,116.33ms,116.33,0.22ms,0.22,2018-11-10 12:20:39
"Ankara Turkey, Eurasia",8774km,8774,305.53ms,305.53,28.77%,28.77,304.99ms,304.99,313.12ms,313.12,1.67ms,1.67,2018-11-10 12:20:39
"Antwerp Belgium, Eurasia",9421km,9421,245.43ms,245.43,38.45%,38.45,245.27ms,245.27,245.66ms,245.66,0.66ms,0.66,2018-11-10 12:20:39
"Arezzo Italy, Eurasia",9763km,9763,253.94ms,253.94,38.59%,38.59,253.61ms,253.61,260.08ms,260.08,1.19ms,1.19,2018-11-10 12:20:39
"Asheville United States, North America",10960km,10960,214.04ms,214.04,51.21%,51.21,213.95ms,213.95,214.22ms,214.22,0.30ms,0.3,2018-11-10 12:20:39
"Athens Greece, Eurasia",9519km,9519,341.24ms,341.24,27.91%,27.91,340.87ms,340.87,343.70ms,343.7,0.95ms,0.95,2018-11-10 12:20:39
"Atlanta United States, North America",11035km,11035,206.44ms,206.44,53.57%,53.57,206.30ms,206.3,206.90ms,206.9,0.47ms,0.47,2018-11-10 12:20:39
"Auckland New Zealand, Oceania",8834km,8834,136.58ms,136.58,64.96%,64.96,136.44ms,136.44,137.71ms,137.71,0.40ms,0.4,2018-11-10 12:20:39
"Austin United States, North America",10537km,10537,198.47ms,198.47,53.22%,53.22,187.15ms,187.15,239.41ms,239.41,11.94ms,11.94,2018-11-10 12:20:39
"Baltimore United States, North America",10883km,10883,213.81ms,213.81,51.09%,51.09,213.35ms,213.35,216.05ms,216.05,0.82ms,0.82,2018-11-10 12:20:39
