City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15285km,15285,363.61ms,363.61,42.11%,42.11,363.12ms,363.12,365.89ms,365.89,0.67ms,0.67,2018-11-10 12:19:55
"Albany United States, North America",6454km,6454,149.45ms,149.45,43.32%,43.32,93.19ms,93.19,233.53ms,233.53,40.63ms,40.63,2018-11-10 12:19:55
"Alblasserdam Netherlands, Eurasia",746km,746,22.44ms,22.44,33.91%,33.91,22.23ms,22.23,23.39ms,23.39,0.32ms,0.32,2018-11-10 12:19:55
"Albuquerque United States, North America",8993km,8993,143.50ms,143.5,62.89%,62.89,140.13ms,140.13,187.81ms,187.81,10.16ms,10.16,2018-11-10 12:19:55
"Algiers Algeria, Africa",1622km,1622,55.22ms,55.22,29.49%,29.49,54.48ms,54.48,57.32ms,57.32,0.73ms,0.73,2018-11-10 12:19:55
"Amsterdam Netherlands, Eurasia",763km,763,59.49ms,59.49,12.93%,12.93,59.31ms,59.31,60.04ms,60.04,0.16ms,0.16,2018-11-10 12:19:55
"Anchorage United States, North America",7687km,7687,181.59ms,181.59,42.47%,42.47,181.13ms,181.13,185.96ms,185.96,0.95ms,0.95,2018-11-10 12:19:55
"Ankara Turkey, Eurasia",1785km,1785,57.78ms,57.78,31.32%,31.32,57.49ms,57.49,59.28ms,59.28,0.41ms,0.41,2018-11-10 12:19:55
"Antwerp Belgium, Eurasia",739km,739,28.78ms,28.78,26.39%,26.39,28.47ms,28.47,31.89ms,31.89,0.72ms,0.72,2018-11-10 12:19:55
"Arezzo Italy, Eurasia",629km,629,35.98ms,35.98,17.97%,17.97,35.37ms,35.37,46.40ms,46.4,2.00ms,2.0,2018-11-10 12:19:55
"Asheville United States, North America",7549km,7549,118.69ms,118.69,63.97%,63.97,118.54ms,118.54,121.50ms,121.5,0.56ms,0.56,2018-11-10 12:19:55
"Athens Greece, Eurasia",1440km,1440,34.27ms,34.27,42.35%,42.35,34.10ms,34.1,34.96ms,34.96,0.33ms,0.33,2018-11-10 12:19:55
"Atlanta United States, North America",7813km,7813,116.41ms,116.41,67.35%,67.35,116.15ms,116.15,118.75ms,118.75,0.60ms,0.6,2018-11-10 12:19:55
"Auckland New Zealand, Oceania",17957km,17957,292.74ms,292.74,61.50%,61.5,292.58ms,292.58,293.18ms,293.18,0.64ms,0.64,2018-11-10 12:19:55
"Austin United States, North America",8933km,8933,144.28ms,144.28,62.03%,62.03,131.33ms,131.33,212.84ms,212.84,16.22ms,16.22,2018-11-10 12:19:55
"Baltimore United States, North America",6887km,6887,104.05ms,104.05,66.22%,66.22,103.10ms,103.1,116.27ms,116.27,2.54ms,2.54,2018-11-10 12:19:55
"Bangalore India, Eurasia",6998km,6998,176.94ms,176.94,39.76%,39.76,176.83ms,176.83,177.30ms,177.3,0.43ms,0.43,2018-11-10 12:19:55
"Bangkok Thailand, Eurasia",8598km,8598,278.14ms,278.14,30.93%,30.93,275.56ms,275.56,304.75ms,304.75,5.69ms,5.69,2018-11-10 12:19:55
"Barcelona Spain, Eurasia",1254km,1254,43.77ms,43.77,29.16%,29.16,43.54ms,43.54,44.70ms,44.7,0.28ms,0.28,2018-11-10 12:19:55
"Basel Switzerland, Eurasia",506km,506,23.63ms,23.63,22.00%,22.0,23.23ms,23.23,30.00ms,30.0,1.33ms,1.33,2018-11-10 12:19:55
"Belfast United Kingdom, Eurasia",1511km,1511,44.56ms,44.56,34.34%,34.34,44.30ms,44.3,46.83ms,46.83,0.45ms,0.45,2018-11-10 12:19:55
"Bergen Norway, Eurasia",1391km,1391,44.28ms,44.28,31.61%,31.61,43.81ms,43.81,49.11ms,49.11,1.01ms,1.01,2018-11-10 12:19:55
"Berkeley Springs United States, North America",6964km,6964,112.08ms,112.08,62.18%,62.18,111.81ms,111.81,113.40ms,113.4,0.46ms,0.46,2018-11-10 12:19:55
"Bern Switzerland, Eurasia",543km,543,37.76ms,37.76,14.68%,14.68,37.52ms,37.52,40.25ms,40.25,0.55ms,0.55,2018-11-10 12:19:55
"Bogota Colombia, South America",9493km,9493,182.15ms,182.15,52.16%,52.16,181.37ms,181.37,187.93ms,187.93,1.74ms,1.74,2018-11-10 12:19:55
"Boston United States, North America",6309km,6309,90.83ms,90.83,70.10%,70.1,90.64ms,90.64,91.10ms,91.1,0.41ms,0.41,2018-11-10 12:19:55
"Brasilia Brazil, South America",9425km,9425,243.65ms,243.65,38.79%,38.79,242.82ms,242.82,249.14ms,249.14,1.42ms,1.42,2018-11-10 12:19:55
"Bratislava Slovakia, Eurasia",236km,236,8.50ms,8.5,29.50%,29.5,8.33ms,8.33,9.38ms,9.38,0.24ms,0.24,2018-11-10 12:19:55
"Brisbane Australia, Oceania",15784km,15784,318.21ms,318.21,49.64%,49.64,317.92ms,317.92,321.03ms,321.03,0.79ms,0.79,2018-11-10 12:19:55
"Bristol United Kingdom, Eurasia",1220km,1220,31.79ms,31.79,39.35%,39.35,31.57ms,31.57,32.52ms,32.52,0.34ms,0.34,2018-11-10 12:19:55
"Brno Czech Republic, Eurasia",184km,184,7.36ms,7.36,26.29%,26.29,7.12ms,7.12,12.35ms,12.35,0.93ms,0.93,2018-11-10 12:19:55
"Bruges Belgium, Eurasia",817km,817,29.26ms,29.26,28.17%,28.17,28.98ms,28.98,31.97ms,31.97,0.55ms,0.55,2018-11-10 12:19:55
