City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15841km,15841,355.82ms,355.82,44.62%,44.62,353.70ms,353.7,405.86ms,405.86,9.31ms,9.31,2018-11-10 12:19:50
"Albany United States, North America",6091km,6091,145.51ms,145.51,42.01%,42.01,88.43ms,88.43,197.91ms,197.91,37.61ms,37.61,2018-11-10 12:19:50
"Alblasserdam Netherlands, Eurasia",611km,611,20.33ms,20.33,30.55%,30.55,20.01ms,20.01,21.42ms,21.42,0.27ms,0.27,2018-11-10 12:19:50
"Albuquerque United States, North America",8758km,8758,149.17ms,149.17,58.78%,58.78,143.30ms,143.3,200.75ms,200.75,14.96ms,14.96,2018-11-10 12:19:50
"Algiers Algeria, Africa",1125km,1125,33.39ms,33.39,34.09%,34.09,32.86ms,32.86,34.35ms,34.35,0.42ms,0.42,2018-11-10 12:19:50
"Amsterdam Netherlands, Eurasia",657km,657,28.39ms,28.39,23.46%,23.46,28.13ms,28.13,29.06ms,29.06,0.25ms,0.25,2018-11-10 12:19:50
"Anchorage United States, North America",7853km,7853,179.09ms,179.09,43.87%,43.87,178.71ms,178.71,179.88ms,179.88,0.35ms,0.35,2018-11-10 12:19:50
"Ankara Turkey, Eurasia",2236km,2236,60.35ms,60.35,37.27%,37.27,59.73ms,59.73,72.19ms,72.19,2.22ms,2.22,2018-11-10 12:19:50
"Antwerp Belgium, Eurasia",547km,547,22.41ms,22.41,24.86%,24.86,22.23ms,22.23,23.15ms,23.15,0.23ms,0.23,2018-11-10 12:19:50
"Arezzo Italy, Eurasia",533km,533,21.56ms,21.56,25.38%,25.38,21.24ms,21.24,25.65ms,25.65,0.79ms,0.79,2018-11-10 12:19:50
"Asheville United States, North America",7175km,7175,104.25ms,104.25,68.99%,68.99,104.13ms,104.13,104.43ms,104.43,0.32ms,0.32,2018-11-10 12:19:50
"Athens Greece, Eurasia",1692km,1692,47.64ms,47.64,36.00%,36.0,47.29ms,47.29,48.72ms,48.72,0.37ms,0.37,2018-11-10 12:19:50
"Atlanta United States, North America",7437km,7437,105.52ms,105.52,70.83%,70.83,105.22ms,105.22,110.62ms,110.62,1.00ms,1.0,2018-11-10 12:19:50
"Auckland New Zealand, Oceania",18562km,18562,309.70ms,309.7,60.07%,60.07,309.45ms,309.45,312.06ms,312.06,0.56ms,0.56,2018-11-10 12:19:50
"Austin United States, North America",8610km,8610,130.83ms,130.83,66.23%,66.23,119.80ms,119.8,154.50ms,154.5,10.26ms,10.26,2018-11-10 12:19:50
"Baltimore United States, North America",6510km,6510,90.78ms,90.78,72.33%,72.33,90.49ms,90.49,92.00ms,92.0,0.55ms,0.55,2018-11-10 12:19:50
"Bangalore India, Eurasia",7515km,7515,154.06ms,154.06,48.80%,48.8,153.93ms,153.93,154.34ms,154.34,0.55ms,0.55,2018-11-10 12:19:50
"Bangkok Thailand, Eurasia",9195km,9195,174.32ms,174.32,52.84%,52.84,170.92ms,170.92,209.52ms,209.52,8.44ms,8.44,2018-11-10 12:19:50
"Barcelona Spain, Eurasia",673km,673,20.03ms,20.03,33.65%,33.65,19.79ms,19.79,20.50ms,20.5,0.24ms,0.24,2018-11-10 12:19:50
"Basel Switzerland, Eurasia",136km,136,5.62ms,5.62,27.20%,27.2,4.89ms,4.89,19.61ms,19.61,2.63ms,2.63,2018-11-10 12:19:50
"Belfast United Kingdom, Eurasia",1259km,1259,36.08ms,36.08,34.97%,34.97,35.95ms,35.95,36.56ms,36.56,0.16ms,0.16,2018-11-10 12:19:50
"Bergen Norway, Eurasia",1543km,1543,51.76ms,51.76,30.25%,30.25,51.45ms,51.45,54.05ms,54.05,0.54ms,0.54,2018-11-10 12:19:50
"Berkeley Springs United States, North America",6597km,6597,105.21ms,105.21,62.83%,62.83,104.98ms,104.98,105.51ms,105.51,0.42ms,0.42,2018-11-10 12:19:50
"Bern Switzerland, Eurasia",78km,78,7.37ms,7.37,11.14%,11.14,7.12ms,7.12,8.84ms,8.84,0.31ms,0.31,2018-11-10 12:19:50
"Bogota Colombia, South America",8928km,8928,179.77ms,179.77,49.88%,49.88,179.03ms,179.03,187.07ms,187.07,1.80ms,1.8,2018-11-10 12:19:50
