City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15891km,15891,313.05ms,313.05,50.77%,50.77,312.76ms,312.76,313.93ms,313.93,0.65ms,0.65,2018-11-10 12:19:21
"Albany United States, North America",5822km,5822,135.53ms,135.53,43.13%,43.13,80.75ms,80.75,216.08ms,216.08,39.40ms,39.4,2018-11-10 12:19:21
"Alblasserdam Netherlands, Eurasia",151km,151,6.40ms,6.4,25.17%,25.17,6.26ms,6.26,7.24ms,7.24,0.20ms,0.2,2018-11-10 12:19:21
"Albuquerque United States, North America",8408km,8408,133.86ms,133.86,63.22%,63.22,128.43ms,128.43,175.98ms,175.98,13.18ms,13.18,2018-11-10 12:19:21
"Algiers Algeria, Africa",1556km,1556,48.69ms,48.69,32.42%,32.42,48.08ms,48.08,49.52ms,49.52,0.40ms,0.4,2018-11-10 12:19:21
"Amsterdam Netherlands, Eurasia",195km,195,9.23ms,9.23,21.67%,21.67,9.07ms,9.07,9.40ms,9.4,0.15ms,0.15,2018-11-10 12:19:21
"Anchorage United States, North America",7389km,7389,167.77ms,167.77,44.25%,44.25,167.47ms,167.47,168.36ms,168.36,0.50ms,0.5,2018-11-10 12:19:21
"Ankara Turkey, Eurasia",2424km,2424,56.71ms,56.71,43.29%,43.29,56.36ms,56.36,58.66ms,58.66,0.51ms,0.51,2018-11-10 12:19:21
"Antwerp Belgium, Eurasia",105km,105,5.78ms,5.78,21.00%,21.0,5.71ms,5.71,5.89ms,5.89,0.11ms,0.11,2018-11-10 12:19:21
"Arezzo Italy, Eurasia",927km,927,34.12ms,34.12,27.26%,27.26,34.04ms,34.04,34.31ms,34.31,0.22ms,0.22,2018-11-10 12:19:21
"Asheville United States, North America",6915km,6915,95.52ms,95.52,72.79%,72.79,95.43ms,95.43,95.86ms,95.86,0.41ms,0.41,2018-11-10 12:19:21
"Athens Greece, Eurasia",2006km,2006,56.81ms,56.81,35.82%,35.82,56.63ms,56.63,57.41ms,57.41,0.24ms,0.24,2018-11-10 12:19:21
"Atlanta United States, North America",7179km,7179,104.48ms,104.48,69.03%,69.03,103.70ms,103.7,110.81ms,110.81,1.86ms,1.86,2018-11-10 12:19:21
"Auckland New Zealand, Oceania",18260km,18260,311.03ms,311.03,58.71%,58.71,310.91ms,310.91,311.71ms,311.71,0.63ms,0.63,2018-11-10 12:19:21
"Austin United States, North America",8313km,8313,136.06ms,136.06,61.12%,61.12,124.28ms,124.28,160.28ms,160.28,10.55ms,10.55,2018-11-10 12:19:21
"Baltimore United States, North America",6252km,6252,81.88ms,81.88,77.19%,77.19,81.56ms,81.56,83.25ms,83.25,0.50ms,0.5,2018-11-10 12:19:21
"Bangalore India, Eurasia",7633km,7633,139.39ms,139.39,54.91%,54.91,139.34ms,139.34,139.46ms,139.46,0.03ms,0.03,2018-11-10 12:19:21
"Bangkok Thailand, Eurasia",9172km,9172,180.05ms,180.05,50.96%,50.96,171.52ms,171.52,211.98ms,211.98,11.38ms,11.38,2018-11-10 12:19:21
"Barcelona Spain, Eurasia",1061km,1061,36.53ms,36.53,29.47%,29.47,36.25ms,36.25,36.86ms,36.86,0.27ms,0.27,2018-11-10 12:19:21
"Basel Switzerland, Eurasia",371km,371,25.02ms,25.02,14.84%,14.84,24.93ms,24.93,25.25ms,25.25,0.22ms,0.22,2018-11-10 12:19:21
"Belfast United Kingdom, Eurasia",892km,892,25.27ms,25.27,35.68%,35.68,24.62ms,24.62,38.23ms,38.23,2.42ms,2.42,2018-11-10 12:19:22
"Bergen Norway, Eurasia",1084km,1084,40.16ms,40.16,27.10%,27.1,39.93ms,39.93,40.84ms,40.84,0.35ms,0.35,2018-11-10 12:19:22
"Berkeley Springs United States, North America",6331km,6331,102.03ms,102.03,62.07%,62.07,101.83ms,101.83,102.33ms,102.33,0.47ms,0.47,2018-11-10 12:19:22
"Bern Switzerland, Eurasia",432km,432,29.50ms,29.5,14.90%,14.9,29.32ms,29.32,30.95ms,30.95,0.33ms,0.33,2018-11-10 12:19:22
"Bogota Colombia, South America",8886km,8886,174.30ms,174.3,51.07%,51.07,173.43ms,173.43,184.08ms,184.08,2.23ms,2.23,2018-11-10 12:19:22
