City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13587km,13587,290.56ms,290.56,46.85%,46.85,290.40ms,290.4,290.94ms,290.94,0.62ms,0.62,2018-11-10 12:20:30
"Albany United States, North America",6103km,6103,158.72ms,158.72,38.63%,38.63,100.32ms,100.32,226.12ms,226.12,38.26ms,38.26,2018-11-10 12:20:30
"Alblasserdam Netherlands, Eurasia",10499km,10499,176.43ms,176.43,59.65%,59.65,176.10ms,176.1,177.27ms,177.27,0.63ms,0.63,2018-11-10 12:20:30
"Albuquerque United States, North America",6100km,6100,132.67ms,132.67,46.21%,46.21,127.88ms,127.88,170.12ms,170.12,10.38ms,10.38,2018-11-10 12:20:30
"Algiers Algeria, Africa",9946km,9946,219.36ms,219.36,45.42%,45.42,218.92ms,218.92,220.16ms,220.16,0.38ms,0.38,2018-11-10 12:20:30
"Amsterdam Netherlands, Eurasia",10514km,10514,176.31ms,176.31,59.74%,59.74,176.10ms,176.1,177.39ms,177.39,0.54ms,0.54,2018-11-10 12:20:30
"Anchorage United States, North America",10292km,10292,172.78ms,172.78,59.84%,59.84,172.48ms,172.48,173.97ms,173.97,0.64ms,0.64,2018-11-10 12:20:31
"Ankara Turkey, Eurasia",12557km,12557,222.93ms,222.93,56.56%,56.56,222.38ms,222.38,232.19ms,232.19,1.84ms,1.84,2018-11-10 12:20:31
"Antwerp Belgium, Eurasia",10465km,10465,191.04ms,191.04,54.79%,54.79,190.65ms,190.65,196.80ms,196.8,1.16ms,1.16,2018-11-10 12:20:31
"Arezzo Italy, Eurasia",10840km,10840,192.96ms,192.96,56.46%,56.46,192.77ms,192.77,193.52ms,193.52,0.27ms,0.27,2018-11-10 12:20:31
"Asheville United States, North America",5331km,5331,107.04ms,107.04,49.82%,49.82,106.85ms,106.85,108.98ms,108.98,0.48ms,0.48,2018-11-10 12:20:31
"Athens Greece, Eurasia",11766km,11766,222.38ms,222.38,53.00%,53.0,221.93ms,221.93,224.56ms,224.56,0.91ms,0.91,2018-11-10 12:20:31
"Atlanta United States, North America",5152km,5152,92.50ms,92.5,56.00%,56.0,91.89ms,91.89,99.42ms,99.42,1.66ms,1.66,2018-11-10 12:20:31
"Auckland New Zealand, Oceania",10775km,10775,363.98ms,363.98,29.68%,29.68,363.33ms,363.33,374.86ms,374.86,2.25ms,2.25,2018-11-10 12:20:31
"Austin United States, North America",5200km,5200,124.23ms,124.23,41.94%,41.94,111.69ms,111.69,179.90ms,179.9,14.41ms,14.41,2018-11-10 12:20:31
"Baltimore United States, North America",5709km,5709,104.63ms,104.63,54.89%,54.89,103.97ms,103.97,109.93ms,109.93,1.32ms,1.32,2018-11-10 12:20:31
"Bangalore India, Eurasia",17264km,17264,296.61ms,296.61,58.32%,58.32,296.27ms,296.27,298.56ms,298.56,0.83ms,0.83,2018-11-10 12:20:31
"Bangkok Thailand, Eurasia",19690km,19690,325.38ms,325.38,60.58%,60.58,313.81ms,313.81,396.07ms,396.07,15.78ms,15.78,2018-11-10 12:20:31
"Barcelona Spain, Eurasia",10013km,10013,206.10ms,206.1,48.61%,48.61,205.71ms,205.71,208.40ms,208.4,0.75ms,0.75,2018-11-10 12:20:31
"Basel Switzerland, Eurasia",10597km,10597,189.72ms,189.72,56.07%,56.07,189.38ms,189.38,194.46ms,194.46,0.92ms,0.92,2018-11-10 12:20:31
"Belfast United Kingdom, Eurasia",9924km,9924,188.01ms,188.01,52.79%,52.79,187.81ms,187.81,188.44ms,188.44,0.33ms,0.33,2018-11-10 12:20:31
"Bergen Norway, Eurasia",10758km,10758,207.79ms,207.79,51.97%,51.97,207.18ms,207.18,218.17ms,218.17,2.04ms,2.04,2018-11-10 12:20:31
"Berkeley Springs United States, North America",5748km,5748,116.17ms,116.17,49.55%,49.55,116.05ms,116.05,116.51ms,116.51,0.35ms,0.35,2018-11-10 12:20:31
"Bern Switzerland, Eurasia",10573km,10573,184.42ms,184.42,57.46%,57.46,184.25ms,184.25,184.77ms,184.77,0.36ms,0.36,2018-11-10 12:20:31
"Bogota Colombia, South America",1879km,1879,141.78ms,141.78,13.33%,13.33,141.16ms,141.16,147.33ms,147.33,1.24ms,1.24,2018-11-10 12:20:31
"Boston United States, North America",6081km,6081,101.35ms,101.35,60.21%,60.21,101.04ms,101.04,101.87ms,101.87,0.47ms,0.47,2018-11-10 12:20:31
"Brasilia Brazil, South America",3171km,3171,104.76ms,104.76,30.49%,30.49,100.98ms,100.98,175.78ms,175.78,13.75ms,13.75,2018-11-10 12:20:31
"Bratislava Slovakia, Eurasia",11309km,11309,194.26ms,194.26,58.29%,58.29,193.96ms,193.96,195.75ms,195.75,0.54ms,0.54,2018-11-10 12:20:31
"Brisbane Australia, Oceania",13062km,13062,336.97ms,336.97,38.88%,38.88,336.29ms,336.29,347.67ms,347.67,2.10ms,2.1,2018-11-10 12:20:31
"Bristol United Kingdom, Eurasia",10008km,10008,164.10ms,164.1,61.02%,61.02,163.87ms,163.87,164.90ms,164.9,0.52ms,0.52,2018-11-10 12:20:31
"Brno Czech Republic, Eurasia",11284km,11284,193.22ms,193.22,58.47%,58.47,192.88ms,192.88,200.13ms,200.13,1.29ms,1.29,2018-11-10 12:20:31
"Bruges Belgium, Eurasia",10386km,10386,169.85ms,169.85,61.46%,61.46,169.58ms,169.58,170.97ms,170.97,0.29ms,0.29,2018-11-10 12:20:31
"Brunswick United States, North America",6264km,6264,108.41ms,108.41,58.00%,58.0,108.23ms,108.23,108.79ms,108.79,0.39ms,0.39,2018-11-10 12:20:31
"Brussels Belgium, Eurasia",10452km,10452,165.61ms,165.61,63.35%,63.35,165.49ms,165.49,166.02ms,166.02,0.50ms,0.5,2018-11-10 12:20:31
"Bucharest Romania, Eurasia",11983km,11983,207.81ms,207.81,57.89%,57.89,207.66ms,207.66,208.29ms,208.29,0.61ms,0.61,2018-11-10 12:20:31
