City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13394km,13394,358.67ms,358.67,37.41%,37.41,357.98ms,357.98,360.32ms,360.32,0.83ms,0.83,2018-11-10 12:20:49
"Albany United States, North America",8651km,8651,188.01ms,188.01,46.02%,46.02,123.96ms,123.96,275.16ms,275.16,42.53ms,42.53,2018-11-10 12:20:49
"Alblasserdam Netherlands, Eurasia",2957km,2957,59.08ms,59.08,50.12%,50.12,58.72ms,58.72,60.80ms,60.8,0.49ms,0.49,2018-11-10 12:20:49
"Albuquerque United States, North America",11199km,11199,181.39ms,181.39,61.87%,61.87,175.23ms,175.23,227.11ms,227.11,13.54ms,13.54,2018-11-10 12:20:49
"Algiers Algeria, Africa",2705km,2705,97.50ms,97.5,27.89%,27.89,97.11ms,97.11,98.02ms,98.02,0.45ms,0.45,2018-11-10 12:20:49
"Amsterdam Netherlands, Eurasia",2978km,2978,64.06ms,64.06,46.53%,46.53,63.74ms,63.74,66.37ms,66.37,0.50ms,0.5,2018-11-10 12:20:49
"Anchorage United States, North America",9352km,9352,221.25ms,221.25,42.32%,42.32,221.02ms,221.02,222.09ms,222.09,0.24ms,0.24,2018-11-10 12:20:49
"Ankara Turkey, Eurasia",585km,585,98.78ms,98.78,5.97%,5.97,98.50ms,98.5,100.06ms,100.06,0.42ms,0.42,2018-11-10 12:20:49
"Antwerp Belgium, Eurasia",2938km,2938,68.86ms,68.86,43.21%,43.21,68.66ms,68.66,70.33ms,70.33,0.47ms,0.47,2018-11-10 12:20:49
"Arezzo Italy, Eurasia",2065km,2065,76.73ms,76.73,27.17%,27.17,76.47ms,76.47,80.14ms,80.14,0.67ms,0.67,2018-11-10 12:20:49
"Asheville United States, North America",9740km,9740,139.02ms,139.02,70.07%,70.07,138.69ms,138.69,141.09ms,141.09,0.57ms,0.57,2018-11-10 12:20:49
"Athens Greece, Eurasia",911km,911,106.73ms,106.73,8.59%,8.59,106.48ms,106.48,107.47ms,107.47,0.30ms,0.3,2018-11-10 12:20:49
"Atlanta United States, North America",10003km,10003,143.59ms,143.59,69.95%,69.95,143.21ms,143.21,145.24ms,145.24,0.56ms,0.56,2018-11-10 12:20:49
"Auckland New Zealand, Oceania",16578km,16578,321.33ms,321.33,51.64%,51.64,321.05ms,321.05,325.58ms,325.58,1.08ms,1.08,2018-11-10 12:20:49
"Austin United States, North America",11147km,11147,167.81ms,167.81,66.75%,66.75,157.37ms,157.37,199.65ms,199.65,11.81ms,11.81,2018-11-10 12:20:49
"Baltimore United States, North America",9076km,9076,133.80ms,133.8,68.24%,68.24,133.41ms,133.41,135.84ms,135.84,0.58ms,0.58,2018-11-10 12:20:49
"Bangalore India, Eurasia",5080km,5080,197.15ms,197.15,25.79%,25.79,196.74ms,196.74,200.91ms,200.91,1.10ms,1.1,2018-11-10 12:20:49
"Bangkok Thailand, Eurasia",7095km,7095,215.61ms,215.61,33.00%,33.0,209.49ms,209.49,253.22ms,253.22,11.98ms,11.98,2018-11-10 12:20:49
"Barcelona Spain, Eurasia",2789km,2789,65.35ms,65.35,42.91%,42.91,65.12ms,65.12,65.95ms,65.95,0.20ms,0.2,2018-11-10 12:20:49
"Basel Switzerland, Eurasia",2550km,2550,76.55ms,76.55,33.55%,33.55,76.39ms,76.39,76.89ms,76.89,0.22ms,0.22,2018-11-10 12:20:49
"Belfast United Kingdom, Eurasia",3723km,3723,71.13ms,71.13,52.44%,52.44,70.82ms,70.82,72.95ms,72.95,0.50ms,0.5,2018-11-10 12:20:49
"Bergen Norway, Eurasia",3481km,3481,97.41ms,97.41,35.89%,35.89,97.17ms,97.17,98.19ms,98.19,0.30ms,0.3,2018-11-10 12:20:49
"Berkeley Springs United States, North America",9159km,9159,136.40ms,136.4,67.35%,67.35,136.10ms,136.1,137.63ms,137.63,0.55ms,0.55,2018-11-10 12:20:49
"Bern Switzerland, Eurasia",2532km,2532,82.31ms,82.31,30.88%,30.88,81.84ms,81.84,84.38ms,84.38,0.68ms,0.68,2018-11-10 12:20:49
"Bogota Colombia, South America",11264km,11264,217.47ms,217.47,51.91%,51.91,216.65ms,216.65,226.69ms,226.69,2.08ms,2.08,2018-11-10 12:20:49
"Boston United States, North America",8497km,8497,120.25ms,120.25,70.81%,70.81,119.79ms,119.79,122.03ms,122.03,0.59ms,0.59,2018-11-10 12:20:49
"Brasilia Brazil, South America",10200km,10200,258.89ms,258.89,39.53%,39.53,254.82ms,254.82,332.08ms,332.08,13.74ms,13.74,2018-11-10 12:20:49
"Bratislava Slovakia, Eurasia",1994km,1994,65.01ms,65.01,30.68%,30.68,64.78ms,64.78,67.68ms,67.68,0.52ms,0.52,2018-11-10 12:20:49
"Brisbane Australia, Oceania",14331km,14331,350.68ms,350.68,40.95%,40.95,350.22ms,350.22,356.81ms,356.81,1.35ms,1.35,2018-11-10 12:20:49
"Bristol United Kingdom, Eurasia",3394km,3394,64.19ms,64.19,53.03%,53.03,63.94ms,63.94,64.68ms,64.68,0.35ms,0.35,2018-11-10 12:20:49
"Brno Czech Republic, Eurasia",2102km,2102,71.71ms,71.71,29.61%,29.61,71.08ms,71.08,75.48ms,75.48,1.13ms,1.13,2018-11-10 12:20:49
"Bruges Belgium, Eurasia",3010km,3010,65.96ms,65.96,46.31%,46.31,65.45ms,65.45,69.03ms,69.03,0.88ms,0.88,2018-11-10 12:20:49
"Brunswick United States, North America",8326km,8326,141.58ms,141.58,59.05%,59.05,141.12ms,141.12,147.57ms,147.57,1.25ms,1.25,2018-11-10 12:20:49
"Brussels Belgium, Eurasia",2922km,2922,60.68ms,60.68,48.70%,48.7,60.45ms,60.45,62.69ms,62.69,0.48ms,0.48,2018-11-10 12:20:49
"Bucharest Romania, Eurasia",1235km,1235,83.91ms,83.91,14.88%,14.88,83.73ms,83.73,84.10ms,84.1,0.09ms,0.09,2018-11-10 12:20:49
"Budapest Hungary, Eurasia",1841km,1841,71.64ms,71.64,25.93%,25.93,71.04ms,71.04,73.02ms,73.02,0.45ms,0.45,2018-11-10 12:20:49
"Buenos Aires Argentina, South America",12219km,12219,281.85ms,281.85,43.48%,43.48,276.82ms,276.82,293.88ms,293.88,5.11ms,5.11,2018-11-10 12:20:49
"Buffalo United States, North America",8972km,8972,130.74ms,130.74,69.02%,69.02,128.35ms,128.35,139.93ms,139.93,3.42ms,3.42,2018-11-10 12:20:49
"Bursa Turkey, Eurasia",707km,707,103.69ms,103.69,6.86%,6.86,102.97ms,102.97,112.64ms,112.64,1.78ms,1.78,2018-11-10 12:20:49
"Cairo Egypt, Africa",540km,540,119.29ms,119.29,4.54%,4.54,110.47ms,110.47,145.18ms,145.18,8.94ms,8.94,2018-11-10 12:20:49
"Calgary Canada, North America",9957km,9957,204.25ms,204.25,48.81%,48.81,202.79ms,202.79,213.62ms,213.62,2.67ms,2.67,2018-11-10 12:20:49
"Canberra Australia, Oceania",14304km,14304,337.07ms,337.07,42.45%,42.45,335.72ms,335.72,343.50ms,343.5,2.09ms,2.09,2018-11-10 12:20:49
"Cape Town South Africa, Africa",7785km,7785,200.81ms,200.81,38.92%,38.92,200.12ms,200.12,204.14ms,204.14,1.01ms,1.01,2018-11-10 12:20:49
"Caracas Venezuela, South America",10240km,10240,212.65ms,212.65,48.30%,48.3,211.92ms,211.92,213.71ms,213.71,0.49ms,0.49,2018-11-10 12:20:49
"Cardiff United Kingdom, Eurasia",3434km,3434,71.85ms,71.85,48.37%,48.37,71.36ms,71.36,73.29ms,73.29,0.54ms,0.54,2018-11-10 12:20:49
"Carlow Ireland, Eurasia",3723km,3723,73.96ms,73.96,51.00%,51.0,73.78ms,73.78,74.32ms,74.32,0.24ms,0.24,2018-11-10 12:20:49
"Charlotte United States, North America",9652km,9652,134.14ms,134.14,72.03%,72.03,133.67ms,133.67,142.12ms,142.12,1.53ms,1.53,2018-11-10 12:20:49
"Cheltenham United Kingdom, Eurasia",3378km,3378,63.62ms,63.62,53.62%,53.62,63.24ms,63.24,67.99ms,67.99,0.89ms,0.89,2018-11-10 12:20:49
"Chennai India, Eurasia",5308km,5308,187.73ms,187.73,28.39%,28.39,186.82ms,186.82,196.56ms,196.56,2.14ms,2.14,2018-11-10 12:20:49
"Chicago United States, North America",9583km,9583,137.70ms,137.7,69.95%,69.95,137.49ms,137.49,138.60ms,138.6,0.43ms,0.43,2018-11-10 12:20:49
"Chisinau Moldova, Eurasia",1414km,1414,93.07ms,93.07,15.20%,15.2,92.52ms,92.52,97.11ms,97.11,1.06ms,1.06,2018-11-10 12:20:49
"Christchurch New Zealand, Oceania",16432km,16432,347.12ms,347.12,47.35%,47.35,346.87ms,346.87,349.06ms,349.06,0.51ms,0.51,2018-11-10 12:20:49
"Cincinnati United States, North America",9605km,9605,141.08ms,141.08,68.12%,68.12,140.73ms,140.73,144.07ms,144.07,0.78ms,0.78,2018-11-10 12:20:49
"Cleveland United States, North America",9212km,9212,148.51ms,148.51,62.24%,62.24,148.01ms,148.01,153.70ms,153.7,1.10ms,1.1,2018-11-10 12:20:49
"Colorado Springs United States, North America",10762km,10762,173.01ms,173.01,62.21%,62.21,172.88ms,172.88,173.72ms,173.72,0.55ms,0.55,2018-11-10 12:20:49
"Columbus United States, North America",9444km,9444,142.73ms,142.73,66.51%,66.51,141.47ms,141.47,163.30ms,163.3,3.95ms,3.95,2018-11-10 12:20:49
"Copenhagen Denmark, Eurasia",2811km,2811,73.31ms,73.31,38.51%,38.51,72.78ms,72.78,80.97ms,80.97,1.47ms,1.47,2018-11-10 12:20:49
"Coventry United Kingdom, Eurasia",3362km,3362,70.20ms,70.2,48.03%,48.03,70.08ms,70.08,70.80ms,70.8,0.12ms,0.12,2018-11-10 12:20:49
"Cromwell United States, North America",8653km,8653,138.03ms,138.03,62.70%,62.7,137.70ms,137.7,139.12ms,139.12,0.42ms,0.42,2018-11-10 12:20:49
"Dagupan Philippines, Eurasia",8763km,8763,309.84ms,309.84,28.36%,28.36,308.95ms,308.95,315.87ms,315.87,1.41ms,1.41,2018-11-10 12:20:49
"Dallas United States, North America",10873km,10873,165.52ms,165.52,65.90%,65.9,165.28ms,165.28,167.66ms,167.66,0.63ms,0.63,2018-11-10 12:20:49
"Dar es Salaam Tanzania, Africa",4658km,4658,190.54ms,190.54,24.52%,24.52,187.45ms,187.45,272.51ms,272.51,15.23ms,15.23,2018-11-10 12:20:49
"Denver United States, North America",10690km,10690,166.54ms,166.54,64.40%,64.4,166.23ms,166.23,169.96ms,169.96,0.84ms,0.84,2018-11-10 12:20:49
"Des Moines United States, North America",9944km,9944,161.99ms,161.99,61.76%,61.76,161.80ms,161.8,163.78ms,163.78,0.57ms,0.57,2018-11-10 12:20:49
"Detroit United States, North America",9271km,9271,147.12ms,147.12,63.07%,63.07,146.94ms,146.94,149.21ms,149.21,0.54ms,0.54,2018-11-10 12:20:49
"Dhaka Bangladesh, Eurasia",5625km,5625,205.11ms,205.11,27.44%,27.44,204.62ms,204.62,207.03ms,207.03,0.60ms,0.6,2018-11-10 12:20:49
"Dronten Netherlands, Eurasia",2931km,2931,67.21ms,67.21,43.75%,43.75,65.80ms,65.8,80.10ms,80.1,3.45ms,3.45,2018-11-10 12:20:49
"Dubai United Arab Emirates, Eurasia",2400km,2400,178.00ms,178.0,13.48%,13.48,177.69ms,177.69,179.16ms,179.16,0.51ms,0.51,2018-11-10 12:20:49
"Dublin Ireland, Eurasia",3697km,3697,78.13ms,78.13,47.40%,47.4,74.83ms,74.83,166.84ms,166.84,16.48ms,16.48,2018-11-10 12:20:49
"Dusseldorf Germany, Eurasia",2794km,2794,66.65ms,66.65,42.33%,42.33,66.26ms,66.26,72.43ms,72.43,1.08ms,1.08,2018-11-10 12:20:49
"Edinburgh United Kingdom, Eurasia",3622km,3622,68.92ms,68.92,53.26%,53.26,68.53ms,68.53,72.21ms,72.21,0.78ms,0.78,2018-11-10 12:20:49
"Edmonton Canada, North America",9687km,9687,189.76ms,189.76,51.25%,51.25,189.50ms,189.5,191.28ms,191.28,0.68ms,0.68,2018-11-10 12:20:49
