City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17135km,17135,339.19ms,339.19,50.55%,50.55,338.71ms,338.71,339.72ms,339.72,0.27ms,0.27,2018-11-10 12:20:06
"Albany United States, North America",5327km,5327,167.79ms,167.79,31.90%,31.9,109.35ms,109.35,209.41ms,209.41,34.61ms,34.61,2018-11-10 12:20:06
"Alblasserdam Netherlands, Eurasia",1814km,1814,48.33ms,48.33,37.79%,37.79,48.14ms,48.14,48.75ms,48.75,0.23ms,0.23,2018-11-10 12:20:06
"Albuquerque United States, North America",8221km,8221,182.79ms,182.79,45.17%,45.17,177.02ms,177.02,229.52ms,229.52,13.14ms,13.14,2018-11-10 12:20:06
"Algiers Algeria, Africa",1097km,1097,59.50ms,59.5,18.59%,18.59,58.88ms,58.88,60.05ms,60.05,0.39ms,0.39,2018-11-10 12:20:06
"Amsterdam Netherlands, Eurasia",1853km,1853,46.54ms,46.54,40.28%,40.28,46.31ms,46.31,46.83ms,46.83,0.32ms,0.32,2018-11-10 12:20:06
"Anchorage United States, North America",8353km,8353,206.44ms,206.44,40.55%,40.55,206.09ms,206.09,206.81ms,206.81,0.18ms,0.18,2018-11-10 12:20:06
"Ankara Turkey, Eurasia",3587km,3587,83.25ms,83.25,43.22%,43.22,82.97ms,82.97,83.62ms,83.62,0.40ms,0.4,2018-11-10 12:20:06
"Antwerp Belgium, Eurasia",1749km,1749,63.09ms,63.09,27.76%,27.76,62.86ms,62.86,63.62ms,63.62,0.40ms,0.4,2018-11-10 12:20:06
"Arezzo Italy, Eurasia",1837km,1837,50.42ms,50.42,36.74%,36.74,50.16ms,50.16,51.01ms,51.01,0.24ms,0.24,2018-11-10 12:20:06
"Asheville United States, North America",6332km,6332,135.64ms,135.64,46.90%,46.9,135.42ms,135.42,135.97ms,135.97,0.50ms,0.5,2018-11-10 12:20:06
"Athens Greece, Eurasia",2856km,2856,105.27ms,105.27,27.20%,27.2,104.85ms,104.85,106.03ms,106.03,0.28ms,0.28,2018-11-10 12:20:06
"Atlanta United States, North America",6577km,6577,139.24ms,139.24,47.32%,47.32,139.03ms,139.03,139.67ms,139.67,0.41ms,0.41,2018-11-10 12:20:06
