City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16669km,16669,334.55ms,334.55,49.91%,49.91,334.23ms,334.23,335.69ms,335.69,0.31ms,0.31,2018-11-10 12:20:03
"Albany United States, North America",5662km,5662,152.50ms,152.5,37.25%,37.25,97.19ms,97.19,236.91ms,236.91,40.55ms,40.55,2018-11-10 12:20:04
"Alblasserdam Netherlands, Eurasia",1425km,1425,36.18ms,36.18,39.58%,39.58,36.04ms,36.04,37.92ms,37.92,0.35ms,0.35,2018-11-10 12:20:04
"Albuquerque United States, North America",8509km,8509,162.34ms,162.34,52.52%,52.52,155.95ms,155.95,205.69ms,205.69,13.46ms,13.46,2018-11-10 12:20:04
"Algiers Algeria, Africa",712km,712,26.74ms,26.74,27.38%,27.38,26.21ms,26.21,28.05ms,28.05,0.36ms,0.36,2018-11-10 12:20:04
"Amsterdam Netherlands, Eurasia",1469km,1469,30.03ms,30.03,48.97%,48.97,29.84ms,29.84,31.28ms,31.28,0.33ms,0.33,2018-11-10 12:20:04
"Anchorage United States, North America",8312km,8312,183.40ms,183.4,45.42%,45.42,183.20ms,183.2,183.85ms,183.85,0.22ms,0.22,2018-11-10 12:20:04
"Ankara Turkey, Eurasia",3084km,3084,81.85ms,81.85,38.07%,38.07,81.65ms,81.65,83.28ms,83.28,0.38ms,0.38,2018-11-10 12:20:04
"Antwerp Belgium, Eurasia",1354km,1354,36.48ms,36.48,37.61%,37.61,36.41ms,36.41,36.87ms,36.87,0.12ms,0.12,2018-11-10 12:20:04
"Arezzo Italy, Eurasia",1329km,1329,29.15ms,29.15,45.83%,45.83,29.05ms,29.05,29.67ms,29.67,0.22ms,0.22,2018-11-10 12:20:04
"Asheville United States, North America",6697km,6697,117.40ms,117.4,57.24%,57.24,117.36ms,117.36,117.55ms,117.55,0.37ms,0.37,2018-11-10 12:20:04
"Athens Greece, Eurasia",2368km,2368,75.15ms,75.15,31.57%,31.57,75.02ms,75.02,75.82ms,75.82,0.33ms,0.33,2018-11-10 12:20:04
"Atlanta United States, North America",6947km,6947,117.81ms,117.81,59.38%,59.38,117.48ms,117.48,124.57ms,124.57,1.26ms,1.26,2018-11-10 12:20:05
"Auckland New Zealand, Oceania",19601km,19601,318.85ms,318.85,61.64%,61.64,318.70ms,318.7,319.99ms,319.99,0.40ms,0.4,2018-11-10 12:20:05
"Austin United States, North America",8202km,8202,146.38ms,146.38,56.18%,56.18,136.59ms,136.59,179.29ms,179.29,11.14ms,11.14,2018-11-10 12:20:05
"Baltimore United States, North America",6041km,6041,104.84ms,104.84,58.09%,58.09,104.60ms,104.6,105.76ms,105.76,0.50ms,0.5,2018-11-10 12:20:05
"Bangalore India, Eurasia",8347km,8347,141.06ms,141.06,59.20%,59.2,140.97ms,140.97,141.20ms,141.2,0.29ms,0.29,2018-11-10 12:20:05
"Bangkok Thailand, Eurasia",10182km,10182,173.64ms,173.64,58.86%,58.86,165.88ms,165.88,220.97ms,220.97,13.78ms,13.78,2018-11-10 12:20:05
"Barcelona Spain, Eurasia",504km,504,9.39ms,9.39,56.00%,56.0,9.22ms,9.22,9.64ms,9.64,0.15ms,0.15,2018-11-10 12:20:05
"Basel Switzerland, Eurasia",1201km,1201,30.28ms,30.28,40.03%,40.03,30.23ms,30.23,30.41ms,30.41,0.23ms,0.23,2018-11-10 12:20:05
"Belfast United Kingdom, Eurasia",1587km,1587,44.66ms,44.66,36.07%,36.07,44.55ms,44.55,45.38ms,45.38,0.19ms,0.19,2018-11-10 12:20:05
"Bergen Norway, Eurasia",2307km,2307,70.25ms,70.25,32.96%,32.96,70.05ms,70.05,71.26ms,71.26,0.44ms,0.44,2018-11-10 12:20:05
"Berkeley Springs United States, North America",6147km,6147,106.98ms,106.98,57.99%,57.99,106.87ms,106.87,107.25ms,107.25,0.31ms,0.31,2018-11-10 12:20:05
"Bern Switzerland, Eurasia",1152km,1152,41.75ms,41.75,28.10%,28.1,41.63ms,41.63,41.89ms,41.89,0.28ms,0.28,2018-11-10 12:20:05
"Bogota Colombia, South America",8023km,8023,194.25ms,194.25,41.36%,41.36,193.28ms,193.28,202.67ms,202.67,2.27ms,2.27,2018-11-10 12:20:05
"Boston United States, North America",5474km,5474,97.28ms,97.28,56.43%,56.43,97.13ms,97.13,97.78ms,97.78,0.33ms,0.33,2018-11-10 12:20:05
"Brasilia Brazil, South America",7738km,7738,238.70ms,238.7,32.51%,32.51,230.93ms,230.93,384.35ms,384.35,28.21ms,28.21,2018-11-10 12:20:05
"Bratislava Slovakia, Eurasia",1858km,1858,54.40ms,54.4,34.41%,34.41,54.35ms,54.35,54.51ms,54.51,0.21ms,0.21,2018-11-10 12:20:05
"Brisbane Australia, Oceania",17447km,17447,319.52ms,319.52,54.69%,54.69,319.33ms,319.33,320.64ms,320.64,0.34ms,0.34,2018-11-10 12:20:05
"Bristol United Kingdom, Eurasia",1232km,1232,37.22ms,37.22,33.30%,33.3,37.02ms,37.02,37.85ms,37.85,0.26ms,0.26,2018-11-10 12:20:05
"Brno Czech Republic, Eurasia",1868km,1868,48.91ms,48.91,38.92%,38.92,48.88ms,48.88,48.99ms,48.99,0.14ms,0.14,2018-11-10 12:20:06
"Bruges Belgium, Eurasia",1315km,1315,32.04ms,32.04,41.09%,41.09,31.92ms,31.92,32.62ms,32.62,0.19ms,0.19,2018-11-10 12:20:06
"Brunswick United States, North America",5329km,5329,103.02ms,103.02,51.74%,51.74,102.92ms,102.92,103.16ms,103.16,0.19ms,0.19,2018-11-10 12:20:06
"Brussels Belgium, Eurasia",1317km,1317,32.73ms,32.73,41.16%,41.16,32.66ms,32.66,32.81ms,32.81,0.03ms,0.03,2018-11-10 12:20:06
"Bucharest Romania, Eurasia",2472km,2472,57.79ms,57.79,43.37%,43.37,57.70ms,57.7,58.01ms,58.01,0.32ms,0.32,2018-11-10 12:20:06
"Budapest Hungary, Eurasia",1974km,1974,54.51ms,54.51,36.56%,36.56,54.00ms,54.0,55.06ms,55.06,0.43ms,0.43,2018-11-10 12:20:06
"Buenos Aires Argentina, South America",10047km,10047,248.25ms,248.25,40.51%,40.51,244.18ms,244.18,256.72ms,256.72,4.06ms,4.06,2018-11-10 12:20:06
"Buffalo United States, North America",6038km,6038,118.90ms,118.9,51.17%,51.17,117.82ms,117.82,134.12ms,134.12,3.01ms,3.01,2018-11-10 12:20:06
"Bursa Turkey, Eurasia",2761km,2761,90.02ms,90.02,30.68%,30.68,89.74ms,89.74,92.10ms,92.1,0.60ms,0.6,2018-11-10 12:20:06
"Cairo Egypt, Africa",3348km,3348,96.16ms,96.16,34.88%,34.88,92.26ms,92.26,107.81ms,107.81,3.49ms,3.49,2018-11-10 12:20:06
"Calgary Canada, North America",7817km,7817,166.82ms,166.82,47.09%,47.09,165.84ms,165.84,170.78ms,170.78,1.43ms,1.43,2018-11-10 12:20:06
"Canberra Australia, Oceania",17576km,17576,353.47ms,353.47,49.79%,49.79,353.00ms,353.0,355.15ms,355.15,0.97ms,0.97,2018-11-10 12:20:06
"Cape Town South Africa, Africa",8577km,8577,175.59ms,175.59,49.01%,49.01,175.46ms,175.46,176.21ms,176.21,0.60ms,0.6,2018-11-10 12:20:06
"Caracas Venezuela, South America",6997km,6997,177.58ms,177.58,39.53%,39.53,176.56ms,176.56,180.06ms,180.06,1.19ms,1.19,2018-11-10 12:20:06
"Cardiff United Kingdom, Eurasia",1233km,1233,39.77ms,39.77,31.62%,31.62,39.11ms,39.11,43.31ms,43.31,1.00ms,1.0,2018-11-10 12:20:06
"Carlow Ireland, Eurasia",1405km,1405,40.84ms,40.84,35.12%,35.12,40.74ms,40.74,41.29ms,41.29,0.17ms,0.17,2018-11-10 12:20:06
"Charlotte United States, North America",6584km,6584,112.63ms,112.63,58.79%,58.79,112.58ms,112.58,112.67ms,112.67,0.12ms,0.12,2018-11-10 12:20:06
"Cheltenham United Kingdom, Eurasia",1284km,1284,31.94ms,31.94,41.42%,41.42,31.87ms,31.87,33.08ms,33.08,0.23ms,0.23,2018-11-10 12:20:06
"Chennai India, Eurasia",8565km,8565,129.88ms,129.88,66.40%,66.4,129.78ms,129.78,130.12ms,130.12,0.20ms,0.2,2018-11-10 12:20:06
"Chicago United States, North America",6732km,6732,120.44ms,120.44,56.10%,56.1,120.38ms,120.38,120.57ms,120.57,0.29ms,0.29,2018-11-10 12:20:06
"Chisinau Moldova, Eurasia",2700km,2700,71.56ms,71.56,38.03%,38.03,71.35ms,71.35,74.62ms,74.62,0.68ms,0.68,2018-11-10 12:20:06
