City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",5721km,5721,196.79ms,196.79,29.19%,29.19,196.54ms,196.54,197.19ms,197.19,0.34ms,0.34,2018-11-10 12:22:07
"Albany United States, North America",14897km,14897,311.93ms,311.93,47.90%,47.9,247.43ms,247.43,390.28ms,390.28,39.35ms,39.35,2018-11-10 12:22:07
"Alblasserdam Netherlands, Eurasia",10217km,10217,171.16ms,171.16,59.75%,59.75,170.81ms,170.81,172.30ms,172.3,0.37ms,0.37,2018-11-10 12:22:07
"Albuquerque United States, North America",14843km,14843,204.28ms,204.28,72.76%,72.76,201.18ms,201.18,249.11ms,249.11,9.45ms,9.45,2018-11-10 12:22:07
"Algiers Algeria, Africa",10567km,10567,173.71ms,173.71,61.08%,61.08,173.22ms,173.22,174.37ms,174.37,0.48ms,0.48,2018-11-10 12:22:07
"Amsterdam Netherlands, Eurasia",10207km,10207,168.40ms,168.4,60.76%,60.76,168.09ms,168.09,169.09ms,169.09,0.42ms,0.42,2018-11-10 12:22:07
"Anchorage United States, North America",10674km,10674,217.88ms,217.88,49.19%,49.19,217.57ms,217.57,218.23ms,218.23,0.65ms,0.65,2018-11-10 12:22:07
"Ankara Turkey, Eurasia",7989km,7989,213.14ms,213.14,37.51%,37.51,212.69ms,212.69,217.40ms,217.4,1.03ms,1.03,2018-11-10 12:22:07
"Antwerp Belgium, Eurasia",10243km,10243,175.90ms,175.9,58.53%,58.53,175.67ms,175.67,176.21ms,176.21,0.22ms,0.22,2018-11-10 12:22:07
"Arezzo Italy, Eurasia",9755km,9755,175.68ms,175.68,55.74%,55.74,175.38ms,175.38,178.26ms,178.26,0.76ms,0.76,2018-11-10 12:22:07
"Asheville United States, North America",15689km,15689,225.92ms,225.92,69.73%,69.73,225.72ms,225.72,226.22ms,226.22,0.46ms,0.46,2018-11-10 12:22:07
"Athens Greece, Eurasia",8741km,8741,201.94ms,201.94,43.49%,43.49,201.56ms,201.56,203.21ms,203.21,0.43ms,0.43,2018-11-10 12:22:07
"Atlanta United States, North America",15869km,15869,223.25ms,223.25,71.16%,71.16,223.02ms,223.02,224.03ms,224.03,0.52ms,0.52,2018-11-10 12:22:07
"Auckland New Zealand, Oceania",8726km,8726,124.49ms,124.49,70.37%,70.37,124.30ms,124.3,124.83ms,124.83,0.14ms,0.14,2018-11-10 12:22:07
"Austin United States, North America",15772km,15772,229.90ms,229.9,68.87%,68.87,219.81ms,219.81,257.89ms,257.89,11.20ms,11.2,2018-11-10 12:22:07
