City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",5813km,5813,156.02ms,156.02,37.26%,37.26,155.53ms,155.53,163.50ms,163.5,1.52ms,1.52,2018-11-10 12:21:49
"Albany United States, North America",13468km,13468,286.68ms,286.68,47.09%,47.09,218.54ms,218.54,354.85ms,354.85,39.02ms,39.02,2018-11-10 12:21:49
"Alblasserdam Netherlands, Eurasia",10436km,10436,209.12ms,209.12,49.93%,49.93,208.84ms,208.84,209.84ms,209.84,0.63ms,0.63,2018-11-10 12:21:49
"Albuquerque United States, North America",12558km,12558,215.53ms,215.53,58.41%,58.41,211.96ms,211.96,239.16ms,239.16,7.11ms,7.11,2018-11-10 12:21:49
"Algiers Algeria, Africa",11373km,11373,355.77ms,355.77,32.04%,32.04,355.18ms,355.18,357.77ms,357.77,0.88ms,0.88,2018-11-10 12:21:49
"Amsterdam Netherlands, Eurasia",10410km,10410,297.36ms,297.36,35.05%,35.05,296.67ms,296.67,305.51ms,305.51,1.83ms,1.83,2018-11-10 12:21:49
"Anchorage United States, North America",8546km,8546,193.92ms,193.92,44.28%,44.28,191.11ms,191.11,266.21ms,266.21,13.45ms,13.45,2018-11-10 12:21:49
"Ankara Turkey, Eurasia",8816km,8816,315.70ms,315.7,27.99%,27.99,312.74ms,312.74,374.97ms,374.97,11.13ms,11.13,2018-11-10 12:21:49
"Antwerp Belgium, Eurasia",10487km,10487,265.14ms,265.14,39.57%,39.57,264.76ms,264.76,269.21ms,269.21,1.05ms,1.05,2018-11-10 12:21:49
"Arezzo Italy, Eurasia",10370km,10370,287.51ms,287.51,36.13%,36.13,284.35ms,284.35,329.86ms,329.86,10.94ms,10.94,2018-11-10 12:21:49
"Asheville United States, North America",13913km,13913,265.81ms,265.81,52.50%,52.5,265.65ms,265.65,266.44ms,266.44,0.63ms,0.63,2018-11-10 12:21:49
"Athens Greece, Eurasia",9636km,9636,380.26ms,380.26,25.36%,25.36,379.23ms,379.23,390.82ms,390.82,2.52ms,2.52,2018-11-10 12:21:49
"Atlanta United States, North America",14010km,14010,225.26ms,225.26,62.27%,62.27,220.27ms,220.27,285.52ms,285.52,15.94ms,15.94,2018-11-10 12:21:49
"Auckland New Zealand, Oceania",8023km,8023,236.79ms,236.79,34.00%,34.0,236.56ms,236.56,238.21ms,238.21,0.71ms,0.71,2018-11-10 12:21:49
"Austin United States, North America",13536km,13536,225.75ms,225.75,60.16%,60.16,216.79ms,216.79,253.52ms,253.52,8.47ms,8.47,2018-11-10 12:21:49
"Baltimore United States, North America",13757km,13757,246.29ms,246.29,55.92%,55.92,245.86ms,245.86,249.27ms,249.27,0.78ms,0.78,2018-11-10 12:21:49
"Bangalore India, Eurasia",4681km,4681,99.87ms,99.87,47.28%,47.28,99.06ms,99.06,108.22ms,108.22,1.83ms,1.83,2018-11-10 12:21:49
