City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16186km,16186,240.58ms,240.58,67.44%,67.44,240.45ms,240.45,240.79ms,240.79,0.54ms,0.54,2018-11-10 12:18:57
"Albany United States, North America",1977km,1977,96.16ms,96.16,20.59%,20.59,35.62ms,35.62,188.02ms,188.02,41.54ms,41.54,2018-11-10 12:18:57
"Alblasserdam Netherlands, Eurasia",7444km,7444,106.09ms,106.09,70.23%,70.23,105.95ms,105.95,106.33ms,106.33,0.38ms,0.38,2018-11-10 12:18:57
"Albuquerque United States, North America",2726km,2726,61.62ms,61.62,44.69%,44.69,56.17ms,56.17,110.88ms,110.88,14.15ms,14.15,2018-11-10 12:18:57
"Algiers Algeria, Africa",7766km,7766,136.31ms,136.31,57.10%,57.1,135.69ms,135.69,136.77ms,136.77,0.25ms,0.25,2018-11-10 12:18:57
"Amsterdam Netherlands, Eurasia",7437km,7437,107.36ms,107.36,69.50%,69.5,107.20ms,107.2,107.64ms,107.64,0.26ms,0.26,2018-11-10 12:18:57
"Anchorage United States, North America",6439km,6439,103.15ms,103.15,62.51%,62.51,102.92ms,102.92,103.83ms,103.83,0.39ms,0.39,2018-11-10 12:18:57
"Ankara Turkey, Eurasia",9956km,9956,163.55ms,163.55,61.08%,61.08,163.34ms,163.34,163.93ms,163.93,0.22ms,0.22,2018-11-10 12:18:57
"Antwerp Belgium, Eurasia",7443km,7443,116.79ms,116.79,64.16%,64.16,116.70ms,116.7,116.94ms,116.94,0.27ms,0.27,2018-11-10 12:18:57
"Arezzo Italy, Eurasia",8231km,8231,138.78ms,138.78,59.64%,59.64,138.66ms,138.66,139.79ms,139.79,0.47ms,0.47,2018-11-10 12:18:57
"Asheville United States, North America",1116km,1116,30.52ms,30.52,37.20%,37.2,30.44ms,30.44,30.69ms,30.69,0.20ms,0.2,2018-11-10 12:18:57
"Athens Greece, Eurasia",9393km,9393,157.77ms,157.77,59.83%,59.83,157.64ms,157.64,158.24ms,158.24,0.53ms,0.53,2018-11-10 12:18:57
"Atlanta United States, North America",975km,975,14.42ms,14.42,69.64%,69.64,14.30ms,14.3,14.85ms,14.85,0.16ms,0.16,2018-11-10 12:18:57
"Auckland New Zealand, Oceania",12970km,12970,221.00ms,221.0,58.95%,58.95,220.90ms,220.9,221.88ms,221.88,0.65ms,0.65,2018-11-10 12:18:57
"Austin United States, North America",1791km,1791,44.16ms,44.16,40.70%,40.7,31.36ms,31.36,118.79ms,118.79,19.21ms,19.21,2018-11-10 12:18:57
"Baltimore United States, North America",1540km,1540,28.06ms,28.06,55.00%,55.0,27.34ms,27.34,35.32ms,35.32,1.68ms,1.68,2018-11-10 12:18:57
"Bangalore India, Eurasia",15086km,15086,268.20ms,268.2,56.29%,56.29,268.11ms,268.11,268.63ms,268.63,0.59ms,0.59,2018-11-10 12:18:57
"Bangkok Thailand, Eurasia",15625km,15625,270.54ms,270.54,57.87%,57.87,262.03ms,262.03,343.08ms,343.08,16.19ms,16.19,2018-11-10 12:18:57
