City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13996km,13996,200.36ms,200.36,69.98%,69.98,200.08ms,200.08,201.11ms,201.11,0.22ms,0.22,2018-11-10 12:21:28
"Albany United States, North America",3173km,3173,128.28ms,128.28,24.79%,24.79,75.00ms,75.0,174.91ms,174.91,36.80ms,36.8,2018-11-10 12:21:28
"Alblasserdam Netherlands, Eurasia",7584km,7584,148.80ms,148.8,51.24%,51.24,148.62ms,148.62,149.24ms,149.24,0.40ms,0.4,2018-11-10 12:21:28
"Albuquerque United States, North America",1445km,1445,46.66ms,46.66,31.41%,31.41,43.37ms,43.37,91.09ms,91.09,10.27ms,10.27,2018-11-10 12:21:28
"Algiers Algeria, Africa",8809km,8809,189.17ms,189.17,46.61%,46.61,188.71ms,188.71,189.71ms,189.71,0.23ms,0.23,2018-11-10 12:21:28
"Amsterdam Netherlands, Eurasia",7550km,7550,143.55ms,143.55,52.80%,52.8,143.33ms,143.33,143.86ms,143.86,0.37ms,0.37,2018-11-10 12:21:28
"Anchorage United States, North America",2781km,2781,43.49ms,43.49,64.67%,64.67,43.29ms,43.29,43.82ms,43.82,0.30ms,0.3,2018-11-10 12:21:28
"Ankara Turkey, Eurasia",9823km,9823,190.93ms,190.93,51.70%,51.7,190.34ms,190.34,201.88ms,201.88,2.11ms,2.11,2018-11-10 12:21:28
"Antwerp Belgium, Eurasia",7628km,7628,159.90ms,159.9,47.97%,47.97,159.80ms,159.8,160.08ms,160.08,0.42ms,0.42,2018-11-10 12:21:28
"Arezzo Italy, Eurasia",8654km,8654,179.29ms,179.29,48.35%,48.35,179.15ms,179.15,179.67ms,179.67,0.36ms,0.36,2018-11-10 12:21:28
"Asheville United States, North America",2888km,2888,76.70ms,76.7,38.00%,38.0,76.66ms,76.66,76.91ms,76.91,0.21ms,0.21,2018-11-10 12:21:28
"Athens Greece, Eurasia",9691km,9691,209.51ms,209.51,46.37%,46.37,209.20ms,209.2,211.15ms,211.15,0.45ms,0.45,2018-11-10 12:21:28
"Atlanta United States, North America",2879km,2879,81.82ms,81.82,35.54%,35.54,81.50ms,81.5,84.64ms,84.64,0.73ms,0.73,2018-11-10 12:21:28
"Auckland New Zealand, Oceania",11697km,11697,189.45ms,189.45,61.89%,61.89,189.34ms,189.34,189.67ms,189.67,0.59ms,0.59,2018-11-10 12:21:28
"Austin United States, North America",2317km,2317,62.15ms,62.15,37.37%,37.37,54.30ms,54.3,88.45ms,88.45,10.06ms,10.06,2018-11-10 12:21:28
"Baltimore United States, North America",3120km,3120,77.50ms,77.5,40.52%,40.52,77.20ms,77.2,79.97ms,79.97,0.59ms,0.59,2018-11-10 12:21:28
"Bangkok Thailand, Eurasia",12452km,12452,208.68ms,208.68,59.87%,59.87,206.18ms,206.18,253.35ms,253.35,8.41ms,8.41,2018-11-10 12:21:28
"Barcelona Spain, Eurasia",8359km,8359,174.24ms,174.24,48.04%,48.04,173.79ms,173.79,178.26ms,178.26,1.00ms,1.0,2018-11-10 12:21:28
"Basel Switzerland, Eurasia",8090km,8090,173.15ms,173.15,46.76%,46.76,172.43ms,172.43,179.52ms,179.52,1.60ms,1.6,2018-11-10 12:21:28
"Belfast United Kingdom, Eurasia",6878km,6878,140.16ms,140.16,49.13%,49.13,139.82ms,139.82,143.27ms,143.27,0.93ms,0.93,2018-11-10 12:21:28
"Bergen Norway, Eurasia",6901km,6901,193.04ms,193.04,35.76%,35.76,192.60ms,192.6,196.53ms,196.53,0.90ms,0.9,2018-11-10 12:21:28
"Berkeley Springs United States, North America",2980km,2980,81.61ms,81.61,36.79%,36.79,81.30ms,81.3,85.67ms,85.67,0.78ms,0.78,2018-11-10 12:21:28
"Bern Switzerland, Eurasia",8137km,8137,163.00ms,163.0,49.92%,49.92,162.57ms,162.57,166.85ms,166.85,0.84ms,0.84,2018-11-10 12:21:28
"Bogota Colombia, South America",6058km,6058,138.96ms,138.96,43.90%,43.9,138.45ms,138.45,142.83ms,142.83,0.84ms,0.84,2018-11-10 12:21:28
"Boston United States, North America",3394km,3394,72.82ms,72.82,47.14%,47.14,72.58ms,72.58,73.54ms,73.54,0.22ms,0.22,2018-11-10 12:21:28
"Brasilia Brazil, South America",9579km,9579,190.79ms,190.79,50.42%,50.42,189.95ms,189.95,197.04ms,197.04,1.92ms,1.92,2018-11-10 12:21:28
"Bratislava Slovakia, Eurasia",8443km,8443,171.29ms,171.29,49.37%,49.37,171.20ms,171.2,171.45ms,171.45,0.50ms,0.5,2018-11-10 12:21:28
"Brisbane Australia, Oceania",12410km,12410,193.32ms,193.32,64.30%,64.3,193.15ms,193.15,193.60ms,193.6,0.52ms,0.52,2018-11-10 12:21:28
"Bristol United Kingdom, Eurasia",7282km,7282,145.14ms,145.14,50.22%,50.22,144.58ms,144.58,152.94ms,152.94,1.48ms,1.48,2018-11-10 12:21:28
"Brno Czech Republic, Eurasia",8324km,8324,164.34ms,164.34,50.76%,50.76,164.20ms,164.2,164.50ms,164.5,0.23ms,0.23,2018-11-10 12:21:28
"Bruges Belgium, Eurasia",7576km,7576,161.91ms,161.91,47.06%,47.06,161.72ms,161.72,162.24ms,162.24,0.48ms,0.48,2018-11-10 12:21:28
"Brunswick United States, North America",3411km,3411,76.92ms,76.92,44.88%,44.88,76.81ms,76.81,77.28ms,77.28,0.40ms,0.4,2018-11-10 12:21:28
"Brussels Belgium, Eurasia",7657km,7657,144.16ms,144.16,53.17%,53.17,144.05ms,144.05,144.56ms,144.56,0.54ms,0.54,2018-11-10 12:21:28
"Bucharest Romania, Eurasia",9141km,9141,188.19ms,188.19,48.62%,48.62,188.09ms,188.09,188.44ms,188.44,0.31ms,0.31,2018-11-10 12:21:28
"Budapest Hungary, Eurasia",8579km,8579,168.52ms,168.52,51.07%,51.07,168.04ms,168.04,169.09ms,169.09,0.58ms,0.58,2018-11-10 12:21:28
"Buenos Aires Argentina, South America",10627km,10627,219.65ms,219.65,48.53%,48.53,215.02ms,215.02,235.88ms,235.88,5.75ms,5.75,2018-11-10 12:21:28
"Buffalo United States, North America",2780km,2780,67.64ms,67.64,41.49%,41.49,64.70ms,64.7,78.30ms,78.3,3.54ms,3.54,2018-11-10 12:21:28
"Bursa Turkey, Eurasia",9670km,9670,204.26ms,204.26,47.40%,47.4,203.92ms,203.92,208.87ms,208.87,0.97ms,0.97,2018-11-10 12:21:28
"Cairo Egypt, Africa",10781km,10781,207.79ms,207.79,52.08%,52.08,197.93ms,197.93,227.92ms,227.92,8.87ms,8.87,2018-11-10 12:21:28
"Calgary Canada, North America",465km,465,74.28ms,74.28,6.28%,6.28,73.01ms,73.01,84.99ms,84.99,2.34ms,2.34,2018-11-10 12:21:28
"Canberra Australia, Oceania",13262km,13262,175.88ms,175.88,75.78%,75.78,175.35ms,175.35,178.76ms,178.76,1.03ms,1.03,2018-11-10 12:21:28
"Cape Town South Africa, Africa",15818km,15818,300.66ms,300.66,52.73%,52.73,300.50ms,300.5,301.54ms,301.54,0.74ms,0.74,2018-11-10 12:21:28
"Caracas Venezuela, South America",5986km,5986,135.24ms,135.24,44.34%,44.34,134.25ms,134.25,148.13ms,148.13,2.46ms,2.46,2018-11-10 12:21:28
"Cardiff United Kingdom, Eurasia",7251km,7251,140.89ms,140.89,51.79%,51.79,140.30ms,140.3,145.52ms,145.52,0.93ms,0.93,2018-11-10 12:21:28
"Carlow Ireland, Eurasia",6962km,6962,150.95ms,150.95,46.41%,46.41,150.85ms,150.85,151.09ms,151.09,0.34ms,0.34,2018-11-10 12:21:28
"Charlotte United States, North America",3038km,3038,71.06ms,71.06,42.79%,42.79,70.97ms,70.97,71.36ms,71.36,0.23ms,0.23,2018-11-10 12:21:28
"Cheltenham United Kingdom, Eurasia",7271km,7271,154.39ms,154.39,47.21%,47.21,154.31ms,154.31,154.48ms,154.48,0.50ms,0.5,2018-11-10 12:21:28
"Chennai India, Eurasia",13202km,13202,284.18ms,284.18,46.49%,46.49,283.97ms,283.97,284.61ms,284.61,0.19ms,0.19,2018-11-10 12:21:28
"Chicago United States, North America",2158km,2158,56.70ms,56.7,38.54%,38.54,56.60ms,56.6,56.97ms,56.97,0.08ms,0.08,2018-11-10 12:21:28
"Chisinau Moldova, Eurasia",8975km,8975,204.89ms,204.89,44.00%,44.0,204.03ms,204.03,207.57ms,207.57,1.07ms,1.07,2018-11-10 12:21:28
"Christchurch New Zealand, Oceania",12360km,12360,194.72ms,194.72,63.71%,63.71,194.50ms,194.5,195.02ms,195.02,0.12ms,0.12,2018-11-10 12:21:28
"Cincinnati United States, North America",2532km,2532,64.30ms,64.3,39.56%,39.56,64.26ms,64.26,64.36ms,64.36,0.18ms,0.18,2018-11-10 12:21:28
"Cleveland United States, North America",2644km,2644,58.81ms,58.81,45.59%,45.59,58.58ms,58.58,60.00ms,60.0,0.27ms,0.27,2018-11-10 12:21:28
"Colorado Springs United States, North America",1163km,1163,33.40ms,33.4,35.24%,35.24,33.32ms,33.32,34.27ms,34.27,0.27ms,0.27,2018-11-10 12:21:28
"Columbus United States, North America",2601km,2601,71.77ms,71.77,36.63%,36.63,70.62ms,70.62,95.36ms,95.36,4.41ms,4.41,2018-11-10 12:21:28
"Copenhagen Denmark, Eurasia",7575km,7575,154.22ms,154.22,49.19%,49.19,153.89ms,153.89,154.59ms,154.59,0.18ms,0.18,2018-11-10 12:21:28
"Coventry United Kingdom, Eurasia",7258km,7258,145.80ms,145.8,50.06%,50.06,145.67ms,145.67,145.99ms,145.99,0.51ms,0.51,2018-11-10 12:21:28
"Cromwell United States, North America",3309km,3309,82.46ms,82.46,40.35%,40.35,82.23ms,82.23,83.07ms,83.07,0.29ms,0.29,2018-11-10 12:21:28
"Dagupan Philippines, Eurasia",11173km,11173,191.18ms,191.18,58.50%,58.5,190.34ms,190.34,194.34ms,194.34,1.22ms,1.22,2018-11-10 12:21:28
"Dallas United States, North America",2138km,2138,50.69ms,50.69,42.76%,42.76,50.57ms,50.57,50.90ms,50.9,0.17ms,0.17,2018-11-10 12:21:29
"Dar es Salaam Tanzania, Africa",14888km,14888,314.06ms,314.06,47.41%,47.41,313.73ms,313.73,314.68ms,314.68,0.31ms,0.31,2018-11-10 12:21:29
"Denver United States, North America",1076km,1076,34.31ms,34.31,31.65%,31.65,34.21ms,34.21,34.47ms,34.47,0.22ms,0.22,2018-11-10 12:21:29
"Des Moines United States, North America",1721km,1721,60.83ms,60.83,28.68%,28.68,60.74ms,60.74,60.93ms,60.93,0.33ms,0.33,2018-11-10 12:21:29
