City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15680km,15680,220.39ms,220.39,71.27%,71.27,220.20ms,220.2,220.57ms,220.57,0.29ms,0.29,2018-11-10 12:18:47
"Albany United States, North America",1427km,1427,87.02ms,87.02,16.40%,16.4,31.55ms,31.55,145.18ms,145.18,38.34ms,38.34,2018-11-10 12:18:47
"Alblasserdam Netherlands, Eurasia",6803km,6803,104.07ms,104.07,65.41%,65.41,103.70ms,103.7,108.48ms,108.48,0.93ms,0.93,2018-11-10 12:18:47
"Albuquerque United States, North America",1552km,1552,36.66ms,36.66,43.11%,43.11,31.10ms,31.1,86.89ms,86.89,14.41ms,14.41,2018-11-10 12:18:47
"Algiers Algeria, Africa",7674km,7674,158.16ms,158.16,48.57%,48.57,157.55ms,157.55,158.87ms,158.87,0.61ms,0.61,2018-11-10 12:18:47
"Amsterdam Netherlands, Eurasia",6780km,6780,100.11ms,100.11,67.80%,67.8,99.82ms,99.82,101.47ms,101.47,0.36ms,0.36,2018-11-10 12:18:47
"Anchorage United States, North America",4366km,4366,84.90ms,84.9,51.98%,51.98,84.55ms,84.55,86.74ms,86.74,0.48ms,0.48,2018-11-10 12:18:47
"Ankara Turkey, Eurasia",9284km,9284,162.23ms,162.23,57.31%,57.31,161.71ms,161.71,168.22ms,168.22,1.29ms,1.29,2018-11-10 12:18:47
"Antwerp Belgium, Eurasia",6828km,6828,104.39ms,104.39,65.65%,65.65,104.24ms,104.24,104.67ms,104.67,0.32ms,0.32,2018-11-10 12:18:47
"Arezzo Italy, Eurasia",7791km,7791,127.96ms,127.96,61.35%,61.35,127.56ms,127.56,133.36ms,133.36,1.07ms,1.07,2018-11-10 12:18:47
"Asheville United States, North America",1049km,1049,34.89ms,34.89,30.85%,30.85,34.76ms,34.76,35.10ms,35.1,0.26ms,0.26,2018-11-10 12:18:47
"Athens Greece, Eurasia",8936km,8936,158.62ms,158.62,56.56%,56.56,158.41ms,158.41,159.27ms,159.27,0.34ms,0.34,2018-11-10 12:18:47
"Atlanta United States, North America",1115km,1115,21.79ms,21.79,53.10%,53.1,21.58ms,21.58,22.19ms,22.19,0.14ms,0.14,2018-11-10 12:18:47
"Auckland New Zealand, Oceania",12950km,12950,238.88ms,238.88,54.41%,54.41,238.67ms,238.67,239.10ms,239.1,0.61ms,0.61,2018-11-10 12:18:47
"Austin United States, North America",1456km,1456,34.57ms,34.57,42.82%,42.82,27.99ms,27.99,61.87ms,61.87,8.77ms,8.77,2018-11-10 12:18:47
"Baltimore United States, North America",1268km,1268,27.84ms,27.84,46.96%,46.96,27.58ms,27.58,28.66ms,28.66,0.29ms,0.29,2018-11-10 12:18:47
"Bangalore India, Eurasia",13773km,13773,232.72ms,232.72,59.37%,59.37,232.39ms,232.39,235.83ms,235.83,0.89ms,0.89,2018-11-10 12:18:47
