City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15471km,15471,348.74ms,348.74,44.46%,44.46,346.17ms,346.17,402.40ms,402.4,10.00ms,10.0,2018-11-10 12:19:32
"Albany United States, North America",6334km,6334,185.35ms,185.35,34.24%,34.24,123.93ms,123.93,277.51ms,277.51,42.44ms,42.44,2018-11-10 12:19:32
"Alblasserdam Netherlands, Eurasia",645km,645,19.29ms,19.29,33.95%,33.95,18.18ms,18.18,24.02ms,24.02,1.70ms,1.7,2018-11-10 12:19:32
"Albuquerque United States, North America",8918km,8918,151.86ms,151.86,59.06%,59.06,145.32ms,145.32,194.49ms,194.49,13.66ms,13.66,2018-11-10 12:19:32
"Algiers Algeria, Africa",1443km,1443,65.78ms,65.78,22.20%,22.2,63.64ms,63.64,95.37ms,95.37,5.96ms,5.96,2018-11-10 12:19:32
"Amsterdam Netherlands, Eurasia",672km,672,25.99ms,25.99,26.88%,26.88,20.92ms,20.92,101.95ms,101.95,17.50ms,17.5,2018-11-10 12:19:32
"Anchorage United States, North America",7745km,7745,206.56ms,206.56,37.60%,37.6,200.04ms,200.04,281.56ms,281.56,16.96ms,16.96,2018-11-10 12:19:32
"Ankara Turkey, Eurasia",1922km,1922,56.16ms,56.16,34.32%,34.32,54.70ms,54.7,70.37ms,70.37,3.77ms,3.77,2018-11-10 12:19:32
"Antwerp Belgium, Eurasia",619km,619,23.33ms,23.33,26.91%,26.91,23.14ms,23.14,23.86ms,23.86,0.16ms,0.16,2018-11-10 12:19:32
"Arezzo Italy, Eurasia",518km,518,26.95ms,26.95,19.92%,19.92,26.24ms,26.24,34.29ms,34.29,1.83ms,1.83,2018-11-10 12:19:32
"Asheville United States, North America",7425km,7425,112.64ms,112.64,66.29%,66.29,112.18ms,112.18,116.06ms,116.06,0.97ms,0.97,2018-11-10 12:19:32
"Athens Greece, Eurasia",1497km,1497,45.10ms,45.1,33.27%,33.27,39.18ms,39.18,169.33ms,169.33,23.24ms,23.24,2018-11-10 12:19:32
"Atlanta United States, North America",7689km,7689,120.32ms,120.32,64.08%,64.08,113.97ms,113.97,244.39ms,244.39,23.39ms,23.39,2018-11-10 12:19:33
"Auckland New Zealand, Oceania",18162km,18162,284.97ms,284.97,63.95%,63.95,281.43ms,281.43,314.13ms,314.13,7.84ms,7.84,2018-11-10 12:19:33
"Austin United States, North America",8828km,8828,143.32ms,143.32,61.73%,61.73,130.52ms,130.52,166.73ms,166.73,12.86ms,12.86,2018-11-10 12:19:33
"Baltimore United States, North America",6762km,6762,95.53ms,95.53,71.18%,71.18,93.47ms,93.47,113.84ms,113.84,4.46ms,4.46,2018-11-10 12:19:33
"Bangalore India, Eurasia",7167km,7167,155.59ms,155.59,46.24%,46.24,155.21ms,155.21,157.37ms,157.37,0.63ms,0.63,2018-11-10 12:19:33
"Bangkok Thailand, Eurasia",8796km,8796,180.26ms,180.26,48.87%,48.87,174.01ms,174.01,207.27ms,207.27,9.38ms,9.38,2018-11-10 12:19:33
"Barcelona Spain, Eurasia",1053km,1053,39.92ms,39.92,27.00%,27.0,39.28ms,39.28,49.08ms,49.08,1.72ms,1.72,2018-11-10 12:19:33
"Basel Switzerland, Eurasia",303km,303,17.35ms,17.35,17.82%,17.82,17.03ms,17.03,18.22ms,18.22,0.37ms,0.37,2018-11-10 12:19:33
"Belfast United Kingdom, Eurasia",1406km,1406,35.86ms,35.86,40.17%,40.17,35.63ms,35.63,37.07ms,37.07,0.35ms,0.35,2018-11-10 12:19:33
"Bergen Norway, Eurasia",1419km,1419,41.31ms,41.31,34.61%,34.61,40.97ms,40.97,42.09ms,42.09,0.38ms,0.38,2018-11-10 12:19:33
"Berkeley Springs United States, North America",6842km,6842,118.77ms,118.77,57.98%,57.98,118.27ms,118.27,121.66ms,121.66,0.95ms,0.95,2018-11-10 12:19:33
"Bern Switzerland, Eurasia",336km,336,20.54ms,20.54,16.80%,16.8,19.86ms,19.86,24.42ms,24.42,1.13ms,1.13,2018-11-10 12:19:33
"Bogota Colombia, South America",9306km,9306,184.60ms,184.6,50.58%,50.58,183.77ms,183.77,191.76ms,191.76,1.62ms,1.62,2018-11-10 12:19:33
"Boston United States, North America",6183km,6183,117.64ms,117.64,52.85%,52.85,117.25ms,117.25,119.05ms,119.05,0.43ms,0.43,2018-11-10 12:19:33
"Brasilia Brazil, South America",9219km,9219,242.21ms,242.21,38.10%,38.1,240.65ms,240.65,252.13ms,252.13,2.76ms,2.76,2018-11-10 12:19:33
"Bratislava Slovakia, Eurasia",411km,411,18.36ms,18.36,22.83%,22.83,17.98ms,17.98,21.16ms,21.16,0.64ms,0.64,2018-11-10 12:19:33
"Brisbane Australia, Oceania",15991km,15991,288.41ms,288.41,55.52%,55.52,287.10ms,287.1,315.19ms,315.19,5.07ms,5.07,2018-11-10 12:19:33
"Bristol United Kingdom, Eurasia",1079km,1079,30.89ms,30.89,35.97%,35.97,20.09ms,20.09,120.83ms,120.83,21.11ms,21.11,2018-11-10 12:19:33
"Brno Czech Republic, Eurasia",389km,389,19.43ms,19.43,20.47%,20.47,14.98ms,14.98,49.70ms,49.7,8.15ms,8.15,2018-11-10 12:19:33
"Bruges Belgium, Eurasia",690km,690,20.13ms,20.13,34.50%,34.5,19.70ms,19.7,21.98ms,21.98,0.54ms,0.54,2018-11-10 12:19:33
"Brunswick United States, North America",6010km,6010,124.77ms,124.77,48.47%,48.47,122.19ms,122.19,157.42ms,157.42,8.13ms,8.13,2018-11-10 12:19:33
"Brussels Belgium, Eurasia",602km,602,24.33ms,24.33,25.08%,25.08,20.01ms,20.01,87.35ms,87.35,13.25ms,13.25,2018-11-10 12:19:33
"Bucharest Romania, Eurasia",1189km,1189,41.48ms,41.48,29.00%,29.0,41.30ms,41.3,41.92ms,41.92,0.26ms,0.26,2018-11-10 12:19:33
"Budapest Hungary, Eurasia",563km,563,26.13ms,26.13,21.65%,21.65,25.15ms,25.15,34.00ms,34.0,1.51ms,1.51,2018-11-10 12:19:33
"Buenos Aires Argentina, South America",11519km,11519,249.83ms,249.83,46.26%,46.26,244.47ms,244.47,270.29ms,270.29,6.66ms,6.66,2018-11-10 12:19:33
"Buffalo United States, North America",6651km,6651,126.40ms,126.4,52.79%,52.79,120.72ms,120.72,236.37ms,236.37,21.16ms,21.16,2018-11-10 12:19:33
"Bursa Turkey, Eurasia",1645km,1645,49.70ms,49.7,33.57%,33.57,48.49ms,48.49,58.64ms,58.64,2.42ms,2.42,2018-11-10 12:19:33
"Cairo Egypt, Africa",2615km,2615,79.19ms,79.19,33.10%,33.1,61.83ms,61.83,186.70ms,186.7,35.38ms,35.38,2018-11-10 12:19:33
"Calgary Canada, North America",7835km,7835,175.31ms,175.31,44.77%,44.77,170.79ms,170.79,226.70ms,226.7,12.30ms,12.3,2018-11-10 12:19:33
"Canberra Australia, Oceania",16276km,16276,333.74ms,333.74,48.88%,48.88,329.53ms,329.53,440.11ms,440.11,19.77ms,19.77,2018-11-10 12:19:33
