City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15467km,15467,209.67ms,209.67,74.00%,74.0,209.44ms,209.44,209.90ms,209.9,0.37ms,0.37,2018-11-10 12:19:13
"Albany United States, North America",2030km,2030,100.02ms,100.02,20.30%,20.3,44.67ms,44.67,149.27ms,149.27,38.26ms,38.26,2018-11-10 12:19:14
"Alblasserdam Netherlands, Eurasia",7738km,7738,114.79ms,114.79,67.88%,67.88,114.60ms,114.6,115.62ms,115.62,0.30ms,0.3,2018-11-10 12:19:14
"Albuquerque United States, North America",1652km,1652,40.80ms,40.8,41.30%,41.3,36.88ms,36.88,77.56ms,77.56,9.35ms,9.35,2018-11-10 12:19:14
"Algiers Algeria, Africa",8325km,8325,157.15ms,157.15,53.03%,53.03,156.79ms,156.79,158.28ms,158.28,0.47ms,0.47,2018-11-10 12:19:14
"Amsterdam Netherlands, Eurasia",7722km,7722,127.89ms,127.89,60.80%,60.8,127.70ms,127.7,128.14ms,128.14,0.22ms,0.22,2018-11-10 12:19:14
"Anchorage United States, North America",5523km,5523,86.68ms,86.68,64.22%,64.22,86.44ms,86.44,87.15ms,87.15,0.35ms,0.35,2018-11-10 12:19:14
"Ankara Turkey, Eurasia",10267km,10267,165.99ms,165.99,62.22%,62.22,165.26ms,165.26,173.54ms,173.54,1.62ms,1.62,2018-11-10 12:19:14
"Antwerp Belgium, Eurasia",7750km,7750,128.49ms,128.49,60.55%,60.55,128.28ms,128.28,128.66ms,128.66,0.50ms,0.5,2018-11-10 12:19:14
"Arezzo Italy, Eurasia",8637km,8637,136.58ms,136.58,63.51%,63.51,136.32ms,136.32,136.96ms,136.96,0.36ms,0.36,2018-11-10 12:19:14
"Asheville United States, North America",939km,939,40.58ms,40.58,23.48%,23.48,40.43ms,40.43,40.80ms,40.8,0.17ms,0.17,2018-11-10 12:19:14
"Athens Greece, Eurasia",9806km,9806,170.23ms,170.23,57.68%,57.68,170.01ms,170.01,170.75ms,170.75,0.50ms,0.5,2018-11-10 12:19:14
"Atlanta United States, North America",680km,680,27.37ms,27.37,25.19%,25.19,27.02ms,27.02,31.65ms,31.65,0.83ms,0.83,2018-11-10 12:19:14
