City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17133km,17133,241.52ms,241.52,71.09%,71.09,241.31ms,241.31,241.69ms,241.69,0.39ms,0.39,2018-11-10 12:18:32
"Albany United States, North America",224km,224,60.04ms,60.04,3.73%,3.73,5.21ms,5.21,117.07ms,117.07,38.32ms,38.32,2018-11-10 12:18:32
"Alblasserdam Netherlands, Eurasia",5844km,5844,79.98ms,79.98,73.97%,73.97,79.89ms,79.89,80.39ms,80.39,0.39ms,0.39,2018-11-10 12:18:32
"Albuquerque United States, North America",2940km,2940,55.91ms,55.91,53.45%,53.45,51.59ms,51.59,89.19ms,89.19,9.92ms,9.92,2018-11-10 12:18:32
"Algiers Algeria, Africa",6450km,6450,106.83ms,106.83,60.85%,60.85,106.11ms,106.11,109.09ms,109.09,0.65ms,0.65,2018-11-10 12:18:32
"Amsterdam Netherlands, Eurasia",5830km,5830,84.84ms,84.84,69.40%,69.4,84.74ms,84.74,85.06ms,85.06,0.28ms,0.28,2018-11-10 12:18:32
"Anchorage United States, North America",5428km,5428,93.18ms,93.18,58.37%,58.37,92.98ms,92.98,93.62ms,93.62,0.21ms,0.21,2018-11-10 12:18:32
"Ankara Turkey, Eurasia",8376km,8376,136.70ms,136.7,61.59%,61.59,136.40ms,136.4,139.62ms,139.62,0.59ms,0.59,2018-11-10 12:18:32
"Antwerp Belgium, Eurasia",5854km,5854,82.29ms,82.29,71.39%,71.39,82.19ms,82.19,82.52ms,82.52,0.19ms,0.19,2018-11-10 12:18:32
"Arezzo Italy, Eurasia",6733km,6733,114.00ms,114.0,59.06%,59.06,113.89ms,113.89,115.00ms,115.0,0.29ms,0.29,2018-11-10 12:18:32
"Asheville United States, North America",964km,964,19.41ms,19.41,50.74%,50.74,19.34ms,19.34,19.50ms,19.5,0.07ms,0.07,2018-11-10 12:18:32
"Athens Greece, Eurasia",7902km,7902,129.36ms,129.36,61.26%,61.26,129.15ms,129.15,130.49ms,130.49,0.53ms,0.53,2018-11-10 12:18:32
"Atlanta United States, North America",1225km,1225,19.54ms,19.54,64.47%,64.47,19.29ms,19.29,21.39ms,21.39,0.47ms,0.47,2018-11-10 12:18:32
"Auckland New Zealand, Oceania",14228km,14228,251.16ms,251.16,56.69%,56.69,251.04ms,251.04,251.49ms,251.49,0.40ms,0.4,2018-11-10 12:18:32
"Austin United States, North America",2462km,2462,45.18ms,45.18,54.71%,54.71,36.83ms,36.83,73.45ms,73.45,9.84ms,9.84,2018-11-10 12:18:32
"Baltimore United States, North America",299km,299,8.90ms,8.9,37.38%,37.38,8.41ms,8.41,14.36ms,14.36,1.09ms,1.09,2018-11-10 12:18:33
"Bangalore India, Eurasia",13354km,13354,210.33ms,210.33,63.59%,63.59,210.24ms,210.24,210.40ms,210.4,0.53ms,0.53,2018-11-10 12:18:33
"Bangkok Thailand, Eurasia",13931km,13931,272.73ms,272.73,51.22%,51.22,264.19ms,264.19,333.78ms,333.78,15.81ms,15.81,2018-11-10 12:18:33
"Barcelona Spain, Eurasia",6140km,6140,93.92ms,93.92,66.02%,66.02,93.47ms,93.47,95.45ms,95.45,0.49ms,0.49,2018-11-10 12:18:33
"Basel Switzerland, Eurasia",6227km,6227,98.64ms,98.64,63.54%,63.54,98.57ms,98.57,98.89ms,98.89,0.35ms,0.35,2018-11-10 12:18:33
"Belfast United Kingdom, Eurasia",5084km,5084,86.14ms,86.14,59.12%,59.12,86.01ms,86.01,86.32ms,86.32,0.40ms,0.4,2018-11-10 12:18:33
"Bergen Norway, Eurasia",5595km,5595,111.65ms,111.65,50.41%,50.41,111.47ms,111.47,112.44ms,112.44,0.41ms,0.41,2018-11-10 12:18:33
"Berkeley Springs United States, North America",407km,407,17.68ms,17.68,23.94%,23.94,17.57ms,17.57,17.86ms,17.86,0.19ms,0.19,2018-11-10 12:18:33
"Bern Switzerland, Eurasia",6246km,6246,118.43ms,118.43,52.93%,52.93,118.28ms,118.28,118.59ms,118.59,0.29ms,0.29,2018-11-10 12:18:33
"Bogota Colombia, South America",4018km,4018,94.97ms,94.97,42.74%,42.74,94.55ms,94.55,99.50ms,99.5,0.90ms,0.9,2018-11-10 12:18:33
