City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",14609km,14609,343.64ms,343.64,42.59%,42.59,343.29ms,343.29,344.75ms,344.75,0.73ms,0.73,2018-11-10 12:20:09
"Albany United States, North America",7298km,7298,168.59ms,168.59,43.44%,43.44,107.64ms,107.64,222.26ms,222.26,36.31ms,36.31,2018-11-10 12:20:09
"Alblasserdam Netherlands, Eurasia",1600km,1600,37.84ms,37.84,43.24%,43.24,37.51ms,37.51,38.55ms,38.55,0.34ms,0.34,2018-11-10 12:20:09
"Albuquerque United States, North America",9858km,9858,161.35ms,161.35,61.23%,61.23,158.14ms,158.14,195.60ms,195.6,8.28ms,8.28,2018-11-10 12:20:09
"Algiers Algeria, Africa",1756km,1756,92.87ms,92.87,19.09%,19.09,92.09ms,92.09,95.35ms,95.35,0.61ms,0.61,2018-11-10 12:20:09
"Amsterdam Netherlands, Eurasia",1621km,1621,42.95ms,42.95,38.60%,38.6,42.73ms,42.73,43.40ms,43.4,0.27ms,0.27,2018-11-10 12:20:09
"Anchorage United States, North America",8372km,8372,196.24ms,196.24,42.71%,42.71,195.92ms,195.92,196.55ms,196.55,0.60ms,0.6,2018-11-10 12:20:09
"Ankara Turkey, Eurasia",984km,984,88.87ms,88.87,11.18%,11.18,88.36ms,88.36,92.27ms,92.27,0.90ms,0.9,2018-11-10 12:20:09
"Antwerp Belgium, Eurasia",1581km,1581,118.24ms,118.24,13.40%,13.4,118.13ms,118.13,118.59ms,118.59,0.16ms,0.16,2018-11-10 12:20:09
"Arezzo Italy, Eurasia",810km,810,45.10ms,45.1,18.00%,18.0,44.86ms,44.86,46.11ms,46.11,0.35ms,0.35,2018-11-10 12:20:09
"Asheville United States, North America",8389km,8389,126.00ms,126.0,66.58%,66.58,125.90ms,125.9,126.44ms,126.44,0.38ms,0.38,2018-11-10 12:20:09
"Athens Greece, Eurasia",612km,612,47.25ms,47.25,13.02%,13.02,46.77ms,46.77,53.84ms,53.84,1.25ms,1.25,2018-11-10 12:20:09
"Atlanta United States, North America",8653km,8653,138.12ms,138.12,62.70%,62.7,137.87ms,137.87,139.91ms,139.91,0.55ms,0.55,2018-11-10 12:20:09
"Auckland New Zealand, Oceania",17612km,17612,295.95ms,295.95,59.70%,59.7,295.76ms,295.76,296.40ms,296.4,0.28ms,0.28,2018-11-10 12:20:09
"Austin United States, North America",9790km,9790,165.88ms,165.88,59.33%,59.33,153.26ms,153.26,210.60ms,210.6,13.07ms,13.07,2018-11-10 12:20:09
"Baltimore United States, North America",7726km,7726,116.35ms,116.35,66.60%,66.6,115.53ms,115.53,122.81ms,122.81,1.59ms,1.59,2018-11-10 12:20:09
"Bangalore India, Eurasia",6271km,6271,162.98ms,162.98,38.71%,38.71,162.69ms,162.69,167.50ms,167.5,0.87ms,0.87,2018-11-10 12:20:09
"Bangkok Thailand, Eurasia",8048km,8048,190.61ms,190.61,42.36%,42.36,184.84ms,184.84,219.67ms,219.67,10.44ms,10.44,2018-11-10 12:20:09
"Barcelona Spain, Eurasia",1632km,1632,62.86ms,62.86,26.32%,26.32,62.48ms,62.48,63.93ms,63.93,0.30ms,0.3,2018-11-10 12:20:09
"Basel Switzerland, Eurasia",1211km,1211,41.27ms,41.27,29.54%,29.54,41.11ms,41.11,41.82ms,41.82,0.22ms,0.22,2018-11-10 12:20:09
"Belfast United Kingdom, Eurasia",2366km,2366,55.81ms,55.81,43.02%,43.02,55.63ms,55.63,56.07ms,56.07,0.25ms,0.25,2018-11-10 12:20:09
"Bergen Norway, Eurasia",2200km,2200,62.95ms,62.95,35.48%,35.48,62.60ms,62.6,64.84ms,64.84,0.53ms,0.53,2018-11-10 12:20:09
"Berkeley Springs United States, North America",7807km,7807,125.21ms,125.21,62.46%,62.46,125.05ms,125.05,125.59ms,125.59,0.35ms,0.35,2018-11-10 12:20:09
"Bern Switzerland, Eurasia",1202km,1202,48.86ms,48.86,25.04%,25.04,48.70ms,48.7,49.26ms,49.26,0.21ms,0.21,2018-11-10 12:20:09
"Bogota Colombia, South America",10141km,10141,205.15ms,205.15,49.47%,49.47,204.51ms,204.51,212.11ms,212.11,1.60ms,1.6,2018-11-10 12:20:09
"Boston United States, North America",7147km,7147,136.94ms,136.94,52.55%,52.55,136.59ms,136.59,139.67ms,139.67,0.66ms,0.66,2018-11-10 12:20:09
"Brasilia Brazil, South America",9657km,9657,241.48ms,241.48,40.07%,40.07,240.68ms,240.68,247.88ms,247.88,1.80ms,1.8,2018-11-10 12:20:09
"Bratislava Slovakia, Eurasia",654km,654,22.05ms,22.05,29.73%,29.73,21.90ms,21.9,23.02ms,23.02,0.25ms,0.25,2018-11-10 12:20:09
"Brisbane Australia, Oceania",15329km,15329,325.23ms,325.23,47.17%,47.17,324.95ms,324.95,325.55ms,325.55,0.74ms,0.74,2018-11-10 12:20:09
"Bristol United Kingdom, Eurasia",2042km,2042,40.96ms,40.96,51.05%,51.05,40.73ms,40.73,41.40ms,41.4,0.24ms,0.24,2018-11-10 12:20:09
"Brno Czech Republic, Eurasia",771km,771,25.43ms,25.43,30.84%,30.84,25.30ms,25.3,25.82ms,25.82,0.23ms,0.23,2018-11-10 12:20:09
"Bruges Belgium, Eurasia",1654km,1654,40.75ms,40.75,41.35%,41.35,40.44ms,40.44,43.32ms,43.32,0.59ms,0.59,2018-11-10 12:20:09
"Brunswick United States, North America",6974km,6974,117.89ms,117.89,59.61%,59.61,117.60ms,117.6,118.46ms,118.46,0.45ms,0.45,2018-11-10 12:20:09
"Brussels Belgium, Eurasia",1566km,1566,35.03ms,35.03,44.74%,44.74,34.87ms,34.87,35.42ms,35.42,0.24ms,0.24,2018-11-10 12:20:09
"Bucharest Romania, Eurasia",358km,358,25.66ms,25.66,14.32%,14.32,25.52ms,25.52,26.22ms,26.22,0.23ms,0.23,2018-11-10 12:20:09
"Budapest Hungary, Eurasia",517km,517,29.01ms,29.01,17.83%,17.83,28.48ms,28.48,29.61ms,29.61,0.42ms,0.42,2018-11-10 12:20:09
