City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",15507km,15507,309.66ms,309.66,50.18%,50.18,309.42ms,309.42,310.67ms,310.67,0.68ms,0.68,2018-11-10 12:19:29
"Albany United States, North America",6232km,6232,149.00ms,149.0,41.83%,41.83,86.01ms,86.01,238.46ms,238.46,44.10ms,44.1,2018-11-10 12:19:29
"Alblasserdam Netherlands, Eurasia",526km,526,10.93ms,10.93,52.60%,52.6,10.63ms,10.63,12.11ms,12.11,0.34ms,0.34,2018-11-10 12:19:29
"Albuquerque United States, North America",8792km,8792,141.41ms,141.41,62.35%,62.35,134.98ms,134.98,184.71ms,184.71,13.61ms,13.61,2018-11-10 12:19:29
"Algiers Algeria, Africa",1553km,1553,65.67ms,65.67,23.89%,23.89,65.10ms,65.1,66.75ms,66.75,0.43ms,0.43,2018-11-10 12:19:29
"Amsterdam Netherlands, Eurasia",548km,548,11.27ms,11.27,49.82%,49.82,11.12ms,11.12,11.73ms,11.73,0.19ms,0.19,2018-11-10 12:19:29
"Anchorage United States, North America",7594km,7594,171.58ms,171.58,44.41%,44.41,171.33ms,171.33,172.78ms,172.78,0.55ms,0.55,2018-11-10 12:19:29
"Ankara Turkey, Eurasia",2010km,2010,53.34ms,53.34,37.92%,37.92,53.12ms,53.12,53.78ms,53.78,0.27ms,0.27,2018-11-10 12:19:29
"Antwerp Belgium, Eurasia",513km,513,14.82ms,14.82,36.64%,36.64,14.66ms,14.66,15.21ms,15.21,0.14ms,0.14,2018-11-10 12:19:29
"Arezzo Italy, Eurasia",667km,667,19.65ms,19.65,35.11%,35.11,19.55ms,19.55,19.87ms,19.87,0.09ms,0.09,2018-11-10 12:19:29
"Asheville United States, North America",7326km,7326,101.90ms,101.9,72.53%,72.53,101.83ms,101.83,102.00ms,102.0,0.21ms,0.21,2018-11-10 12:19:29
"Athens Greece, Eurasia",1627km,1627,47.08ms,47.08,34.62%,34.62,46.71ms,46.71,48.97ms,48.97,0.47ms,0.47,2018-11-10 12:19:29
"Atlanta United States, North America",7590km,7590,100.98ms,100.98,75.90%,75.9,100.72ms,100.72,103.39ms,103.39,0.55ms,0.55,2018-11-10 12:19:29
"Auckland New Zealand, Oceania",18098km,18098,270.82ms,270.82,67.03%,67.03,270.68ms,270.68,271.36ms,271.36,0.41ms,0.41,2018-11-10 12:19:29
"Austin United States, North America",8717km,8717,131.91ms,131.91,66.54%,66.54,118.84ms,118.84,202.60ms,202.6,16.98ms,16.98,2018-11-10 12:19:29
"Baltimore United States, North America",6664km,6664,89.81ms,89.81,74.88%,74.88,89.48ms,89.48,92.10ms,92.1,0.52ms,0.52,2018-11-10 12:19:29
"Bangalore India, Eurasia",7226km,7226,158.09ms,158.09,45.73%,45.73,152.26ms,152.26,161.54ms,161.54,3.41ms,3.41,2018-11-10 12:19:29
"Bangkok Thailand, Eurasia",8810km,8810,191.81ms,191.81,46.13%,46.13,183.75ms,183.75,238.74ms,238.74,11.91ms,11.91,2018-11-10 12:19:29
"Barcelona Spain, Eurasia",1133km,1133,55.87ms,55.87,20.60%,20.6,55.62ms,55.62,56.98ms,56.98,0.35ms,0.35,2018-11-10 12:19:29
"Basel Switzerland, Eurasia",332km,332,10.33ms,10.33,33.20%,33.2,10.11ms,10.11,12.83ms,12.83,0.49ms,0.49,2018-11-10 12:19:29
"Belfast United Kingdom, Eurasia",1293km,1293,28.53ms,28.53,46.18%,46.18,28.40ms,28.4,28.62ms,28.62,0.18ms,0.18,2018-11-10 12:19:29
"Bergen Norway, Eurasia",1268km,1268,40.26ms,40.26,31.70%,31.7,40.08ms,40.08,40.68ms,40.68,0.22ms,0.22,2018-11-10 12:19:29
"Berkeley Springs United States, North America",6742km,6742,102.34ms,102.34,66.10%,66.1,102.17ms,102.17,102.58ms,102.58,0.46ms,0.46,2018-11-10 12:19:29
"Bern Switzerland, Eurasia",387km,387,12.76ms,12.76,32.25%,32.25,12.49ms,12.49,16.25ms,16.25,0.67ms,0.67,2018-11-10 12:19:29
"Bogota Colombia, South America",9272km,9272,182.42ms,182.42,50.95%,50.95,181.82ms,181.82,190.01ms,190.01,1.77ms,1.77,2018-11-10 12:19:29
"Boston United States, North America",6085km,6085,88.76ms,88.76,69.15%,69.15,88.45ms,88.45,90.22ms,90.22,0.46ms,0.46,2018-11-10 12:19:29
"Brasilia Brazil, South America",9271km,9271,217.67ms,217.67,42.72%,42.72,217.31ms,217.31,221.45ms,221.45,0.97ms,0.97,2018-11-10 12:19:29
"Bratislava Slovakia, Eurasia",464km,464,10.62ms,10.62,46.40%,46.4,10.43ms,10.43,11.07ms,11.07,0.17ms,0.17,2018-11-10 12:19:29
"Brisbane Australia, Oceania",15970km,15970,302.45ms,302.45,52.88%,52.88,302.21ms,302.21,303.79ms,303.79,0.68ms,0.68,2018-11-10 12:19:29
"Bristol United Kingdom, Eurasia",991km,991,18.36ms,18.36,55.06%,55.06,18.11ms,18.11,19.94ms,19.94,0.32ms,0.32,2018-11-10 12:19:29
"Brno Czech Republic, Eurasia",402km,402,12.05ms,12.05,33.50%,33.5,11.94ms,11.94,12.54ms,12.54,0.18ms,0.18,2018-11-10 12:19:29
"Bruges Belgium, Eurasia",590km,590,17.00ms,17.0,36.88%,36.88,16.56ms,16.56,20.74ms,20.74,1.00ms,1.0,2018-11-10 12:19:29
"Brunswick United States, North America",5910km,5910,94.37ms,94.37,62.87%,62.87,94.25ms,94.25,94.52ms,94.52,0.36ms,0.36,2018-11-10 12:19:29
"Brussels Belgium, Eurasia",504km,504,18.46ms,18.46,28.00%,28.0,18.37ms,18.37,18.64ms,18.64,0.13ms,0.13,2018-11-10 12:19:29
"Bucharest Romania, Eurasia",1267km,1267,34.27ms,34.27,37.26%,37.26,34.08ms,34.08,36.16ms,36.16,0.45ms,0.45,2018-11-10 12:19:29
"Budapest Hungary, Eurasia",625km,625,22.30ms,22.3,28.41%,28.41,21.81ms,21.81,22.89ms,22.89,0.35ms,0.35,2018-11-10 12:19:29
"Buenos Aires Argentina, South America",11579km,11579,239.85ms,239.85,48.45%,48.45,233.88ms,233.88,252.19ms,252.19,6.42ms,6.42,2018-11-10 12:19:29
"Buffalo United States, North America",6544km,6544,106.54ms,106.54,61.74%,61.74,104.84ms,104.84,114.16ms,114.16,2.46ms,2.46,2018-11-10 12:19:29
"Bursa Turkey, Eurasia",1745km,1745,46.54ms,46.54,37.93%,37.93,46.39ms,46.39,47.05ms,47.05,0.28ms,0.28,2018-11-10 12:19:29
"Cairo Egypt, Africa",2742km,2742,59.01ms,59.01,46.47%,46.47,56.02ms,56.02,64.75ms,64.75,2.50ms,2.5,2018-11-10 12:19:29
"Calgary Canada, North America",7693km,7693,167.43ms,167.43,46.07%,46.07,165.98ms,165.98,180.86ms,180.86,3.08ms,3.08,2018-11-10 12:19:29
"Canberra Australia, Oceania",16292km,16292,326.02ms,326.02,49.98%,49.98,324.89ms,324.89,331.77ms,331.77,1.96ms,1.96,2018-11-10 12:19:29
"Cape Town South Africa, Africa",9307km,9307,156.54ms,156.54,59.66%,59.66,156.30ms,156.3,158.27ms,158.27,0.56ms,0.56,2018-11-10 12:19:29
"Caracas Venezuela, South America",8259km,8259,153.36ms,153.36,53.98%,53.98,152.68ms,152.68,155.49ms,155.49,0.73ms,0.73,2018-11-10 12:19:29
"Cardiff United Kingdom, Eurasia",1033km,1033,20.53ms,20.53,51.65%,51.65,20.01ms,20.01,21.36ms,21.36,0.44ms,0.44,2018-11-10 12:19:29
"Carlow Ireland, Eurasia",1308km,1308,29.60ms,29.6,45.10%,45.1,29.37ms,29.37,31.50ms,31.5,0.42ms,0.42,2018-11-10 12:19:29
"Charlotte United States, North America",7245km,7245,101.80ms,101.8,71.73%,71.73,101.72ms,101.72,101.90ms,101.9,0.45ms,0.45,2018-11-10 12:19:29
"Cheltenham United Kingdom, Eurasia",965km,965,17.91ms,17.91,56.76%,56.76,17.40ms,17.4,24.72ms,24.72,1.62ms,1.62,2018-11-10 12:19:29
"Chennai India, Eurasia",7409km,7409,151.87ms,151.87,49.07%,49.07,151.68ms,151.68,152.69ms,152.69,0.50ms,0.5,2018-11-10 12:19:29
"Chicago United States, North America",7153km,7153,101.10ms,101.1,70.82%,70.82,100.99ms,100.99,102.09ms,102.09,0.44ms,0.44,2018-11-10 12:19:29
"Chisinau Moldova, Eurasia",1345km,1345,48.60ms,48.6,28.02%,28.02,48.45ms,48.45,49.21ms,49.21,0.34ms,0.34,2018-11-10 12:19:29
"Christchurch New Zealand, Oceania",18463km,18463,343.41ms,343.41,53.83%,53.83,343.28ms,343.28,343.67ms,343.67,0.68ms,0.68,2018-11-10 12:19:29
"Cincinnati United States, North America",7177km,7177,108.64ms,108.64,66.45%,66.45,108.56ms,108.56,108.82ms,108.82,0.16ms,0.16,2018-11-10 12:19:29
"Cleveland United States, North America",6784km,6784,110.82ms,110.82,61.67%,61.67,110.58ms,110.58,110.96ms,110.96,0.15ms,0.15,2018-11-10 12:19:29
"Colorado Springs United States, North America",8361km,8361,133.92ms,133.92,62.86%,62.86,132.51ms,132.51,166.42ms,166.42,6.13ms,6.13,2018-11-10 12:19:29
"Columbus United States, North America",7017km,7017,108.47ms,108.47,64.97%,64.97,108.24ms,108.24,108.92ms,108.92,0.47ms,0.47,2018-11-10 12:19:29
"Copenhagen Denmark, Eurasia",699km,699,22.93ms,22.93,31.77%,31.77,22.84ms,22.84,23.31ms,23.31,0.10ms,0.1,2018-11-10 12:19:29
"Coventry United Kingdom, Eurasia",940km,940,16.76ms,16.76,58.75%,58.75,16.59ms,16.59,17.54ms,17.54,0.23ms,0.23,2018-11-10 12:19:30
"Cromwell United States, North America",6241km,6241,91.38ms,91.38,68.58%,68.58,91.13ms,91.13,92.22ms,92.22,0.36ms,0.36,2018-11-10 12:19:30
"Dagupan Philippines, Eurasia",9985km,9985,306.15ms,306.15,32.63%,32.63,297.28ms,297.28,426.42ms,426.42,22.80ms,22.8,2018-11-10 12:19:30
"Dallas United States, North America",8442km,8442,118.80ms,118.8,71.54%,71.54,118.66ms,118.66,119.06ms,119.06,0.45ms,0.45,2018-11-10 12:19:30
"Dar es Salaam Tanzania, Africa",6827km,6827,153.01ms,153.01,44.62%,44.62,152.80ms,152.8,153.50ms,153.5,0.54ms,0.54,2018-11-10 12:19:30
"Denver United States, North America",8293km,8293,125.97ms,125.97,66.34%,66.34,125.87ms,125.87,126.13ms,126.13,0.35ms,0.35,2018-11-10 12:19:30
"Des Moines United States, North America",7519km,7519,122.78ms,122.78,61.63%,61.63,122.68ms,122.68,122.92ms,122.92,0.40ms,0.4,2018-11-10 12:19:30
"Detroit United States, North America",6840km,6840,104.05ms,104.05,65.77%,65.77,103.91ms,103.91,104.65ms,104.65,0.18ms,0.18,2018-11-10 12:19:30
"Dhaka Bangladesh, Eurasia",7275km,7275,178.88ms,178.88,40.87%,40.87,172.92ms,172.92,188.03ms,188.03,3.72ms,3.72,2018-11-10 12:19:30
"Dronten Netherlands, Eurasia",507km,507,11.24ms,11.24,46.09%,46.09,10.29ms,10.29,17.91ms,17.91,1.89ms,1.89,2018-11-10 12:19:30
"Dubai United Arab Emirates, Eurasia",4675km,4675,134.83ms,134.83,34.89%,34.89,134.60ms,134.6,135.13ms,135.13,0.33ms,0.33,2018-11-10 12:19:30
"Dublin Ireland, Eurasia",1275km,1275,24.11ms,24.11,53.12%,53.12,22.99ms,22.99,47.42ms,47.42,4.37ms,4.37,2018-11-10 12:19:30
"Dusseldorf Germany, Eurasia",363km,363,10.42ms,10.42,36.30%,36.3,10.24ms,10.24,10.62ms,10.62,0.14ms,0.14,2018-11-10 12:19:30
"Edinburgh United Kingdom, Eurasia",1199km,1199,25.00ms,25.0,49.96%,49.96,24.86ms,24.86,25.16ms,25.16,0.10ms,0.1,2018-11-10 12:19:30
"Edmonton Canada, North America",7440km,7440,142.66ms,142.66,52.39%,52.39,142.52ms,142.52,143.18ms,143.18,0.24ms,0.24,2018-11-10 12:19:30
"Eindhoven Netherlands, Eurasia",454km,454,11.17ms,11.17,41.27%,41.27,11.02ms,11.02,11.43ms,11.43,0.14ms,0.14,2018-11-10 12:19:30
"Falkenstein Germany, Eurasia",146km,146,3.49ms,3.49,48.67%,48.67,3.35ms,3.35,3.80ms,3.8,0.10ms,0.1,2018-11-10 12:19:30
"Fez Morocco, Africa",2162km,2162,100.57ms,100.57,21.62%,21.62,76.16ms,76.16,158.55ms,158.55,25.04ms,25.04,2018-11-10 12:19:30
"Frankfurt Germany, Eurasia",187km,187,3.85ms,3.85,62.33%,62.33,3.73ms,3.73,4.04ms,4.04,0.08ms,0.08,2018-11-10 12:19:30
"Fremont United States, North America",9301km,9301,144.94ms,144.94,64.59%,64.59,144.64ms,144.64,147.15ms,147.15,0.50ms,0.5,2018-11-10 12:19:30
"Frosinone Italy, Eurasia",889km,889,28.62ms,28.62,31.75%,31.75,28.48ms,28.48,28.93ms,28.93,0.19ms,0.19,2018-11-10 12:19:30
