City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16199km,16199,238.24ms,238.24,68.06%,68.06,238.08ms,238.08,238.44ms,238.44,0.64ms,0.64,2018-11-10 12:18:52
"Albany United States, North America",1722km,1722,88.10ms,88.1,19.57%,19.57,32.34ms,32.34,161.05ms,161.05,40.40ms,40.4,2018-11-10 12:18:52
"Alblasserdam Netherlands, Eurasia",7294km,7294,106.65ms,106.65,68.81%,68.81,106.55ms,106.55,107.12ms,107.12,0.39ms,0.39,2018-11-10 12:18:52
"Albuquerque United States, North America",2486km,2486,56.85ms,56.85,44.39%,44.39,51.01ms,51.01,102.83ms,102.83,12.68ms,12.68,2018-11-10 12:18:52
"Algiers Algeria, Africa",7703km,7703,138.33ms,138.33,55.82%,55.82,137.92ms,137.92,139.46ms,139.46,0.35ms,0.35,2018-11-10 12:18:52
"Amsterdam Netherlands, Eurasia",7285km,7285,112.84ms,112.84,65.04%,65.04,112.70ms,112.7,113.12ms,113.12,0.46ms,0.46,2018-11-10 12:18:52
"Anchorage United States, North America",6117km,6117,100.74ms,100.74,61.17%,61.17,100.50ms,100.5,101.12ms,101.12,0.28ms,0.28,2018-11-10 12:18:52
"Ankara Turkey, Eurasia",9818km,9818,168.85ms,168.85,58.44%,58.44,168.52ms,168.52,173.53ms,173.53,0.98ms,0.98,2018-11-10 12:18:52
"Antwerp Belgium, Eurasia",7297km,7297,118.81ms,118.81,61.84%,61.84,118.74ms,118.74,118.91ms,118.91,0.21ms,0.21,2018-11-10 12:18:52
"Arezzo Italy, Eurasia",8118km,8118,124.96ms,124.96,65.47%,65.47,124.78ms,124.78,126.69ms,126.69,0.44ms,0.44,2018-11-10 12:18:52
"Asheville United States, North America",793km,793,24.65ms,24.65,33.04%,33.04,24.53ms,24.53,24.79ms,24.79,0.22ms,0.22,2018-11-10 12:18:52
"Athens Greece, Eurasia",9285km,9285,156.39ms,156.39,59.52%,59.52,156.06ms,156.06,159.96ms,159.96,0.67ms,0.67,2018-11-10 12:18:52
"Atlanta United States, North America",646km,646,11.91ms,11.91,58.73%,58.73,11.66ms,11.66,13.44ms,13.44,0.38ms,0.38,2018-11-10 12:18:52
"Auckland New Zealand, Oceania",13021km,13021,219.13ms,219.13,59.46%,59.46,219.03ms,219.03,219.78ms,219.78,0.65ms,0.65,2018-11-10 12:18:52
"Austin United States, North America",1596km,1596,40.06ms,40.06,39.90%,39.9,29.84ms,29.84,78.47ms,78.47,12.25ms,12.25,2018-11-10 12:18:52
"Baltimore United States, North America",1272km,1272,23.59ms,23.59,55.30%,55.3,22.94ms,22.94,31.57ms,31.57,1.65ms,1.65,2018-11-10 12:18:52
"Bangalore India, Eurasia",14879km,14879,237.12ms,237.12,62.78%,62.78,237.01ms,237.01,237.26ms,237.26,0.19ms,0.19,2018-11-10 12:18:52
"Bangkok Thailand, Eurasia",15312km,15312,264.85ms,264.85,58.00%,58.0,245.73ms,245.73,329.36ms,329.36,24.28ms,24.28,2018-11-10 12:18:52
"Barcelona Spain, Eurasia",7457km,7457,120.66ms,120.66,62.14%,62.14,120.37ms,120.37,120.84ms,120.84,0.34ms,0.34,2018-11-10 12:18:52
"Basel Switzerland, Eurasia",7641km,7641,126.16ms,126.16,60.64%,60.64,126.05ms,126.05,126.30ms,126.3,0.48ms,0.48,2018-11-10 12:18:52
"Belfast United Kingdom, Eurasia",6545km,6545,116.84ms,116.84,56.42%,56.42,116.72ms,116.72,117.02ms,117.02,0.47ms,0.47,2018-11-10 12:18:52
"Bergen Norway, Eurasia",7105km,7105,142.03ms,142.03,50.04%,50.04,141.85ms,141.85,142.43ms,142.43,0.41ms,0.41,2018-11-10 12:18:52
"Berkeley Springs United States, North America",1266km,1266,34.89ms,34.89,37.24%,37.24,34.70ms,34.7,35.18ms,35.18,0.28ms,0.28,2018-11-10 12:18:53
"Bern Switzerland, Eurasia",7654km,7654,116.21ms,116.21,65.98%,65.98,116.04ms,116.04,116.34ms,116.34,0.35ms,0.35,2018-11-10 12:18:53
"Bogota Colombia, South America",2772km,2772,73.02ms,73.02,37.97%,37.97,72.30ms,72.3,79.66ms,79.66,1.77ms,1.77,2018-11-10 12:18:53
"Boston United States, North America",1795km,1795,35.31ms,35.31,51.29%,51.29,34.85ms,34.85,38.79ms,38.79,0.80ms,0.8,2018-11-10 12:18:53
"Brasilia Brazil, South America",6107km,6107,125.23ms,125.23,48.86%,48.86,124.07ms,124.07,133.73ms,133.73,2.39ms,2.39,2018-11-10 12:18:53
"Bratislava Slovakia, Eurasia",8272km,8272,137.04ms,137.04,60.38%,60.38,136.95ms,136.95,137.17ms,137.17,0.32ms,0.32,2018-11-10 12:18:53
"Brisbane Australia, Oceania",14723km,14723,210.28ms,210.28,70.11%,70.11,210.14ms,210.14,210.46ms,210.46,0.28ms,0.28,2018-11-10 12:18:53
"Bristol United Kingdom, Eurasia",6819km,6819,102.87ms,102.87,66.85%,66.85,102.64ms,102.64,103.22ms,103.22,0.22ms,0.22,2018-11-10 12:18:53
"Brno Czech Republic, Eurasia",8189km,8189,125.18ms,125.18,65.51%,65.51,125.04ms,125.04,125.35ms,125.35,0.43ms,0.43,2018-11-10 12:18:53
