City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16911km,16911,252.30ms,252.3,67.11%,67.11,251.84ms,251.84,260.00ms,260.0,1.62ms,1.62,2018-11-10 12:18:38
"Albany United States, North America",335km,335,73.81ms,73.81,4.59%,4.59,17.30ms,17.3,136.09ms,136.09,38.87ms,38.87,2018-11-10 12:18:38
"Alblasserdam Netherlands, Eurasia",5642km,5642,88.31ms,88.31,64.11%,64.11,88.13ms,88.13,88.71ms,88.71,0.28ms,0.28,2018-11-10 12:18:38
"Albuquerque United States, North America",2840km,2840,66.23ms,66.23,43.03%,43.03,60.50ms,60.5,116.24ms,116.24,14.28ms,14.28,2018-11-10 12:18:38
"Algiers Algeria, Africa",6406km,6406,122.24ms,122.24,52.51%,52.51,121.53ms,121.53,123.79ms,123.79,0.63ms,0.63,2018-11-10 12:18:38
"Amsterdam Netherlands, Eurasia",5624km,5624,92.88ms,92.88,61.13%,61.13,92.58ms,92.58,94.26ms,94.26,0.38ms,0.38,2018-11-10 12:18:38
"Anchorage United States, North America",4921km,4921,99.41ms,99.41,49.71%,49.71,98.94ms,98.94,101.05ms,101.05,0.70ms,0.7,2018-11-10 12:18:38
"Ankara Turkey, Eurasia",8162km,8162,141.94ms,141.94,57.89%,57.89,141.45ms,141.45,144.00ms,144.0,0.89ms,0.89,2018-11-10 12:18:38
"Antwerp Belgium, Eurasia",5659km,5659,102.04ms,102.04,55.48%,55.48,101.87ms,101.87,103.43ms,103.43,0.37ms,0.37,2018-11-10 12:18:38
"Arezzo Italy, Eurasia",6587km,6587,109.58ms,109.58,60.43%,60.43,109.25ms,109.25,111.34ms,111.34,0.60ms,0.6,2018-11-10 12:18:38
"Asheville United States, North America",1235km,1235,30.29ms,30.29,41.17%,41.17,29.94ms,29.94,32.13ms,32.13,0.71ms,0.71,2018-11-10 12:18:38
"Athens Greece, Eurasia",7747km,7747,141.57ms,141.57,54.94%,54.94,141.34ms,141.34,142.29ms,142.29,0.33ms,0.33,2018-11-10 12:18:38
"Atlanta United States, North America",1494km,1494,31.76ms,31.76,48.19%,48.19,31.23ms,31.23,33.78ms,33.78,0.76ms,0.76,2018-11-10 12:18:38
"Auckland New Zealand, Oceania",14232km,14232,284.98ms,284.98,50.11%,50.11,284.51ms,284.51,287.33ms,287.33,0.95ms,0.95,2018-11-10 12:18:38
"Austin United States, North America",2553km,2553,62.31ms,62.31,41.18%,41.18,51.46ms,51.46,89.90ms,89.9,11.94ms,11.94,2018-11-10 12:18:38
"Baltimore United States, North America",686km,686,18.88ms,18.88,38.11%,38.11,18.35ms,18.35,20.82ms,20.82,0.66ms,0.66,2018-11-10 12:18:38
"Bangalore India, Eurasia",12992km,12992,231.63ms,231.63,56.24%,56.24,231.33ms,231.33,233.37ms,233.37,0.56ms,0.56,2018-11-10 12:18:38
"Bangkok Thailand, Eurasia",13428km,13428,261.70ms,261.7,51.45%,51.45,257.75ms,257.75,277.56ms,277.56,5.51ms,5.51,2018-11-10 12:18:38
"Barcelona Spain, Eurasia",6054km,6054,121.50ms,121.5,50.03%,50.03,120.64ms,120.64,126.23ms,126.23,1.22ms,1.22,2018-11-10 12:18:38
"Basel Switzerland, Eurasia",6059km,6059,110.36ms,110.36,55.08%,55.08,109.64ms,109.64,112.34ms,112.34,0.95ms,0.95,2018-11-10 12:18:38
