City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17007km,17007,236.31ms,236.31,72.06%,72.06,236.07ms,236.07,238.29ms,238.29,0.77ms,0.77,2018-11-10 12:18:25
"Albany United States, North America",332km,332,62.26ms,62.26,5.35%,5.35,6.25ms,6.25,119.35ms,119.35,38.63ms,38.63,2018-11-10 12:18:25
"Alblasserdam Netherlands, Eurasia",5998km,5998,78.48ms,78.48,76.90%,76.9,78.33ms,78.33,79.03ms,79.03,0.24ms,0.24,2018-11-10 12:18:25
"Albuquerque United States, North America",2810km,2810,62.57ms,62.57,45.32%,45.32,56.38ms,56.38,107.19ms,107.19,12.21ms,12.21,2018-11-10 12:18:25
"Algiers Algeria, Africa",6602km,6602,120.19ms,120.19,55.02%,55.02,119.70ms,119.7,121.57ms,121.57,0.40ms,0.4,2018-11-10 12:18:25
"Amsterdam Netherlands, Eurasia",5984km,5984,78.34ms,78.34,76.72%,76.72,78.16ms,78.16,78.58ms,78.58,0.22ms,0.22,2018-11-10 12:18:25
"Anchorage United States, North America",5416km,5416,106.37ms,106.37,51.09%,51.09,106.07ms,106.07,107.40ms,107.4,0.48ms,0.48,2018-11-10 12:18:25
"Ankara Turkey, Eurasia",8529km,8529,135.74ms,135.74,63.18%,63.18,135.49ms,135.49,136.28ms,136.28,0.30ms,0.3,2018-11-10 12:18:25
"Antwerp Belgium, Eurasia",6008km,6008,85.26ms,85.26,70.68%,70.68,85.08ms,85.08,87.33ms,87.33,0.41ms,0.41,2018-11-10 12:18:25
"Arezzo Italy, Eurasia",6887km,6887,106.70ms,106.7,64.97%,64.97,106.56ms,106.56,107.25ms,107.25,0.41ms,0.41,2018-11-10 12:18:25
"Asheville United States, North America",809km,809,19.36ms,19.36,42.58%,42.58,19.24ms,19.24,19.79ms,19.79,0.22ms,0.22,2018-11-10 12:18:25
"Athens Greece, Eurasia",8056km,8056,129.49ms,129.49,62.45%,62.45,129.22ms,129.22,130.88ms,130.88,0.46ms,0.46,2018-11-10 12:18:25
"Atlanta United States, North America",1071km,1071,18.95ms,18.95,59.50%,59.5,18.59ms,18.59,22.07ms,22.07,0.63ms,0.63,2018-11-10 12:18:25
"Auckland New Zealand, Oceania",14078km,14078,302.09ms,302.09,46.62%,46.62,301.97ms,301.97,302.58ms,302.58,0.69ms,0.69,2018-11-10 12:18:25
"Austin United States, North America",2311km,2311,46.06ms,46.06,50.24%,50.24,37.86ms,37.86,75.53ms,75.53,9.86ms,9.86,2018-11-10 12:18:25
"Baltimore United States, North America",144km,144,5.64ms,5.64,28.80%,28.8,5.07ms,5.07,10.99ms,10.99,1.16ms,1.16,2018-11-10 12:18:25
"Bangalore India, Eurasia",13495km,13495,219.84ms,219.84,61.62%,61.62,219.66ms,219.66,220.73ms,220.73,0.48ms,0.48,2018-11-10 12:18:25
"Bangkok Thailand, Eurasia",14030km,14030,239.16ms,239.16,58.70%,58.7,227.94ms,227.94,268.63ms,268.63,11.19ms,11.19,2018-11-10 12:18:25
"Barcelona Spain, Eurasia",6294km,6294,106.04ms,106.04,59.38%,59.38,105.66ms,105.66,107.95ms,107.95,0.54ms,0.54,2018-11-10 12:18:25
"Basel Switzerland, Eurasia",6381km,6381,100.09ms,100.09,63.81%,63.81,99.98ms,99.98,100.27ms,100.27,0.30ms,0.3,2018-11-10 12:18:25
"Belfast United Kingdom, Eurasia",5237km,5237,102.28ms,102.28,51.34%,51.34,102.08ms,102.08,102.77ms,102.77,0.42ms,0.42,2018-11-10 12:18:25
"Bergen Norway, Eurasia",5742km,5742,110.31ms,110.31,52.20%,52.2,109.94ms,109.94,111.25ms,111.25,0.50ms,0.5,2018-11-10 12:18:25
"Berkeley Springs United States, North America",264km,264,54.36ms,54.36,4.89%,4.89,54.23ms,54.23,54.57ms,54.57,0.15ms,0.15,2018-11-10 12:18:25
"Bern Switzerland, Eurasia",6401km,6401,98.42ms,98.42,65.32%,65.32,98.25ms,98.25,99.00ms,99.0,0.33ms,0.33,2018-11-10 12:18:25
"Bogota Colombia, South America",3933km,3933,95.38ms,95.38,41.40%,41.4,95.24ms,95.24,95.59ms,95.59,0.24ms,0.24,2018-11-10 12:18:25
"Boston United States, North America",435km,435,7.43ms,7.43,62.14%,62.14,7.22ms,7.22,8.16ms,8.16,0.21ms,0.21,2018-11-10 12:18:25
"Brasilia Brazil, South America",6813km,6813,145.29ms,145.29,46.99%,46.99,143.86ms,143.86,151.37ms,151.37,2.38ms,2.38,2018-11-10 12:18:25
"Bratislava Slovakia, Eurasia",6978km,6978,101.92ms,101.92,69.09%,69.09,101.78ms,101.78,102.39ms,102.39,0.43ms,0.43,2018-11-10 12:18:25
"Brisbane Australia, Oceania",15410km,15410,279.48ms,279.48,55.23%,55.23,279.32ms,279.32,279.75ms,279.75,0.42ms,0.42,2018-11-10 12:18:25
"Bristol United Kingdom, Eurasia",5540km,5540,73.78ms,73.78,75.89%,75.89,73.58ms,73.58,74.25ms,74.25,0.37ms,0.37,2018-11-10 12:18:25
"Brno Czech Republic, Eurasia",6888km,6888,105.17ms,105.17,65.60%,65.6,105.05ms,105.05,105.34ms,105.34,0.35ms,0.35,2018-11-10 12:18:25
"Bruges Belgium, Eurasia",5932km,5932,82.15ms,82.15,72.34%,72.34,81.61ms,81.61,84.17ms,84.17,0.77ms,0.77,2018-11-10 12:18:25
"Brunswick United States, North America",615km,615,14.61ms,14.61,43.93%,43.93,14.46ms,14.46,14.95ms,14.95,0.17ms,0.17,2018-11-10 12:18:25
"Brussels Belgium, Eurasia",6019km,6019,75.43ms,75.43,80.25%,80.25,75.31ms,75.31,75.54ms,75.54,0.20ms,0.2,2018-11-10 12:18:25
"Bucharest Romania, Eurasia",7782km,7782,126.65ms,126.65,61.76%,61.76,126.50ms,126.5,126.80ms,126.8,0.26ms,0.26,2018-11-10 12:18:25
"Budapest Hungary, Eurasia",7139km,7139,103.46ms,103.46,69.31%,69.31,102.99ms,102.99,104.54ms,104.54,0.48ms,0.48,2018-11-10 12:18:25
"Buenos Aires Argentina, South America",8469km,8469,153.32ms,153.32,55.35%,55.35,148.91ms,148.91,166.36ms,166.36,4.92ms,4.92,2018-11-10 12:18:26
"Buffalo United States, North America",449km,449,16.34ms,16.34,28.06%,28.06,13.40ms,13.4,40.28ms,40.28,5.60ms,5.6,2018-11-10 12:18:26
"Bursa Turkey, Eurasia",8264km,8264,137.71ms,137.71,60.32%,60.32,137.49ms,137.49,138.59ms,138.59,0.45ms,0.45,2018-11-10 12:18:26
"Cairo Egypt, Africa",9151km,9151,133.52ms,133.52,68.80%,68.8,131.27ms,131.27,139.53ms,139.53,2.17ms,2.17,2018-11-10 12:18:26
"Calgary Canada, North America",3228km,3228,82.88ms,82.88,39.37%,39.37,81.29ms,81.29,91.12ms,91.12,2.34ms,2.34,2018-11-10 12:18:26
"Canberra Australia, Oceania",16125km,16125,231.99ms,231.99,69.81%,69.81,231.47ms,231.47,236.67ms,236.67,0.99ms,0.99,2018-11-10 12:18:26
"Cape Town South Africa, Africa",12623km,12623,213.16ms,213.16,59.26%,59.26,212.83ms,212.83,216.66ms,216.66,0.83ms,0.83,2018-11-10 12:18:26
"Caracas Venezuela, South America",3377km,3377,70.31ms,70.31,48.24%,48.24,69.47ms,69.47,72.79ms,72.79,0.65ms,0.65,2018-11-10 12:18:26
"Cardiff United Kingdom, Eurasia",5500km,5500,79.53ms,79.53,69.62%,69.62,79.18ms,79.18,80.83ms,80.83,0.49ms,0.49,2018-11-10 12:18:26
"Carlow Ireland, Eurasia",5214km,5214,101.56ms,101.56,51.62%,51.62,101.33ms,101.33,101.86ms,101.86,0.43ms,0.43,2018-11-10 12:18:26
"Charlotte United States, North America",725km,725,15.90ms,15.9,48.33%,48.33,15.78ms,15.78,16.01ms,16.01,0.16ms,0.16,2018-11-10 12:18:26
"Cheltenham United Kingdom, Eurasia",5560km,5560,75.54ms,75.54,74.13%,74.13,75.30ms,75.3,77.69ms,77.69,0.52ms,0.52,2018-11-10 12:18:26
"Chennai India, Eurasia",13598km,13598,211.63ms,211.63,64.45%,64.45,211.50ms,211.5,211.85ms,211.85,0.58ms,0.58,2018-11-10 12:18:26
"Chicago United States, North America",1069km,1069,23.87ms,23.87,46.48%,46.48,23.79ms,23.79,24.03ms,24.03,0.11ms,0.11,2018-11-10 12:18:26
"Chisinau Moldova, Eurasia",7782km,7782,125.17ms,125.17,62.26%,62.26,124.36ms,124.36,132.21ms,132.21,1.70ms,1.7,2018-11-10 12:18:26
"Christchurch New Zealand, Oceania",14540km,14540,209.24ms,209.24,69.57%,69.57,209.05ms,209.05,210.68ms,210.68,0.46ms,0.46,2018-11-10 12:18:26
"Cincinnati United States, North America",807km,807,25.51ms,25.51,32.28%,32.28,25.38ms,25.38,25.82ms,25.82,0.13ms,0.13,2018-11-10 12:18:26
"Cleveland United States, North America",554km,554,35.09ms,35.09,15.83%,15.83,34.82ms,34.82,37.47ms,37.47,0.48ms,0.48,2018-11-10 12:18:26
"Colorado Springs United States, North America",2537km,2537,50.10ms,50.1,50.74%,50.74,48.62ms,48.62,74.59ms,74.59,5.13ms,5.13,2018-11-10 12:18:26
"Columbus United States, North America",667km,667,24.04ms,24.04,27.79%,27.79,23.61ms,23.61,26.59ms,26.59,0.59ms,0.59,2018-11-10 12:18:26
"Copenhagen Denmark, Eurasia",6318km,6318,98.92ms,98.92,64.47%,64.47,98.79ms,98.79,99.19ms,99.19,0.21ms,0.21,2018-11-10 12:18:26
"Coventry United Kingdom, Eurasia",5580km,5580,75.85ms,75.85,74.40%,74.4,75.73ms,75.73,76.28ms,76.28,0.40ms,0.4,2018-11-10 12:18:26
"Cromwell United States, North America",279km,279,12.51ms,12.51,23.25%,23.25,12.17ms,12.17,14.01ms,14.01,0.39ms,0.39,2018-11-10 12:18:26
"Dagupan Philippines, Eurasia",13589km,13589,242.20ms,242.2,56.15%,56.15,240.90ms,240.9,250.48ms,250.48,2.03ms,2.03,2018-11-10 12:18:26
"Dallas United States, North America",2088km,2088,36.30ms,36.3,58.00%,58.0,36.09ms,36.09,37.76ms,37.76,0.41ms,0.41,2018-11-10 12:18:26
"Dar es Salaam Tanzania, Africa",12570km,12570,242.99ms,242.99,51.94%,51.94,242.76ms,242.76,243.47ms,243.47,0.52ms,0.52,2018-11-10 12:18:26
"Denver United States, North America",2534km,2534,46.13ms,46.13,55.09%,55.09,46.03ms,46.03,46.65ms,46.65,0.22ms,0.22,2018-11-10 12:18:26
"Des Moines United States, North America",1562km,1562,53.52ms,53.52,29.47%,29.47,53.43ms,53.43,53.88ms,53.88,0.21ms,0.21,2018-11-10 12:18:26
"Detroit United States, North America",710km,710,15.57ms,15.57,47.33%,47.33,15.46ms,15.46,15.89ms,15.89,0.15ms,0.15,2018-11-10 12:18:26
