City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",17066km,17066,234.47ms,234.47,72.93%,72.93,234.12ms,234.12,236.31ms,236.31,0.78ms,0.78,2018-11-10 12:18:27
"Albany United States, North America",251km,251,65.41ms,65.41,3.86%,3.86,4.55ms,4.55,140.06ms,140.06,40.51ms,40.51,2018-11-10 12:18:27
"Alblasserdam Netherlands, Eurasia",5909km,5909,76.36ms,76.36,77.75%,77.75,76.14ms,76.14,76.66ms,76.66,0.31ms,0.31,2018-11-10 12:18:27
"Albuquerque United States, North America",2871km,2871,58.75ms,58.75,49.50%,49.5,52.84ms,52.84,105.67ms,105.67,14.50ms,14.5,2018-11-10 12:18:27
"Algiers Algeria, Africa",6521km,6521,119.16ms,119.16,54.80%,54.8,118.66ms,118.66,120.22ms,120.22,0.39ms,0.39,2018-11-10 12:18:27
"Amsterdam Netherlands, Eurasia",5895km,5895,82.69ms,82.69,71.89%,71.89,82.39ms,82.39,83.48ms,83.48,0.47ms,0.47,2018-11-10 12:18:27
"Anchorage United States, North America",5402km,5402,92.05ms,92.05,58.72%,58.72,91.85ms,91.85,92.35ms,92.35,0.39ms,0.39,2018-11-10 12:18:27
"Ankara Turkey, Eurasia",8441km,8441,126.06ms,126.06,66.99%,66.99,125.68ms,125.68,130.83ms,130.83,0.97ms,0.97,2018-11-10 12:18:27
"Antwerp Belgium, Eurasia",5919km,5919,113.10ms,113.1,52.38%,52.38,113.00ms,113.0,113.45ms,113.45,0.37ms,0.37,2018-11-10 12:18:27
"Arezzo Italy, Eurasia",6801km,6801,96.37ms,96.37,70.84%,70.84,96.26ms,96.26,96.46ms,96.46,0.32ms,0.32,2018-11-10 12:18:27
"Asheville United States, North America",896km,896,20.82ms,20.82,44.80%,44.8,20.71ms,20.71,21.11ms,21.11,0.20ms,0.2,2018-11-10 12:18:27
"Athens Greece, Eurasia",7970km,7970,125.06ms,125.06,63.76%,63.76,124.83ms,124.83,125.88ms,125.88,0.33ms,0.33,2018-11-10 12:18:27
"Atlanta United States, North America",1158km,1158,21.08ms,21.08,55.14%,55.14,20.87ms,20.87,21.71ms,21.71,0.21ms,0.21,2018-11-10 12:18:27
"Auckland New Zealand, Oceania",14156km,14156,220.40ms,220.4,64.35%,64.35,220.29ms,220.29,221.07ms,221.07,0.55ms,0.55,2018-11-10 12:18:27
"Austin United States, North America",2391km,2391,48.74ms,48.74,49.81%,49.81,41.74ms,41.74,81.49ms,81.49,10.33ms,10.33,2018-11-10 12:18:27
"Baltimore United States, North America",231km,231,8.50ms,8.5,28.88%,28.88,8.03ms,8.03,12.35ms,12.35,0.77ms,0.77,2018-11-10 12:18:27
"Bangalore India, Eurasia",13407km,13407,213.16ms,213.16,62.94%,62.94,213.03ms,213.03,213.96ms,213.96,0.48ms,0.48,2018-11-10 12:18:27
