City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16599km,16599,228.41ms,228.41,72.80%,72.8,228.12ms,228.12,232.64ms,232.64,1.01ms,1.01,2018-11-10 12:18:39
"Albany United States, North America",577km,577,70.61ms,70.61,8.24%,8.24,15.11ms,15.11,131.55ms,131.55,38.91ms,38.91,2018-11-10 12:18:39
"Alblasserdam Netherlands, Eurasia",6266km,6266,87.24ms,87.24,72.02%,72.02,87.14ms,87.14,87.48ms,87.48,0.11ms,0.11,2018-11-10 12:18:39
"Albuquerque United States, North America",2405km,2405,49.18ms,49.18,49.08%,49.08,43.38ms,43.38,99.12ms,99.12,14.38ms,14.38,2018-11-10 12:18:39
"Algiers Algeria, Africa",6949km,6949,118.42ms,118.42,58.89%,58.89,117.81ms,117.81,118.83ms,118.83,0.46ms,0.46,2018-11-10 12:18:39
"Amsterdam Netherlands, Eurasia",6250km,6250,93.88ms,93.88,67.20%,67.2,93.75ms,93.75,94.11ms,94.11,0.42ms,0.42,2018-11-10 12:18:39
"Anchorage United States, North America",5119km,5119,86.40ms,86.4,59.52%,59.52,85.75ms,85.75,93.58ms,93.58,1.80ms,1.8,2018-11-10 12:18:39
"Ankara Turkey, Eurasia",8793km,8793,132.61ms,132.61,66.61%,66.61,132.43ms,132.43,133.25ms,133.25,0.49ms,0.49,2018-11-10 12:18:39
"Antwerp Belgium, Eurasia",6281km,6281,100.06ms,100.06,62.81%,62.81,99.94ms,99.94,101.23ms,101.23,0.43ms,0.43,2018-11-10 12:18:39
"Arezzo Italy, Eurasia",7188km,7188,112.58ms,112.58,64.18%,64.18,112.21ms,112.21,118.11ms,118.11,1.15ms,1.15,2018-11-10 12:18:39
"Asheville United States, North America",583km,583,19.60ms,19.6,30.68%,30.68,19.54ms,19.54,20.20ms,20.2,0.14ms,0.14,2018-11-10 12:18:39
"Athens Greece, Eurasia",8353km,8353,146.65ms,146.65,57.21%,57.21,146.51ms,146.51,147.07ms,147.07,0.28ms,0.28,2018-11-10 12:18:39
"Atlanta United States, North America",840km,840,20.57ms,20.57,42.00%,42.0,20.43ms,20.43,20.90ms,20.9,0.22ms,0.22,2018-11-10 12:18:39
"Auckland New Zealand, Oceania",13717km,13717,223.26ms,223.26,61.51%,61.51,223.15ms,223.15,223.71ms,223.71,0.50ms,0.5,2018-11-10 12:18:40
"Austin United States, North America",1964km,1964,47.79ms,47.79,41.79%,41.79,41.51ms,41.51,76.22ms,76.22,9.32ms,9.32,2018-11-10 12:18:40
"Baltimore United States, North America",314km,314,17.56ms,17.56,18.47%,18.47,17.06ms,17.06,25.18ms,25.18,1.44ms,1.44,2018-11-10 12:18:40
"Bangalore India, Eurasia",13645km,13645,218.31ms,218.31,62.59%,62.59,218.21ms,218.21,218.75ms,218.75,0.66ms,0.66,2018-11-10 12:18:40
"Bangkok Thailand, Eurasia",13993km,13993,275.06ms,275.06,50.88%,50.88,265.24ms,265.24,320.06ms,320.06,14.93ms,14.93,2018-11-10 12:18:40
"Barcelona Spain, Eurasia",6622km,6622,106.93ms,106.93,62.47%,62.47,106.78ms,106.78,107.23ms,107.23,0.13ms,0.13,2018-11-10 12:18:40
"Basel Switzerland, Eurasia",6669km,6669,116.27ms,116.27,57.49%,57.49,116.17ms,116.17,116.44ms,116.44,0.30ms,0.3,2018-11-10 12:18:40
"Belfast United Kingdom, Eurasia",5501km,5501,98.44ms,98.44,56.13%,56.13,98.34ms,98.34,98.64ms,98.64,0.36ms,0.36,2018-11-10 12:18:40
"Bergen Norway, Eurasia",5952km,5952,125.12ms,125.12,47.62%,47.62,124.82ms,124.82,126.10ms,126.1,0.57ms,0.57,2018-11-10 12:18:40
"Berkeley Springs United States, North America",174km,174,18.00ms,18.0,10.24%,10.24,17.81ms,17.81,18.33ms,18.33,0.22ms,0.22,2018-11-10 12:18:40
"Bern Switzerland, Eurasia",6693km,6693,120.10ms,120.1,55.77%,55.77,119.92ms,119.92,120.60ms,120.6,0.12ms,0.12,2018-11-10 12:18:40
"Bogota Colombia, South America",4030km,4030,97.50ms,97.5,41.55%,41.55,96.78ms,96.78,106.55ms,106.55,1.95ms,1.95,2018-11-10 12:18:40
