City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16649km,16649,228.41ms,228.41,73.02%,73.02,227.95ms,227.95,231.64ms,231.64,0.94ms,0.94,2018-11-10 12:18:36
"Albany United States, North America",887km,887,71.15ms,71.15,12.49%,12.49,17.08ms,17.08,116.49ms,116.49,37.15ms,37.15,2018-11-10 12:18:36
"Alblasserdam Netherlands, Eurasia",6547km,6547,91.31ms,91.31,71.95%,71.95,90.95ms,90.95,94.18ms,94.18,0.70ms,0.7,2018-11-10 12:18:36
"Albuquerque United States, North America",2512km,2512,54.56ms,54.56,46.52%,46.52,51.08ms,51.08,98.98ms,98.98,10.59ms,10.59,2018-11-10 12:18:36
"Algiers Algeria, Africa",7093km,7093,123.57ms,123.57,57.67%,57.67,123.04ms,123.04,124.48ms,124.48,0.46ms,0.46,2018-11-10 12:18:36
"Amsterdam Netherlands, Eurasia",6534km,6534,103.55ms,103.55,63.44%,63.44,103.38ms,103.38,104.47ms,104.47,0.38ms,0.38,2018-11-10 12:18:36
"Anchorage United States, North America",5593km,5593,100.71ms,100.71,55.93%,55.93,100.27ms,100.27,103.86ms,103.86,0.90ms,0.9,2018-11-10 12:18:36
"Ankara Turkey, Eurasia",9079km,9079,150.18ms,150.18,60.53%,60.53,149.75ms,149.75,155.10ms,155.1,1.07ms,1.07,2018-11-10 12:18:36
"Antwerp Belgium, Eurasia",6555km,6555,105.09ms,105.09,62.43%,62.43,104.92ms,104.92,105.71ms,105.71,0.22ms,0.22,2018-11-10 12:18:36
"Arezzo Italy, Eurasia",7420km,7420,115.70ms,115.7,64.52%,64.52,115.45ms,115.45,118.04ms,118.04,0.67ms,0.67,2018-11-10 12:18:36
"Asheville United States, North America",339km,339,25.38ms,25.38,13.56%,13.56,24.84ms,24.84,28.65ms,28.65,1.13ms,1.13,2018-11-10 12:18:36
"Athens Greece, Eurasia",8589km,8589,139.50ms,139.5,61.79%,61.79,138.90ms,138.9,143.35ms,143.35,1.04ms,1.04,2018-11-10 12:18:36
"Atlanta United States, North America",558km,558,19.28ms,19.28,29.37%,29.37,18.49ms,18.49,28.18ms,28.18,1.82ms,1.82,2018-11-10 12:18:36
"Auckland New Zealand, Oceania",13604km,13604,226.30ms,226.3,60.19%,60.19,225.72ms,225.72,231.47ms,231.47,1.46ms,1.46,2018-11-10 12:18:36
"Austin United States, North America",1867km,1867,45.66ms,45.66,41.49%,41.49,36.07ms,36.07,80.78ms,80.78,12.42ms,12.42,2018-11-10 12:18:36
"Baltimore United States, North America",434km,434,14.27ms,14.27,31.00%,31.0,13.69ms,13.69,19.44ms,19.44,1.12ms,1.12,2018-11-10 12:18:36
"Bangalore India, Eurasia",14057km,14057,266.18ms,266.18,52.85%,52.85,261.50ms,261.5,276.33ms,276.33,5.83ms,5.83,2018-11-10 12:18:36
