City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16514km,16514,335.89ms,335.89,49.30%,49.3,335.60ms,335.6,338.44ms,338.44,0.88ms,0.88,2018-11-10 12:20:28
"Albany United States, North America",4006km,4006,173.63ms,173.63,23.16%,23.16,108.53ms,108.53,244.24ms,244.24,40.31ms,40.31,2018-11-10 12:20:28
"Alblasserdam Netherlands, Eurasia",2050km,2050,50.58ms,50.58,41.00%,41.0,50.22ms,50.22,51.97ms,51.97,0.46ms,0.46,2018-11-10 12:20:28
"Albuquerque United States, North America",6294km,6294,174.70ms,174.7,36.17%,36.17,168.65ms,168.65,218.80ms,218.8,11.90ms,11.9,2018-11-10 12:20:28
"Algiers Algeria, Africa",3471km,3471,96.78ms,96.78,36.16%,36.16,96.26ms,96.26,97.45ms,97.45,0.30ms,0.3,2018-11-10 12:20:28
"Amsterdam Netherlands, Eurasia",2014km,2014,52.07ms,52.07,38.73%,38.73,50.71ms,50.71,85.99ms,85.99,6.31ms,6.31,2018-11-10 12:20:28
"Anchorage United States, North America",5421km,5421,218.45ms,218.45,24.87%,24.87,218.17ms,218.17,219.54ms,219.54,0.23ms,0.23,2018-11-10 12:20:28
"Ankara Turkey, Eurasia",4405km,4405,99.31ms,99.31,44.49%,44.49,99.10ms,99.1,99.65ms,99.65,0.38ms,0.38,2018-11-10 12:20:28
"Antwerp Belgium, Eurasia",2097km,2097,54.48ms,54.48,38.83%,38.83,54.36ms,54.36,54.90ms,54.9,0.16ms,0.16,2018-11-10 12:20:28
"Arezzo Italy, Eurasia",3124km,3124,71.46ms,71.46,44.00%,44.0,71.19ms,71.19,75.91ms,75.91,0.91ms,0.91,2018-11-10 12:20:28
"Asheville United States, North America",5088km,5088,126.25ms,126.25,40.38%,40.38,124.89ms,124.89,161.59ms,161.59,6.57ms,6.57,2018-11-10 12:20:28
"Athens Greece, Eurasia",4164km,4164,98.09ms,98.09,42.49%,42.49,97.90ms,97.9,98.45ms,98.45,0.32ms,0.32,2018-11-10 12:20:28
"Atlanta United States, North America",5351km,5351,124.53ms,124.53,43.15%,43.15,124.38ms,124.38,125.33ms,125.33,0.48ms,0.48,2018-11-10 12:20:28
"Auckland New Zealand, Oceania",16786km,16786,303.75ms,303.75,55.40%,55.4,303.51ms,303.51,306.88ms,306.88,0.81ms,0.81,2018-11-10 12:20:28
"Austin United States, North America",6332km,6332,158.87ms,158.87,40.08%,40.08,148.20ms,148.2,187.24ms,187.24,9.64ms,9.64,2018-11-10 12:20:28
"Baltimore United States, North America",4460km,4460,122.26ms,122.26,36.56%,36.56,121.71ms,121.71,124.71ms,124.71,0.72ms,0.72,2018-11-10 12:20:28
"Bangalore India, Eurasia",9169km,9169,177.85ms,177.85,51.80%,51.8,177.69ms,177.69,178.41ms,178.41,0.35ms,0.35,2018-11-10 12:20:28
"Bangkok Thailand, Eurasia",10095km,10095,210.47ms,210.47,48.07%,48.07,194.15ms,194.15,337.18ms,337.18,31.75ms,31.75,2018-11-10 12:20:28
"Barcelona Spain, Eurasia",2965km,2965,73.96ms,73.96,40.62%,40.62,73.74ms,73.74,74.19ms,74.19,0.23ms,0.23,2018-11-10 12:20:28
"Basel Switzerland, Eurasia",2562km,2562,67.91ms,67.91,38.24%,38.24,66.93ms,66.93,91.00ms,91.0,4.29ms,4.29,2018-11-10 12:20:28
"Belfast United Kingdom, Eurasia",1387km,1387,61.54ms,61.54,22.74%,22.74,61.14ms,61.14,68.26ms,68.26,1.29ms,1.29,2018-11-10 12:20:28
"Bergen Norway, Eurasia",1459km,1459,81.20ms,81.2,18.01%,18.01,80.98ms,80.98,82.68ms,82.68,0.45ms,0.45,2018-11-10 12:20:28
"Berkeley Springs United States, North America",4505km,4505,121.30ms,121.3,37.23%,37.23,121.13ms,121.13,121.71ms,121.71,0.44ms,0.44,2018-11-10 12:20:28
"Bern Switzerland, Eurasia",2614km,2614,64.24ms,64.24,40.84%,40.84,64.08ms,64.08,64.41ms,64.41,0.32ms,0.32,2018-11-10 12:20:28
"Bogota Colombia, South America",7806km,7806,198.14ms,198.14,39.42%,39.42,197.46ms,197.46,205.33ms,205.33,1.68ms,1.68,2018-11-10 12:20:28
"Boston United States, North America",3914km,3914,119.87ms,119.87,32.89%,32.89,119.58ms,119.58,122.70ms,122.7,0.67ms,0.67,2018-11-10 12:20:28
"Brasilia Brazil, South America",9163km,9163,274.58ms,274.58,33.44%,33.44,253.52ms,253.52,700.49ms,700.49,85.40ms,85.4,2018-11-10 12:20:28
"Bratislava Slovakia, Eurasia",2927km,2927,83.30ms,83.3,35.27%,35.27,79.51ms,79.51,188.32ms,188.32,19.50ms,19.5,2018-11-10 12:20:28
"Brisbane Australia, Oceania",15926km,15926,317.40ms,317.4,50.24%,50.24,317.28ms,317.28,317.73ms,317.73,0.59ms,0.59,2018-11-10 12:20:28
"Bristol United Kingdom, Eurasia",1802km,1802,43.51ms,43.51,41.91%,41.91,43.28ms,43.28,44.28ms,44.28,0.33ms,0.33,2018-11-10 12:20:28
"Brno Czech Republic, Eurasia",2813km,2813,81.15ms,81.15,34.73%,34.73,81.04ms,81.04,82.10ms,82.1,0.38ms,0.38,2018-11-10 12:20:28
"Bruges Belgium, Eurasia",2048km,2048,45.76ms,45.76,45.51%,45.51,45.52ms,45.52,46.12ms,46.12,0.25ms,0.25,2018-11-10 12:20:28
"Brunswick United States, North America",3721km,3721,120.88ms,120.88,31.01%,31.01,120.75ms,120.75,121.05ms,121.05,0.49ms,0.49,2018-11-10 12:20:28
"Brussels Belgium, Eurasia",2127km,2127,49.08ms,49.08,43.41%,43.41,48.95ms,48.95,49.25ms,49.25,0.24ms,0.24,2018-11-10 12:20:28
"Bucharest Romania, Eurasia",3676km,3676,92.55ms,92.55,39.96%,39.96,89.58ms,89.58,173.51ms,173.51,15.04ms,15.04,2018-11-10 12:20:28
"Budapest Hungary, Eurasia",3073km,3073,75.56ms,75.56,40.97%,40.97,74.40ms,74.4,91.77ms,91.77,3.05ms,3.05,2018-11-10 12:20:29
"Buenos Aires Argentina, South America",11437km,11437,259.56ms,259.56,44.16%,44.16,255.26ms,255.26,274.68ms,274.68,5.06ms,5.06,2018-11-10 12:20:29
"Buffalo United States, North America",4239km,4239,122.25ms,122.25,34.75%,34.75,118.86ms,118.86,144.10ms,144.1,5.83ms,5.83,2018-11-10 12:20:29
"Bursa Turkey, Eurasia",4201km,4201,112.92ms,112.92,37.51%,37.51,112.09ms,112.09,124.64ms,124.64,2.46ms,2.46,2018-11-10 12:20:29
"Cairo Egypt, Africa",5270km,5270,110.45ms,110.45,47.91%,47.91,100.00ms,100.0,135.40ms,135.4,8.23ms,8.23,2018-11-10 12:20:29
"Calgary Canada, North America",5161km,5161,195.12ms,195.12,26.47%,26.47,194.35ms,194.35,201.44ms,201.44,1.32ms,1.32,2018-11-10 12:20:29
"Canberra Australia, Oceania",16757km,16757,367.98ms,367.98,45.66%,45.66,366.34ms,366.34,398.20ms,398.2,5.77ms,5.77,2018-11-10 12:20:29
"Cape Town South Africa, Africa",11470km,11470,190.37ms,190.37,60.37%,60.37,190.22ms,190.22,191.05ms,191.05,0.27ms,0.27,2018-11-10 12:20:29
"Caracas Venezuela, South America",6912km,6912,188.90ms,188.9,36.77%,36.77,181.73ms,181.73,287.15ms,287.15,24.14ms,24.14,2018-11-10 12:20:29
"Cardiff United Kingdom, Eurasia",1778km,1778,44.91ms,44.91,40.41%,40.41,44.41ms,44.41,46.57ms,46.57,0.56ms,0.56,2018-11-10 12:20:29
"Carlow Ireland, Eurasia",1521km,1521,62.24ms,62.24,24.53%,24.53,62.10ms,62.1,62.42ms,62.42,0.32ms,0.32,2018-11-10 12:20:29
"Charlotte United States, North America",5041km,5041,133.73ms,133.73,37.90%,37.9,129.47ms,129.47,254.13ms,254.13,22.36ms,22.36,2018-11-10 12:20:29
"Cheltenham United Kingdom, Eurasia",1779km,1779,56.11ms,56.11,31.77%,31.77,51.61ms,51.61,182.74ms,182.74,23.51ms,23.51,2018-11-10 12:20:29
"Chennai India, Eurasia",9283km,9283,181.98ms,181.98,51.29%,51.29,181.74ms,181.74,183.31ms,183.31,0.63ms,0.63,2018-11-10 12:20:29
"Chicago United States, North America",4758km,4758,137.50ms,137.5,34.73%,34.73,137.37ms,137.37,137.78ms,137.78,0.23ms,0.23,2018-11-10 12:20:29
"Chisinau Moldova, Eurasia",3584km,3584,107.69ms,107.69,33.50%,33.5,100.06ms,100.06,238.09ms,238.09,28.45ms,28.45,2018-11-10 12:20:29
"Christchurch New Zealand, Oceania",17549km,17549,317.37ms,317.37,55.36%,55.36,316.92ms,316.92,322.49ms,322.49,1.11ms,1.11,2018-11-10 12:20:29
"Cincinnati United States, North America",4856km,4856,131.36ms,131.36,37.07%,37.07,131.21ms,131.21,131.52ms,131.52,0.43ms,0.43,2018-11-10 12:20:29
"Cleveland United States, North America",4466km,4466,140.83ms,140.83,31.90%,31.9,140.65ms,140.65,142.32ms,142.32,0.33ms,0.33,2018-11-10 12:20:29
"Colorado Springs United States, North America",5854km,5854,153.67ms,153.67,38.26%,38.26,153.57ms,153.57,154.09ms,154.09,0.28ms,0.28,2018-11-10 12:20:29
"Columbus United States, North America",4704km,4704,140.36ms,140.36,33.60%,33.6,138.90ms,138.9,153.47ms,153.47,3.54ms,3.54,2018-11-10 12:20:29
"Copenhagen Denmark, Eurasia",2106km,2106,61.69ms,61.69,34.52%,34.52,61.55ms,61.55,61.88ms,61.88,0.31ms,0.31,2018-11-10 12:20:29
"Coventry United Kingdom, Eurasia",1753km,1753,45.76ms,45.76,38.96%,38.96,45.56ms,45.56,47.02ms,47.02,0.29ms,0.29,2018-11-10 12:20:29
"Cromwell United States, North America",4058km,4058,124.93ms,124.93,32.73%,32.73,124.58ms,124.58,125.91ms,125.91,0.44ms,0.44,2018-11-10 12:20:29
"Dagupan Philippines, Eurasia",10540km,10540,354.86ms,354.86,29.77%,29.77,352.18ms,352.18,402.55ms,402.55,8.96ms,8.96,2018-11-10 12:20:29
