City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13196km,13196,183.28ms,183.28,72.11%,72.11,182.76ms,182.76,186.87ms,186.87,0.92ms,0.92,2018-11-10 12:19:26
"Albany United States, North America",3930km,3930,126.63ms,126.63,31.19%,31.19,68.45ms,68.45,203.28ms,203.28,38.54ms,38.54,2018-11-10 12:19:26
"Alblasserdam Netherlands, Eurasia",9042km,9042,142.45ms,142.45,63.68%,63.68,142.00ms,142.0,145.22ms,145.22,0.70ms,0.7,2018-11-10 12:19:26
"Albuquerque United States, North America",1008km,1008,50.65ms,50.65,20.16%,20.16,47.23ms,47.23,91.01ms,91.01,9.29ms,9.29,2018-11-10 12:19:26
"Algiers Algeria, Africa",10111km,10111,168.63ms,168.63,60.18%,60.18,168.15ms,168.15,169.38ms,169.38,0.53ms,0.53,2018-11-10 12:19:26
"Amsterdam Netherlands, Eurasia",9011km,9011,147.86ms,147.86,61.30%,61.3,147.41ms,147.41,148.59ms,148.59,0.60ms,0.6,2018-11-10 12:19:26
"Anchorage United States, North America",3945km,3945,63.72ms,63.72,62.62%,62.62,63.31ms,63.31,64.55ms,64.55,0.42ms,0.42,2018-11-10 12:19:26
"Ankara Turkey, Eurasia",11371km,11371,189.49ms,189.49,60.16%,60.16,188.89ms,188.89,197.93ms,197.93,1.60ms,1.6,2018-11-10 12:19:26
"Antwerp Belgium, Eurasia",9079km,9079,156.62ms,156.62,58.20%,58.2,156.21ms,156.21,157.76ms,157.76,0.63ms,0.63,2018-11-10 12:19:27
"Arezzo Italy, Eurasia",10090km,10090,165.25ms,165.25,61.15%,61.15,164.82ms,164.82,166.82ms,166.82,0.68ms,0.68,2018-11-10 12:19:27
"Asheville United States, North America",3184km,3184,65.12ms,65.12,48.98%,48.98,64.83ms,64.83,65.77ms,65.77,0.28ms,0.28,2018-11-10 12:19:27
"Athens Greece, Eurasia",11177km,11177,192.97ms,192.97,58.21%,58.21,192.58ms,192.58,193.90ms,193.9,0.39ms,0.39,2018-11-10 12:19:27
"Atlanta United States, North America",3037km,3037,48.41ms,48.41,63.27%,63.27,48.05ms,48.05,49.04ms,49.04,0.39ms,0.39,2018-11-10 12:19:27
"Auckland New Zealand, Oceania",10475km,10475,161.73ms,161.73,65.06%,65.06,161.39ms,161.39,162.59ms,162.59,0.60ms,0.6,2018-11-10 12:19:27
"Austin United States, North America",1858km,1858,46.91ms,46.91,40.39%,40.39,37.29ms,37.29,75.70ms,75.7,10.95ms,10.95,2018-11-10 12:19:27
"Baltimore United States, North America",3688km,3688,63.61ms,63.61,58.54%,58.54,63.13ms,63.13,64.58ms,64.58,0.48ms,0.48,2018-11-10 12:19:27
"Bangalore India, Eurasia",14702km,14702,237.67ms,237.67,62.03%,62.03,237.27ms,237.27,238.43ms,238.43,0.73ms,0.73,2018-11-10 12:19:27
"Bangkok Thailand, Eurasia",13485km,13485,258.82ms,258.82,52.27%,52.27,241.99ms,241.99,389.78ms,389.78,29.40ms,29.4,2018-11-10 12:19:27
"Barcelona Spain, Eurasia",9703km,9703,157.15ms,157.15,61.80%,61.8,156.79ms,156.79,157.75ms,157.75,0.55ms,0.55,2018-11-10 12:19:27
"Basel Switzerland, Eurasia",9530km,9530,159.96ms,159.96,59.94%,59.94,159.72ms,159.72,160.45ms,160.45,0.57ms,0.57,2018-11-10 12:19:27
"Belfast United Kingdom, Eurasia",8307km,8307,155.50ms,155.5,53.59%,53.59,155.16ms,155.16,155.85ms,155.85,0.29ms,0.29,2018-11-10 12:19:27
"Bergen Norway, Eurasia",8423km,8423,180.10ms,180.1,46.79%,46.79,179.66ms,179.66,180.86ms,180.86,0.49ms,0.49,2018-11-10 12:19:27
"Berkeley Springs United States, North America",3549km,3549,69.48ms,69.48,51.43%,51.43,69.09ms,69.09,71.49ms,71.49,0.56ms,0.56,2018-11-10 12:19:27
"Bern Switzerland, Eurasia",9571km,9571,155.77ms,155.77,61.75%,61.75,155.54ms,155.54,156.77ms,156.77,0.26ms,0.26,2018-11-10 12:19:27
"Bogota Colombia, South America",5451km,5451,124.21ms,124.21,43.96%,43.96,122.87ms,122.87,133.70ms,133.7,2.28ms,2.28,2018-11-10 12:19:27
"Boston United States, North America",4150km,4150,71.50ms,71.5,58.45%,58.45,70.97ms,70.97,75.38ms,75.38,0.83ms,0.83,2018-11-10 12:19:27
"Brasilia Brazil, South America",9119km,9119,176.49ms,176.49,51.81%,51.81,175.15ms,175.15,186.61ms,186.61,2.33ms,2.33,2018-11-10 12:19:27
"Bratislava Slovakia, Eurasia",9942km,9942,164.59ms,164.59,60.62%,60.62,164.25ms,164.25,165.61ms,165.61,0.56ms,0.56,2018-11-10 12:19:27
"Brisbane Australia, Oceania",11599km,11599,152.74ms,152.74,76.31%,76.31,152.40ms,152.4,153.68ms,153.68,0.46ms,0.46,2018-11-10 12:19:27
"Bristol United Kingdom, Eurasia",8696km,8696,139.60ms,139.6,62.56%,62.56,139.07ms,139.07,140.96ms,140.96,0.66ms,0.66,2018-11-10 12:19:27
"Brno Czech Republic, Eurasia",9826km,9826,170.78ms,170.78,57.80%,57.8,170.45ms,170.45,171.44ms,171.44,0.30ms,0.3,2018-11-10 12:19:27
"Bruges Belgium, Eurasia",9020km,9020,142.10ms,142.1,63.52%,63.52,141.57ms,141.57,143.03ms,143.03,0.43ms,0.43,2018-11-10 12:19:27
"Brunswick United States, North America",4239km,4239,75.75ms,75.75,56.52%,56.52,75.52ms,75.52,76.71ms,76.71,0.35ms,0.35,2018-11-10 12:19:27
"Brussels Belgium, Eurasia",9105km,9105,143.87ms,143.87,63.67%,63.67,143.66ms,143.66,144.30ms,144.3,0.26ms,0.26,2018-11-10 12:19:27
"Bucharest Romania, Eurasia",10669km,10669,182.01ms,182.01,58.62%,58.62,181.73ms,181.73,182.56ms,182.56,0.21ms,0.21,2018-11-10 12:19:27
"Budapest Hungary, Eurasia",10085km,10085,162.10ms,162.1,62.25%,62.25,161.44ms,161.44,163.24ms,163.24,0.61ms,0.61,2018-11-10 12:19:27
"Buenos Aires Argentina, South America",9678km,9678,201.18ms,201.18,48.15%,48.15,196.14ms,196.14,212.94ms,212.94,5.36ms,5.36,2018-11-10 12:19:27
"Buffalo United States, North America",3514km,3514,75.82ms,75.82,46.85%,46.85,74.88ms,74.88,80.50ms,80.5,1.17ms,1.17,2018-11-10 12:19:27
"Bursa Turkey, Eurasia",11199km,11199,193.86ms,193.86,58.03%,58.03,192.98ms,192.98,201.94ms,201.94,1.70ms,1.7,2018-11-10 12:19:27
"Cairo Egypt, Africa",12285km,12285,193.07ms,193.07,63.65%,63.65,189.88ms,189.88,199.67ms,199.67,2.51ms,2.51,2018-11-10 12:19:27
"Calgary Canada, North America",2054km,2054,47.25ms,47.25,43.70%,43.7,45.80ms,45.8,53.40ms,53.4,2.11ms,2.11,2018-11-10 12:19:27
"Canberra Australia, Oceania",12336km,12336,166.01ms,166.01,74.31%,74.31,165.31ms,165.31,171.03ms,171.03,1.10ms,1.1,2018-11-10 12:19:27
"Cape Town South Africa, Africa",15923km,15923,272.37ms,272.37,58.54%,58.54,272.09ms,272.09,273.54ms,273.54,0.65ms,0.65,2018-11-10 12:19:27
"Caracas Venezuela, South America",5689km,5689,104.94ms,104.94,54.70%,54.7,104.09ms,104.09,109.30ms,109.3,1.11ms,1.11,2018-11-10 12:19:27
"Cardiff United Kingdom, Eurasia",8662km,8662,138.83ms,138.83,62.77%,62.77,137.99ms,137.99,141.46ms,141.46,0.86ms,0.86,2018-11-10 12:19:27
"Carlow Ireland, Eurasia",8367km,8367,157.62ms,157.62,53.29%,53.29,157.21ms,157.21,158.62ms,158.62,0.60ms,0.6,2018-11-10 12:19:27
"Charlotte United States, North America",3342km,3342,52.73ms,52.73,64.27%,64.27,52.43ms,52.43,53.44ms,53.44,0.42ms,0.42,2018-11-10 12:19:27
"Cheltenham United Kingdom, Eurasia",8692km,8692,137.47ms,137.47,63.45%,63.45,137.13ms,137.13,138.19ms,138.19,0.59ms,0.59,2018-11-10 12:19:27
"Chennai India, Eurasia",14600km,14600,235.46ms,235.46,62.13%,62.13,234.95ms,234.95,235.94ms,235.94,0.50ms,0.5,2018-11-10 12:19:27
"Chicago United States, North America",2784km,2784,56.13ms,56.13,49.71%,49.71,55.83ms,55.83,56.69ms,56.69,0.25ms,0.25,2018-11-10 12:19:27
"Chisinau Moldova, Eurasia",10526km,10526,193.17ms,193.17,54.54%,54.54,192.81ms,192.81,195.61ms,195.61,0.64ms,0.64,2018-11-10 12:19:27
"Christchurch New Zealand, Oceania",11071km,11071,196.52ms,196.52,56.48%,56.48,196.17ms,196.17,197.15ms,197.15,0.37ms,0.37,2018-11-10 12:19:27
"Cincinnati United States, North America",3007km,3007,57.72ms,57.72,52.75%,52.75,57.33ms,57.33,58.32ms,58.32,0.37ms,0.37,2018-11-10 12:19:27
"Cleveland United States, North America",3299km,3299,76.06ms,76.06,43.41%,43.41,75.70ms,75.7,76.78ms,76.78,0.43ms,0.43,2018-11-10 12:19:27
"Colorado Springs United States, North America",1306km,1306,37.97ms,37.97,35.30%,35.3,36.10ms,36.1,74.55ms,74.55,7.04ms,7.04,2018-11-10 12:19:27
"Columbus United States, North America",3143km,3143,65.04ms,65.04,48.35%,48.35,64.62ms,64.62,66.64ms,66.64,0.48ms,0.48,2018-11-10 12:19:27
"Copenhagen Denmark, Eurasia",9095km,9095,158.76ms,158.76,57.56%,57.56,158.52ms,158.52,159.29ms,159.29,0.54ms,0.54,2018-11-10 12:19:27
"Coventry United Kingdom, Eurasia",8687km,8687,136.64ms,136.64,63.88%,63.88,136.26ms,136.26,139.14ms,139.14,0.69ms,0.69,2018-11-10 12:19:27
"Cromwell United States, North America",4020km,4020,71.44ms,71.44,56.62%,56.62,71.00ms,71.0,72.19ms,72.19,0.47ms,0.47,2018-11-10 12:19:27
"Dagupan Philippines, Eurasia",11854km,11854,160.25ms,160.25,74.09%,74.09,154.75ms,154.75,289.39ms,289.39,24.00ms,24.0,2018-11-10 12:19:27
"Dallas United States, North America",1900km,1900,29.62ms,29.62,65.52%,65.52,29.22ms,29.22,30.25ms,30.25,0.29ms,0.29,2018-11-10 12:19:27
"Dar es Salaam Tanzania, Africa",16247km,16247,276.33ms,276.33,58.87%,58.87,275.93ms,275.93,276.97ms,276.97,0.44ms,0.44,2018-11-10 12:19:27
"Denver United States, North America",1340km,1340,31.33ms,31.33,43.23%,43.23,31.01ms,31.01,31.93ms,31.93,0.32ms,0.32,2018-11-10 12:19:27
"Des Moines United States, North America",2298km,2298,62.20ms,62.2,37.06%,37.06,61.89ms,61.89,62.88ms,62.88,0.26ms,0.26,2018-11-10 12:19:27
