City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13017km,13017,174.14ms,174.14,74.81%,74.81,173.94ms,173.94,174.57ms,174.57,0.54ms,0.54,2018-11-10 12:19:32
"Albany United States, North America",4090km,4090,127.20ms,127.2,32.20%,32.2,68.21ms,68.21,220.49ms,220.49,39.83ms,39.83,2018-11-10 12:19:32
"Alblasserdam Netherlands, Eurasia",8827km,8827,138.97ms,138.97,63.96%,63.96,138.73ms,138.73,140.04ms,140.04,0.55ms,0.55,2018-11-10 12:19:32
"Albuquerque United States, North America",1397km,1397,39.91ms,39.91,35.82%,35.82,33.94ms,33.94,86.48ms,86.48,12.52ms,12.52,2018-11-10 12:19:32
"Algiers Algeria, Africa",10025km,10025,178.19ms,178.19,56.32%,56.32,177.38ms,177.38,179.20ms,179.2,0.67ms,0.67,2018-11-10 12:19:32
"Amsterdam Netherlands, Eurasia",8792km,8792,149.43ms,149.43,59.01%,59.01,149.32ms,149.32,149.76ms,149.76,0.55ms,0.55,2018-11-10 12:19:32
"Anchorage United States, North America",3287km,3287,47.18ms,47.18,69.94%,69.94,46.89ms,46.89,48.37ms,48.37,0.29ms,0.29,2018-11-10 12:19:32
"Ankara Turkey, Eurasia",11048km,11048,201.29ms,201.29,54.97%,54.97,200.81ms,200.81,207.49ms,207.49,1.26ms,1.26,2018-11-10 12:19:32
"Antwerp Belgium, Eurasia",8870km,8870,203.80ms,203.8,43.69%,43.69,157.49ms,157.49,441.14ms,441.14,85.55ms,85.55,2018-11-10 12:19:32
"Arezzo Italy, Eurasia",9895km,9895,175.68ms,175.68,56.54%,56.54,175.60ms,175.6,175.78ms,175.78,0.29ms,0.29,2018-11-10 12:19:32
"Asheville United States, North America",3503km,3503,68.91ms,68.91,51.51%,51.51,68.85ms,68.85,69.04ms,69.04,0.24ms,0.24,2018-11-10 12:19:32
"Athens Greece, Eurasia",10932km,10932,200.89ms,200.89,54.66%,54.66,200.78ms,200.78,201.31ms,201.31,0.49ms,0.49,2018-11-10 12:19:32
"Atlanta United States, North America",3400km,3400,63.26ms,63.26,53.97%,53.97,63.19ms,63.19,63.48ms,63.48,0.36ms,0.36,2018-11-10 12:19:32
"Auckland New Zealand, Oceania",10508km,10508,170.97ms,170.97,61.81%,61.81,170.80ms,170.8,172.59ms,172.59,0.59ms,0.59,2018-11-10 12:19:32
