City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16976km,16976,268.37ms,268.37,63.34%,63.34,266.90ms,266.9,270.96ms,270.96,1.87ms,1.87,2018-11-10 12:19:54
"Albany United States, North America",2797km,2797,131.83ms,131.83,21.35%,21.35,65.61ms,65.61,213.47ms,213.47,40.10ms,40.1,2018-11-10 12:19:54
"Alblasserdam Netherlands, Eurasia",7090km,7090,138.37ms,138.37,51.38%,51.38,138.19ms,138.19,138.58ms,138.58,0.22ms,0.22,2018-11-10 12:19:54
"Albuquerque United States, North America",4392km,4392,93.80ms,93.8,47.23%,47.23,87.83ms,87.83,137.71ms,137.71,13.78ms,13.78,2018-11-10 12:19:54
"Algiers Algeria, Africa",6962km,6962,171.69ms,171.69,40.71%,40.71,171.04ms,171.04,173.96ms,173.96,0.77ms,0.77,2018-11-10 12:19:54
"Amsterdam Netherlands, Eurasia",7096km,7096,158.24ms,158.24,44.91%,44.91,158.01ms,158.01,159.94ms,159.94,0.53ms,0.53,2018-11-10 12:19:55
"Anchorage United States, North America",7891km,7891,141.49ms,141.49,55.96%,55.96,140.93ms,140.93,143.99ms,143.99,0.96ms,0.96,2018-11-10 12:19:55
"Ankara Turkey, Eurasia",9434km,9434,191.28ms,191.28,49.39%,49.39,190.53ms,190.53,201.48ms,201.48,2.00ms,2.0,2018-11-10 12:19:55
"Antwerp Belgium, Eurasia",7068km,7068,159.26ms,159.26,44.45%,44.45,159.14ms,159.14,159.84ms,159.84,0.56ms,0.56,2018-11-10 12:19:55
"Arezzo Italy, Eurasia",7652km,7652,187.68ms,187.68,40.92%,40.92,187.35ms,187.35,193.56ms,193.56,1.22ms,1.22,2018-11-10 12:19:55
"Asheville United States, North America",2503km,2503,63.39ms,63.39,39.73%,39.73,63.24ms,63.24,64.83ms,64.83,0.41ms,0.41,2018-11-10 12:19:55
"Athens Greece, Eurasia",8743km,8743,190.00ms,190.0,46.02%,46.02,189.63ms,189.63,191.81ms,191.81,0.69ms,0.69,2018-11-10 12:19:55
"Atlanta United States, North America",2490km,2490,57.09ms,57.09,43.68%,43.68,56.79ms,56.79,58.99ms,58.99,0.49ms,0.49,2018-11-10 12:19:55
"Auckland New Zealand, Oceania",13798km,13798,261.79ms,261.79,52.87%,52.87,261.60ms,261.6,262.38ms,262.38,0.70ms,0.7,2018-11-10 12:19:55
"Austin United States, North America",3453km,3453,81.09ms,81.09,42.63%,42.63,70.23ms,70.23,106.30ms,106.3,9.93ms,9.93,2018-11-10 12:19:55
"Baltimore United States, North America",2530km,2530,57.90ms,57.9,44.39%,44.39,57.40ms,57.4,61.88ms,61.88,0.93ms,0.93,2018-11-10 12:19:55
"Bangalore India, Eurasia",14720km,14720,255.65ms,255.65,57.73%,57.73,255.48ms,255.48,255.91ms,255.91,0.69ms,0.69,2018-11-10 12:19:55
"Bangkok Thailand, Eurasia",16147km,16147,309.08ms,309.08,52.26%,52.26,292.61ms,292.61,411.23ms,411.23,26.98ms,26.98,2018-11-10 12:19:55
"Barcelona Spain, Eurasia",6869km,6869,173.09ms,173.09,39.71%,39.71,172.76ms,172.76,175.02ms,175.02,0.67ms,0.67,2018-11-10 12:19:55
"Basel Switzerland, Eurasia",7292km,7292,157.85ms,157.85,46.45%,46.45,157.73ms,157.73,158.06ms,158.06,0.56ms,0.56,2018-11-10 12:19:55
"Belfast United Kingdom, Eurasia",6438km,6438,151.14ms,151.14,42.64%,42.64,151.03ms,151.03,151.43ms,151.43,0.52ms,0.52,2018-11-10 12:19:55
"Bergen Norway, Eurasia",7215km,7215,174.52ms,174.52,41.47%,41.47,174.12ms,174.12,177.01ms,177.01,0.65ms,0.65,2018-11-10 12:19:55
