City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16962km,16962,235.50ms,235.5,72.18%,72.18,233.79ms,233.79,238.00ms,238.0,1.84ms,1.84,2018-11-10 12:18:39
"Albany United States, North America",216km,216,70.56ms,70.56,3.09%,3.09,9.60ms,9.6,130.99ms,130.99,38.89ms,38.89,2018-11-10 12:18:39
"Alblasserdam Netherlands, Eurasia",5923km,5923,82.00ms,82.0,72.23%,72.23,81.67ms,81.67,85.43ms,85.43,0.96ms,0.96,2018-11-10 12:18:39
"Albuquerque United States, North America",2775km,2775,64.87ms,64.87,43.36%,43.36,57.52ms,57.52,106.15ms,106.15,15.55ms,15.55,2018-11-10 12:18:39
"Algiers Algeria, Africa",6575km,6575,132.68ms,132.68,49.81%,49.81,132.24ms,132.24,132.91ms,132.91,0.21ms,0.21,2018-11-10 12:18:39
"Amsterdam Netherlands, Eurasia",5908km,5908,81.92ms,81.92,72.94%,72.94,81.77ms,81.77,82.08ms,82.08,0.38ms,0.38,2018-11-10 12:18:39
"Anchorage United States, North America",5264km,5264,96.56ms,96.56,54.83%,54.83,96.34ms,96.34,96.89ms,96.89,0.31ms,0.31,2018-11-10 12:18:39
"Ankara Turkey, Eurasia",8453km,8453,126.44ms,126.44,67.09%,67.09,126.12ms,126.12,127.50ms,127.5,0.46ms,0.46,2018-11-10 12:18:39
"Antwerp Belgium, Eurasia",5936km,5936,84.68ms,84.68,70.67%,70.67,84.53ms,84.53,84.83ms,84.83,0.14ms,0.14,2018-11-10 12:18:39
"Arezzo Italy, Eurasia",6830km,6830,114.13ms,114.13,59.91%,59.91,113.69ms,113.69,122.09ms,122.09,1.52ms,1.52,2018-11-10 12:18:39
"Asheville United States, North America",880km,880,25.57ms,25.57,35.20%,35.2,25.51ms,25.51,25.69ms,25.69,0.17ms,0.17,2018-11-10 12:18:39
"Athens Greece, Eurasia",7998km,7998,139.38ms,139.38,57.54%,57.54,139.10ms,139.1,141.09ms,141.09,0.62ms,0.62,2018-11-10 12:18:39
"Atlanta United States, North America",1146km,1146,19.90ms,19.9,60.32%,60.32,19.73ms,19.73,20.91ms,20.91,0.24ms,0.24,2018-11-10 12:18:39
"Auckland New Zealand, Oceania",14094km,14094,245.96ms,245.96,57.53%,57.53,245.80ms,245.8,246.25ms,246.25,0.21ms,0.21,2018-11-10 12:18:39
"Austin United States, North America",2336km,2336,46.52ms,46.52,50.78%,50.78,39.22ms,39.22,82.14ms,82.14,10.20ms,10.2,2018-11-10 12:18:39
"Baltimore United States, North America",249km,249,11.27ms,11.27,22.64%,22.64,10.50ms,10.5,17.02ms,17.02,1.47ms,1.47,2018-11-10 12:18:39
"Bangalore India, Eurasia",13378km,13378,277.44ms,277.44,48.30%,48.3,277.32ms,277.32,277.69ms,277.69,0.74ms,0.74,2018-11-10 12:18:39
"Bangkok Thailand, Eurasia",13872km,13872,245.13ms,245.13,56.62%,56.62,240.57ms,240.57,290.65ms,290.65,9.83ms,9.83,2018-11-10 12:18:39
"Barcelona Spain, Eurasia",6254km,6254,105.32ms,105.32,59.56%,59.56,105.14ms,105.14,105.64ms,105.64,0.12ms,0.12,2018-11-10 12:18:39
"Basel Switzerland, Eurasia",6317km,6317,91.11ms,91.11,69.42%,69.42,90.84ms,90.84,91.45ms,91.45,0.28ms,0.28,2018-11-10 12:18:39
"Belfast United Kingdom, Eurasia",5160km,5160,78.01ms,78.01,66.15%,66.15,77.79ms,77.79,78.23ms,78.23,0.18ms,0.18,2018-11-10 12:18:39
"Bergen Norway, Eurasia",5642km,5642,120.97ms,120.97,47.02%,47.02,120.58ms,120.58,122.08ms,122.08,0.48ms,0.48,2018-11-10 12:18:39
"Berkeley Springs United States, North America",293km,293,18.09ms,18.09,16.28%,16.28,17.86ms,17.86,18.41ms,18.41,0.19ms,0.19,2018-11-10 12:18:39
"Bern Switzerland, Eurasia",6339km,6339,93.41ms,93.41,68.16%,68.16,93.22ms,93.22,93.76ms,93.76,0.36ms,0.36,2018-11-10 12:18:39
"Bogota Colombia, South America",4097km,4097,92.38ms,92.38,44.53%,44.53,91.56ms,91.56,103.65ms,103.65,2.33ms,2.33,2018-11-10 12:18:39
"Boston United States, North America",395km,395,11.55ms,11.55,35.91%,35.91,11.30ms,11.3,11.99ms,11.99,0.17ms,0.17,2018-11-10 12:18:39
"Brasilia Brazil, South America",6975km,6975,137.67ms,137.67,50.91%,50.91,130.94ms,130.94,242.88ms,242.88,21.66ms,21.66,2018-11-10 12:18:39
"Bratislava Slovakia, Eurasia",6903km,6903,102.63ms,102.63,67.68%,67.68,102.50ms,102.5,102.75ms,102.75,0.31ms,0.31,2018-11-10 12:18:39
"Brisbane Australia, Oceania",15360km,15360,230.25ms,230.25,66.78%,66.78,230.05ms,230.05,231.84ms,231.84,0.64ms,0.64,2018-11-10 12:18:39
"Bristol United Kingdom, Eurasia",5472km,5472,79.58ms,79.58,69.27%,69.27,79.28ms,79.28,80.71ms,80.71,0.37ms,0.37,2018-11-10 12:18:39
"Brno Czech Republic, Eurasia",6811km,6811,95.16ms,95.16,71.69%,71.69,95.02ms,95.02,95.34ms,95.34,0.38ms,0.38,2018-11-10 12:18:39
"Bruges Belgium, Eurasia",5860km,5860,85.03ms,85.03,68.94%,68.94,84.77ms,84.77,86.21ms,86.21,0.45ms,0.45,2018-11-10 12:18:39
"Brunswick United States, North America",542km,542,17.18ms,17.18,31.88%,31.88,16.95ms,16.95,17.39ms,17.39,0.13ms,0.13,2018-11-10 12:18:39
"Brussels Belgium, Eurasia",5948km,5948,84.80ms,84.8,70.81%,70.81,84.71ms,84.71,85.01ms,85.01,0.27ms,0.27,2018-11-10 12:18:39
"Bucharest Romania, Eurasia",7706km,7706,108.62ms,108.62,71.35%,71.35,108.37ms,108.37,109.14ms,109.14,0.23ms,0.23,2018-11-10 12:18:39
"Budapest Hungary, Eurasia",7064km,7064,103.86ms,103.86,68.58%,68.58,103.19ms,103.19,104.57ms,104.57,0.43ms,0.43,2018-11-10 12:18:39
"Buenos Aires Argentina, South America",8636km,8636,159.26ms,159.26,54.31%,54.31,153.07ms,153.07,197.38ms,197.38,9.60ms,9.6,2018-11-10 12:18:40
"Buffalo United States, North America",311km,311,16.70ms,16.7,19.44%,19.44,14.24ms,14.24,30.62ms,30.62,4.31ms,4.31,2018-11-10 12:18:40
"Bursa Turkey, Eurasia",8193km,8193,122.25ms,122.25,67.16%,67.16,122.09ms,122.09,122.52ms,122.52,0.17ms,0.17,2018-11-10 12:18:40
"Cairo Egypt, Africa",9097km,9097,135.71ms,135.71,67.39%,67.39,133.09ms,133.09,151.70ms,151.7,3.54ms,3.54,2018-11-10 12:18:40
