City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13422km,13422,193.31ms,193.31,69.54%,69.54,193.05ms,193.05,194.09ms,194.09,0.44ms,0.44,2018-11-10 12:19:49
"Albany United States, North America",3783km,3783,125.33ms,125.33,30.26%,30.26,67.69ms,67.69,189.94ms,189.94,37.72ms,37.72,2018-11-10 12:19:49
"Alblasserdam Netherlands, Eurasia",7863km,7863,139.08ms,139.08,56.57%,56.57,138.86ms,138.86,139.66ms,139.66,0.41ms,0.41,2018-11-10 12:19:49
"Albuquerque United States, North America",1904km,1904,50.05ms,50.05,38.08%,38.08,46.92ms,46.92,92.81ms,92.81,9.77ms,9.77,2018-11-10 12:19:49
"Algiers Algeria, Africa",9185km,9185,175.64ms,175.64,52.49%,52.49,175.19ms,175.19,176.75ms,176.75,0.46ms,0.46,2018-11-06 21:19:34
"Amsterdam Netherlands, Eurasia",7826km,7826,148.70ms,148.7,52.88%,52.88,148.53ms,148.53,150.27ms,150.27,0.33ms,0.33,2018-11-10 12:19:49
"Anchorage United States, North America",2308km,2308,34.03ms,34.03,67.88%,67.88,33.92ms,33.92,34.37ms,34.37,0.12ms,0.12,2018-11-10 12:19:49
"Ankara Turkey, Eurasia",9979km,9979,189.85ms,189.85,52.80%,52.8,189.62ms,189.62,191.66ms,191.66,0.69ms,0.69,2018-11-10 12:19:49
"Antwerp Belgium, Eurasia",7913km,7913,152.22ms,152.22,52.06%,52.06,152.09ms,152.09,152.56ms,152.56,0.35ms,0.35,2018-11-10 12:19:49
"Arezzo Italy, Eurasia",8940km,8940,177.24ms,177.24,50.51%,50.51,177.14ms,177.14,177.39ms,177.39,0.45ms,0.45,2018-11-10 12:19:49
"Asheville United States, North America",3520km,3520,67.96ms,67.96,52.54%,52.54,67.87ms,67.87,68.17ms,68.17,0.34ms,0.34,2018-11-10 12:19:49
