City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",8152km,8152,293.72ms,293.72,27.82%,27.82,293.53ms,293.53,294.35ms,294.35,0.19ms,0.19,2018-11-10 12:22:12
"Albany United States, North America",10844km,10844,285.36ms,285.36,38.05%,38.05,209.88ms,209.88,362.40ms,362.4,40.77ms,40.77,2018-11-10 12:22:12
"Alblasserdam Netherlands, Eurasia",8611km,8611,296.50ms,296.5,29.09%,29.09,273.25ms,273.25,315.26ms,315.26,14.54ms,14.54,2018-11-10 12:22:12
"Albuquerque United States, North America",10228km,10228,175.31ms,175.31,58.45%,58.45,171.41ms,171.41,215.23ms,215.23,10.21ms,10.21,2018-11-10 12:22:12
"Algiers Algeria, Africa",9943km,9943,336.70ms,336.7,29.59%,29.59,336.30ms,336.3,337.68ms,337.68,0.52ms,0.52,2018-11-10 12:22:12
"Amsterdam Netherlands, Eurasia",8573km,8573,302.32ms,302.32,28.39%,28.39,278.43ms,278.43,320.62ms,320.62,13.38ms,13.38,2018-11-10 12:22:12
"Anchorage United States, North America",6066km,6066,174.12ms,174.12,34.86%,34.86,173.87ms,173.87,174.36ms,174.36,0.11ms,0.11,2018-11-10 12:22:12
"Ankara Turkey, Eurasia",7746km,7746,266.88ms,266.88,29.12%,29.12,260.73ms,260.73,278.11ms,278.11,5.56ms,5.56,2018-11-10 12:22:12
"Antwerp Belgium, Eurasia",8675km,8675,279.30ms,279.3,31.09%,31.09,279.07ms,279.07,279.79ms,279.79,0.50ms,0.5,2018-11-10 12:22:12
"Arezzo Italy, Eurasia",8886km,8886,294.87ms,294.87,30.22%,30.22,291.10ms,291.1,299.83ms,299.83,3.91ms,3.91,2018-11-10 12:22:12
"Asheville United States, North America",11331km,11331,210.73ms,210.73,53.96%,53.96,195.99ms,195.99,229.76ms,229.76,9.42ms,9.42,2018-11-10 12:22:12
"Athens Greece, Eurasia",8520km,8520,350.33ms,350.33,24.34%,24.34,325.20ms,325.2,367.29ms,367.29,14.37ms,14.37,2018-11-10 12:22:12
"Atlanta United States, North America",11450km,11450,199.78ms,199.78,57.54%,57.54,178.15ms,178.15,217.95ms,217.95,13.57ms,13.57,2018-11-10 12:22:12
"Auckland New Zealand, Oceania",9622km,9622,320.90ms,320.9,30.07%,30.07,320.70ms,320.7,321.89ms,321.89,0.38ms,0.38,2018-11-10 12:22:12
"Austin United States, North America",11159km,11159,203.98ms,203.98,54.97%,54.97,175.42ms,175.42,241.56ms,241.56,16.95ms,16.95,2018-11-10 12:22:12
"Baltimore United States, North America",11139km,11139,193.17ms,193.17,57.72%,57.72,192.72ms,192.72,195.37ms,195.37,0.61ms,0.61,2018-11-10 12:22:12
"Bangalore India, Eurasia",5587km,5587,245.07ms,245.07,22.80%,22.8,244.91ms,244.91,245.41ms,245.41,0.53ms,0.53,2018-11-10 12:22:12
"Bangkok Thailand, Eurasia",3724km,3724,272.83ms,272.83,13.69%,13.69,261.38ms,261.38,333.92ms,333.92,20.53ms,20.53,2018-11-10 12:22:12
"Barcelona Spain, Eurasia",9604km,9604,326.36ms,326.36,29.46%,29.46,300.17ms,300.17,344.70ms,344.7,14.80ms,14.8,2018-11-10 12:22:12
"Basel Switzerland, Eurasia",8808km,8808,293.05ms,293.05,30.06%,30.06,292.73ms,292.73,293.74ms,293.74,0.48ms,0.48,2018-11-10 12:22:12
"Belfast United Kingdom, Eurasia",8829km,8829,262.50ms,262.5,33.70%,33.7,262.25ms,262.25,262.89ms,262.89,0.73ms,0.73,2018-11-10 12:22:12
"Bergen Norway, Eurasia",7904km,7904,309.70ms,309.7,25.58%,25.58,309.23ms,309.23,316.68ms,316.68,1.49ms,1.49,2018-11-10 12:22:12
"Berkeley Springs United States, North America",11057km,11057,198.23ms,198.23,55.84%,55.84,198.07ms,198.07,198.48ms,198.48,0.10ms,0.1,2018-11-10 12:22:12
"Bern Switzerland, Eurasia",8864km,8864,310.77ms,310.77,28.59%,28.59,309.42ms,309.42,312.99ms,312.99,1.27ms,1.27,2018-11-10 12:22:12
"Bogota Colombia, South America",14849km,14849,291.23ms,291.23,51.03%,51.03,269.59ms,269.59,322.37ms,322.37,12.23ms,12.23,2018-11-10 12:22:12
"Boston United States, North America",10945km,10945,199.20ms,199.2,55.00%,55.0,199.02ms,199.02,199.78ms,199.78,0.61ms,0.61,2018-11-10 12:22:12
"Brasilia Brazil, South America",17546km,17546,320.01ms,320.01,54.83%,54.83,318.87ms,318.87,326.70ms,326.7,1.95ms,1.95,2018-11-10 12:22:12
"Bratislava Slovakia, Eurasia",8239km,8239,293.73ms,293.73,28.12%,28.12,293.55ms,293.55,294.04ms,294.04,0.69ms,0.69,2018-11-10 12:22:12
"Brisbane Australia, Oceania",7727km,7727,306.98ms,306.98,25.25%,25.25,306.73ms,306.73,307.18ms,307.18,0.40ms,0.4,2018-11-10 12:22:12
"Bristol United Kingdom, Eurasia",8971km,8971,292.38ms,292.38,30.72%,30.72,269.10ms,269.1,310.53ms,310.53,14.86ms,14.86,2018-11-10 12:22:12
"Brno Czech Republic, Eurasia",8193km,8193,293.22ms,293.22,27.96%,27.96,293.02ms,293.02,293.61ms,293.61,0.31ms,0.31,2018-11-10 12:22:12
"Bruges Belgium, Eurasia",8730km,8730,266.47ms,266.47,32.82%,32.82,260.55ms,260.55,271.23ms,271.23,4.88ms,4.88,2018-11-10 12:22:12
"Brunswick United States, North America",10798km,10798,202.46ms,202.46,53.46%,53.46,202.20ms,202.2,202.74ms,202.74,0.59ms,0.59,2018-11-10 12:22:12
"Brussels Belgium, Eurasia",8707km,8707,272.39ms,272.39,32.01%,32.01,272.05ms,272.05,278.71ms,278.71,1.27ms,1.27,2018-11-10 12:22:12
"Bucharest Romania, Eurasia",7935km,7935,331.54ms,331.54,23.97%,23.97,329.62ms,329.62,332.30ms,332.3,0.75ms,0.75,2018-11-10 12:22:12
"Budapest Hungary, Eurasia",8170km,8170,320.39ms,320.39,25.53%,25.53,312.32ms,312.32,324.60ms,324.6,4.10ms,4.1,2018-11-10 12:22:12
"Buenos Aires Argentina, South America",19437km,19437,328.11ms,328.11,59.26%,59.26,322.62ms,322.62,345.88ms,345.88,6.14ms,6.14,2018-11-10 12:22:12
"Buffalo United States, North America",10698km,10698,211.00ms,211.0,50.70%,50.7,209.04ms,209.04,225.66ms,225.66,3.36ms,3.36,2018-11-10 12:22:12
"Bursa Turkey, Eurasia",8002km,8002,266.50ms,266.5,30.08%,30.08,261.29ms,261.29,277.93ms,277.93,5.32ms,5.32,2018-11-10 12:22:12
"Cairo Egypt, Africa",8488km,8488,299.57ms,299.57,28.39%,28.39,288.11ms,288.11,323.75ms,323.75,9.06ms,9.06,2018-11-10 12:22:12
"Calgary Canada, North America",8512km,8512,204.57ms,204.57,41.73%,41.73,202.84ms,202.84,228.14ms,228.14,4.66ms,4.66,2018-11-10 12:22:12
"Canberra Australia, Oceania",8421km,8421,224.61ms,224.61,37.59%,37.59,219.09ms,219.09,234.67ms,234.67,5.19ms,5.19,2018-11-10 12:22:12
