City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",7569km,7569,352.03ms,352.03,21.50%,21.5,348.38ms,348.38,356.78ms,356.78,2.27ms,2.27,2018-11-10 11:00:25
"Albany United States, North America",11649km,11649,241.72ms,241.72,48.34%,48.34,227.93ms,227.93,256.40ms,256.4,8.90ms,8.9,2018-11-10 07:59:39
"Alblasserdam Netherlands, Eurasia",8928km,8928,258.41ms,258.41,34.60%,34.6,258.29ms,258.29,258.61ms,258.61,0.24ms,0.24,2018-11-10 11:00:25
"Albuquerque United States, North America",11094km,11094,286.78ms,286.78,38.79%,38.79,263.15ms,263.15,319.13ms,319.13,11.89ms,11.89,2018-11-10 11:00:25
"Algiers Algeria, Africa",10114km,10114,276.81ms,276.81,36.64%,36.64,275.65ms,275.65,279.76ms,279.76,1.37ms,1.37,2018-11-10 11:00:25
"Amsterdam Netherlands, Eurasia",8895km,8895,245.59ms,245.59,36.31%,36.31,245.33ms,245.33,245.75ms,245.75,0.69ms,0.69,2018-11-10 04:56:55
"Anchorage United States, North America",6934km,6934,270.94ms,270.94,25.68%,25.68,246.70ms,246.7,280.97ms,280.97,9.40ms,9.4,2018-11-10 06:57:50
"Ankara Turkey, Eurasia",7744km,7744,364.70ms,364.7,21.27%,21.27,334.48ms,334.48,377.19ms,377.19,11.15ms,11.15,2018-11-10 06:57:50
"Antwerp Belgium, Eurasia",8987km,8987,249.72ms,249.72,36.09%,36.09,245.63ms,245.63,259.43ms,259.43,4.31ms,4.31,2018-11-05 14:02:15
"Arezzo Italy, Eurasia",9064km,9064,295.74ms,295.74,30.73%,30.73,289.04ms,289.04,306.05ms,306.05,4.89ms,4.89,2018-11-09 19:55:16
"Asheville United States, North America",12177km,12177,294.20ms,294.2,41.42%,41.42,252.05ms,252.05,323.58ms,323.58,19.30ms,19.3,2018-11-03 10:01:46
"Athens Greece, Eurasia",8548km,8548,329.21ms,329.21,25.98%,25.98,299.42ms,299.42,351.54ms,351.54,16.31ms,16.31,2018-11-09 19:55:16
"Atlanta United States, North America",12303km,12303,211.31ms,211.31,58.31%,58.31,208.21ms,208.21,226.39ms,226.39,4.60ms,4.6,2018-11-09 19:55:16
"Auckland New Zealand, Oceania",9377km,9377,263.07ms,263.07,35.65%,35.65,262.99ms,262.99,263.44ms,263.44,0.52ms,0.52,2018-11-09 21:58:48
"Austin United States, North America",12027km,12027,220.58ms,220.58,54.67%,54.67,216.83ms,216.83,259.89ms,259.89,8.32ms,8.32,2018-11-10 01:54:28
"Baltimore United States, North America",11960km,11960,327.31ms,327.31,36.57%,36.57,308.04ms,308.04,348.02ms,348.02,10.88ms,10.88,2018-11-10 07:59:39
"Bangalore India, Eurasia",4916km,4916,393.37ms,393.37,12.51%,12.51,393.23ms,393.23,394.38ms,394.38,0.66ms,0.66,2018-11-08 00:51:10
"Bangkok Thailand, Eurasia",2893km,2893,321.05ms,321.05,9.01%,9.01,307.68ms,307.68,367.01ms,367.01,12.05ms,12.05,2018-11-10 09:59:05
"Barcelona Spain, Eurasia",9831km,9831,321.46ms,321.46,30.63%,30.63,299.31ms,299.31,332.15ms,332.15,8.30ms,8.3,2018-11-10 09:59:05
"Basel Switzerland, Eurasia",9061km,9061,322.17ms,322.17,28.14%,28.14,321.73ms,321.73,326.23ms,326.23,1.16ms,1.16,2018-11-09 21:58:48
"Belfast United Kingdom, Eurasia",9236km,9236,261.48ms,261.48,35.39%,35.39,261.30ms,261.3,262.08ms,262.08,0.14ms,0.14,2018-11-09 21:58:48
"Bergen Norway, Eurasia",8308km,8308,400.89ms,400.89,20.77%,20.77,388.67ms,388.67,405.90ms,405.9,3.42ms,3.42,2018-11-10 04:56:55
"Berkeley Springs United States, North America",11883km,11883,245.80ms,245.8,48.50%,48.5,245.66ms,245.66,245.99ms,245.99,0.62ms,0.62,2018-11-09 23:00:28
"Bern Switzerland, Eurasia",9111km,9111,321.23ms,321.23,28.38%,28.38,321.12ms,321.12,321.47ms,321.47,0.75ms,0.75,2018-11-10 06:57:50
"Bogota Colombia, South America",15709km,15709,301.59ms,301.59,52.19%,52.19,300.64ms,300.64,302.99ms,302.99,0.85ms,0.85,2018-11-10 06:57:50
"Boston United States, North America",11738km,11738,234.24ms,234.24,50.16%,50.16,233.75ms,233.75,241.35ms,241.35,1.35ms,1.35,2018-11-10 06:57:50
"Brasilia Brazil, South America",17996km,17996,470.31ms,470.31,38.29%,38.29,434.42ms,434.42,497.46ms,497.46,18.38ms,18.38,2018-11-10 11:00:25
"Bratislava Slovakia, Eurasia",8439km,8439,232.40ms,232.4,36.38%,36.38,206.79ms,206.79,255.35ms,255.35,11.92ms,11.92,2018-11-08 09:01:42
"Bristol United Kingdom, Eurasia",9330km,9330,321.70ms,321.7,29.07%,29.07,309.12ms,309.12,331.61ms,331.61,6.15ms,6.15,2018-11-10 06:57:50
"Brno Czech Republic, Eurasia",8409km,8409,265.38ms,265.38,31.73%,31.73,264.74ms,264.74,268.14ms,268.14,0.98ms,0.98,2018-11-08 00:51:10
"Bruges Belgium, Eurasia",9050km,9050,217.26ms,217.26,41.71%,41.71,216.66ms,216.66,220.14ms,220.14,1.00ms,1.0,2018-11-09 00:59:17
"Brunswick United States, North America",11585km,11585,293.48ms,293.48,39.54%,39.54,263.17ms,263.17,317.15ms,317.15,10.92ms,10.92,2018-11-10 04:56:55
"Brussels Belgium, Eurasia",9016km,9016,266.62ms,266.62,33.89%,33.89,266.45ms,266.45,266.92ms,266.92,0.73ms,0.73,2018-11-10 06:57:50
"Bucharest Romania, Eurasia",8034km,8034,311.50ms,311.5,25.83%,25.83,311.42ms,311.42,311.71ms,311.71,0.75ms,0.75,2018-11-08 00:51:10
"Budapest Hungary, Eurasia",8351km,8351,285.06ms,285.06,29.30%,29.3,284.05ms,284.05,288.85ms,288.85,1.08ms,1.08,2018-11-09 00:59:17
"Buenos Aires Argentina, South America",19642km,19642,418.60ms,418.6,46.99%,46.99,405.69ms,405.69,427.61ms,427.61,8.18ms,8.18,2018-11-07 15:02:06
"Bursa Turkey, Eurasia",8026km,8026,365.54ms,365.54,21.99%,21.99,355.04ms,355.04,378.77ms,378.77,6.98ms,6.98,2018-11-10 03:49:39
"Calgary Canada, North America",9379km,9379,176.03ms,176.03,53.29%,53.29,174.09ms,174.09,187.22ms,187.22,2.79ms,2.79,2018-11-05 20:01:50
"Canberra Australia, Oceania",7940km,7940,326.99ms,326.99,24.36%,24.36,326.81ms,326.81,327.43ms,327.43,0.36ms,0.36,2018-11-08 00:51:10
"Cape Town South Africa, Africa",12984km,12984,501.17ms,501.17,25.92%,25.92,481.31ms,481.31,519.77ms,519.77,9.80ms,9.8,2018-11-10 11:00:25
"Caracas Venezuela, South America",15298km,15298,292.40ms,292.4,52.39%,52.39,283.75ms,283.75,298.13ms,298.13,3.68ms,3.68,2018-11-10 06:57:50
